Id,Unknown0,Unknown1_0,Unknown1_1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
"201","Venture Coin","INV_Misc_Coin_16","","0","0","0","","2","0","1","0"
"221","Emblem of Conquest","Spell_Holy_ChampionsGrace","","0","0","0","","22","0","1","0"
"241","Champion's Seal","Ability_Paladin_ArtofWar","","0","0","0","Awarded for valiant acts in the Crusader's Coliseum.","21","0","1","0"
"301","Emblem of Triumph","spell_holy_summonchampion","","0","0","0","","22","0","1","0"
"321","Isle of Conquest Mark of Honor","INV_Jewelry_Necklace_27","","0","0","0","","2","0","1","0"
"341","Emblem of Frost","inv_misc_frostemblem_01","","0","0","0","","22","0","1","0"
"361","Illustrious Jewelcrafter's Token","inv_misc_token_argentdawn3","","0","0","0","Awarded for demonstrating great skill in jewelcrafting, these tokens can be used to purchase unique jewelcrafting plans and the fabulous Chimera's Eye.","81","0","1","0"
"384","Dwarf Archaeology Fragment","trade_archaeology_dwarf_artifactfragment","","200","0","34","","82","5","1","1"
"385","Troll Archaeology Fragment","trade_archaeology_troll_artifactfragment","","200","0","34","","82","4","1","1"
"391","Tol Barad Commendation","achievement_zone_tolbarad","","0","0","2","Awarded for brave deeds performed on Tol Barad.","2","0","1","0"
"393","Fossil Archaeology Fragment","trade_archaeology_fossil_fern","","200","0","34","","82","8","1","1"
"394","Night Elf Archaeology Fragment","trade_archaeology_highborne_artifactfragment","","200","0","34","","82","9","1","1"
"395","Justice Points","pvecurrency-justice","","1","0","8280","Used to purchase less-powerful armor and weapons.","142","0","1","0"
"396","Valor Points","pvecurrency-valor","","300099","100000","24648","Used to purchase powerful PvE armor and weapons.","142","0","4","0"
"397","Orc Archaeology Fragment","trade_archaeology_orc_artifactfragment","","200","0","34","","82","10","1","1"
"398","Draenei Archaeology Fragment","trade_archaeology_draenei_artifactfragment","","200","0","34","","82","11","1","1"
"399","Vrykul Archaeology Fragment","trade_archaeology_vrykul_artifactfragment","","200","0","34","","82","12","1","1"
"400","Nerubian Archaeology Fragment","trade_archaeology_nerubian_artifactfragment","","200","0","34","","82","13","1","1"
"401","Tol'vir Archaeology Fragment","trade_archaeology_titan_fragment","","200","0","34","","82","14","1","1"
"402","Ironpaw Token","inv_relics_idolofferocity","","0","0","0","Represents your credit with the Ironpaw family of cooks. Can be redeemed for Cooking ingredients and other things at the Stockmaster in Halfhill Market.","1","0","1","0"
"416","Mark of the World Tree","inv_misc_markoftheworldtree","","0","0","1024","Granted by the Guardians of Hyjal. Can be used to purchase reinforcements for the Invasion of the Firelands.","81","0","1","0"
"483","Conquest Arena Meta","pvpcurrency-conquest-horde","","0","0","1484","","89","0","1","0"
"484","Conquest Rated BG Meta","pvpcurrency-conquest-horde","","0","0","1484","","89","0","1","0"
"515","Darkmoon Prize Ticket","inv_misc_ticket_darkmoon_01","","0","0","2","Awarded for winning games or doing favors at the Darkmoon Faire.","1","0","1","0"
"614","Mote of Darkness","spell_shadow_sealofkings","","0","0","1024","Extracted from the forces of Deathwing, this dark energy can be used to power amazing magics.","81","0","1","0"
"615","Essence of Corrupted Deathwing","inv_elemental_primal_shadow","inv_elemental_primal_shadow","0","0","1024","Extracted from Deathwing himself, this dark energy powers the most fearsome of incantations.","81","0","1","0"
"676","Pandaren Archaeology Fragment","trade_archaeology_vrykul_artifactfragment","","200","0","34","","82","39","1","1"
"677","Mogu Archaeology Fragment","trade_archaeology_vrykul_artifactfragment","","200","0","34","","82","40","1","1"
"692","Conquest Random BG Meta","pvpcurrency-conquest-horde","","0","0","1484","","89","0","1","0"
"697","Elder Charm of Good Fortune","inv_misc_coin_17","","20","0","2114","Possession of the Elder Charm of Good Fortune allows its lucky owner to risk a coin to receive a bonus reward from Mogu'shan Vaults, Heart of Fear, Terrace of Endless Spring, Sha of Anger, or Salyis' Warband.","133","0","1","0"
"698","Zen Jewelcrafter's Token","trade_archaeology_titan_fragment","","0","0","0","Awarded for demonstrating great skill in jewelcrafting, these tokens can be used to purchase unique jewelcrafting plans and the beautiful Serpent's Eye.","133","0","1","0"
"738","Lesser Charm of Good Fortune","inv_misc_coin_18","","0","0","64","Possession of the Lesser Charms of Good Fortune will result in great happiness and the eventual conversion into Warforged Seals, which allow players to risk a coin to receive a bonus reward from raid encounters.","133","0","1","0"
"752","Mogu Rune of Fate","archaeology_5_0_mogucoin","","20","0","2","Possession of the Mogu Rune of Fate allows its lucky owner to risk a rune to receive a bonus reward from the Throne of Thunder, Nalak or Oondasta.","133","0","1","0"
"754","Mantid Archaeology Fragment","inv_misc_archaeology_mantidstatue_01","","200","0","34","","82","44","1","1"
"776","Warforged Seal","inv_arcane_orb","","20","0","2","Possession of the Warforged Seal allows its lucky owner to risk a seal to receive a bonus reward from the Siege of Orgrimmar, the Celestial Trials, and Ordos.","133","0","1","0"
"777","Timeless Coin","timelesscoin","","0","0","16450","You feel the shadowy fingers of previous and future owners of this coin playing across your hand, as if time itself blurs. Spend upon the Timeless Isle to earn powerful and fluid rewards.","133","0","1","0"
"789","Bloody Coin","timelesscoin-bloody","","0","0","16450","Pulled from the steaming corpses of foes vanquished in the mists of the Timeless Isle.","133","0","1","0"
"810","Black Iron Fragment","inv_stone_15","","0","0","16450","Scavenged from the shattered armor and weapons of Iron Horde invaders.","133","0","1","0"
"821","Draenor Clans Archaeology Fragment","achievement_character_orc_male_brn","","250","0","34","","82","45","1","1"
"823","Apexis Crystal","inv_apexis_draenor","","0","0","24578","The enduring legacy of a lost civilization, Apexis crystals contain untold reserves of magical power.","137","0","2","0"
"824","Garrison Resources","inv_garrison_resource","","10000","0","16386","Earn resources to build-up and expand your garrison.","137","0","1","0"
"828","Ogre Archaeology Fragment","spell_nature_rockbiter","","250","0","34","","82","47","1","1"
"829","Arakkoa Archaeology Fragment","achievement_dungeon_arakkoaspires","","250","0","34","","82","46","1","1"
"830","n/a","","","0","200","0","Misc_Coin_09","0","0","0","0"
"897","UNUSED","inv_datacrystal06","","100","0","8194","","137","0","1","0"
"910","Secret of Draenor Alchemy","trade_alchemy","","0","0","0","Allows you to obtain new Alchemy recipes from the Alchemist's Lab.","137","0","1","0"
"944","Artifact Fragment","inv_ashran_artifact","","100000","0","8202","A tiny fragment of an Ashran lost artifact, treasured by the Highmaul Ogres.","137","0","1","0"
"980","Dingy Iron Coins","inv_misc_coin_09","","2000000","0","8","Perhaps they're more valuable than they appear on the surface.","137","0","3","0"
"994","Seal of Tempered Fate","ability_animusorbs","","20","0","16386","Twists fate to provide an opportunity for additional treasure in Highmaul or Blackrock Foundry raids.","137","0","1","0"
"999","Secret of Draenor Tailoring","trade_tailoring","","0","0","0","Allows you to obtain Tailoring recipes from the Tailoring Emporium.","137","0","1","0"
"1008","Secret of Draenor Jewelcrafting","inv_misc_gem_01","","0","0","0","Allows you to obtain new Jewelcrafting recipes.","137","0","1","0"
"1017","Secret of Draenor Leatherworking","trade_leatherworking","","0","0","0","Allows you to obtain Leatherworking recipes from the Tannery.","137","0","1","0"
"1020","Secret of Draenor Blacksmithing","trade_blacksmithing","","0","0","0","Allows you to obtain new Blacksmithing recipes.","137","0","1","0"
"1101","Oil","garrison_oil","","100000","0","16450","Found primarily in Tanaan Jungle, Oil is used to fuel naval missions.","137","0","1","0"
"1129","Seal of Inevitable Fate","achievement_battleground_templeofkotmogu_02_green","","20","0","16386","Twists fate to provide an opportunity for additional treasure in Hellfire Citadel or Draenor Mythic Dungeons.","137","0","1","0"
"1149","Sightless Eye","achievement_reputation_kirintor_offensive","","5000","0","2","A rough, hand-minted coin. It bears a symbol similar to that of the Kirin Tor, with one key difference: the eye is closed.","141","0","1","0"
"1154","Shadowy Coins","archaeology_5_0_mogucoin","","500","0","0","Prized by pickpockets and marks alike. Can be spent in the Underbelly below Dalaran.","141","0","3","0"
"1155","Ancient Mana","inv_misc_ancient_mana","","300","0","2359298","Concentrated magic from the ancient leylines beneath Suramar.","141","0","1","0"
"1166","Timewarped Badge","pvecurrency-justice","","0","0","8194","Earned in Timewalking dungeons. Spend at vendors in Dalaran, Orgrimmar, Shattrath or Stormwind.","22","0","3","0"
"1171","Artifact Knowledge","inv_scroll_11","","0","0","541760","Increases the rate at which you earn Artifact Power.","142","0","6","0"
"1172","Highborne Archaeology Fragment","trade_archaeology_highborne_artifactfragment","","200","0","34","","82","51","1","1"
"1173","Highmountain Tauren Archaeology Fragment","trade_archaeology_highborne_artifactfragment","","200","0","34","","82","52","1","1"
"1174","Demonic Archaeology Fragment","trade_archaeology_highborne_artifactfragment","","200","0","34","","82","54","1","1"
"1191","Valor","pvecurrency-valor","","5000","0","16450","A currency used to increase the power of items from Hellfire Citadel, Tanaan Jungle, Draenor Dungeons, and powerful crafted items.","22","0","4","0"
"1220","Order Resources","inv_orderhall_orderresources","","0","0","2","Used to recruit troops, run missions, and research upgrades for your order hall.","141","0","1","0"
"1226","Nethershard","inv_datacrystal01","","2000","0","2","A fragment of crystallized nether brought to Azeroth by the Legion. Demon hunters of the Illidari would be interested in these shards.","141","0","1","0"
"1268","Timeworn Artifact","inv_ashran_artifact","","100000","0","8202","A mysterious naga artifact from the depths of the Great Sea. King Mrgl-Mrgl is looking for these at Timeworn Strand.","141","0","1","0"
"1273","Seal of Broken Fate","inv_misc_elvencoins","","6","0","16386","Twists fate to provide an opportunity for additional treasure from Legion raid and Mythic dungeon bosses.","141","0","1","0"
"1275","Curious Coin","inv_misc_elvencoins","","0","0","16386","This unusual coin is warm to the touch and vibrates gently in your hand. Used to procure items from Xur'ios in Dalaran.","141","0","4","0"
"1314","Lingering Soul Fragment","spell_warlock_demonsoul","","80","10","66","Soul fragment once belonging to a powerful enemy.","142","0","3","0"
