Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1
"1738","4624.436","1401.641","142.9747","4886"
"1739","4622.45","1421.887","142.5086","4886"
"1740","4633.948","1412.995","70.7255","4886"
"1741","2211.899","-50.86979","463.5365","4396"
"1742","2249.378","-50.62674","462.8261","4396"
"1743","2252.483","-56.3316","405.6353","4396"
"1744","2231.688","-59.38195","376.8355","4396"
"1745","2440.064","-155.1233","61.1785","4428"
"1746","2421.378","-143.9792","209.7745","4428"
"1747","2413.273","-141.8021","286.5732","4428"
"1750","2436.207","-167.6406","116.4931","4989"
"1751","2426.936","-194.0365","279.9479","4989"
"1752","2414.292","-142.6875","276.348","4989"
"1753","2435.887","-167.1892","115.9549","4989"
"1754","2414.391","-141.0226","282.507","4990"
"1755","2428.378","-132.9774","197.458","4990"
"1756","2445.264","-168.7917","17.22569","4990"
"1757","2442.476","-193.592","208.5729","4990"
"1758","2425.698","-193.7274","285.3767","4990"
"1759","2413.603","-143.1736","282.4195","4990"
"1760","2419.59","-170.9462","274.7112","4991"
"1761","2423.47","-132.1528","277.6418","4991"
"1762","2432.646","-133.1233","157.5365","4991"
"1763","2442.33","-153.9688","36.29688","4991"
"1764","2447.243","-182.6563","28.50521","4991"
"1765","2429.908","-196.6545","273.4","4991"
"1766","585.4531","2777.982","65.80051","4998"
"1767","578.0989","2764.342","39.74995","4998"
"1768","232.7222","4216.522","1.678399","5005"
"1769","169.2899","4177.485","0.8074807","5005"
"1770","143.592","4102.819","2.695091","5005"
"1771","143.0313","4009.156","18.25937","5005"
"1772","229.3559","4208.193","2.761507","5006"
"1773","210.7396","4174.566","2.607265","5006"
"1774","195.6545","4135.541","1.655168","5006"
"1775","181.5243","4109.636","0.9577968","5006"
"1776","162.5313","4061.877","2.426605","5006"
"1777","148.2778","4006.268","2.848681","5006"
"1778","129.5451","3986.81","-1.211167","5006"
"1786","718.4879","4618.317","0.3537292","5008"
"1787","605.717","4629.397","1.364989","5008"
"1788","555.566","4595.274","0.6363254","5008"
"1789","520.0608","4572.35","0.3396978","5008"
"1790","602.2274","4528.538","2.458706","5009"
"1791","546.2778","4570.713","-0.2879164","5009"
"1792","470.4618","4540.278","4.608365","5009"
"1793","1389.915","4312.249","1.453147","5010"
"1794","1454.997","4307.425","0.7450806","5010"
"1795","1508.575","4237.87","1.372984","5010"
"1796","1541.879","4182.682","0.1155122","5010"
"1797","1569.819","4068.318","-20.84329","5010"
"1798","1421.434","4252.793","1.116303","5011"
"1799","1469.486","4249.312","0.779219","5011"
"1800","1512.254","4194.302","0.9340278","5011"
"1801","1558.974","4134.752","2.852464","5011"
"1802","1588.929","4044.574","0.6911621","5011"
"1803","1175.844","3845.717","172.8264","5024"
"1804","1183.799","3837.133","81.89135","5024"
"1805","1244.877","3898.57","169.8532","5025"
"1806","1250.918","3872.32","74.74082","5025"
"1807","905.283","3952.109","234.7552","5046"
"1808","892.3212","3951.234","210.2619","5046"
"1809","880.5746","3949.84","183.4237","5046"
"1810","869.9514","3951.381","149.7653","5046"
"1811","901.5347","3868.628","268.2122","5047"
"1812","901.592","3878.021","223.3709","5047"
"1813","905.5156","3869.7","178.4236","5047"
"1814","908.0364","3817.491","270.4245","5048"
"1815","904.1788","3817.558","245.089","5048"
"1816","895.8698","3816.348","200.121","5048"
"1817","889.7031","3830.825","158.1619","5048"
"1818","1425.085","3197.305","123.149","5078"
"1819","1432.038","3195.909","106.3159","5078"
"1820","1452.615","3188.7","50.58687","5078"
"1821","1279.462","3224.745","187.014","5083"
"1822","1283.771","3226.276","171.2189","5083"
"1823","1298.99","3227.285","130.0397","5083"
"1824","941.8055","3387.175","154.7133","5098"
"1825","943.3577","3380.179","125.532","5098"
"1826","1101.352","3207.483","130.3215","5103"
"1827","1115.97","3212.069","187.0779","5103"
"1828","1150.335","3105.325","180.5233","5108"
"1829","1142.394","3113.353","145.2497","5108"
"1830","1140.887","3115.331","125.7859","5108"
"1831","732.6233","3092.528","115.4844","5118"
"1832","725.1215","3076.116","67.70901","5118"
"1833","703.8993","3137.623","120.4819","5121"
"1834","692.1215","3138.974","89.59258","5121"
"1835","744.8108","3233.173","106.3152","5122"
"1836","731.6614","3235.176","67.52973","5122"
"1837","534.2656","452.2135","297.6369","5142"
"1838","529.8698","453.7066","246.2893","5142"
"1839","514.7691","462.3837","242.5424","5143"
"1840","503.092","473.3924","159.1094","5143"
"1841","514.132","437.3629","242.5968","5144"
"1842","505.7465","429.4254","216.5916","5144"
"1843","486.2517","427.2969","215.3028","5146"
"1844","471.6736","426.4618","146.5608","5146"
"1887","-1538.884","-57.55903","178.424","5267"
"1888","-1540.266","-26.09201","150.6799","5267"
"1889","-1570.958","-24.13542","131.6549","5267"
"1890","-1586.979","-58.97743","114.9166","5267"
"1896","717.9167","-190.1545","393.0564","5286"
"1897","697.6996","-197.2431","383.113","5286"
"1898","682.9757","-201.0139","372.7934","5286"
"1911","-773.1528","1145.776","139.1499","5295"
"1912","-764.2118","1112.774","139.141","5295"
"1913","-739.1389","1088.191","139.1389","5295"
"1914","-779.184","1142.087","171.31","5294"
"1915","-764.4531","1096.899","175.4797","5294"
"1916","-731.0903","1084.96","176.7377","5294"
"1918","-766.3577","1156.135","153.2068","4333"
"1919","-765.3941","1145.231","152.9696","4333"
"1920","-755.8143","1099.191","162.5789","4333"
"1921","-736.3507","1089.023","162.3329","4333"
"1926","3751.115","872.2292","470.1156","5317"
"1927","3719.185","872.1754","470.2296","5317"
"1928","3752.362","806.5243","470.1156","5318"
"1929","3719.185","806.3785","470.2296","5318"
"1948","3859.538","3148.382","789.4073","5354"
"1949","3877.578","3132.675","777.1166","5354"
"1950","3902.256","3110.529","773.4067","5354"
"1951","2191.655","3794.436","277.35","5372"
"1952","2212.722","3804.65","289.266","5372"
"1953","2239.007","3823.941","301.5946","5372"
"1954","2228.545","3856.592","320.7617","5372"
"1955","2245.766","3876.122","333.0845","5372"
"1956","2191.655","3794.436","277.35","5373"
"1957","2212.722","3804.65","289.266","5373"
"1958","2239.007","3823.941","301.5946","5373"
"1959","2228.545","3856.592","320.7617","5373"
"1960","2245.766","3876.122","333.0845","5373"
"1961","2913.867","-2467.618","18.4333","5376"
"1962","2900.451","-2438.946","17.48547","5376"
"1963","1248.238","-61.09201","475.547","5401"
"1964","1418.622","55.32639","475.555","5401"
"1965","1534.337","135.0035","475.2914","5401"
"1966","1550.106","193.5278","475.7542","5401"
"1967","1612.573","233.4879","475.8786","5401"
"1968","1383.708","-49.93229","475.1567","5402"
"1969","1500.045","-193.3455","467.8906","5402"
"1972","1383.708","-49.93229","475.1567","5404"
"1973","1500.045","-193.3455","467.8906","5404"
"1974","1248.238","-61.09201","475.547","5405"
"1975","1418.622","55.32639","475.555","5405"
"1976","1534.337","135.0035","475.2914","5405"
"1977","1550.106","193.5278","475.7542","5405"
"1978","1612.573","233.4879","475.8786","5405"
"1979","1383.708","-49.93229","475.1567","5406"
"1980","1500.045","-193.3455","467.8906","5406"
"1981","1248.238","-61.09201","475.547","5407"
"1982","1418.622","55.32639","475.555","5407"
"1983","1534.337","135.0035","475.2914","5407"
"1984","1550.106","193.5278","475.7542","5407"
"1985","1612.573","233.4879","475.8786","5407"
"1986","1248.238","-61.09201","475.547","5408"
"1987","1418.622","55.32639","475.555","5408"
"1988","1534.337","135.0035","475.2914","5408"
"1989","1550.106","193.5278","475.7542","5408"
"1990","1612.573","233.4879","475.8786","5408"
"1991","1383.708","-49.93229","475.1567","5409"
"1992","1500.045","-193.3455","467.8906","5409"
"1993","3996.728","1691.828","925.6385","5411"
"1994","3965.892","1718.703","930.2872","5411"
"1995","3996.728","1691.828","925.6385","5412"
"1996","3965.892","1718.703","930.2872","5412"
"1997","3996.728","1691.828","925.6385","5413"
"1998","3965.892","1718.703","930.2872","5413"
"2003","3996.728","1691.828","925.6385","5418"
"2004","3965.892","1718.703","930.2872","5418"
"2005","3938.088","1725.993","933.8889","5419"
"2006","3895.643","1726.293","932.9993","5419"
"2007","3940.461","1728.458","931.6149","5420"
"2008","3892.824","1725.115","932.6991","5420"
"2009","3933.781","1724.328","930.3856","5421"
"2010","3894.817","1724.844","933.019","5421"
"2011","3938.088","1725.993","933.8889","5422"
"2012","3895.643","1726.293","932.9993","5422"
"2013","3859.538","3148.382","789.4073","5426"
"2014","3877.578","3132.675","777.1166","5426"
"2015","3902.256","3110.529","773.4067","5426"
"2016","3859.538","3148.382","789.4073","5427"
"2017","3877.578","3132.675","777.1166","5427"
"2018","3902.256","3110.529","773.4067","5427"
"2019","3859.538","3148.382","789.4073","5428"
"2020","3877.578","3132.675","777.1166","5428"
"2021","3902.256","3110.529","773.4067","5428"
"2022","3859.538","3148.382","789.4073","5429"
"2023","3877.578","3132.675","777.1166","5429"
"2024","3902.256","3110.529","773.4067","5429"
"2025","-1114.898","3162.14","5.346313","5431"
"2026","-1116.51","3151.006","5.297463","5431"
"2027","-1159.602","3158.504","5.310009","5431"
"2028","-1140.747","3160.056","5.500898","5431"
"2029","-1143.123","3179.358","5.114817","5431"
"2030","-1115.219","3173.552","4.95064","5431"
"2031","-1115.361","3164.348","5.365685","5431"
"2032","-1114.898","3162.14","5.346313","5432"
"2033","-1116.51","3151.006","5.297463","5432"
"2034","-1159.602","3158.504","5.310009","5432"
"2035","-1140.747","3160.056","5.500898","5432"
"2036","-1143.123","3179.358","5.114817","5432"
"2037","-1115.219","3173.552","4.95064","5432"
"2038","-1115.361","3164.348","5.365685","5432"
"2047","1432.026","4524.031","366.5216","5447"
"2048","1398.743","4507.745","378.2519","5447"
"2049","1359.427","4489.685","382.3674","5447"
"2050","1262.417","4469.302","388.0671","5447"
"2051","1432.026","4524.031","366.5216","5460"
"2052","1398.743","4507.745","378.2519","5460"
"2053","1359.427","4489.685","382.3674","5460"
"2054","1262.417","4469.302","388.0671","5460"
"2055","1342.009","3607.377","233.9124","5480"
"2056","1274.84","3644.96","253.0304","5480"
"2057","1135.46","3714.233","254.713","5480"
"2058","1330.135","3565.556","238.2303","5482"
"2059","1188.497","3643.307","262.7267","5482"
"2060","1085.491","3697.662","273.2218","5482"
"2061","1339.587","3588.494","227.2771","5483"
"2062","1272.234","3623.27","238.1278","5483"
"2063","1120.01","3709.869","246.2471","5483"
"2070","-1482.995","-468.757","310.6791","5514"
"2071","-1473.429","-473.7483","306.2241","5514"
"2072","-1479.807","-492.684","309.4464","5514"
"2073","-1510.821","-499.5191","312.1791","5514"
"2074","-1535.896","-500.7257","296.4487","5514"
"2075","-1558.689","-483.007","294.5637","5514"
"2076","-1527.061","-459.2691","290.8281","5514"
"2077","-1486.259","-452.7205","293.0867","5514"
"2078","2804.656","-464.132","230.7883","5537"
"2079","2808.907","-427.1111","168.5959","5537"
"2080","2814.676","-428.5382","143.6774","5537"
"2081","2777.994","-413.526","134.5114","5537"
"2082","1996.155","-913.3594","535.8143","5543"
"2083","2001.792","-897.5139","543.9119","5543"
"2084","2007.576","-880.3472","534.004","5543"
"2085","2340.675","-2586.679","6.850893","5572"
"2086","2326.353","-2586.328","14.80057","5572"
"2087","2300.542","-2592.224","15.44839","5572"
"2088","2271.632","-2594.854","15.46053","5572"
"2089","2238.234","-2602.149","16.01497","5572"
"2090","2221.924","-2604.988","14.28075","5572"
"2091","632.5504","-307.4861","400.9954","5605"
"2092","631.033","-280.3924","406.5594","5605"
"2093","626.5104","-256.7656","400.7259","5605"
"2094","1477.601","-227.658","544.1114","5615"
"2095","1535.59","-162.6337","563.6159","5615"
"2096","1555.359","-134.941","576.9355","5615"
"2097","1530.545","-99.91666","599.7015","5615"
"2098","1483.118","-135.092","603.511","5615"
"2099","1408.776","-148.4271","608.0731","5615"
"2100","1228.5","-2943.431","233.9136","5628"
"2101","1211.451","-2917.128","245.3063","5628"
"2102","1191.016","-2880.177","223.8133","5628"
"2103","1299.073","-3057.054","251.1809","5630"
"2104","1282.12","-3026.809","255.672","5630"
"2105","1259.087","-2992.005","234.9642","5630"
"2106","1471.101","-3069.639","316.0464","5631"
"2107","1469.155","-3086.34","326.3936","5631"
"2108","1453.592","-3103.382","331.789","5631"
"2109","1133.08","-2857.792","224.1109","5632"
"2110","1118.059","-2866.111","233.7917","5632"
"2111","1075.288","-2885.601","223.5599","5632"
"2112","1414.359","-3079.686","282.2125","5634"
"2113","1398.863","-3083.557","291.7342","5634"
"2114","1379.675","-3090.075","281.2287","5634"
"2115","1189.226","-2803.731","185.9446","5636"
"2116","1191.189","-2771.281","191.8001","5636"
"2117","1190.804","-2729.057","170.3071","5636"
"2118","1190.778","-2671.075","169.1945","5637"
"2119","1192.741","-2638.625","181.9079","5637"
"2120","1193.771","-2593.804","156.951","5637"
"2121","115.816","3693.517","27.09031","5687"
"2122","148.4688","3971.735","24.06749","5687"
"2123","224.7292","4136.373","33.50014","5687"
"2124","1529.476","3903.992","88.16138","5742"
"2125","1538.925","3725.225","94.06472","5742"
"2133","3541.878","406.632","584.6226","5782"
"2134","3610.833","384.1754","593.1805","5782"
"2135","3537.597","407.8958","586.811","5783"
"2136","3613.028","382.6354","594.1481","5783"
"2137","3606.862","376.151","592.5486","5784"
"2138","3572.941","388.849","579.8386","5784"
"2139","3539.664","396.1945","582.7919","5784"
"2140","3529.358","632.7639","606.8068","5785"
"2141","3584.229","588.5764","614.1552","5785"
"2142","3582.678","590.2101","613.7687","5786"
"2143","3532.17","631.5104","607.0021","5786"
"2144","3537.261","636.8472","607.1211","5787"
"2145","3555.349","619.8333","605.0423","5787"
"2146","3586.638","596.8264","613.7478","5787"
"2147","2716.792","-2302.09","146.0106","5816"
"2148","2790.33","-2215.333","173.1947","5816"
"2149","322.717","-2413.854","48.7314","5820"
"2150","299.875","-2385.401","47.80745","5820"
"2151","412.3767","-2430.363","46.45617","5821"
"2152","452.2153","-2430.722","45.6823","5821"
"2153","28.76215","-2079.844","46.9857","5822"
"2154","-15.98785","-2089.26","45.23206","5822"
"2155","-436.1719","-2078.339","38.25914","5823"
"2156","-494.5243","-2100.049","11.67144","5823"
"2157","1801.691","308.1389","478.9787","5839"
"2158","1812.092","212.191","477.9972","5839"
"2159","3848.616","2790.973","747.2177","5841"
"2160","3874.724","2827.858","753.1529","5841"
"2161","3257.595","-413.4254","50.15154","5890"
"2162","3262.724","-413.342","-1.409273","5890"
"2163","3207.703","-421.2674","74.39194","5892"
"2164","3211.458","-420.434","52.06268","5892"
"2165","3199.888","-448.7118","117.8085","5893"
"2166","3196.826","-429.6181","98.25269","5893"
"2167","3200.117","-426.1528","77.64561","5893"
"2168","3179.102","-449.4774","218.4502","5894"
"2169","3195.292","-447.7361","121.0357","5894"
"2233","7350.9","5557","55.105","5986"
"2234","7350.416","5558.099","30.19978","5986"
"2235","6906.892","5631.515","5.286057","6020"
"2236","6909.828","5627.859","24.5836","6020"
"2237","6888.998","5609.612","5.375956","6021"
"2238","6897.344","5600.662","15.40191","6021"
"2239","6899.754","5598.553","27.87517","6021"
"2240","6861.376","5552.147","12.75036","6024"
"2241","6858.793","5550.473","25.68955","6024"
"2242","6843.657","5536.236","14.82528","6025"
"2243","6845.738","5537.814","24.40637","6025"
"2244","6009.2","5799.1","130","5948"
"2245","6047.97","5785.62","130","5948"
"2246","6078.16","5755.02","130","5948"
"2247","6087.92","5719.23","130","5948"
"2248","5599.799","6232.362","118.1487","6044"
"2249","5466.115","6225.627","118.4421","6044"
"2250","5461.154","6099.222","118.4421","6044"
"2251","5404.799","6064.002","112.0668","6045"
"2252","5388.491","6307.958","112.0668","6045"
"2253","5640.027","6292.873","118.1487","6045"
"2254","6218.543","4586.397","-174.2708","5953"
"2255","6219.51","4583.503","-198.5198","5953"
"2260","1987.48","-4307.21","31.3027","2886"
"2261","1990.071","-4309.118","72.89822","2886"
"2262","1987.48","-4307.21","31.3027","6115"
"2263","1990.071","-4309.118","72.89822","6115"
"2299","-250.1181","-5579.917","190.8564","6202"
"2300","-263.5417","-5576.566","128.6248","6202"
"2313","9637.2","2521.079","1351.04","6218"
"2314","9637.306","2520.75","1334.757","6218"
"2315","9630.008","2526.969","1351.04","6219"
"2316","9630.175","2527.074","1334.951","6219"
"2388","6165.193","5850.087","156.1647","6350"
"2389","6176.104","5817.254","158.9752","6350"
"2397","6757.34","4123.314","92.16351","6366"
"2398","6774.882","4103.549","91.79087","6366"
"2418","6057.209","5039.58","178.633","6354"
"2419","6044.357","5004.101","177.8927","6354"
"2420","6644.457","5823.563","316.9874","6417"
"2421","6611.424","5795.479","315.9505","6417"
"2422","6604.693","5794.27","303.4275","6417"
"2423","6572.182","5784.894","295.6002","6417"
"2424","6561.932","5776.963","159.0513","6417"
"2425","7536.226","4936.511","130.938","6420"
"2426","7570.606","4943.172","126.8957","6420"
"2427","7607.965","4940.241","123.2567","6420"
"2428","7637.454","4971.341","120.9953","6420"
"2429","7674.722","4974.518","119.9159","6420"
"2430","7740.984","4936.196","119.2517","6420"
"2431","6186.873","5288.196","144.3686","6421"
"2432","6219.956","5263.79","143.8134","6421"
"2433","6137.157","5138.074","133.1824","6423"
"2434","6145.976","5057.667","134.426","6423"
"2435","6132.563","5027.75","135.3844","6423"
"2436","6139.503","4963.518","136.5436","6423"
"2437","6120.88","4906.846","146.8588","6423"
"2438","6090.746","4890.859","147.84","6423"
"2440","6232.298","5185.74","108.2324","6424"
"2441","6258.337","5156.305","86.80875","6424"
"2474","-3840.177","-14074.01","214.6159","6498"
"2475","-3871.955","-14063.8","208.6286","6498"
"2476","-3917.026","-14028.48","182.9301","6498"
"2477","-3920.641","-14028.07","172.6889","6498"
"2478","-3924.738","-14016.39","170.7356","6498"
"2479","-3922.587","-14008.19","107.6801","6498"
"2486","-3840.177","-14074.01","214.6159","6500"
"2487","-3871.955","-14063.8","208.6286","6500"
"2488","-3917.026","-14028.48","182.9301","6500"
"2489","-3920.641","-14028.07","172.6889","6500"
"2490","-3924.738","-14016.39","170.7356","6500"
"2491","-3922.587","-14008.19","107.6801","6500"
"2492","-3844.922","-14020.17","215.932","6531"
"2493","-3845.587","-14010.6","208.8385","6531"
"2494","-3879.042","-13968.66","165.659","6531"
"2495","-3896.462","-13960.58","134.1397","6531"
"2496","-3916.726","-13958.55","99.56414","6531"
"2497","-3844.922","-14020.17","215.932","6532"
"2498","-3845.587","-14010.6","208.8385","6532"
"2499","-3879.042","-13968.66","165.659","6532"
"2500","-3896.462","-13960.58","134.1397","6532"
"2501","-3916.726","-13958.55","99.56414","6532"
"2506","-3936.219","-13990.54","107.0325","6498"
"2507","-3934.736","-13993.64","109.2673","6500"
"2508","6827.598","4311.852","119.6342","6621"
"2509","6832.779","4287.518","110.8398","6621"
"2510","6832.692","4278.743","98.81126","6621"
"2511","7750.208","4936.651","115.5608","6420"
"2512","7760.633","4938.428","32.14814","6420"
"2513","7622.007","4899.271","124.0429","6420"
"2514","7604.292","4880.527","128.0983","6420"
"2515","7571.366","4861.67","131.1323","6420"
"2516","7547.97","4876.111","134.0443","6420"
"2517","-10149.15","-1542.47","81.58208","6711"
"2518","-10136.76","-1530.052","41.08765","6711"
"2519","-10149.15","-1542.47","81.58208","6712"
"2520","-10136.76","-1530.052","41.08765","6712"
"2521","-11783.77","-1223.663","127.4237","6755"
"2522","-11785.18","-1241.769","103.3605","6755"
"2523","-11778.54","-1257.606","65.72023","6755"
"2524","-11752.44","-1255.094","62.09744","6755"
"2525","-11750.49","-1238.047","112.5137","6755"
"2526","-11755.69","-1224.885","126.8405","6755"
"2527","6585.836","3462.095","121.896","6773"
"2528","6649.658","3530.649","121.2635","6773"
"2529","-11990.82","-1314.439","161.7736","6782"
"2530","-11984.46","-1312.028","119.3685","6782"
"2531","-11985.96","-1284.035","117.1454","6782"
"2532","-11990.67","-1284.556","150.892","6782"
"2533","-11990.81","-1314.439","161.7222","6782"
"2534","-12107.44","-1611.882","108.8005","6834"
"2535","-12083.54","-1625.783","48.3149","6834"
"2536","-12080.99","-1576.818","50.22362","6834"
"2537","-12104.85","-1582.552","106.8854","6834"
"2538","-12106.93","-1610.111","109.461","6834"
"2539","-12623.39","-1924.095","148.1799","6869"
"2540","-12625.91","-1901","100.683","6869"
"2541","-12644.04","-1895.837","104.5334","6869"
"2542","-12643.35","-1916.339","146.2348","6869"
"2543","-12624.02","-1923.837","147.8548","6869"
"2544","-12877.62","-1746.172","157.3867","6870"
"2545","-12881.6","-1774.663","100.6161","6870"
"2546","-12848.65","-1774.665","99.79942","6870"
"2547","-12857.2","-1751.292","159.4854","6870"
"2548","-12877.34","-1746.299","157.2085","6870"
"2549","-12921.54","-1289.267","147.402","6887"
"2550","-12939.42","-1289.472","102.9995","6887"
"2551","-12940.71","-1323.967","108.0083","6887"
"2552","-12924.1","-1312.825","145.0923","6887"
"2553","-12921.51","-1289.26","147.456","6887"
"2568","-2173.842","-2347.503","162.2318","6918"
"2569","-2184.064","-2375.172","132.9471","6918"
"2570","-2164.549","-2386.488","118.0483","6918"
"2571","-2188.462","-2415.335","79.99125","6918"
"2572","-2118.148","-2416.87","68.58647","6918"
"2573","-2148.087","-2386.445","103.096","6918"
"2574","-2161.392","-2378.052","113.2641","6918"
"2575","-2160.378","-2357.571","150.3473","6918"
"2576","-2174.08","-2347.405","162.4093","6918"
"2586","-4218.212","-1349.767","309.8376","6948"
"2587","-4190.83","-1353.129","236.762","6948"
"2588","-4158.637","-1332.024","230.1483","6948"
"2589","-4128.179","-1334.292","157.5176","6948"
"2594","-4178.066","-1323.559","231.0902","6948"
"2595","-4205.838","-1307.842","247.4847","6948"
