Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3
"100","6622","5905","5906","0"
"101","6623","5935","5936","0"
"102","6624","5932","5933","0"
"103","6625","5938","5939","0"
"104","6626","5923","5924","0"
"105","6627","5929","5930","0"
"106","6628","5926","5927","0"
"107","6629","5969","5970","0"
"108","6630","5959","5960","0"
"109","6631","5962","5963","0"
"110","6632","5965","5966","0"
"111","6633","5984","5985","0"
"112","6634","5981","5982","0"
"113","6635","5987","5988","0"
"114","6636","5972","5973","0"
"115","6637","5975","5976","0"
"116","6638","5978","5979","0"
"117","6639","6002","6003","0"
"118","6640","6006","6007","0"
"119","6641","5999","6000","0"
"120","6642","5993","5994","0"
"121","6643","5990","5991","0"
"122","6644","5996","5997","0"
"123","6645","6031","6032","0"
"124","6646","6028","6029","0"
"125","6647","6034","6035","0"
"126","6648","6019","6020","0"
"127","6649","6025","6026","0"
"128","6650","6022","6023","0"
"129","6651","6056","6057","0"
"130","6652","6059","6060","0"
"131","6653","6063","6064","0"
"132","6654","6015","6016","0"
"133","6655","6012","6013","0"
"134","6656","6009","6010","0"
"135","6657","5953","5954","0"
"136","6658","5950","5951","0"
"137","6659","5956","5957","0"
"138","6660","5944","5945","0"
"139","6661","5947","5948","0"
"140","6662","5941","5942","0"
"141","6663","6053","6054","0"
"142","6664","6047","6048","0"
"143","6665","6050","6051","0"
"144","6666","6043","6044","0"
"145","6667","6037","6038","0"
"146","6668","6040","6041","0"
"147","6702","0","0","0"
"148","6994","0","0","0"
"149","7019","7020","7021","0"
"150","7018","7020","7021","0"
"151","7014","7015","7017","0"
"152","7016","7015","7017","0"
"153","7064","7066","7067","0"
"154","7065","7066","7067","0"
"155","7060","7062","7063","0"
"156","7061","7062","7063","0"
"157","7072","7074","7075","0"
"158","7073","7074","7075","0"
"159","7068","7070","7071","0"
"160","7069","7070","7071","0"
"161","7094","0","7095","0"
"162","7121","0","0","0"
"163","7142","0","0","0"
"164","7155","0","0","0"
"165","7194","0","7195","0"
"166","7214","0","0","0"
"167","7216","0","0","0"
"168","7215","0","0","0"
"170","7218","0","0","0"
"171","7219","0","0","0"
"172","7220","0","0","0"
"173","7221","0","0","0"
"174","7222","0","0","0"
"175","7223","0","0","0"
"176","7224","0","0","0"
"177","7225","0","0","0"
"178","7226","0","0","0"
"179","7227","0","0","0"
"180","7228","0","0","0"
"181","7254","0","0","0"
"182","7516","0","0","0"
"183","8353","0","0","0"
"184","8354","0","0","0"
"185","8355","0","0","0"
"186","8352","0","0","0"
"187","8356","0","0","0"
"188","8475","8475","8475","0"
"189","9725","9726","9727","0"
"190","9728","9726","9727","0"
"191","9730","9729","9731","0"
"192","9732","9729","9731","0"
"193","9734","9733","9735","0"
"194","9736","9733","9735","0"
"195","9738","9737","9739","0"
"196","9740","9737","9739","0"
"197","9742","9741","9743","0"
"198","9744","9741","9743","0"
"199","9746","9745","9747","0"
"200","9748","9745","9747","0"
"201","9750","9749","9751","0"
"202","9752","9749","9751","0"
"203","9754","9753","9755","0"
"204","9756","9753","9755","0"
"205","9758","9757","9759","0"
"206","9760","9757","9759","0"
"207","9762","9761","9763","0"
"208","9764","9761","9763","0"
"209","9766","9765","9767","0"
"210","9768","9765","9767","0"
"211","9770","9769","9771","0"
"212","9772","9769","9771","0"
"213","10095","10095","10095","0"
"214","10146","10147","10148","0"
"215","10149","10147","10148","0"
"216","10150","10151","10152","0"
"217","10153","10151","10152","0"
"218","10699","0","0","0"
"219","10700","0","0","0"
"220","10810","10810","10810","0"
"221","10827","10827","10827","0"
"222","10828","10828","10828","0"
"223","10829","10829","10829","0"
"224","10830","10830","10830","0"
"225","10850","10850","10850","0"
"226","10969","10969","10969","0"
"227","11646","11646","11646","0"
"228","11672","11672","11672","0"
"229","0","0","0","0"
"230","11749","11749","11749","0"
"231","11750","11750","11750","0"
"232","11752","11752","11752","0"
"233","11789","11789","11789","0"
"234","11793","11794","11795","0"
"235","11799","11799","11799","0"
"236","11988","11988","11988","0"
"238","12127","12127","12127","0"
"239","12182","0","12182","0"
"240","12191","12191","12191","0"
"241","12541","12541","12541","0"
"242","13020","13020","13020","0"
"243","13386","13386","13386","0"
"244","13403","13405","13406","0"
"245","13407","13405","13406","0"
"246","13420","13421","13422","0"
"247","13423","13421","13422","0"
"248","13424","13425","13426","0"
"249","13427","13425","13426","0"
"250","13591","13591","13591","0"
"251","13592","13592","13592","0"
"252","13659","13660","13661","0"
"253","13662","13660","13661","0"
"254","13663","13664","13665","0"
"255","13666","13664","13665","0"
"256","13667","13668","13669","0"
"257","13670","13668","13669","0"
"258","13671","13672","13673","0"
"259","13674","13672","13673","0"
"260","13675","13676","13677","0"
"261","13678","13676","13677","0"
"262","13679","13680","13681","0"
"263","13682","13680","13681","0"
"264","13683","13684","0","0"
"265","13796","0","0","0"
"266","13992","13993","13994","0"
"267","14032","0","0","0"
"268","14242","14243","0","0"
"269","14326","0","14328","0"
"270","14335","0","0","0"
"271","14544","14546","14545","0"
"272","14547","14546","14545","0"
"273","14548","14550","14549","0"
"274","14551","14550","14549","0"
"275","14552","14554","14553","0"
"276","14555","14554","14553","0"
"277","14568","14570","14569","0"
"278","14605","14607","14609","0"
"279","14608","14610","14609","0"
"280","14611","14613","14612","0"
"281","14614","14615","14612","0"
"282","14616","14618","14617","0"
"283","14619","14620","14617","0"
"284","14621","14623","14622","0"
"285","14624","14625","14622","0"
"286","14626","14628","14627","0"
"287","14629","14630","14627","0"
"288","14631","14633","14632","0"
"289","14634","14635","14632","0"
"290","14636","14638","14637","0"
"291","14639","14640","14637","0"
"292","14641","14643","14642","0"
"293","14644","14645","14642","0"
"294","14646","14648","14647","0"
"295","14649","14650","14647","0"
"296","14651","14653","14652","0"
"297","14654","14655","14652","0"
"298","14656","14658","14657","0"
"299","14659","14660","14657","0"
"300","14662","14661","13994","0"
"301","14674","14676","14675","0"
"302","14714","14716","14718","0"
"303","14715","14717","14718","0"
"304","14759","14760","14761","0"
"305","14954","14954","14954","0"
"306","14955","14955","14955","0"
"307","15011","15011","15011","0"
"309","15153","15153","15153","0"
"311","15267","15267","15267","0"
"312","15297","15297","15297","0"
"313","15301","15301","15301","0"
"314","15302","15302","15302","0"
"315","15309","15309","15309","0"
"316","15350","15350","15350","0"
"317","15933","15933","15933","0"
"318","15932","15932","15932","0"
"319","26511","0","26516","0"
"320","15987","15987","15987","0"
"321","16105","16110","16115","0"
"322","16462","16462","16462","0"
"323","16475","16475","16475","0"
"324","16476","16476","16476","0"
"325","16479","16479","16479","0"
"326","16481","16481","16481","0"
"327","16482","16482","16482","0"
"328","16490","16490","16490","0"
"329","16494","16494","16494","0"
"330","16862","16863","16864","0"
"331","17210","17210","17210","0"
"332","17336","17336","17336","0"
"333","17335","17335","17335","0"
"334","17637","17637","17637","0"
"335","17776","0","0","0"
"336","17783","0","0","0"
"337","18178","18178","18178","0"
"340","19042","0","0","0"
"341","18273","18272","18681","0"
"342","18682","18272","18681","0"
"343","18679","18677","18681","0"
"344","18703","18684","18776","0"
"345","18704","18702","18776","0"
"346","18705","18684","18776","0"
"347","18275","18274","18763","0"
"348","18742","18735","18763","0"
"349","18768","18274","18763","0"
"350","18786","18784","18788","0"
"351","18787","18785","18788","0"
"352","18789","18784","18788","0"
"353","18793","18791","18795","0"
"354","18794","18792","18795","0"
"355","18796","18791","18795","0"
"356","18806","18804","18808","0"
"357","18807","18805","18808","0"
"358","18809","18804","18808","0"
"360","18812","18810","18814","0"
"361","18813","18811","18814","0"
"362","18817","18815","18819","0"
"363","18818","18816","18819","0"
"364","18822","18820","18824","0"
"365","18823","18821","18824","0"
"366","18828","18826","18829","0"
"368","19077","19075","19078","0"
"369","19081","19079","19083","0"
"370","19082","19080","19083","0"
"371","19076","19074","19078","0"
"372","19403","19391","19408","0"
"373","19405","19401","19408","0"
"374","19410","19391","19408","0"
"375","19425","19421","19430","0"
"376","19427","19424","19430","0"
"377","19432","19421","19430","0"
"378","19369","19367","19371","0"
"379","19370","19368","19371","0"
"380","19372","19367","19371","0"
"381","19444","19436","19449","0"
"382","19447","19442","19449","0"
"383","19451","19436","19449","0"
"384","19376","19374","19380","0"
"385","19377","19375","19380","0"
"386","19384","19374","19380","0"
"387","19454","19452","19456","0"
"388","19455","19453","19456","0"
"389","19458","19452","19456","0"
"390","19563","0","0","0"
"391","19716","0","0","0"
"392","19613","0","0","0"
"393","19632","0","0","0"
"394","19681","0","0","0"
"397","19501","0","0","0"
"409","20428","0","0","0"
"410","20516","0","0","0"
"413","18809","20666","20668","0"
"414","20667","20666","20668","0"
"415","18796","20663","20665","0"
"416","20664","20663","20665","0"
"417","18789","20660","20662","0"
"418","20661","20660","20662","0"
"419","18768","20657","20659","0"
"420","20658","20657","20659","0"
"421","18705","20425","20427","0"
"422","20426","20425","20427","0"
"423","18682","20422","20424","0"
"424","20423","20422","20424","0"
"425","20728","0","0","0"
"426","20759","0","0","0"
"427","20767","0","0","0"
"428","20811","0","0","0"
"429","20920","0","0","0"
"430","20982","0","20981","0"
"431","21076","0","0","0"
"432","21077","0","0","0"
"433","21173","0","0","0"
"434","21264","0","21265","0"
"435","21441","0","0","0"
"436","21585","21581","21587","0"
"437","21567","0","0","0"
"438","21586","0","0","0"
"439","23638","0","21608","0"
"440","21700","0","0","0"
"441","22243","0","22246","0"
"442","22249","0","0","0"
"443","22261","0","20747","0"
"444","22425","0","0","0"
"446","22619","0","0","0"
"447","22617","22618","22617","0"
"448","22705","0","0","0"
"453","23615","0","0","0"
"469","23660","0","23660","0"
"470","23661","0","23661","0"
"471","23659","0","23659","0"
"472","23692","23692","23692","0"
"474","23651","0","23651","0"
"475","23653","0","23653","0"
"476","23654","0","23654","0"
"477","23658","0","23658","0"
"478","23655","0","23655","0"
"479","23656","0","23656","0"
"480","23652","0","23652","0"
"481","23657","0","23657","0"
"482","23690","0","23690","0"
"483","23650","0","23650","0"
"484","23747","0","23747","0"
"486","23756","0","23756","0"
"487","23758","0","23758","0"
"488","23792","0","23794","0"
"489","23799","0","23799","0"
"490","23813","0","0","0"
"491","23814","0","0","0"
"492","23815","0","0","0"
"493","23816","0","0","0"
"494","23817","0","0","0"
"495","23818","0","0","0"
"497","23822","0","0","0"
"498","23823","0","0","0"
"499","23826","0","0","0"
"500","23827","0","23827","0"
"501","23828","0","23828","0"
"502","23834","0","23834","0"
"503","23832","0","23832","0"
"504","23833","0","23833","0"
"507","23859","23860","23861","0"
"508","23865","23865","23865","0"
"512","24107","0","0","0"
"513","24108","0","0","0"
"514","24109","0","0","0"
"515","24110","0","0","0"
"516","24154","24155","0","0"
"521","24633","0","24633","0"
"522","24634","0","24634","0"
"523","24425","0","0","0"
"524","24642","0","0","0"
"527","24895","24895","24895","0"
"529","25026","0","25026","0"
"530","25056","0","25056","0"
"544","25301","25301","25301","0"
"545","25303","25303","25303","0"
"546","25310","25310","25310","0"
"547","25348","25348","25348","0"
"548","25349","25349","25349","0"
"553","25456","25456","25456","0"
"554","25457","0","25457","0"
"555","25458","0","25458","0"
"557","25476","25476","25476","0"
"558","25483","25483","25483","0"
"567","25542","25542","25542","0"
"568","25544","25544","25544","0"
"569","25545","25545","25545","0"
"570","25546","25546","25546","0"
"572","25548","25548","25548","0"
"573","25549","25549","0","0"
"576","25570","25570","25570","0"
"577","25571","25571","25571","0"
"582","25658","0","0","0"
"598","26473","0","26518","0"
"599","26152","0","26517","0"
"600","25965","0","26519","0"
"601","26365","0","26368","0"
"602","26366","0","26369","0"
"603","26367","0","26370","0"
"604","26299","0","0","0"
"605","26423","0","0","0"
"610","26609","26609","26609","0"
"613","26634","26634","26634","0"
"614","26640","26640","26640","0"
"626","26716","26716","26716","0"
"637","27310","0","27342","0"
"638","27407","0","27423","0"
"639","27449","0","27449","0"
"640","27502","27502","27504","0"
"641","27559","27560","27561","0"
"643","30856","30858","30862","0"
"644","27596","27560","27561","0"
"645","27679","27679","27679","0"
"646","27712","27711","27712","0"
"647","27732","27731","27732","0"
"648","27796","0","27806","0"
"649","27848","27848","27848","0"
"650","27970","27969","27971","0"
"651","28118","28118","28123","0"
"652","28124","28125","28124","0"
"653","28170","28171","28172","0"
"654","28463","28465","28464","0"
"655","28467","28466","28468","0"
"656","28475","28474","28476","0"
"657","28478","28477","28479","0"
"658","28480","28474","28479","0"
"659","28481","28477","28479","0"
"660","28501","0","28501","0"
"661","28521","28521","28521","0"
"662","28522","28522","28522","0"
"663","28523","28523","28523","0"
"664","28589","28590","0","0"
"667","29044","29043","29045","0"
"668","29054","29053","29055","0"
"669","29123","0","0","0"
"670","29157","0","29158","0"
"671","29194","29193","29195","0"
"672","29612","29611","0","0"
"673","29632","29631","0","0"
"674","29745","29744","29746","0"
"675","29865","29864","29866","0"
"676","29883","29882","0","0"
"677","30095","30094","30096","0"
"678","30098","30097","0","0"
"679","30212","30211","30213","0"
"680","30296","30297","30298","0"
"681","30364","30365","30367","0"
"683","30541","30540","30542","0"
"684","30614","30613","30615","0"
"685","30684","30683","30685","0"
"686","30724","30723","30725","0"
"687","30818","30817","30819","0"
"688","30853","30851","30852","0"
"689","30917","30916","30918","0"
"690","30860","30858","30862","0"
"691","30925","30924","30926","0"
"692","30923","30924","30926","0"
"694","30932","30936","30938","0"
"696","31028","31027","31029","0"
"697","31046","31045","0","0"
"698","31096","31095","31097","0"
"699","31164","31163","31165","0"
"700","31172","31171","31173","0"
"701","31293","31292","31294","0"
"702","31326","31325","31327","0"
"703","29368","29366","29369","0"
"705","31391","31390","31392","0"
"706","29385","29384","29386","0"
"708","29400","29399","29401","0"
"710","31408","31408","0","0"
"711","31462","31461","31463","0"
"712","31526","31525","31527","0"
"713","31554","31553","0","0"
"714","31613","31616","31614","0"
"715","31615","31616","31614","0"
"716","31612","31609","31611","0"
"717","31610","31609","31611","0"
"718","31595","31598","31596","0"
"719","31597","31598","31596","0"
"720","31625","31622","31624","0"
"721","31623","31622","31624","0"
"722","31629","31626","31628","0"
"723","31627","31626","31628","0"
"724","31636","31635","31637","0"
"725","31639","31638","31640","0"
"726","31651","31650","31652","0"
"727","31653","31650","31652","0"
"728","31660","31659","31661","0"
"729","31662","31659","31661","0"
"730","30937","30936","30938","0"
"731","29387","29384","29386","0"
"732","29402","29399","29401","0"
"733","29370","29366","29369","0"
"734","30366","30365","30367","0"
"735","31683","31682","31684","0"
"736","31685","31682","31684","0"
"737","31913","31912","0","0"
"738","32205","32205","32205","0"
"739","32454","32453","32455","0"
"740","32457","32456","0","0"
"741","32460","32459","0","0"
"742","32561","32560","0","0"
"743","29385","29384","32710","0"
"744","30095","0","30096","0"
"745","32851","32850","32852","0"
"746","33113","0","33113","0"
"747","33114","0","33114","0"
"748","33170","33170","33170","0"
"749","23758","23758","23758","0"
"750","33553","33553","33553","0"
"751","33559","33559","33559","0"
"752","33576","33576","33576","0"
"753","33584","33584","33584","0"
"754","33585","33585","33585","0"
"755","33589","33589","33589","0"
"756","33658","33658","33658","0"
"757","33662","33662","33662","0"
"758","33663","33663","33663","0"
"759","33664","33664","33664","0"
"760","33669","33669","33669","0"
"761","33679","33679","33679","0"
"762","33680","33680","33680","0"
"763","33684","33684","33684","0"
"764","33754","33754","33754","0"
"765","33775","33775","33775","0"
"766","33777","33777","33777","0"
"767","33782","33782","33782","0"
"768","33910","33910","33910","0"
"769","33914","33914","33914","0"
"770","33915","33915","33915","0"
"771","33916","33916","33916","0"
"772","33917","33917","33917","0"
"773","33918","33918","33918","0"
"774","33919","33919","33919","0"
"775","33920","33920","33920","0"
"776","33921","33921","33921","0"
"777","33923","0","0","0"
"778","33925","33925","33925","0"
"779","33929","33929","33929","0"
"780","33930","33930","33930","0"
"781","33931","33931","33931","0"
"782","33968","33968","33968","0"
"783","33970","33970","33970","0"
"784","33981","0","33981","0"
"785","33982","33982","33982","0"
"786","33983","33983","33983","0"
"787","33984","33984","33984","0"
"788","33986","33986","33986","0"
"789","33987","33987","33987","0"
"790","33988","33988","33988","0"
"791","33989","33989","33989","0"
"792","33990","33990","33990","0"
"793","33993","33993","33993","0"
"794","33995","33995","33995","0"
"795","33996","33996","33996","0"
"797","34157","34157","34157","0"
"798","34366","0","0","0"
"799","34425","34427","34426","0"
"800","34451","34451","34451","0"
"801","34502","0","34503","0"
"802","34500","0","0","0"
"803","34501","0","0","0"
"804","34555","0","0","0"
"805","34556","0","0","0"
"806","34611","0","26518","0"
"807","34750","34750","34750","0"
"808","34618","34618","34618","0"
"809","34621","34621","34621","0"
"810","34624","34624","34624","0"
"811","34627","34627","34627","0"
"812","34630","34630","34630","0"
"813","34676","0","0","0"
"814","34282","0","0","0"
"816","34416","0","0","0"
"817","34816","34816","34816","0"
"818","34829","34829","34829","0"
"819","34836","34836","34836","0"
"820","34842","34842","34842","0"
"821","34843","34843","34843","0"
"822","34847","34847","34847","0"
"823","34848","34848","34848","0"
"824","34855","34855","34855","0"
"825","34860","34860","34860","0"
"826","34864","34864","34864","0"
"827","34868","34868","34868","0"
"828","34902","34902","34902","0"
"829","34906","34906","34906","0"
"830","34907","34907","34907","0"
"831","34924","34924","34924","0"
"832","35093","35093","35093","0"
"833","35347","35346","35348","0"
"834","35987","35988","35989","0"
"835","36100","0","0","0"
"837","36103","36103","0","0"
"838","36137","36137","36137","0"
"839","36230","36230","36230","0"
"840","36282","36282","36282","0"
"841","36299","36299","36299","0"
"842","36300","36300","36300","0"
"843","36321","36322","36323","0"
"844","36534","36533","36534","0"
"845","36640","36640","36640","0"
"846","36783","31553","0","0"
"847","36937","0","36937","0"
"848","36965","0","0","0"
"849","37005","5941","5942","0"
"850","37112","37112","37112","0"
"851","37113","0","37113","0"
"852","37468","37468","37468","0"
"853","37506","37506","37506","0"
"854","37507","37507","37507","0"
"855","37508","37508","37508","0"
"856","37509","37509","37509","0"
"857","37513","37513","37513","0"
"858","37514","37514","37514","0"
"859","37563","0","0","0"
"860","37579","37579","37579","0"
"861","37567","0","0","0"
"863","37684","0","0","0"
"864","37957","37957","37957","0"
"865","37959","37959","37959","0"
"866","37965","37965","37965","0"
"867","38966","0","0","0"
"868","38960","0","0","0"
"869","38595","0","0","0"
"870","38583","0","0","0"
"871","38490","0","0","0"
"872","38436","0","0","0"
"873","5988","5987","5988","0"
"874","6035","6034","6035","0"
"875","39162","39162","39162","0"
"876","37721","37721","37721","0"
"877","39302","39302","39302","0"
"878","39327","39327","39327","0"
"879","39328","39328","39328","0"
"880","39523","39523","39523","0"
"881","5924","5924","5924","0"
"882","39543","0","0","0"
"883","39365","39365","39365","0"
"885","39728","0","39728","0"
"886","39769","39769","39769","0"
"887","40235","40235","40235","0"
"888","40287","0","0","0"
"889","40305","40305","40305","0"
"890","40316","40316","40316","0"
"891","40380","40379","40381","0"
"892","40526","40526","40526","0"
"893","41166","41166","41166","0"
"894","43250","43249","0","0"
"895","43301","43300","0","0"
"896","43538","43537","43522","0"
"897","43719","43719","43719","0"
"898","43790","43790","43790","0"
"899","43852","0","0","0"
"900","43942","43942","43942","0"
"901","43965","6019","0","0"
"902","43987","43987","43987","0"
"903","44129","44128","0","0"
"904","44157","44156","0","0"
"905","44159","44158","0","0"
"906","44161","44160","0","0"
"907","44163","44162","0","0"
"908","44355","44355","44355","0"
"909","44413","44412","0","0"
"910","44477","0","0","0"
"911","44484","44483","0","0"
"912","44496","44495","44497","0"
"913","44539","44540","44538","0"
"914","44640","44639","0","0"
"915","44662","0","0","0"
"916","44754","44753","44755","0"
"917","44847","44846","0","0"
"918","45024","45023","45025","0"
"919","45087","45086","45088","0"
"920","45121","45121","45121","0"
"921","45297","45298","45299","0"
"922","45403","45402","0","0"
"923","45681","0","0","0"
"924","45680","45679","0","0"
"925","45822","45823","45821","0"
"926","45900","45899","45901","0"
"927","46055","46054","46056","0"
"928","46177","46176","46178","0"
"929","46236","46235","46237","0"
"930","46317","46316","46318","0"
"931","46414","46413","46415","0"
"932","46475","46474","0","0"
"933","46525","46524","46526","0"
"934","46549","46548","46550","0"
"935","46575","46574","46576","0"
"936","46635","46627","46629","0"
"937","46628","46627","46629","0"
"938","46676","46675","46677","0"
"939","46738","46737","46739","0"
"940","46768","46767","0","0"
"941","46868","0","0","0"
"942","46907","46907","46907","0"
"943","46912","46915","46914","0"
"944","46951","46950","0","0"
"945","47141","47141","47141","0"
"946","47550","47550","47550","0"
"947","47600","47600","47600","0"
"948","47608","47608","47608","0"
"949","47609","47609","47609","0"
"950","47610","47610","47610","0"
"951","47625","47625","47625","0"
"952","47626","47626","47626","0"
"953","47627","47627","47627","0"
"954","47628","47628","47628","0"
"955","47629","47629","47629","0"
"956","47630","47630","47630","0"
"957","47631","47631","47631","0"
"958","47678","47678","47678","0"
"959","47680","47680","47680","0"
"960","47685","47685","47685","0"
"961","47690","47690","47690","0"
"962","47691","47691","47691","0"
"963","47692","47692","47692","0"
"964","48050","0","0","0"
"965","48048","0","0","0"
"966","48049","0","0","0"
"967","48051","0","0","0"
"968","48075","48074","0","0"
"969","48076","48077","0","0"
"970","48245","48245","48245","0"
"971","48497","48497","48497","0"
"972","48875","6034","6035","0"
"973","48876","0","0","0"
"974","48877","5978","5979","0"
"975","48878","5987","0","0"
"976","48880","0","0","0"
"977","49028","49028","0","0"
"978","49015","49015","49015","0"
"979","44413","0","0","0"
"980","44484","0","0","0"
"981","49373","49373","49374","0"
"982","49403","44160","0","0"
"983","49668","49667","49669","0"
"984","49684","0","49684","0"
"985","49797","49797","49797","0"
"986","49803","49803","49803","0"
"987","49810","49810","49810","0"
"988","49815","49815","49815","0"
"989","49818","49818","49818","0"
"990","49828","0","0","0"
"991","50062","50062","50062","0"
"992","50306","0","0","0"
"993","50561","50560","0","0"
"994","44129","0","0","0"
"995","51039","51039","51039","0"
"996","51051","51051","51051","0"
"997","51323","51323","51323","0"
"998","46676","0","46677","0"
"999","51348","51348","51348","0"
"1000","51355","51355","51355","0"
"1001","51360","51360","51360","0"
"1002","51378","51378","51378","0"
"1003","0","6019","0","0"
"1004","51465","51465","51465","0"
"1005","51504","51504","51504","0"
"1006","51551","51549","51552","0"
"1007","51550","51553","51554","0"
"1008","53740","53741","53742","0"
"1009","53899","53899","53899","0"
"1010","54009","54008","0","0"
"1011","54048","54047","54049","0"
"1012","54090","54089","54091","0"
"1013","54100","54099","54101","0"
"1014","54103","54102","0","0"
"1015","54105","54106","54107","0"
"1016","56610","56610","56610","0"
"1017","56763","56764","56765","0"
"1019","56789","56790","56791","0"
"1020","56796","56795","56797","0"
"1021","56804","56803","56805","0"
"1022","56826","56825","56827","0"
"1023","56884","56883","56885","0"
"1024","56901","56900","56902","0"
"1025","56909","56908","56910","0"
"1026","56946","56945","56947","0"
"1027","56964","56963","56965","0"
"1028","57038","57037","57039","0"
"1029","57046","57045","57047","0"
"1030","57068","57067","57069","0"
"1031","57071","57070","57072","0"
"1032","57081","57080","57082","0"
"1033","57084","57083","57085","0"
"1034","57092","57091","57093","0"
"1035","57101","57100","57102","0"
"1036","57117","57116","57118","0"
"1037","57138","57137","57139","0"
"1038","57217","57217","57217","0"
"1039","57649","57648","57650","0"
"1040","57753","57754","57755","0"
"1041","57797","57799","57798","0"
"1042","57827","57826","57828","0"
"1043","57830","57829","57831","0"
"1044","57847","57846","57848","0"
"1045","57869","57868","57870","0"
"1046","57904","57903","57905","0"
"1047","58525","58524","58526","0"
"1048","58941","58940","58942","0"
"1049","59090","59089","0","0"
"1050","59097","59096","59098","0"
"1051","59119","59118","59120","0"
"1052","60217","60216","0","0"
"1053","60219","60218","0","0"
"1054","60731","60730","0","0"
"1055","60765","60764","60766","0"
"1056","60768","60767","0","0"
"1057","60784","60783","60785","0"
"1058","60787","60786","0","0"
"1059","60798","60797","0","0"
"1060","60933","60933","60933","0"
"1061","60972","60971","60973","0"
"1062","60994","60993","60995","0"
"1063","61229","61228","0","0"
"1064","61533","61532","61534","0"
"1065","69098","69097","69099","0"
"1066","69103","69102","0","0"
"1067","69124","69123","0","0"
"1068","69184","69183","0","0"
"1069","71132","71133","71134","0"
"1070","71135","71136","0","0"
"1071","71137","71138","71139","0"
"1072","71145","71146","0","0"
"1073","71158","71157","71159","0"
"1074","71176","71175","0","0"
"1075","71242","71243","0","0"
"1076","70712","70713","70714","0"
"1077","71244","71245","70714","0"
"1078","71328","71329","71330","0"
"1079","71521","71522","71523","0"
"1080","71525","71526","71527","0"
"1081","71537","71538","71539","0"
"1082","71540","71541","71542","0"
"1083","71543","71544","0","0"
"1085","71555","71554","71556","0"
"1086","71562","71563","71564","0"
"1087","71575","71576","71577","0"
"1088","71637","71638","71639","0"
"1089","71644","71645","71647","0"
"1090","71707","71707","71707","0"
"1091","71932","71933","0","0"
"1092","71936","71935","71937","0"
"1093","72051","72052","0","0"
"1094","72092","72093","72094","0"
"1095","72143","72144","0","0"
"1096","72154","72155","0","0"
"1097","72156","72157","72158","0"
"1098","72159","72160","72161","0"
"1099","72162","72163","72164","0"
"1100","72183","72184","72185","0"
"1101","72191","72192","0","0"
"1102","72198","72199","0","0"
"1103","72201","72200","72202","0"
"1104","72204","72203","72205","0"
"1105","72221","72222","72223","0"
"1106","72230","72230","72230","0"
"1107","72243","72244","72245","0"
"1108","72278","72279","0","0"
"1109","72298","72299","72300","0"
"1110","72306","72307","72308","0"
"1111","72314","72315","72316","0"
"1112","72318","72317","72319","0"
"1113","72330","72330","72330","0"
"1114","72381","72382","0","0"
"1115","72388","72389","0","0"
"1116","72390","72391","0","0"
"1117","72444","72444","72444","0"
"1118","72467","72467","72467","0"
"1119","72561","72562","72563","0"
"1120","72569","72570","0","0"
"1121","72582","72583","72584","0"
"1122","72590","72591","72592","0"
"1123","72605","72606","0","0"
"1124","72612","72613","72614","0"
"1125","72620","72621","72622","0"
"1126","72623","72624","0","0"
"1127","72629","72630","72631","0"
