Id,Unknown0,Unknown1_0,Unknown1_1,Unknown2_0,Unknown2_1,Unknown3_0,Unknown3_1,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14_0,Unknown14_1,Unknown14_2
"36","68670","545392672","8","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1272952","0","0"
"37","68670","1090785344","16","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1272953","0","0"
"41","68671","0","0","0","0","0","0","1","1","8","0","0","0","0","0","0","8307","1273145","1273133","0"
"42","68671","0","0","0","0","0","0","1","0","8","0","0","0","0","0","0","8475","1257969","1272942","0"
"43","68671","0","0","0","0","0","0","1","0","512","0","0","0","0","0","0","8475","1270141","1272942","0"
"44","68671","0","0","0","0","0","0","1","1","512","0","0","0","0","0","0","8913","1273140","1273133","0"
"45","68671","0","0","0","0","0","0","2","1","8","0","0","8192","0","0","0","0","1273144","0","0"
"46","68671","0","0","0","0","0","0","2","1","8","0","0","15","0","0","0","0","1273145","0","0"
"47","68671","0","0","0","0","0","0","2","1","8","0","0","96","0","0","0","0","1273146","0","0"
"48","68671","0","0","0","0","0","0","2","1","8","0","0","128","0","0","0","0","1273147","0","0"
"49","68671","0","0","0","0","0","0","2","1","8","0","0","16","0","0","0","0","1273148","0","0"
"54","68671","2181570690","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1273133","0"
"55","68671","68174084","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1273134","0"
"56","68671","136348168","2","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1273135","0"
"57","68671","272696336","4","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1273136","0"
"58","68671","545392672","8","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1273137","0"
"59","68671","1090785344","16","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1273138","0"
"60","68671","2181570690","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1272942","0"
"61","68671","68174084","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1272943","0"
"62","68671","136348168","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1272944","0"
"63","68671","272696336","4","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1272945","0"
"64","68671","545392672","8","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1272946","0"
"65","68671","1090785344","16","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1272947","0"
"66","68671","0","0","0","0","0","0","2","1","512","0","0","129","0","0","0","0","1273139","0","0"
"67","68671","0","0","0","0","0","0","2","1","512","0","0","24","0","0","0","0","1273140","0","0"
"68","68671","0","0","0","0","0","0","2","1","512","0","0","580","0","0","0","0","1273141","0","0"
"69","68671","0","0","0","0","0","0","2","1","512","0","0","34","0","0","0","0","1273142","0","0"
"70","68671","0","0","0","0","0","0","2","1","512","0","0","256","0","0","0","0","1273143","0","0"
