Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5_0,Unknown5_1,Unknown6_0,Unknown6_1,Unknown7,Unknown8
"670","122359","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","42984","93864","0","122338","122340","582","583","0","2"
"671","122362","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","42992","93897","0","122338","122340","582","583","0","2"
"672","122357","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","42951","93876","0","122338","122340","582","583","0","2"
"673","122360","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","42985","93859","0","122338","122340","582","583","0","2"
"674","122377","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","44105","93866","0","122338","122340","582","583","0","2"
"675","122354","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","42948","93853","0","122339","122341","582","583","0","2"
"676","122364","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","44091","93852","0","122339","122341","582","583","0","2"
"677","122366","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","44093","93841","0","122339","122341","582","583","0","2"
"678","122367","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","44094","93850","0","122339","122341","582","583","0","2"
"679","122370","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter","44097","93898","0","122338","122340","582","583","2","2"
"680","122368","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers|n","44095","93849","0","122339","122341","582","583","0","2"
"681","122369","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","44096","93848","0","122339","122341","582","583","2","2"
"682","122361","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers|n","42991","93896","0","122338","122340","582","583","0","2"
"683","122378","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","44107","93861","0","122338","122340","582","583","0","2"
"684","122372","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","44099","93895","0","122338","122340","582","583","0","2"
"685","122373","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","44100","93894","0","122338","122340","582","583","0","2"
"686","122374","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers|n","44101","93886","0","122338","122340","582","583","0","2"
"687","122375","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","44102","93889","0","122338","122340","582","583","0","2"
"688","122371","|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","44098","93899","0","122338","122340","582","583","2","2"
"689","122529","|cFFFFD200World Event:|r Stranglethorn Fishing Tournament|n","0","50255","0","122338","122340","582","583","0","6"
"690","122384","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers|n","48691","93860","0","122338","122340","582","583","0","2"
"691","122382","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","48687","93865","0","122338","122340","582","583","0","2"
"692","122383","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","48689","93863","0","122338","122340","582","583","0","2"
"693","122380","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","48683","93885","0","122338","122340","582","583","0","2"
"694","122381","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","48685","93891","0","122338","122340","582","583","0","2"
"695","122386","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","48718","93846","0","122339","122341","582","583","0","2"
"696","122385","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","48716","93847","0","122339","122341","582","583","0","2"
"697","122379","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers|n","48677","93888","0","122338","122340","582","583","0","2"
"698","122261","|cFFFFD200Vendor: |rGuild Vendors - Capital Cities|n","0","62039","0","122338","122340","582","583","0","2"
"699","122262","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities|n|n","0","62040","0","122338","122340","582","583","0","2"
"700","122260","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","0","62038","0","122338","122340","582","583","0","2"
"701","122255","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","0","62027","0","122338","122340","582","583","0","2"
"702","122251","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","0","62023","0","122338","122340","582","583","0","2"
"703","122252","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","0","62024","0","122338","122340","582","583","0","2"
"704","122253","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","0","62025","0","122338","122340","582","583","0","2"
"705","122254","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","0","62026","0","122338","122340","582","583","0","2"
"706","122245","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","0","61931","0","122338","122340","582","583","0","2"
"707","122256","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","0","62029","0","122338","122340","582","583","0","2"
"708","122249","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities|n","0","61942","0","122338","122340","582","583","0","2"
"709","122250","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","0","61958","0","122338","122340","582","583","0","2"
"710","122248","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","0","61937","0","122338","122340","582","583","0","2"
"711","122246","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities|n","0","61935","0","122338","122340","582","583","0","2"
"712","122247","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities|n","0","61936","0","122338","122340","582","583","0","2"
"713","122263","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","0","69887","0","122338","122340","582","583","0","2"
"714","122264","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","0","69888","0","122338","122340","582","583","0","2"
"715","122387","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","69889","93892","0","122338","122340","582","583","0","2"
"716","122388","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","69890","93893","0","122338","122340","582","583","0","2"
"717","122389","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","69893","93845","0","122339","122341","582","583","0","2"
"718","122266","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","0","69892","0","122338","122340","582","583","0","2"
"719","122392","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","93903","0","0","122338","122340","582","583","0","2"
"720","122396","|cFFFFD200Vendor: |rPaul North|n|cFFFFD200Zone: |rBrawl'gar Arena","92948","93858","0","122339","122341","582","583","0","2"
"721","122390","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","93904","0","0","122338","122340","582","583","0","2"
"722","122530","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","0","93900","0","122338","122340","582","583","2","2"
"723","122391","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","93902","0","0","122338","122340","582","583","0","2"
"724","104399","","0","0","105683","0","0","0","0","1","0"
"725","104400","","0","0","105684","0","0","0","0","1","0"
"726","104401","","0","0","105691","0","0","0","0","1","0"
"727","104402","","0","0","105688","0","0","0","0","1","0"
"728","104403","","0","0","105686","0","0","0","0","1","0"
"729","104404","","0","0","105685","0","0","0","0","1","0"
"730","104405","","0","0","105692","0","0","0","0","1","0"
"731","104406","","0","0","105690","0","0","0","0","1","0"
"732","104407","","0","0","105693","0","0","0","0","1","0"
"733","104408","","0","0","105689","0","0","0","0","1","0"
"734","104409","","0","0","105687","0","0","0","0","1","0"
"735","105670","","0","0","104399","0","0","0","0","1","0"
"736","105671","","0","0","104400","0","0","0","0","1","0"
"737","105672","","0","0","104404","0","0","0","0","1","0"
"738","105673","","0","0","104403","0","0","0","0","1","0"
"739","105674","","0","0","104409","0","0","0","0","1","0"
"740","105675","","0","0","104402","0","0","0","0","1","0"
"741","105676","","0","0","104408","0","0","0","0","1","0"
"742","105677","","0","0","104406","0","0","0","0","1","0"
"743","105678","","0","0","104401","0","0","0","0","1","0"
"744","105679","","0","0","104405","0","0","0","0","1","0"
"745","105680","","0","0","104407","0","0","0","0","1","0"
"746","105683","","0","0","0","0","0","0","0","1","0"
"747","105684","","0","0","0","0","0","0","0","1","0"
"748","105685","","0","0","0","0","0","0","0","1","0"
"749","105686","","0","0","0","0","0","0","0","1","0"
"750","105687","","0","0","0","0","0","0","0","1","0"
"751","105688","","0","0","0","0","0","0","0","1","0"
"752","105689","","0","0","0","0","0","0","0","1","0"
"753","105690","","0","0","0","0","0","0","0","1","0"
"754","105691","","0","0","0","0","0","0","0","1","0"
"755","105692","","0","0","0","0","0","0","0","1","0"
"756","105693","","0","0","0","0","0","0","0","1","0"
"770","122668","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","0","0","0","122338","122340","582","583","0","2"
"771","122667","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","0","0","0","122338","122340","582","583","0","2"
"772","122666","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","0","0","0","122338","122340","582","583","0","2"
"773","122664","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","0","0","0","122338","122340","582","583","0","2"
"774","122663","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","0","0","0","122338","122340","582","583","0","2"
"775","122662","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","0","0","0","122338","122340","582","583","0","2"
"776","127010","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rUndercity - The Rogues' Quarter|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers","0","0","0","122338","122340","582","583","0","2"
"777","127011","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities|n","0","0","0","122338","122340","582","583","0","2"
"778","127012","|cFFFFD200Vendor:|r Guild Vendors - Capital Cities","0","0","0","122338","122340","582","583","0","2"
"779","126948","|cFFFFD200World Event:|r Gurubashi Arena|n","0","0","0","0","0","0","0","0","6"
"780","126949","|cFFFFD200World Event:|r Darkmoon Deathmatch|n","0","0","0","0","0","0","0","0","6"
"781","128173","|cFFFFD200Ghostly Naval Mission:|r The House Always Wins|n","44102","93889","0","122338","122340","582","583","0","0"
"782","128169","|cFFFFD200Ghostly Naval Mission:|r The Wave Mistress|n","44102","93889","0","122338","122340","582","583","0","0"
"783","128172","|cFFFFD200Ghostly Naval Mission:|r For Hate's Sake","44102","93889","0","122338","122340","582","583","0","0"
"784","128318","|cFFFFD200Garrison Mission:|r The Consuming Void|n","42992","0","0","0","0","0","0","0","0"
"785","133585","|cFFFFD200Warlords of Draenor Mythic Dungeon Bosses|r|n|n","0","0","0","0","0","0","0","1","0"
"786","133595","|cFFFFD200Warlords of Draenor Mythic Dungeon Bosses|r|n|n","0","0","0","0","0","0","0","1","0"
"787","133596","|cFFFFD200Warlords of Draenor Mythic Dungeon Bosses|r|n|n","0","0","0","0","0","0","0","1","0"
"788","133597","|cFFFFD200Warlords of Draenor Mythic Dungeon Bosses|r|n|n","0","0","0","0","0","0","0","1","0"
"789","133598","|cFFFFD200Warlords of Draenor Mythic Dungeon Bosses|r|n|n","0","0","0","0","0","0","0","1","0"
"790","140773","|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r650|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r650|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","0","0","0","122339","122341","582","583","0","2"
"792","131733","","0","0","0","0","0","0","0","0","0"
