Id,Unknown0,Unknown1_0,Unknown1_1,Unknown2,Unknown3_0,Unknown3_1,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18
"44","Monastery","1555","8","1","2892.413","-811.2413","<unused> Monastery","","","0","42","0","-1","-1","-1","0","1","2","0","10","0"
"47","RazorfenKraulInstance","1553","8","1","-4459.449","-1660.212","Razorfen Kraul","","","0","188","1","-1","-1","-1","0","1","1","0","10","0"
"48","Blackfathom","1553","8","1","4249.121","748.3871","Blackfathom Deeps","","","719","196","1","-1","-1","-1","0","1","2","0","10","0"
"70","Uldaman","1553","8","1","-6060.182","-2954.997","Uldaman","","","1337","144","0","-1","-1","-1","0","1","2","0","10","0"
"90","GnomeragonInstance","1553","8","1","-5162.662","931.5988","Gnomeregan","","","721","193","0","-1","-1","-1","0","1","2","0","10","0"
"109","SunkenTemple","1553","8","1","-10291.7","-3987.63","Sunken Temple","","","1477","191","0","-1","-1","-1","0","1","2","0","10","0"
"129","RazorfenDowns","1553","8","1","-4662.883","-2535.872","Razorfen Downs","","","0","145","1","-1","-1","-1","0","1","1","0","10","0"
"169","EmeraldDream","1553","8","1","0","0","Emerald Dream","","","0","0","-1","-1","-1","-1","0","2","1","0","40","0"
"189","MonasteryInstances","1553","8","1","2892.235","-811.2637","Scarlet Monastery of Old","","","0","190","0","-1","-1","-1","0","1","1","0","10","0"
"209","TanarisInstance","1553","8","1","-6790.577","-2891.278","Zul'Farrak","","","0","146","1","-1","-1","-1","0","1","1","0","10","0"
"229","BlackRockSpire","1537","8","1","-7522.527","-1233.042","Lower Blackrock Spire","","","1583","189","0","-1","-1","-1","0","1","2","0","10","0"
"230","BlackrockDepths","1553","8","1","-7178.095","-928.6395","Blackrock Depths","","","1584","103","0","-1","-1","-1","0","1","2","0","5","0"
"249","OnyxiaLairInstance","34305","8","1","-4753.313","-3752.421","Onyxia's Lair","","","2159","61","1","-1","-1","-1","0","2","2","0","40","0"
"269","CavernsOfTime","1553","8","1","-8750.827","-4193.513","Opening of the Dark Portal","","","0","212","1","-1","-1","-1","0","1","1","1","5","0"
"289","SchoolofNecromancy","1553","8","1","1274.781","-2552.564","Scholomance OLD","","","0","102","0","-1","-1","-1","0","1","1","0","5","0"
"309","Zul'gurub","525841","8","1","-11916.06","-1224.577","Ancient Zul'Gurub","","","1977","161","0","-1","-1","-1","0","1","1","0","20","0"
"329","Stratholme","1553","8","1","3392.317","-3378.483","Stratholme","","","0","101","0","-1","-1","-1","0","1","1","0","5","0"
"349","Mauradon","1553","8","1","-1432.697","2924.978","Maraudon","","","2100","81","1","-1","-1","-1","0","1","2","0","10","0"
"369","DeeprunTram","1553","0","1","-8349.224","517.348","Deeprun Tram","","","2257","205","0","-1","-1","-1","0","0","2","0","0","0"
"389","OrgrimmarInstance","1553","8","1","1816.756","-4423.372","Ragefire Chasm","","","2437","195","1","-1","-1","-1","0","1","2","0","10","0"
"409","MoltenCore","1553","8","1","-7510.565","-1036.698","Molten Core","","","2717","192","0","-1","-1","-1","0","2","2","0","40","0"
"429","DireMaul","1537","8","1","-3908.03","1130","Dire Maul","","","2557","82","1","-1","-1","-1","0","1","2","0","5","0"
"449","AlliancePVPBarracks","1553","8","1","0","0","Alliance PVP Barracks","","","2918","181","-1","-1","-1","-1","0","0","2","0","0","0"
"450","HordePVPBarracks","1553","8","1","0","0","Horde PVP Barracks","","","2917","182","-1","-1","-1","-1","0","0","2","0","0","0"
"451","development","134219359","0","1","0","0","Development Land","","","0","21","-1","-1","-1","-1","0","0","1","3","0","0"
"469","BlackwingLair","1553","8","1","-7663.413","-1218.667","Blackwing Lair","","","2677","141","0","-1","-1","-1","0","2","1","0","40","0"
"489","PVPZone03","1553","0","1","0","0","Warsong Gulch","A valley Bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and Alliance.

As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","A valley Bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and Alliance.

As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","3277","122","-1","-1","-1","-1","0","3","1","0","0","0"
"509","AhnQiraj","1553","8","1","-8114.464","1526.366","Ruins of Ahn'Qiraj","","","3429","184","1","-1","-1","-1","0","2","1","0","20","0"
"529","PVPZone04","1553","0","1.25","0","0","Arathi Basin","The Arathi Basin is one of the main staging points of war between the humans and the Forsaken in Azeroth.

Arathi Basin is a 15 vs 15 domination battleground, where each side attempts to control the Stables, Blacksmith, Mine, Lumbermill and Farm for as long as possible.

The Defilers' elite troopers seek to sever the vital connection between the humans and their dwarven allies to the south.

Meanwhile, the League of Arathor seek to reclaim lost lands for their benefactors in Stormwind.","The Arathi Basin is one of the main staging points of war between the humans and the Forsaken in Azeroth.

Arathi Basin is a 15 vs 15 domination battleground, where each side attempts to control the Stables, Blacksmith, Mine, Lumbermill and Farm for as long as possible.

The League of Arathor seek to reclaim lost lands for their benefactors in Stormwind.

Meanwhile, the Defilers' elite troopers seek to sever the vital connection between the humans and their dwarven allies to the south.","3358","183","-1","-1","-1","-1","0","3","1","0","0","0"
"530","Expansion01","16778769","8","1","0","0","Outland","","","0","198","-1","-1","-1","-1","0","0","1","1","0","0"
"531","AhnQirajTemple","1553","8","1","-8111.724","1526.786","Ahn'Qiraj Temple","","","3428","185","1","-1","-1","-1","0","2","1","0","40","0"
"532","Karazahn","1553","8","1","-11110.41","-2004.065","Karazhan","","","3457","200","0","-1","-1","-1","0","2","1","1","10","0"
"533","Stratholme Raid","34321","8","1","0","0","Naxxramas","","","3456","197","-1","-1","-1","-1","0","2","1","2","25","0"
"534","HyjalPast","1553","8","1","-8178.508","-4182.05","The Battle for Mount Hyjal","","","616","212","1","-1","-1","-1","0","2","1","1","25","0"
"540","HellfireMilitary","1553","8","1","-306.7582","3064.436","Hellfire Citadel: The Shattered Halls","","","3714","199","530","-1","-1","-1","0","1","2","1","5","0"
"542","HellfireDemon","1553","8","1","-295.4193","3151.993","Hellfire Citadel: The Blood Furnace","","","3713","199","530","-1","-1","-1","0","1","2","1","5","0"
"543","HellfireRampart","67089","8","1","-360.0499","3067.896","Hellfire Citadel: Ramparts","","","3562","199","530","-1","-1","-1","0","1","1","1","5","0"
"544","HellfireRaid","1553","8","1","-330.2339","3106.636","Magtheridon's Lair","","","3836","208","530","-1","-1","-1","0","2","2","1","25","0"
"545","CoilfangPumping","1553","8","1","764.2191","6915.08","Coilfang: The Steamvault","","","3715","207","530","-1","-1","-1","0","1","2","1","5","0"
"546","CoilfangMarsh","1553","8","1","764.6282","6768.073","Coilfang: The Underbog","","","3716","207","530","-1","-1","-1","0","1","2","1","5","0"
"547","CoilfangDraenei","1553","8","1","742.1582","7011.327","Coilfang: The Slave Pens","","","3717","207","530","-1","-1","-1","0","1","2","1","5","0"
"548","CoilfangRaid","1553","8","1","775.7864","6865.243","Coilfang: Serpentshrine Cavern","","","3607","207","530","-1","-1","-1","0","2","2","1","25","0"
"550","TempestKeepRaid","1553","8","1","0","0","Tempest Keep","","","3845","206","-1","-1","-1","-1","0","2","2","1","25","0"
"552","TempestKeepArcane","1553","8","1","0","0","Tempest Keep: The Arcatraz","","","3848","206","-1","-1","-1","-1","0","1","2","1","5","0"
"553","TempestKeepAtrium","1553","8","1","0","0","Tempest Keep: The Botanica","","","3847","206","-1","-1","-1","-1","0","1","2","1","5","0"
"554","TempestKeepFactory","1553","8","1","0","0","Tempest Keep: The Mechanar","","","3849","206","-1","-1","-1","-1","0","1","2","1","5","0"
"555","AuchindounShadow","1553","8","1","-3640.688","4943.163","Auchindoun: Shadow Labyrinth","","","3789","201","530","-1","-1","-1","0","1","2","1","5","0"
"556","AuchindounDemon","1553","8","1","-3361.863","4665.592","Auchindoun: Sethekk Halls","","","3791","201","530","-1","-1","-1","0","1","2","1","5","0"
"557","AuchindounEthereal","1553","8","1","-3089.516","4942.756","Auchindoun: Mana-Tombs","","","3792","201","530","-1","-1","-1","0","1","2","1","5","0"
"558","AuchindounDraenei","1553","8","1","-3363.44","5156.455","Auchindoun: Auchenai Crypts","","","3790","201","530","-1","-1","-1","0","1","2","1","5","0"
"559","PVPZone05","1553","8","1","0","0","Nagrand Arena","","","0","219","-1","-1","-1","-1","0","4","1","0","0","0"
"560","HillsbradPast","9745","8","1","-8309.81","-4061.509","The Escape from Durnholde","","","267","212","1","-1","-1","-1","0","1","1","1","5","0"
"562","bladesedgearena","1553","8","1","0","0","Blade's Edge Arena","","","3702","218","-1","-1","-1","-1","0","4","1","0","0","0"
"564","BlackTemple","1553","8","1","-3644.527","317.2937","Black Temple","","","0","215","530","-1","-1","-1","0","2","1","1","25","0"
"565","GruulsLair","1553","8","1","3525.453","5144.151","Gruul's Lair","","","3923","213","530","-1","-1","-1","0","2","2","1","25","0"
"566","NetherstormBG","1553","8","1","0","0","Eye of the Storm","Hovering high above the ravaged landscape of Netherstorm is the island known as the Eye of the Storm.

Eye of the Storm is a 15 vs 15 domination battleground, where each side attempts to control the Mage Tower, Fel Reaver Ruins, Blood Elf Tower, and Draenei Ruins for as long as possible.

This battlefield is coveted by the blood elves for its rich energy deposits.

The draenei seek to claim it due to its proximity to the naaru's mysterious vessel, Tempest Keep.","Hovering high above the ravaged landscape of Netherstorm is the island known as the Eye of the Storm.

Eye of the Storm is a 15 vs 15 domination battleground, where each side attempts to control the Mage Tower, Fel Reaver Ruins, Blood Elf Tower, and Draenei Ruins for as long as possible.

The draenei seek to claim it due to its proximity to the naaru's mysterious vessel, Tempest Keep.

This battlefield is coveted by the blood elves for its rich energy deposits.","0","210","-1","-1","-1","-1","0","3","1","0","0","0"
"568","ZulAman","1553","8","1","6851.021","-7989.713","Zul'Aman","","","0","276","530","-1","-1","-1","0","1","1","3","10","0"
"571","Northrend","16786973","24","1","0","0","Northrend","","","0","216","-1","-1","-1","-1","0","0","1","2","0","0"
"572","PVPLordaeron","1553","8","1","0","0","Ruins of Lordaeron","","","0","217","-1","-1","-1","-1","0","4","1","0","0","0"
"573","ExteriorTest","1567","8","1","0","0","ExteriorTest","","","0","0","-1","-1","-1","-1","0","0","1","2","0","0"
"574","Valgarde70","9757","8","1","1211.759","-4868.422","Utgarde Keep","","","0","220","571","-1","-1","-1","0","1","1","2","5","0"
"575","UtgardePinnacle","67101","8","1","1232.41","-4860.954","Utgarde Pinnacle","","","0","221","571","-1","-1","-1","0","1","1","2","5","0"
"576","Nexus70","1553","8","1","3899.926","6985.436","The Nexus","","","4265","226","571","-1","-1","-1","0","1","2","2","5","0"
"578","Nexus80","1565","8","1","3865.923","6983.94","The Oculus","","","0","227","571","-1","-1","-1","0","1","1","2","5","0"
"580","SunwellPlateau","1553","8","1","12551.76","-6774.565","The Sunwell","","","0","225","530","-1","-1","-1","0","2","1","1","25","0"
"582","Transport176244","1553","8","1","0","0","Transport: Rut'theran to Auberdine","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"584","Transport176231","1553","8","1","0","0","Transport: Menethil to Theramore","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"585","Sunwell5ManFix","67101","8","1","12881.9","-7343.095","Magister's Terrace","","","0","224","530","-1","-1","-1","0","1","1","1","5","0"
"586","Transport181645","1553","8","1","0","0","Transport: Exodar to Auberdine","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"587","Transport177233","1553","8","1","0","0","Transport: Feathermoon Ferry","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"588","Transport176310","1553","8","1","0","0","Transport: Menethil to Auberdine","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"589","Transport175080","1553","8","1","0","0","Transport: Orgrimmar to Grom'Gol","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"590","Transport176495","1553","8","1","0","0","Transport: Grom'Gol to Undercity","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"591","Transport164871","1553","8","1","0","0","Transport: Undercity to Orgrimmar","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"592","Transport186238","1553","8","1","0","0","Transport: Borean Tundra Test","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"593","Transport20808","1553","8","1","0","0","Transport: Booty Bay to Ratchet","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"594","Transport187038","1553","8","1","0","0","Transport: Howling Fjord Sister Mercy (Quest)","","","0","0","-1","-1","-1","-1","0","0","3","2","0","0"
"595","StratholmeCOT","1553","8","1","-8756.087","-4457.418","The Culling of Stratholme","","","0","222","1","-1","-1","-1","0","1","1","2","5","0"
"596","Transport187263","1553","8","1","0","0","Transport: Naglfar","","","0","0","-1","-1","-1","-1","0","0","3","2","0","0"
"597","CraigTest","1759","8","1","0","0","Craig Test","","","0","0","-1","-1","-1","-1","0","0","1","0","0","0"
"598","Sunwell5Man","1555","8","1","0","0","Sunwell Fix (Unused)","","","0","4","-1","-1","-1","-1","0","1","2","1","5","0"
"599","Ulduar70","1565","8","1","8921.793","-966.8065","Halls of Stone","","","0","230","571","-1","-1","-1","0","1","1","2","5","0"
"600","DrakTheronKeep","1565","8","1","4774.583","-2023.049","Drak'Tharon Keep","","","0","228","571","-1","-1","-1","0","1","1","2","5","0"
"601","Azjol_Uppercity","1565","8","1","3672.215","2171.275","Azjol-Nerub","","","0","229","571","-1","-1","-1","0","1","1","2","5","0"
"602","Ulduar80","1565","8","1","9185.088","-1386.791","Halls of Lightning","","","0","231","571","-1","-1","-1","0","1","1","2","5","0"
"603","UlduarRaid","34333","8","1","9359.371","-1115.175","Ulduar","","","0","244","571","0","-1","-1","0","2","1","2","5","0"
"604","GunDrak","1565","8","1","6708.731","-4654.904","Gundrak","","","0","237","571","-1","-1","-1","0","1","1","2","5","0"
"605","development_nonweighted","1555","8","1","0","0","Development Land (non-weighted textures)","","","0","21","-1","-1","-1","-1","0","2","1","0","0","0"
"606","QA_DVD","1567","8","1","0","0","QA and DVD","","","0","21","-1","-1","-1","-1","0","0","1","2","0","0"
"607","NorthrendBG","1565","8","1","0","0","Strand of the Ancients","To the south of Dragonblight lies the resting place of a legendary Titan artifact known by the Alliance and Horde to possess critical information regarding the Titans and their methods.

Strand of the Ancients is a 15 vs 15 battleground, where each side takes a turn attacking and defending the Titan artifact at the southern tip of the island.


Prepare yourself for battle, for fate cannot determine success upon this Strand of the Ancients.","To the south of Dragonblight lies the resting place of a legendary Titan artifact known by the Alliance and Horde to possess critical information regarding the Titans and their methods.

Strand of the Ancients is a 15 vs 15 battleground, where each side takes a turn attacking and defending the Titan artifact at the southern tip of the island.


Prepare yourself for battle, for fate cannot determine success upon this Strand of the Ancients.","0","238","-1","-1","-1","-1","0","3","1","0","0","0"
"608","DalaranPrison","1565","8","1","5689.49","498.0469","Violet Hold","","","0","235","571","-1","-1","-1","0","1","1","2","5","0"
"609","DeathKnightStart","67101","8","1","0","0","Ebon Hold","","","0","233","-1","-1","-1","-1","0","0","1","2","0","0"
"610","Transport_Tirisfal _Vengeance_Landing","1553","8","1","0","0","Transport: Tirisfal to Vengeance Landing","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"612","Transport_Menethil_Valgarde","1553","8","1","0","0","Transport: Menethil to Valgarde","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"613","Transport_Orgrimmar_Warsong_Hold","1553","8","1","0","0","Transport: Orgrimmar to Warsong Hold","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"614","Transport_Stormwind_Valiance_Keep","1553","8","1","0","0","Transport: Stormwind to Valiance Keep","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"615","ChamberOfAspectsBlack","34333","8","1","3438.153","260.4013","The Obsidian Sanctum","","","0","239","571","-1","-1","-1","0","2","1","2","0","0"
"616","NexusRaid","34333","8","1","3869.981","6984.33","The Eye of Eternity","","","0","236","571","-1","-1","-1","0","2","1","2","5","0"
"617","DalaranArena","1565","8","1","0","0","Dalaran Sewers","","","0","242","-1","0","-1","-1","0","4","1","0","0","0"
"618","OrgrimmarArena","4195869","8","1","0","0","The Ring of Valor","","","0","240","-1","720","-1","-1","0","4","1","0","0","0"
"619","Azjol_LowerCity","1565","8","1","3641.458","2032.064","Ahn'kahet: The Old Kingdom","","","0","234","571","-1","-1","-1","0","1","1","2","0","0"
"620","Transport_Moa'ki_Unu'pe","1553","8","1","0","0","Transport: Moa'ki to Unu'pe","","","0","0","-1","-1","-1","-1","0","0","3","2","0","0"
"621","Transport_Moa'ki_Kamagua","1553","8","1","0","0","Transport: Moa'ki to Kamagua","","","0","0","-1","-1","-1","-1","0","0","3","2","0","0"
"622","Transport192241","1553","8","1","0","0","Transport: Orgrim's Hammer","","","0","0","-1","-1","-1","-1","0","0","3","2","0","0"
"623","Transport192242","1553","8","1","0","0","Transport: The Skybreaker","","","0","0","-1","-1","-1","-1","0","0","3","2","0","0"
"624","WintergraspRaid","34365","8","1","5488.125","2840.334","Vault of Archavon","","","0","243","571","-1","-1","-1","0","2","1","2","0","0"
"627","unused","1567","8","1","0","0","unused","","","0","0","-1","-1","-1","-1","0","1","1","2","0","0"
"628","IsleofConquest","1565","8","1","0","0","Isle of Conquest","The Isle of Conquest is a point of strategic importance for the Alliance and Horde campaigns in Northrend, each side determined to secure control of the island.

As a large-scale battleground, each side attempts to wrest control of the Siege Factory, Docks, or Hangar in order to secure access to the enemy stronghold and defeat its general (Halford Wyrmbane or Overlord Agmar).","The Isle of Conquest is a point of strategic importance for the Alliance and Horde campaigns in Northrend, each side determined to secure control of the island.

As a large-scale battleground, each side attempts to wrest control of the Siege Factory, Docks, or Hangar in order to secure access to the enemy stronghold and defeat its general (Halford Wyrmbane or Overlord Agmar).","0","245","-1","-1","-1","-1","0","3","1","2","0","0"
"631","IcecrownCitadel","34589","8","1","5776.922","2065.932","Icecrown Citadel","","","0","250","571","-1","-1","-1","0","2","1","2","0","0"
"632","IcecrownCitadel5Man","1565","8","1","5670.792","2003.629","The Forge of Souls","","","0","249","571","-1","-1","-1","0","1","1","2","0","0"
"637","AbyssalMaw","1565","8","1","0","0","Abyssal Maw Exterior","","","0","23","-1","-1","-1","-1","0","1","1","3","0","0"
"638","Gilneas","1629","12","1","0","0","Gilneas","","","0","4","-1","-1","654","-1","0","0","1","0","0","0"
"641","Transport_AllianceAirshipBG","1553","8","1","0","0","Transport: Alliance Airship BG","","","0","0","-1","-1","-1","-1","0","0","3","2","0","0"
"642","Transport_HordeAirshipBG","1553","8","1","0","0","Transport: HordeAirshipBG","","","0","0","-1","-1","-1","-1","0","0","3","2","0","0"
"643","AbyssalMaw_Interior","17949","8","1","-5585.872","5401.649","Throne of the Tides","","","0","255","0","-1","-1","-1","0","1","1","3","0","0"
"644","Uldum","1565","8","1","-10226","-1837.479","Halls of Origination","","","0","256","1","1080","-1","-1","0","1","1","3","0","0"
"645","BlackRockSpire_4_0","1565","8","1","-7570.245","-1330.684","Blackrock Caverns","","","0","267","0","-1","-1","-1","0","1","1","3","0","0"
"646","Deephome","1629","8200","1","0","0","Deepholm","","","0","268","-1","-1","-1","-1","0","0","1","3","0","0"
"647","Transport_Orgrimmar_to_Thunderbluff","1553","8","1","0","0","Transport: Orgrimmar to Thunder Bluff","","","0","0","-1","-1","-1","-1","0","0","3","2","0","0"
"648","LostIsles","271965","12","1","0","0","LostIsles","","","0","3","-1","-1","-1","-1","0","0","1","0","0","0"
"649","ArgentTournamentRaid","34589","8","1","8515.286","736.1371","Trial of the Crusader","","","0","246","571","-1","-1","-1","0","2","1","2","0","0"
"650","ArgentTournamentDungeon","1565","8","1","8571.435","792.2205","Trial of the Champion","","","0","247","571","-1","-1","-1","0","1","1","2","0","0"
"651","ElevatorSpawnTest","1555","8","1","0","0","ElevatorSpawnTest","","","0","0","-1","-1","-1","-1","0","0","3","0","0","0"
"654","Gilneas2","263709","12","1","0","0","Gilneas2","","","0","4","-1","-1","-1","-1","0","0","1","0","0","0"
"655","GilneasPhase1","1629","12","1","0","0","GilneasPhase1","","","0","0","-1","-1","654","-1","0","0","1","0","0","0"
"656","GilneasPhase2","1629","12","1","0","0","GilneasPhase2","","","0","0","-1","-1","654","-1","0","0","1","0","0","0"
"657","SkywallDungeon","1565","8","1","-11522.49","-2317.934","The Vortex Pinnacle","","","0","259","1","-1","-1","-1","0","1","1","3","0","0"
"658","QuarryofTears","1565","8","1","5592.057","2010.271","Pit of Saron","","","0","252","571","-1","-1","-1","0","1","1","2","0","0"
"659","LostIslesPhase1","1565","12","1","0","0","Lost Isles Volcano Eruption","","","0","3","-1","-1","648","-1","0","0","1","0","0","0"
"660","Deephomeceiling","1695","8","1","0","0","Deephome Ceiling","","","0","0","-1","-1","-1","-1","0","0","1","3","0","0"
"661","LostIslesPhase2","1565","12","1","0","0","Lost Isles Town in a Box","","","0","0","-1","-1","648","-1","0","0","1","0","0","0"
"662","Transport197195","1553","8","1","0","0","Transport: Alliance Vashj'ir Ship","","","0","0","-1","-1","-1","-1","0","0","3","3","0","0"
"668","HallsOfReflection","1565","8","1","5628.875","1973.286","Halls of Reflection","","","0","253","571","-1","-1","-1","0","1","1","2","0","0"
"669","BlackwingDescent","34589","8","1","-7541.768","-1188.832","Blackwing Descent","","","0","260","0","-1","-1","-1","0","2","1","3","0","0"
"670","GrimBatolDungeon","1565","8","1","-4047.74","-3446.35","Grim Batol","","","0","257","0","-1","-1","-1","0","1","1","3","0","0"
"671","GrimBatolRaid","34589","8","1","-4903.01","-4221.21","The Bastion of Twilight","","","0","266","0","-1","-1","-1","0","2","1","3","0","0"
"672","Transport197347","1553","8","1","0","0","Transport: The Skybreaker (Icecrown Citadel Raid)","","","0","0","-1","-1","-1","-1","0","0","3","2","0","0"
"673","Transport197348","1553","8","1","0","0","Transport: Orgrim's Hammer (Icecrown Citadel Raid)","","","0","0","-1","-1","-1","-1","0","0","3","2","0","0"
"674","Transport197349-2","1553","8","1","0","0","Transport: Ship to Vashj'ir","","","0","0","-1","-1","-1","-1","0","0","3","3","0","0"
"712","Transport197349","1553","8","1","0","0","Transport: The Skybreaker (IC Dungeon)","","","0","0","-1","-1","-1","-1","0","0","3","2","0","0"
"713","Transport197350","1553","8","1","0","0","Transport: Orgrim's Hammer (IC Dungeon)","","","0","0","-1","-1","-1","-1","0","0","3","2","0","0"
"718","Transport201834","1537","8","1","0","0","Trasnport: The Mighty Wind (Icecrown Citadel Raid)","","","0","0","-1","-1","-1","-1","0","0","3","2","0","0"
"719","MountHyjalPhase1","132701","24","1","0","0","Mount Hyjal Phase 1","","","0","3","-1","-1","1","-1","0","0","1","0","0","0"
"720","Firelands1","2131741","24","1","3987.2","-2943.32","Firelands","","","0","275","1","720","-1","-1","0","2","1","3","0","0"
"721","Firelands2","1693","24","1","0","0","Firelands Terrain 2","","","0","0","-1","720","-1","-1","0","1","1","3","0","0"
"723","Stormwind","1565","8","1","0","0","Stormwind","","","0","0","-1","-1","-1","-1","0","0","1","0","0","0"
"724","ChamberofAspectsRed","34589","8","1","3608.129","186.8021","The Ruby Sanctum","","","0","254","571","-1","-1","-1","0","2","1","2","0","0"
"725","DeepholmeDungeon","1565","8","1","1031.908","610.2969","The Stonecore","","","0","258","646","-1","-1","-1","0","1","1","3","0","0"
"726","CataclysmCTF","1629","8","1","0","0","Twin Peaks","Nestled in the Twilight Highlands, Twin Peaks has flared as a point of contention between the Alliance and Horde.

As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious.

Lend your strength as both factions struggle to take control of this critical high ground!","Nestled in the Twilight Highlands, Twin Peaks has flared as a point of contention between the Alliance and Horde.

As a 10 vs 10 capture-the-flag battleground, the first faction to capture three flags is victorious.

Lend your strength as both factions struggle to take control of this critical high ground!","0","262","-1","-1","-1","-1","0","3","1","3","0","0"
"727","STV_Mine_BG","1565","8","1","0","0","Silvershard Mines","This battleground takes place underneath Stranglethorn Vale in a Venture Co. goblin mine.

Silvershard Mines is a 10 vs 10 escort battleground, in which each side attempts to control diamond carts until they reach the mine depot.","This battleground takes place underneath Stranglethorn Vale in a Venture Co. goblin mine.

Silvershard Mines is a 10 vs 10 escort battleground, in which each side attempts to control diamond carts until they reach the mine depot.","0","317","-1","-1","-1","-1","0","3","1","4","0","0"
"728","TheBattleforGilneas","1567","8","1","0","0","The Battle for Gilneas (Old City Map)","Located in the heart of Gilnean peninsula, the capital city is of vital strategic importance to the Horde's operations the Eastern Kingdoms.

Long seen by the Forsaken as a natural expansion to their dominion, Sylvanas Windrunner's armies are ready to defend their most recent conquest at all costs.","Driven from their homelands by the Forsaken, Gilneans continue to view this city as their nation's rightful capital.

After regrouping in Alliance territories, the people of Gilneas have rallied around King Greymane's call to arms and are ready to retake Gilneas City with the support of their new allies.","0","261","-1","-1","-1","-1","0","1","1","3","0","0"
"730","MaelstromZone","1629","8","1","0","0","Maelstrom Zone","","","0","272","-1","-1","-1","-1","0","0","1","3","0","0"
"731","DesolaceBomb","1629","24","1","0","0","Stonetalon Bomb","","","0","3","-1","-1","1","-1","0","0","1","0","0","0"
"732","TolBarad","9821","8","1","0","0","Tol Barad","","","0","265","-1","-1","-1","-1","0","0","1","3","0","0"
