Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1,Unknown2_0,Unknown2_1,Unknown3_0,Unknown3_1,Unknown4,Unknown5,Unknown6,Unknown7
"51","0","0","0","Transport, Auberdine","0","0","0","0","0","0","0","0"
"52","6796.8","-4742.39","701.5","Everlook, Winterspring","0","3837","0","-0.01","1","0","52","1"
"53","6813.06","-4611.12","710.67","Everlook, Winterspring","2224","0","0","-0.009","1","0","53","2"
"54","-4203.87","3284","-12.86","Transport, Feathermoon","0","0","0","0","1","0","0","0"
"55","-3147.39","-2842.18","34.61","Brackenwall Village, Dustwallow Marsh","2224","0","-0.006","0","1","0","55","2"
"56","-10457","-3279.25","21.35","Stonard, Swamp of Sorrows","2224","0","-0.008","0","0","0","56","2"
"57","8701.51","991.37","14.21","Fishing Village, Teldrassil","0","3837","0","0","1","0","0","0"
"58","3351.82","1052.3","3.07","Zoram'gar Outpost, Ashenvale","2224","0","-0.008","-0.009","1","0","58","2"
"59","574.21","-46.65","37.61","Dun Baldar, Alterac Valley","0","541","0","0","30","0","0","0"
"60","-1335.44","-319.69","90.66","Frostwolf Keep, Alterac Valley","3574","0","0","0","30","0","0","0"
"61","2302.39","-2524.55","104.4","Splintertree Post, Ashenvale","2224","0","0","-0.012","1","0","61","2"
"62","7793.61","-2403.47","489.32","Nighthaven, Moonglade","0","3837","0","0","1","0","0","1"
"63","7787.72","-2404.1","489.56","Nighthaven, Moonglade","2224","0","0","0","1","0","0","2"
"64","2721.99","-3880.64","100.87","Talrendis Point, Azshara (NEVER in 4.x)","0","3837","0","0","1","5793","64","0"
"65","6214.32","-1874.28","565.956","Talonbranch Glade, Felwood","0","3837","0.004","0","1","0","65","1"
"66","931.32","-1430.11","64.67","Chillwind Camp, Western Plaguelands","0","541","-0.007","0.015","0","0","66","1"
"67","2271.09","-5340.8","87.11","Light's Hope Chapel, Eastern Plaguelands","0","44248","0","0","0","924","67","1"
"68","2270.2","-5343.11","86.9733","Light's Hope Chapel, Eastern Plaguelands","44248","0","-0.008","-0.005","0","923","68","2"
"69","7470.39","-2123.38","492.34","Moonglade","2224","0","0","0","1","0","69","2"
"70","-7504.03","-2187.54","165.53","Flame Crest, Burning Steppes","2224","0","0.015","0","0","0","70","2"
"71","-8364.61","-2738.35","185.46","Morgan's Vigil, Burning Steppes","0","541","0","0","0","0","71","1"
"72","-6811.39","836.74","49.81","Cenarion Hold, Silithus","2224","0","0","0","1","0","72","2"
"73","-6761.83","772.03","88.91","Cenarion Hold, Silithus","0","3837","0","-0.005","1","0","73","1"
"74","-6552.59","-1168.27","309.31","Thorium Point, Searing Gorge","0","541","-0.004","0.027","0","0","74","1"
"75","-6554.93","-1100.05","309.57","Thorium Point, Searing Gorge","2224","0","0.027","0.027","0","0","75","2"
"76","-635.26","-4720.5","5.38","Revantusk Village, The Hinterlands","2224","0","-0.007","0.007","0","0","76","2"
"77","-2152.35","-1724.34","92.528","Vendetta Point, Southern Barrens","2224","0","0.02","0","1","0","227","2"
"78","3133.31","-3399.93","139.53","Naxxramas","0","0","0","0","0","0","0","0"
"79","-7548.05","-1541.13","-271.05","Marshal's Stand, Un'Goro Crater","2224","541","-0.003","0.01","1","0","79","3"
"80","-894.59","-3773.01","11.48","Ratchet, Northern Barrens","2224","541","-0.00598802","-0.0145349","1","0","80","3"
"81","0","0","0","Filming","0","0","0","0","530","0","0","0"
"82","9375.24","-7165.89","9.03","Silvermoon City","19917","0","0","0","530","0","82","6"
"83","7594.47","-6784.29","86.46","Tranquillien, Ghostlands","19917","0","0.006","0","530","0","83","2"
"84","2965.55","-3033.61","126.929","Plaguewood Tower, Eastern Plaguelands","44248","44248","0","-0.015","0","0","154","3"
"85","3134.26","-4354.78","133.463","Northpass Tower, Eastern Plaguelands","44248","44248","0","0","0","0","153","3"
"86","2524.44","-4769.56","104.087","Eastwall Tower, Eastern Plaguelands","44248","44248","0.014","0.01","0","0","147","3"
"87","1876.4","-3693.32","157.687","Crown Guard Tower, Eastern Plaguelands","44248","44248","0.017","-0.012","0","0","152","3"
"88","-4284.01","-11194.74","13.01","Transport, Exodar","0","0","0","0","530","0","0","0"
"89","0","0","0","Transport, Theramore","0","0","0","0","0","0","0","0"
"90","0","0","0","Transport, Undercity","0","0","0","0","1","0","0","0"
"91","-3996.01","-11892.97","0.22","Quest - Azuremyst Shaman Target","0","0","0","0","530","0","0","0"
"92","-3679.31","-11413.04","310.57","Quest - Azuremyst Shaman Start","0","0","0","0","530","0","0","0"
"93","-1933.27","-11954.6","57.19","Blood Watch, Bloodmyst Isle","0","3837","0","0","530","0","93","1"
"94","-3867.56","-11641.1","-137.664","The Exodar","0","3837","0","0","530","0","94","1"
"95","-146.29","5532.56","30.89","Zangarmarsh - Quest - As the Crow Flies","17972","0","0","0","530","0","0","0"
"96","-145.23","5533.03","30.95","Zangarmarsh - Quest - As the Crow Flies - End","0","0","0","0","530","0","0","0"
"97","-3968.37","-11929.15","-1.22","Quest - Elekk Path to Kessel","0","18167","0","0","530","0","0","0"
"98","-2662.3","-12144.6","16.91","Quest - Elekk to Kessel Target","0","0","0","0","530","0","0","0"
"99","228.5","2633.57","87.67","Thrallmar, Hellfire Peninsula","2224","0","0.013","-0.009","530","0","99","2"
"100","-673.42","2717.27","94.18","Honor Hold, Hellfire Peninsula","0","541","0.012","0.01","530","0","100","1"
"101","199.16","4241.56","121.75","Temple of Telhamat, Hellfire Peninsula","0","3837","0","-0.02","530","0","101","1"
"102","-587.41","4101.01","91.37","Falcon Watch, Hellfire Peninsula","2224","0","0.002","-0.01","530","0","102","2"
"103","-1810.16","8032.11","-25.95","Nagrand - PvP - Attack Run Start 1 ","18345","18345","0","0","530","0","0","0"
"104","-1824.18","8049.29","-26.85","Nagrand - PvP - Attack Run End 1","13161","13161","0","0","530","0","0","0"
"105","-1513.4","8140.93","-19.6","Nagrand - PvP - Attack Run Start 2","18345","18345","0","0","530","0","0","0"
"106","-1511.26","8149.71","-18.58","Nagrand - PvP - Attack Run End 2","0","541","0","0","530","0","0","0"
"107","-1387.07","7782.41","-11.47","Nagrand - PvP - Attack Run Start 3","18345","18345","0","0","530","0","0","0"
"108","-1376.72","7771.17","-10.08","Nagrand - PvP - Attack Run End 3","0","541","0","0","530","0","0","0"
"109","-1656.6","7724.91","-15.59","Nagrand - PvP - Attack Run Start 4","18345","18345","0","0","530","0","0","0"
"110","-1658.9","7724.71","-15.79","Nagrand - PvP - Attack Run End 4","0","541","0","0","530","0","0","0"
"111","9335.83","-7883.07","74.91","Eversong - Duskwither Teleport","18392","18392","0","0","530","0","0","0"
"112","9335.67","-7809.71","136.57","Eversong - Duskwither Teleport End","17972","17972","0","0","530","0","0","0"
"113","-1544.36","8792.07","35.22","Quest - Nethrandamus Start","18543","18543","0","0","530","0","0","0"
"114","-1544.36","8792.09","35.22","Quest - Nethrandamus End Target","0","0","0","0","530","0","0","0"
"115","2384.73","1169.38","66.86","Quest - Caverns of Time OH - Begin","18768","18768","0","0","560","0","0","0"
"116","2014.65","239.65","68.52","Quest - Caverns of Time OH - End","0","0","0","0","560","0","0","0"
"117","213.75","6063.75","148.31","Telredor, Zangarmarsh","0","3837","0","0","530","0","117","1"
"118","219.45","7816","22.72","Zabra'jin, Zangarmarsh","2224","0","0","0","530","0","118","2"
"119","-2729","7305.3","88.64","Telaar, Nagrand","0","3837","0.002","0.024","530","0","119","1"
"120","-1261.09","7133.39","57.34","Garadar, Nagrand","2224","0","0.01","-0.007","530","0","120","2"
"121","-2987.24","3872.78","9.13","Allerian Stronghold, Terokkar Forest","0","541","0","0","530","0","121","1"
"122","3082.31","3596.11","144.02","Area 52, Netherstorm","2224","541","-0.027","-0.023","530","0","122","3"
"123","-3018.62","2557.09","79.09","Shadowmoon Village, Shadowmoon Valley","2224","0","0.01","0","530","0","123","2"
"124","-3982.07","2156.47","105.15","Wildhammer Stronghold, Shadowmoon Valley","0","541","0","0","530","0","124","1"
"125","2183.65","6794.46","183.28","Sylvanaar, Blade's Edge Mountains","0","3837","0","0","530","0","125","1"
"126","2446.37","6020.93","154.34","Thunderlord Stronghold, Blade's Edge Mountains","2224","0","0","0.004","530","0","126","2"
"127","-2567.33","4423.83","39.33","Stonebreaker Hold, Terokkar Forest","2224","0","0","0","530","0","127","2"
"128","-1837.23","5301.9","-12.43","Shattrath, Terokkar Forest","2224","541","0","0","530","0","128","3"
"129","-327.35","1020.49","54.25","Hellfire Peninsula, The Dark Portal","0","541","0.002","0.03","530","0","129","1"
"130","-178.09","1026.72","54.19","Hellfire Peninsula, The Dark Portal","2224","0","0.004","-0.008","530","0","130","2"
"131","-25.51","2133.45","112.6","Quest - Horde Hellfire Start","19275","18376","0","0","530","0","0","0"
"132","-25.6","2133.4","112.58","Quest - Horde Hellfire End","19275","0","0","0","530","0","0","0"
"133","-673.73","1855.29","68.97","Quest - Hellfire Peninsula (Alliance Path) Start","19324","19324","0","0","530","0","0","0"
"134","-673.75","1855.32","68.96","Quest - Hellfire Peninsula (Alliance) End","19324","19324","0","0","530","0","0","0"
"135","-27.65","2126.57","111.85","Quest - Hellfire, Aerial Mission (Horde) Start","19275","19324","0","0","530","0","0","0"
"136","-27.52","2126.5","111.88","Quest - Hellfire, Aerial Mission (Horde) End","19275","19324","0","0","530","0","0","0"
"137","298.5","1501.26","-14.28","Quest - Hellfire, Aerial Mission (Alliance) Start","19275","19324","0","0","530","0","0","0"
"138","298.59","1501.13","-14.25","Quest - Hellfire, Aerial Mission (Alliance) End","19275","19324","0","0","530","0","0","0"
"139","4157.58","2959.69","352.08","The Stormspire, Netherstorm","2224","541","-0.005","-0.018","530","0","139","3"
"140","-3065.6","749.42","-10.1","Altar of Sha'tar, Shadowmoon Valley","2224","541","0","0","530","6211","140","3"
"141","-1316.84","2358.62","88.96","Spinebreaker Ridge, Hellfire Peninsula","2224","0","0","0","530","0","141","2"
"142","-29.16","2125.72","111.47","Hellfire Peninsula - Reaver's Fall","2224","0","0.007","0","530","0","0","0"
"143","-8360.73","-4327.73","-208.33","Quest - Caverns of Time (Intro Flight Path) (End)","16081","16081","0","0","1","0","0","0"
"144","-8162.01","-4796.23","35.78","Quest - Caverns of Time (Intro Flight Path) (Start)","18768","18768","0","0","1","0","0","0"
"145","3079.01","3599.08","144.07","Quest - Netherstorm - Stealth Flight - Begin","2224","0","0","0","530","0","0","0"
"146","2235.34","2793.77","128.03","Quest - Netherstorm - Stealth Flight - End","0","0","0","0","530","0","0","0"
"147","509.17","1988.69","109.62","Hellfire Peninsula - Force Camp Beach Head","0","19324","0","0","530","0","0","0"
"148","298.46","1501.18","-14.28","Shatter Point, Hellfire Peninsula (Beach Assault)","0","19324","0","0","530","0","0","0"
"149","276.2","1486.91","-15.1","Shatter Point, Hellfire Peninsula","0","541","0","0","530","0","149","0"
"150","2974.95","1848.24","141.28","Cosmowrench, Netherstorm","2224","541","0","0.01","530","0","150","3"
"151","91.67","5214.92","23.1","Swamprat Post, Zangarmarsh","2224","0","0.017","0.016","530","0","151","2"
"152","4262.39","2136.92","139.44","Quest - Netherstorm - Manaforge Ultris (Start)","20903","20903","0","0","530","0","0","0"
"153","4266.7","2133.38","138.82","Quest - Netherstorm - Manaforge Ultris (End)","20903","20903","0","0","530","0","0","0"
"154","20047.88","5200.69","19742.78","Quest - Netherstorm - Manaforge Ultris (Second Pass) Start","20903","20903","0","0","0","0","0","0"
"155","4267.14","2133.03","138.77","Quest - Netherstorm - Manaforge Ultris (Second Pass) End","0","0","0","0","530","0","0","0"
"156","1857.35","5531.87","277.01","Toshley's Station, Blade's Edge Mountains","0","541","0","0","530","0","156","1"
"157","2277.74","5983.35","142.6","Quest - Blade's Edge - Vision Guide - Start","21396","0","0","0","530","0","0","0"
"158","2278.56","5983.71","142.57","Quest - Blade's Edge - Vision Guide - End","0","0","0","0","530","0","0","0"
"159","-4073.17","1123.61","42.47","Sanctum of the Stars, Shadowmoon Valley","2224","541","0.014","0","530","6212","159","3"
"160","2976.01","5501.13","143.67","Evergrove, Blade's Edge Mountains","2224","541","0","0","530","0","160","3"
"161","0","0","0","Quest - Nether Dragon Ally - Start","22360","22360","0","0","530","0","0","0"
"162","-4100.27","950.38","22.11","Quest - Nether Dragon Ally - End","0","0","0","0","530","0","0","0"
"163","2028.79","4705.27","150.51","Mok'Nathal Village, Blade's Edge Mountains","2224","0","0","0","530","0","163","2"
"164","966.67","7399.16","29.14","Orebor Harborage, Zangarmarsh","0","3837","0","0.01","530","0","164","1"
"165","0","0","0","Transport, Northrend 2","0","0","0","0","571","0","0","0"
"166","3972.84","-1324.51","244.803","Emerald Sanctuary, Felwood","2224","3837","0","0","1","0","166","3"
"167","3000.25","-3202.41","189.77","Forest Song, Ashenvale","0","3837","0","-0.014","1","0","167","1"
"168","-9441.18","65.05","56.18","Filming","0","3837","0","0","0","0","0","0"
"169","-5224.53","631.85","48.36","Quest - Netherwing Ledge - Mine Cart Ride - South - Start","23372","23372","0","0","530","0","0","0"
"170","-5185.71","172.95","-11.57","Quest - Netherwing Ledge - Mine Cart Ride - South - End","23289","23289","0","0","530","0","0","0"
"171","-3364.68","3650.18","284.78","Skettis","23422","23422","0","0","530","0","0","0"
"172","2531.1","7322.09","373.64","Ogri'La","23422","23422","0","0","530","0","0","0"
"173","-5141.36","620.11","82.7","Quest - Yarzill Flight Start","23468","23468","0","0","530","0","0","0"
"174","-1636.09","5275.87","-41.1","Quest - Yarzill Flight Start End","0","0","0","0","530","0","0","0"
"175","784.89","-5066.18","-7.88","Transport, Howling Fjord","0","0","0","0","571","0","0","0"
"176","245.36","-3309.2","0.91","Quest - Howling Fjord Tauren Canoe (Start)","23518","23518","0","0","571","0","0","0"
"177","-147.47","-3587.36","0.34","Quest - Howling Fjord Tauren Canoe (End)","23518","23518","0","0","571","0","0","0"
"178","0","0","0","Transport, Borean Tundra","0","0","0","0","571","0","0","0"
"179","-4566.23","-3226.05","34.7","Mudsprocket, Dustwallow Marsh","2224","541","-0.007","-0.02","1","0","179","3"
"180","-3822.66","-4511.33","10.84","Quest - Dustwallow - Alcaz Survey Start","0","541","0","0","1","0","0","0"
"181","-3822.71","-4509.65","10.98","Quest - Dustwallow - Alcaz Survey End","0","541","0","0","1","0","0","0"
"182","1415.89","-3082.49","121.91","Quest - Howling Fjord - Break the Blockade Zeppelin","0","0","0","0","571","0","0","0"
"183","567.41","-5010.97","11.5","Valgarde Port, Howling Fjord","0","541","0","0","571","0","183","1"
"184","2468.77","-5029.82","283.49","Fort Wildervar, Howling Fjord","0","541","0.01","-0.01","571","0","184","1"
"185","1342.84","-3287.9","174.45","Westguard Keep, Howling Fjord","0","541","0.01","-0.005","571","0","185","1"
"186","1911.82","-6179.07","24.61","Quest - Howling Fjord - Flight to the Windrunner - Start","3574","0","0","0","571","0","0","0"
"187","1652.83","-6512.11","18.48","Quest - Howling Fjord - Flight to the Windrunner - End","3574","0","0","0","571","0","0","0"
"188","1912.78","-6178.81","24.64","Quest - Howling Fjord - Test at Sea - Start","3574","0","0","0","571","0","0","0"
"189","1913.9","-6177.87","24.62","Quest - Howling Fjord - Test at Sea - End","0","0","0","0","571","0","0","0"
"190","401.12","-4544.3","244.54","New Agamand, Howling Fjord","3574","0","-0.01","-0.025","571","0","190","2"
"191","1918.6","-6175.89","24.41","Vengeance Landing, Howling Fjord","3574","0","0","-0.035","571","0","191","2"
"192","2652.89","-4392.71","283.32","Camp Winterhoof, Howling Fjord","2224","0","0.009","0.01","571","0","192","2"
"193","1341.44","-3288.57","174.45","Quest - Howling Fjord - Mission: Plague This! - End","0","541","0","0","571","0","0","0"
"194","1341.08","-3288.37","174.45","Quest - Howling Fjord - Mission: Plague This! - Start","0","541","0","0","571","0","0","0"
"195","-11344","-216.83","75.22","Rebel Camp, Stranglethorn Vale","0","541","0.005","0","0","0","195","5"
"196","9283.1","-9749.81","62.16","Test - SP","12374","541","0","0","451","0","196","0"
"197","-9148.62","243.04","87.39","Test SP2","0","0","0","0","0","0","0","0"
"198","9405.83","-9882.69","0","Test SP1","24489","541","0","0","451","0","0","0"
"199","638.34","-5074.57","-0.23","Quest - Howling Fjord - McGoyver Start","24716","24716","0","0","571","0","0","0"
"200","483.92","-5913.1","308.61","Quest - Howling Fjord - McGoyver End","24716","24716","0","0","571","0","0","0"
"201","15992.44","-16371.94","76.73","Development Land - Kyle Radue Start","23468","23468","0","0","451","0","0","0"
"202","15991.68","-16371.95","76.7","Development Land - Kyle Radue End","0","0","0","0","451","0","0","0"
"203","3505.3","1990.83","65.1","Quest - Stars' Rest -> Wintergarde","0","27127","0","0","571","0","0","0"
"204","0","0","0","Quest - New Agamand -> Venomspite","27179","0","0","0","571","0","0","0"
"205","6789.79","-7747.58","126.51","Zul'Aman, Ghostlands","3574","541","-0.01","0","530","0","205","3"
"206","-4348.01","2427.29","6.64","Transport, Feathermoon (NE Ship)","0","0","0","0","1","0","0","0"
"207","15.32","-4043.79","0.1","Quest - Howling Fjord - Sister Mercy (Start)","0","0","0","0","571","0","0","0"
"208","15.32","-4043.71","0.1","Quest - Howling Fjord - Sister Mercy (End)","0","0","0","0","571","0","0","0"
"209","13008.38","-6911.81","9.58","Quest - Sunwell Daily - Dead Scar Bombing - Start","25044","0","0","0","530","0","0","0"
"210","13008.51","-6912.2","9.58","Quest - Sunwell Daily - Dead Scar Bombing - End","25044","0","0","0","530","0","0","0"
"211","13007.5","-6911.81","9.58","Quest - Sunwell Daily - Ship Bombing - Start","25044","0","0","0","530","0","0","0"
"212","13188.04","-7047.04","4.79","Quest - Sunwell Daily - Ship Bombing - End","25044","0","0","0","530","0","0","0"
"213","13012.7","-6908.37","9.58","Shattered Sun Staging Area","19917","28361","-0.006","-0.003","530","5953","213","3"
"214","0","0","0","Quest - Howling Fjord - Naglfar (Start)","0","0","0","0","0","0","0","0"
"215","0","0","0","Quest - Howling Fjord - Naglfar (Nodes)","0","0","0","0","0","0","0","0"
"218","690.99","-3819.6","249.06","Transport, Howling Fjord (Gondola, Top)","0","0","0","0","571","0","0","0"
"219","607.96","-2906.17","38.54","Transport, Howling Fjord (Gondola, Bottom)","0","0","0","0","571","0","0","0"
"221","3465.66","5901.76","144.17","Amber Ledge, Borean (To Beryl)","26088","0","0","0","571","0","0","0"
"222","3213.74","6084.72","138","Beryl Point, Borean","25695","0","0","0","571","0","0","0"
"223","0","0","0","Quest - Naglevar","0","0","0","0","0","0","0","0"
"224","0","0","0","Borean Tundra, Naglevar","0","0","0","0","0","0","0","0"
"225","3574.06","5971.04","136.11","Amber Ledge, Borean (to Coldarra)","25695","0","0","0","571","0","0","0"
"226","3575.44","6661.64","195.19","Transitus Shield, Coldarra","26899","26899","-0.006","0","571","0","226","3"
"227","16625.63","16862.9","46.98","Transport, PattyMacDevTest","28901","25968","0","0","451","0","0","0"
"228","0","0","0","Development Land - Pat Test Start","0","0","0","0","0","0","0","0"
"229","0","0","0","Development Land - Pat Test End","0","0","0","0","0","0","0","0"
"230","2690.26","889.81","4.61","Transport, Tuskarr 01","0","0","0","0","571","0","0","0"
"231","2690.33","897.63","4.62","Transport, Tuskarr 02","0","0","0","0","571","0","0","0"
"232","2774.69","6258.14","83.68","Borean Tundra - Warsong Hold Wolf Start","26128","0","0","0","571","0","0","0"
"233","3443.52","4103.95","16.01","Borean Tundra - Warsong Hold Wolf End","0","0","0","0","571","0","0","0"
"234","4130.62","7372.31","534.11","Coldarra Ledge, Coldarra","26263","0","0","0","571","0","0","0"
"235","3575.56","6651.84","195.21","Transitus Shield, Coldarra (NOT USED)","25695","0","0","0","571","0","0","0"
"236","4026.95","7085.54","165.54","Coldarra, Keristrasza to Malygos","26263","0","0","0","571","0","0","0"
"237","3929.4","6590.74","170.34","Coldarra, Keristrasza Landing","0","0","0","0","571","0","0","0"
"239","3109","3819.54","23.24","Borean Tundra - Quest - Dusk Start","26404","0","0","0","571","0","0","0"
"240","3614.3","3670.12","35.78","Borean Tundra - Quest - Dusk - End","11195","0","0","0","571","0","0","0"
"241","0","0","0","Transport, Valiance Keep","0","0","0","0","0","0","0","0"
"242","2739.73","882.37","6.64","Quest - Dragonblight - Spiritual Vision - Begin","21396","0","0","0","571","0","0","0"
"243","2738.47","882.46","6.5","Quest - Dragonblight - Spiritual Vision - End","0","0","0","0","571","0","0","0"
"244","3712.43","-694.86","215.57","Wintergarde Keep, Dragonblight","0","541","0","0","571","0","244","1"
"245","2269.54","5173.69","11.1","Valiance Keep, Borean Tundra","0","541","0.017","0.014","571","0","245","1"
"246","4127.23","5313.07","28.67","Fizzcrank Airstrip, Borean Tundra","0","28360","0","-0.007","571","0","246","1"
"247","3504.13","1992.03","64.96","Stars' Rest, Dragonblight","0","3837","0.009","0.004","571","0","247","1"
"248","2108.11","-2970.62","148.58","Apothecary Camp, Howling Fjord","3574","0","0","0","571","0","248","2"
"249","3876.34","-4520.08","217.32","Camp Oneqwah, Grizzly Hills","2224","0","0.017","0","571","0","249","2"
"250","3258.9","-2263.09","114.37","Conquest Hold, Grizzly Hills","2224","0","0.018","-0.007","571","0","250","2"
"251","4612.21","1406.6","195.06","Fordragon Hold, Dragonblight","0","541","-0.01","0","571","0","251","1"
"252","3653.21","247.58","52.26","Wyrmrest Temple, Dragonblight","26899","26899","-0.034","0.015","571","0","252","3"
"253","3446.35","-2754.1","199.4","Amberpine Lodge, Grizzly Hills","0","541","0","-0.02","571","0","253","1"
"254","3242.96","-666.16","166.79","Venomspite, Dragonblight","3574","0","-0.01","0","571","0","254","2"
"255","4584.98","-4254.69","182.21","Westfall Brigade, Grizzly Hills","0","541","-0.003","0","571","0","255","1"
"256","3865.87","1525.63","90.04","Agmar's Hammer, Dragonblight","2224","0","0.01","-0.01","571","0","256","2"
"257","2920.29","6242.85","208.8","Warsong Hold, Borean Tundra","2224","0","-0.007","0","571","0","257","2"
"258","3449.51","4089.52","16.64","Taunka'le Village, Borean Tundra","2224","0","0","-0.02","571","0","258","2"
"259","4474.79","5712.13","81.28","Bor'gorok Outpost, Borean Tundra","2224","0","0.007","-0.02","571","0","259","2"
"260","4946.67","1165.94","239.57","Kor'kron Vanguard, Dragonblight","2224","0","0","-0.007","571","0","260","2"
"261","3711.31","-698.18","215.57","Quest - Stars' Rest to Wintergarde End","0","27127","0","0","571","0","0","0"
"262","4267.39","-3050.93","318.16","Grizzly Hills, Alliance Log Ride Start 01","29878","0","0","0","571","0","0","0"
"263","2663.67","-2181.45","3.43","Grizzly Hills, Alliance Log Ride End 01","0","0","0","0","571","0","0","0"
"264","0","0","0","Transport, Auberdine (NEW)","0","0","0","0","0","0","0","0"
