Id,Unknown0,Unknown1,Unknown2,Unknown3
"438","|cffffd100Tip:|r You can repurchase items you have recently sold to a vendor from the buyback tab.","10","110","88"
"439","|cffffd100Tip:|r A group leader can reset their instances or change dungeon difficulty by Right Clicking on their character portrait.","60","110","89"
"440","|cffffd100Tip:|r You can always get a new Hearthstone from any innkeeper.","10","100","90"
"441","|cffffd100Tip:|r Smile early and often!","10","110","91"
"442","|cffffd100Tip:|r Players cannot dodge, parry, or block attacks that come from behind them.","60","110","92"
"444","|cffffd100Tip:|r You can replace a gem that is already socketed into your item by dropping a new gem on top of it in the socketing interface.","60","110","93"
"445","|cffffd100Tip:|r If you Right Click on a name in the combat log a list of options will appear.","40","110","94"
"446","|cffffd100Tip:|r You can only have one Battle Elixir and one Guardian Elixir on you at a time.","60","110","95"
"447","|cffffd100Tip:|r When you are mousing over an item, you can hold down the shift key and it will also show you the item of that type you have equipped.","40","110","96"
"448","|cffffd100Tip:|r You can have up to 12 characters per realm, with a maximum of 50 characters total across all realms.","40","110","97"
"449","|cffffd100Tip:|r You can reuse text that you have recently typed. Press Enter, then use <Alt> + Up Arrow to scroll through your previous messages.","40","110","98"
"450","|cffffd100Tip:|r Most mounts and pets are shared across all of your characters.","20","110","101"
"451","|cffffd100Tip:|r Thank you for playing World of Warcraft! You rock!","10","110","102"
"452","|cffffd100Tip:|r Conquer the enemy faction to get to Honor Level 50.","110","110","103"
"453","|cffffd100Tip:|r Flying mounts can be used at higher level.","20","50","108"
"454","|cffffd100Tip:|r Completing some Achievements may grant unique non-combat items as rewards.","40","110","109"
"456","|cffffd100Tip:|r Dealing damage, healing or casting spells can generate Threat against a creature.  Most creatures will attack the player with the highest Threat against them. When in a group, you want the character with the most Threat to be a tank.","15","80","111"
"457","|cffffd100Tip:|r Mythic dungeons are a great way to have epic (or even Legendary) adventures with your friends!","110","110","112"
"458","|cffffd100Tip:|r Create a level 100 class trial character to try the class out for an extended period of time.","101","110","113"
"459","|cffffd100Tip:|r You can have your hair cut, colored or styled in a Barber Shop located in many cities.","40","110","114"
"460","|cffffd100Tip:|r Recruiting a friend to World of Warcraft can provide rewards for both of you.","20","110","115"
"461","|cffffd100Tip:|r Heroic Dungeons require a minimum quality of gear before you can enter them with Dungeon Finder, but you can bypass that requirement with a full group of friends.","80","110","117"
"462","|cffffd100Tip:|r Almost all loot can be awarded with increased power, sometimes greatly.","100","110","116"
"463","|cffffd100Tip:|r Legendary items can come from anywhere, but more difficult activities reward them much more often.","101","110","118"
"464","|cffffd100Tip:|r You can use the Calendar to see upcoming holidays or plan events with your guild or friends.","40","110","99"
"465","|cffffd100Tip:|r You can Right Click on the Clock to set an alarm or display a stopwatch.","20","110","100"
"466","|cffffd100Tip:|r If you find yourself alone, riding in green fields with the sun on your face, do not be troubled - for you are in Azeroth!","20","110","104"
"467","|cffffd100Tip:|r If you're looking for something different to do, try to complete some of the more unusual Achievements.","60","110","105"
"468","|cffffd100Tip:|r You can link quests, items, and achievements to chat messages by starting a chat line then Shift-Left Clicking the item.","60","110","106"
"469","|cffffd100Tip:|r You can track progress on current quests or achievements using shift-click.","40","110","107"
"470","|cffffd100Tip:|r You can track many things, such as low-level quests or vendors by clicking on the magnifying glass near your mini map.","20","90","16"
"471","|cffffd100Tip:|r A Sanctuary is an area in which Player vs. Player combat is prohibited, such as Shattrath or Dalaran.","60","110","119"
"472","|cffffd100Tip:|r Improving your reputation with a faction can grant access to new items.","60","110","120"
"473","|cffffd100Tip:|r The Calendar can tell you when raids reset. Your raid leader can choose to extend a raid.","80","110","121"
"475","|cffffd100Tip:|r If you are having difficulty with a group of creatures in a dungeon, try using a crowd control ability, such as Polymorph or Sap.","40","90","154"
"476","|cffffd100Tip:|r Targets in your minimap have an up or down caret to indicate that they're above or below you.","0","0","15"
"479","|cffffd100Tip:|r You can use the Equipment Manager feature to quickly swap sets of gear that you find yourself using often.","40","110","124"
"481","|cffffd100Tip:|r You can enable Arena Enemy Frames to display the unit frames of the enemy team when in Arena matches.","70","110","125"
"483","|cffffd100Tip:|r If you press <Alt> while your cursor is over an item slot on your character, you can produce a list of items that can be equipped in that slot.","0","0","128"
"489","|cffffd100Tip:|r If an enemy cast bar is gray or has a shield icon around it, that means you cannot interrupt the spell with your abilities.","40","110","129"
"490","|cffffd100Tip:|r Your guild can schedule Guild Events using the in-game calendar. You choose to sign up for these events rather than waiting for an invitation.","0","0","157"
"491","|cffffd100Tip:|r When the autocomplete feature suggests character names, you can use Tab or <Shift> Tab to select a name from the list.","40","110","131"
"500","|cffffd100Tip:|r Always verify that you are accessing an official Blizzard website whenever submitting account information.","0","0","132"
"501","|cffffd100Tip:|r Emails from Blizzard will always end in either blizzard.com or battle.net.","5","110","133"
"503","|cffffd100Tip:|r There are six branches of Pandaren Cooking.  You can choose to pursue one, or to master them all.","85","90","135"
"504","|cffffd100Tip:|r Using the Battle.net Mobile Authenticator will help protect your World of Warcraft account from theft.","10","110","136"
"505","|cffffd100Tip:|r To avoid account theft, do not login to World of Warcraft on a computer that is shared with the general public. These machines can be infected with malicious software.","10","110","137"
"506","|cffffd100Tip:|r Be wary of unofficial sites advertising paid World of Warcraft services. These may contain malicious software that can lead to account theft.","10","110","138"
"507","|cffffd100Tip:|r To avoid account theft, do not use browser add-ons or features that allow scripts to be run in the background.","10","110","139"
"508","|cffffd100Tip:|r Quest locations and questgivers can be seen on your map.","1","20","140"
"509","|cffffd100Tip:|r You can earn rewards for running random dungeons using the Dungeon Finder tool. You can go with a group of friends or use Dungeon Finder to find a dungeon group.","20","90","141"
"538","|cffffd100Tip:|r You can turn your character by holding the Right Mouse Button and moving the mouse. You can look around by holding the Left Mouse Button and moving the mouse.","1","10","142"
"539","|cffffd100Tip:|r There are many activities you can do at max level, such as world quests, dungeons, raids, or battlegrounds.","110","110","158"
"543","|cffffd100Tip:|r Don't stand in the fire!","70","90","145"
"578","|cffffd100Tip:|r The War Games feature allows your group leader to challenge another group to an Arena or Battleground skirmish of their choice. War Games can be started from the Player vs. Player screen <H>.","90","110","162"
"588","|cffffd100Tip:|r It is possible to change the look of your armor or weapons by visiting a Transmogrifier in major cities.","40","110","163"
"589","|cffffd100Tip:|r You can use Raid Finder to join a 25-player raid for some of the most epic experiences World of Warcraft has to offer.","90","90","164"
"594","|cffffd100Tip:|r You can queue for Scenarios to run short group content.","86","89","165"
"596","|cffffd100Tip:|r Most achievements are account-wide. If you have earned the points on one of your characters, they will all share the points.","10","110","167"
"597","|cffffd100Tip:|r Visit a Pet Battle Trainer if you want to collect and battle companion pets.","10","110","168"
"598","|cffffd100Tip:|r You can't fly in Pandaria until you reach level 90.","85","89","169"
"599","|cffffd100Tip:|r Nobody has seen Alleria or Turalyon in years... until now!","101","110","170"
"601","|cffffd100Tip:|r Companion pets are account-wide. If one of your characters has a pet, all your characters can use that pet.","10","90","172"
"602","|cffffd100Tip:|r You can drag ability icons from the spellbook, spec page, talent page down onto your action bars.","10","100","173"
"603","|cffffd100Tip:|r You make a new character to try out a different race, class or faction. Many players call these characters ""alts.""","10","20","174"
"604","|cffffd100Tip:|r The tank role focuses on controlling enemy creatures during group play. Tanks sacrifice high damage for high survivability.","10","50","175"
"605","|cffffd100Tip:|r The healer role focuses on keeping themselves and other members of the group alive.","10","50","176"
"606","|cffffd100Tip:|r The damage role (sometimes called ""DPS"") focuses on defeating the enemy. Damage dealers are supported by tanks and healers.","10","50","177"
"607","|cffffd100Tip:|r The Cooking trainers in Pandaria, located in the Halfhill Market in Valley of the Four Winds, can teach you to cook no matter how inexperienced you are.","87","90","178"
"608","|cffffd100Tip:|r The Archaeology trainers in Pandaria are located in the Seat of Knowledge in the Vale of Eternal Blossoms.","87","90","179"
"609","|cffffd100Tip:|r The Inscription trainers in Pandaria are located in the library in the Temple of the Jade Serpent.","86","90","180"
"612","|cffffd100Tip:|r Stuck on a quest? Can't find that one NPC? Looking for stats on an item? The WoW forums and other fansites are great resources for all things WoW!","0","0","181"
"613","|cffffd100Tip:|r There are six branches of Pandaren Cooking.  You can choose to pursue one, or to master them all.","86","90","182"
"614","|cffffd100Tip:|r Brann Bronzebeard at the Seat of Knowledge will trade you fragments from other branches of Archaeology for your finds in Pandaria.","86","90","183"
"620","|cffffd100Tip:|r You can choose to receive loot for a different class specialization by Right Clicking on the character frame and choosing Loot Specialization.","90","110","185"
"624","|cffffd100Tip:|r Normal and Heroic Raids scale to suit groups containing anywhere from 10 to 30 players, including Real ID and BattleTag friends, so no one has to be left out!","90","110","186"
"626","|cffffd100Tip:|r Look for the Toy Box inside your Collections menu.  All your cosmetic items and toys are automatically stored there once collected.","10","110","187"
"627","|cffffd100Tip:|r Draenor Perks are class enhancements that unlock in random order as you level in Warlords of Draenor.","91","99","188"
"628","|cffffd100Tip:|r Profession buildings in your Garrison allow you to craft items from all tradeskills, not just those your character has learned.","95","99","189"
"629","|cffffd100Tip:|r Your Garrison serves as your base of operations in Draenor.  Upgrade it and recruit an army of followers to crush your enemies and earn rewards!","91","99","190"
"630","|cffffd100Tip:|r Using Dungeon Finder with a group of friends grants you additional bonus gold.","91","110","191"
"631","|cffffd100Tip:|r Item attributes that are grayed out do not contribute to your character's power.","15","110","192"
"632","|cffffd100Tip:|r Group Finder allows you to create and find groups for any dungeons, raids or quests.","60","110","193"
"634","|cffffd100Tip:|r Your Garrison serves as your base of operations in Draenor.  Upgrade it and recruit an army of followers to crush your enemies and earn rewards!","91","99","195"
"635","|cffffd100Tip:|r Right-Click on your portrait while in a group to view your party leader's Garrison.","91","99","196"
