Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown1_0,Unknown1_1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
"38","1496","-5571","10","2585","-4290","1000000","0","0","1","1136","0","1136","794","6738","0"
"40","-9500","50","-1000000","-7500","2100","1000000","0","0","1","1136","0","1136","802","0","0"
"42","-20000","-20000","-1000000","20000","20000","1000000","0","0","1","1157","0","870","0","5981","0"
"44","3720","8220","-1000000","4140","8340","350","0","0","1","1228","0","1228","854","6996","0"
"45","-20000","-20000","-1000000","20000","20000","1000000","0","0","1","1190","0","0","0","0","0"
"46","-2666","-2133","-1000000","-2133","-1600","1000000","10210","2410","1","1208","0","1116","0","6892","0"
"47","-20000","-20000","-1000000","20000","20000","1000000","0","0","1","1031","0","1148","672","6852","0"
"49","3450","7562","38.5","3480","7592","1000000","0","0","1","1228","0","1228","853","6996","0"
"50","533.3","-1600","-1000000","1066.7","-1066.7","1000000","0","0","1","1279","0","1279","912","0","0"
"51","1541","1763","64","1720","2056","1000000","0","0","1","1208","0","1208","850","0","1"
"52","370","3350","390","740","3660","1050","0","0","1","1205","0","1205","844","6967","0"
"53","1544","1470","64","1750","1760","1000000","0","0","1","1208","0","1208","849","0","1"
"54","3879.17","-2493.75","-1000000","4275","-1900","1000000","0","0","1","1448","0","1448","933","0","0"
"55","4145.83","-508.334","-1000000","4437.5","-70.834","1000000","0","0","1","1448","0","1448","925","0","0"
"57","3911.72","-557.358","22","3974.98","-495","1000000","0","0","1","1448","0","1448","0","7545","2"
"59","11206.3","10918.8","-1000000","11683.3","11633.3","1000000","0","0","1","1520","0","1520","1053","8026","1"
"60","-14400","10666.7","-1000000","-11200","13866.7","1000000","0","0","1","1520","0","1520","1054","8026","1"
"61","366.666","-13295.8","-1000000","862.5","-12522.1","1000000","0","0","1","1520","0","1520","1055","8026","1"
"62","11147.9","-12943.8","-1000000","11481.3","-12443.8","1000000","0","0","1","1520","0","1520","1061","8026","1"
"63","-3200","3200","-1000000","-2133.3","4266.7","1000000","0","0","1","1520","0","1520","1056","8026","1"
"64","-3733.3","1600","-1000000","-2133.3","3200","1000000","0","0","1","1520","0","1520","1057","8026","1"
"65","-3200","1066.7","-1000000","-2666.7","1600","1000000","0","0","1","1520","0","1520","1058","8026","1"
"66","-4800","-533.3","-1000000","-3200","1066.7","1000000","0","0","1","1520","0","1520","1059","8026","1"
"67","-14933.3","-14400","-1000000","-11733.3","-10666.7","1000000","0","0","1","1520","0","1520","1060","8026","1"
"68","-3733.3","-5866.7","-1000000","-2133.3","-4266.7","1000000","0","0","1","1520","0","1520","1062","8026","1"
"69","-1066.7","0","-1000000","2133.3","3200","1000000","-2333.889","966.67","1","1460","0","1220","0","7543","0"
"70","3200","1066.7","-1000000","5333.3","2666.7","1000000","0","0","1","1014","0","870","0","5841","0"
"71","-2666.7","4800","-1000000","0","8000","1000000","0","0","1","1545","0","1220","0","7334","0"
"72","4800","-4266.7","-1000000","5866.7","-3200","1000000","0","0","1","1599","0","1","0","616","0"
"73","-533.3","3733.3","-1000000","2133.3","5866.7","1000000","0","0","1","1498","0","1220","0","7637","0"
"74","6400","-1600","-1000000","8533.3","533.3","1000000","0","0","1","1609","0","571","0","67","0"
"75","-1600","3733.3","-1000000","0","5333.3","1000000","0","0","1","1220","8392","1220","0","7502","0"
"76","1066.7","1066.7","-1000000","1600","1600","1000000","0","0","1","1629","0","1512","966","7834","0"
"77","417.509","2581.32","-1000000","810.65","3027.48","300","0","0","1","1530","0","1530","1044","8025","1"
"78","2800","647","534","3100","890","1000000","0","0","1","1492","0","1492","968","7812","1"
"79","2800","890","-1000000","3100","1050","1000000","0","0","1","1492","0","1492","968","7812","1"
"81","807.724","536.51","-1000000","1044.26","717.003","1000000","0","0","1","1618","0","1618","1084","0","1"
"82","-3733.3","7466.7","-1000000","-2133.3","9066.7","1000000","0","0","1","1520","0","1520","1086","8026","1"
"84","3200","-5333.3","-1000000","5866.7","-3200","1000000","0","0","1","1116","8485","1116","0","6941","0"
"85","-533.3","-533.3","-1000000","1066.7","1600","1000000","0","0","1","1648","0","1648","1092","0","1"
"86","3200","-2207","-1000000","4000","-1600","1000000","0","0","1","1651","0","1651","1106","0","1"
