Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown0_7,Unknown0_8,Unknown0_9,Unknown0_10,Unknown0_11,Unknown0_12,Unknown0_13,Unknown0_14,Unknown0_15,Unknown0_16,Unknown0_17,Unknown0_18,Unknown0_19,Unknown0_20,Unknown1_0,Unknown1_1,Unknown1_2,Unknown1_3,Unknown1_4,Unknown1_5,Unknown1_6,Unknown1_7
"65","65","98","98","98","65","98","98","65","98","0","98","0","0","65","65","50","7","0","98","65","16","0","61","61","61","61","0","65","0"
"66","67","100","100","100","67","100","100","67","100","0","100","0","0","67","67","52","7","0","100","67","17","0","63","63","63","63","0","67","0"
"67","68","102","102","102","68","102","102","68","102","0","102","0","0","68","68","53","7","0","102","68","17","0","64","64","64","64","0","68","0"
"68","70","104","104","104","70","104","104","70","104","0","104","0","0","70","70","55","8","0","104","70","17","0","66","66","66","66","0","70","0"
"69","71","106","106","106","71","106","106","71","106","0","106","0","0","71","71","56","8","0","106","71","18","0","67","67","67","67","0","71","0"
"70","72","108","108","108","72","108","108","72","108","0","108","0","0","72","72","57","8","0","108","72","18","0","68","68","68","68","0","72","0"
"71","74","110","110","110","74","110","110","74","110","0","110","0","0","74","74","59","8","0","110","74","18","0","70","70","70","70","0","74","0"
"72","75","113","113","113","75","113","113","75","113","0","113","0","0","75","75","60","8","0","113","75","18","0","71","71","71","71","0","75","0"
"73","77","115","115","115","77","115","115","77","115","0","115","0","0","77","77","62","9","0","115","77","18","0","73","73","73","73","0","77","0"
"74","78","117","117","117","78","117","117","78","117","0","117","0","0","78","78","63","9","0","117","78","18","0","74","74","74","74","0","78","0"
"75","79","119","119","119","79","119","119","79","119","0","119","0","0","79","79","64","9","0","119","79","19","0","75","75","75","75","0","79","0"
"76","81","121","121","121","81","121","121","81","121","0","121","0","0","81","81","66","9","0","121","81","19","0","77","77","77","77","0","81","0"
"77","82","123","123","123","82","123","123","82","123","0","123","0","0","82","82","67","9","0","123","82","19","0","78","78","78","78","0","82","0"
"78","84","125","125","125","84","125","125","84","125","0","125","0","0","84","84","69","10","0","125","84","20","0","80","80","80","80","0","84","0"
"79","85","127","127","127","85","127","127","85","127","0","127","0","0","85","85","70","10","0","127","85","20","0","81","81","81","81","0","85","0"
"80","86","129","129","129","86","129","129","86","129","0","129","0","0","86","86","71","10","0","129","86","20","0","82","82","82","82","0","86","0"
"81","88","131","131","131","88","131","131","88","131","0","131","0","0","88","88","73","10","0","131","88","21","0","84","84","84","84","0","88","0"
"82","89","133","133","133","89","133","133","89","133","0","133","0","0","89","89","74","10","0","133","89","21","0","85","85","85","85","0","89","0"
"83","90","135","135","135","90","135","135","90","135","0","135","0","0","90","90","75","11","0","135","90","21","0","87","87","87","87","0","90","0"
"84","92","138","138","138","92","138","138","92","138","0","138","0","0","92","92","77","11","0","138","92","22","0","88","88","88","88","0","92","0"
"85","93","140","140","140","93","140","140","93","140","0","140","0","0","93","93","78","11","0","140","93","22","0","89","89","89","89","0","93","0"
"86","95","142","142","142","95","142","142","95","142","0","142","0","0","95","95","80","11","0","142","95","22","0","91","91","91","91","0","95","0"
"87","96","144","144","144","96","144","144","96","144","0","144","0","0","96","96","81","11","0","144","96","23","0","92","92","92","92","0","96","0"
"88","97","146","146","146","97","146","146","97","146","0","146","0","0","97","97","82","12","0","146","97","23","0","94","94","94","94","0","97","0"
"89","99","148","148","148","99","148","148","99","148","0","148","0","0","99","99","84","12","0","148","99","23","0","95","95","95","95","0","99","0"
"90","100","150","150","150","100","150","150","100","150","0","150","0","0","100","100","85","12","0","150","100","23","0","96","96","96","96","0","100","0"
"91","102","152","152","152","102","152","152","102","152","0","152","0","0","102","102","87","12","0","152","102","23","0","98","98","98","98","0","102","0"
"92","103","154","154","154","103","154","154","103","154","0","154","0","0","103","103","88","12","0","154","103","23","0","99","99","99","99","0","103","0"
"93","104","156","156","156","104","156","156","104","156","0","156","0","0","104","104","89","13","0","156","104","24","0","101","101","101","101","0","104","0"
"94","106","158","158","158","106","158","158","106","158","0","158","0","0","106","106","91","13","0","158","106","24","0","102","102","102","102","0","106","0"
"95","107","160","160","160","107","160","160","107","160","0","160","0","0","107","107","92","13","0","160","107","24","0","103","103","103","103","0","107","0"
"96","109","163","163","163","109","163","163","109","163","0","163","0","0","109","109","94","13","0","163","109","25","0","105","105","105","105","0","109","0"
"97","110","165","165","165","110","165","165","110","165","0","165","0","0","110","110","95","13","0","165","110","25","0","106","106","106","106","0","110","0"
"98","111","167","167","167","111","167","167","111","167","0","167","0","0","111","111","96","14","0","167","111","25","0","108","108","108","108","0","111","0"
"99","113","169","169","169","113","169","169","113","169","0","169","0","0","113","113","98","14","0","169","113","26","0","109","109","109","109","0","113","0"
"100","114","171","171","171","114","171","171","114","171","0","171","0","0","114","114","99","14","0","171","114","26","0","110","110","110","110","0","114","0"
"101","115","173","173","173","115","173","173","115","173","0","173","0","0","115","115","100","14","0","173","115","27","0","112","112","112","112","0","115","0"
"102","117","175","175","175","117","175","175","117","175","0","175","0","0","117","117","102","14","0","175","117","27","0","113","113","113","113","0","117","0"
"103","118","177","177","177","118","177","177","118","177","0","177","0","0","118","118","103","15","0","177","118","28","0","115","115","115","115","0","118","0"
"104","120","179","179","179","120","179","179","120","179","0","179","0","0","120","120","105","15","0","179","120","28","0","116","116","116","116","0","120","0"
"105","121","181","181","181","121","181","181","121","181","0","181","0","0","121","121","106","15","0","181","121","29","0","117","117","117","117","0","121","0"
"106","122","183","183","183","122","183","183","122","183","0","183","0","0","122","122","107","15","0","183","122","29","0","119","119","119","119","0","122","0"
"107","124","185","185","185","124","185","185","124","185","0","185","0","0","124","124","109","15","0","185","124","30","0","120","120","120","120","0","124","0"
"108","125","188","188","188","125","188","188","125","188","0","188","0","0","125","125","110","16","0","188","125","30","0","122","122","122","122","0","125","0"
"109","127","190","190","190","127","190","190","127","190","0","190","0","0","127","127","112","16","0","190","127","31","0","123","123","123","123","0","127","0"
"110","128","192","192","192","128","192","192","128","192","0","192","0","0","128","128","113","16","0","192","128","31","0","124","124","124","124","0","128","0"
"111","129","194","194","194","129","194","194","129","194","0","194","0","0","129","129","114","16","0","194","129","32","0","126","126","126","126","0","129","0"
"112","131","196","196","196","131","196","196","131","196","0","196","0","0","131","131","116","16","0","196","131","32","0","127","127","127","127","0","131","0"
"113","132","198","198","198","132","198","198","132","198","0","198","0","0","132","132","117","17","0","198","132","33","0","129","129","129","129","0","132","0"
"114","134","200","200","200","134","200","200","134","200","0","200","0","0","134","134","119","17","0","200","134","33","0","130","130","130","130","0","134","0"
"115","135","202","202","202","135","202","202","135","202","0","202","0","0","135","135","120","17","0","202","135","34","0","131","131","131","131","0","135","0"
"116","136","204","204","204","136","204","204","136","204","0","204","0","0","136","136","121","17","0","204","136","34","0","133","133","133","133","0","136","0"
"117","138","206","206","206","138","206","206","138","206","0","206","0","0","138","138","123","17","0","206","138","35","0","134","134","134","134","0","138","0"
"118","139","208","208","208","139","208","208","139","208","0","208","0","0","139","139","124","18","0","208","139","35","0","136","136","136","136","0","139","0"
"119","140","210","210","210","140","210","210","140","210","0","210","0","0","140","140","125","18","0","210","140","36","0","137","137","137","137","0","140","0"
"120","142","213","213","213","142","213","213","142","213","0","213","0","0","142","142","127","18","0","213","142","36","0","138","138","138","138","0","142","0"
"121","143","215","215","215","143","215","215","143","215","0","215","0","0","143","143","128","18","0","215","143","37","0","140","140","140","140","0","143","0"
"122","145","217","217","217","145","217","217","145","217","0","217","0","0","145","145","130","18","0","217","145","37","0","141","141","141","141","0","145","0"
"123","146","219","219","219","146","219","219","146","219","0","219","0","0","146","146","131","19","0","219","146","38","0","143","143","143","143","0","146","0"
"124","147","221","221","221","147","221","221","147","221","0","221","0","0","147","147","132","19","0","221","147","38","0","144","144","144","144","0","147","0"
"125","149","223","223","223","149","223","223","149","223","0","223","0","0","149","149","134","19","0","223","149","39","0","145","145","145","145","0","149","0"
"126","150","225","225","225","150","225","225","150","225","0","225","0","0","150","150","135","19","0","225","150","39","0","147","147","147","147","0","150","0"
"127","152","227","227","227","152","227","227","152","227","0","227","0","0","152","152","137","19","0","227","152","40","0","148","148","148","148","0","152","0"
"128","153","229","229","229","153","229","229","153","229","0","229","0","0","153","153","138","20","0","229","153","40","0","150","150","150","150","0","153","0"
"129","154","231","231","231","154","231","231","154","231","0","231","0","0","154","154","139","20","0","231","154","41","0","151","151","151","151","0","154","0"
"130","156","233","233","233","156","233","233","156","233","0","233","0","0","156","156","141","20","0","233","156","41","0","152","152","152","152","0","156","0"
"131","157","235","235","235","157","235","235","157","235","0","235","0","0","157","157","142","20","0","235","157","42","0","154","154","154","154","0","157","0"
"132","159","238","238","238","159","238","238","159","238","0","238","0","0","159","159","144","20","0","238","159","42","0","155","155","155","155","0","159","0"
"133","160","240","240","240","160","240","240","160","240","0","240","0","0","160","160","145","21","0","240","160","43","0","157","157","157","157","0","160","0"
"134","161","242","242","242","161","242","242","161","242","0","242","0","0","161","161","146","21","0","242","161","43","0","158","158","158","158","0","161","0"
"135","163","244","244","244","163","244","244","163","244","0","244","0","0","163","163","148","21","0","244","163","44","0","159","159","159","159","0","163","0"
"136","164","246","246","246","164","246","246","164","246","0","246","0","0","164","164","149","21","0","246","164","44","0","161","161","161","161","0","164","0"
"137","165","248","248","248","165","248","248","165","248","0","248","0","0","165","165","150","21","0","248","165","45","0","162","162","162","162","0","165","0"
"138","167","250","250","250","167","250","250","167","250","0","250","0","0","167","167","152","22","0","250","167","45","0","164","164","164","164","0","167","0"
"139","168","252","252","252","168","252","252","168","252","0","252","0","0","168","168","153","22","0","252","168","46","0","165","165","165","165","0","168","0"
"140","170","254","254","254","170","254","254","170","254","0","254","0","0","170","170","155","22","0","254","170","46","0","166","166","166","166","0","170","0"
"141","171","256","256","256","171","256","256","171","256","0","256","0","0","171","171","156","22","0","256","171","47","0","168","168","168","168","0","171","0"
"142","172","258","258","258","172","258","258","172","258","0","258","0","0","172","172","157","22","0","258","172","47","0","169","169","169","169","0","172","0"
"143","174","260","260","260","174","260","260","174","260","0","260","0","0","174","174","159","23","0","260","174","48","0","170","170","170","170","0","174","0"
"144","175","263","263","263","175","263","263","175","263","0","263","0","0","175","175","160","23","0","263","175","48","0","172","172","172","172","0","175","0"
"145","177","265","265","265","177","265","265","177","265","0","265","0","0","177","177","162","23","0","265","177","49","0","173","173","173","173","0","177","0"
"146","178","267","267","267","178","267","267","178","267","0","267","0","0","178","178","163","23","0","267","178","49","0","175","175","175","175","0","178","0"
"147","179","269","269","269","179","269","269","179","269","0","269","0","0","179","179","164","23","0","269","179","50","0","176","176","176","176","0","179","0"
"148","181","271","271","271","181","271","271","181","271","0","271","0","0","181","181","166","24","0","271","181","50","0","177","177","177","177","0","181","0"
"149","182","273","273","273","182","273","273","182","273","0","273","0","0","182","182","167","24","0","273","182","51","0","179","179","179","179","0","182","0"
"150","184","275","275","275","184","275","275","184","275","0","275","0","0","184","184","169","24","0","275","184","51","0","180","180","180","180","0","184","0"
"151","185","277","277","277","185","277","277","185","277","0","277","0","0","185","185","170","24","0","277","185","52","0","182","182","182","182","0","185","0"
"152","186","279","279","279","186","279","279","186","279","0","279","0","0","186","186","171","24","0","279","186","52","0","183","183","183","183","0","186","0"
"153","188","281","281","281","188","281","281","188","281","0","281","0","0","188","188","173","25","0","281","188","53","0","184","184","184","184","0","188","0"
"154","189","283","283","283","189","283","283","189","283","0","283","0","0","189","189","174","25","0","283","189","53","0","186","186","186","186","0","189","0"
"155","190","285","285","285","190","285","285","190","285","0","285","0","0","190","190","175","25","0","285","190","54","0","187","187","187","187","0","190","0"
"156","192","288","288","288","192","288","288","192","288","0","288","0","0","192","192","177","25","0","288","192","54","0","189","189","189","189","0","192","0"
"157","193","290","290","290","193","290","290","193","290","0","290","0","0","193","193","178","25","0","290","193","55","0","190","190","190","190","0","193","0"
"158","195","292","292","292","195","292","292","195","292","0","292","0","0","195","195","180","26","0","292","195","55","0","191","191","191","191","0","195","0"
"159","196","294","294","294","196","294","294","196","294","0","294","0","0","196","196","181","26","0","294","196","56","0","193","193","193","193","0","196","0"
"160","197","296","296","296","197","296","296","197","296","0","296","0","0","197","197","182","26","0","296","197","56","0","194","194","194","194","0","197","0"
"161","199","298","298","298","199","298","298","199","298","0","298","0","0","199","199","184","26","0","298","199","57","0","196","196","196","196","0","199","0"
"162","200","300","300","300","200","300","300","200","300","0","300","0","0","200","200","185","26","0","300","200","57","0","197","197","197","197","0","200","0"
"163","202","302","302","302","202","302","302","202","302","0","302","0","0","202","202","187","27","0","302","202","58","0","198","198","198","198","0","202","0"
"164","203","304","304","304","203","304","304","203","304","0","304","0","0","203","203","188","27","0","304","203","58","0","200","200","200","200","0","203","0"
"165","204","306","306","306","204","306","306","204","306","0","306","0","0","204","204","189","27","0","306","204","59","0","201","201","201","201","0","204","0"
"166","206","308","308","308","206","308","308","206","308","0","308","0","0","206","206","191","27","0","308","206","59","0","203","203","203","203","0","206","0"
"167","207","310","310","310","207","310","310","207","310","0","310","0","0","207","207","192","27","0","310","207","60","0","204","204","204","204","0","207","0"
"168","209","313","313","313","209","313","313","209","313","0","313","0","0","209","209","194","28","0","313","209","60","0","205","205","205","205","0","209","0"
"169","210","315","315","315","210","315","315","210","315","0","315","0","0","210","210","195","28","0","315","210","61","0","207","207","207","207","0","210","0"
"170","211","317","317","317","211","317","317","211","317","0","317","0","0","211","211","196","28","0","317","211","61","0","208","208","208","208","0","211","0"
"171","213","319","319","319","213","319","319","213","319","0","319","0","0","213","213","198","28","0","319","213","62","0","210","210","210","210","0","213","0"
"172","214","321","321","321","214","321","321","214","321","0","321","0","0","214","214","199","28","0","321","214","62","0","211","211","211","211","0","214","0"
"173","215","323","323","323","215","323","323","215","323","0","323","0","0","215","215","200","29","0","323","215","63","0","212","212","212","212","0","215","0"
"174","217","325","325","325","217","325","325","217","325","0","325","0","0","217","217","202","29","0","325","217","63","0","214","214","214","214","0","217","0"
"175","218","327","327","327","218","327","327","218","327","0","327","0","0","218","218","203","29","0","327","218","64","0","215","215","215","215","0","218","0"
"176","220","329","329","329","220","329","329","220","329","0","329","0","0","220","220","205","29","0","329","220","64","0","217","217","217","217","0","220","0"
"177","221","331","331","331","221","331","331","221","331","0","331","0","0","221","221","206","29","0","331","221","65","0","218","218","218","218","0","221","0"
"178","222","333","333","333","222","333","333","222","333","0","333","0","0","222","222","207","30","0","333","222","65","0","219","219","219","219","0","222","0"
"179","224","336","336","336","224","336","336","224","336","0","336","0","0","224","224","209","30","0","336","224","66","0","221","221","221","221","0","224","0"
"180","225","338","338","338","225","338","338","225","338","0","338","0","0","225","225","210","30","0","338","225","66","0","222","222","222","222","0","225","0"
"181","227","340","340","340","227","340","340","227","340","0","340","0","0","227","227","212","30","0","340","227","67","0","224","224","224","224","0","227","0"
"182","228","342","342","342","228","342","342","228","342","0","342","0","0","228","228","213","30","0","342","228","67","0","225","225","225","225","0","228","0"
"183","229","344","344","344","229","344","344","229","344","0","344","0","0","229","229","214","31","0","344","229","68","0","226","226","226","226","0","229","0"
"184","231","346","346","346","231","346","346","231","346","0","346","0","0","231","231","216","31","0","346","231","68","0","228","228","228","228","0","231","0"
"185","232","348","348","348","232","348","348","232","348","0","348","0","0","232","232","217","31","0","348","232","69","0","229","229","229","229","0","232","0"
"186","234","350","350","350","234","350","350","234","350","0","350","0","0","234","234","219","31","0","350","234","69","0","231","231","231","231","0","234","0"
"187","235","352","352","352","235","352","352","235","352","0","352","0","0","235","235","220","31","0","352","235","70","0","232","232","232","232","0","235","0"
"188","236","354","354","354","236","354","354","236","354","0","354","0","0","236","236","221","32","0","354","236","70","0","233","233","233","233","0","236","0"
"189","238","356","356","356","238","356","356","238","356","0","356","0","0","238","238","223","32","0","356","238","71","0","235","235","235","235","0","238","0"
"190","239","358","358","358","239","358","358","239","358","0","358","0","0","239","239","224","32","0","358","239","71","0","236","236","236","236","0","239","0"
"191","241","361","361","361","241","361","361","241","361","0","361","0","0","241","241","226","32","0","361","241","72","0","238","238","238","238","0","241","0"
"192","242","363","363","363","242","363","363","242","363","0","363","0","0","242","242","227","32","0","363","242","72","0","239","239","239","239","0","242","0"
"193","243","365","365","365","243","365","365","243","365","0","365","0","0","243","243","228","33","0","365","243","73","0","240","240","240","240","0","243","0"
"194","245","367","367","367","245","367","367","245","367","0","367","0","0","245","245","230","33","0","367","245","73","0","242","242","242","242","0","245","0"
"195","246","369","369","369","246","369","369","246","369","0","369","0","0","246","246","231","33","0","369","246","74","0","243","243","243","243","0","246","0"
"196","247","371","371","371","247","371","371","247","371","0","371","0","0","247","247","232","33","0","371","247","74","0","245","245","245","245","0","247","0"
"197","249","373","373","373","249","373","373","249","373","0","373","0","0","249","249","234","33","0","373","249","75","0","246","246","246","246","0","249","0"
"198","250","375","375","375","250","375","375","250","375","0","375","0","0","250","250","235","34","0","375","250","75","0","247","247","247","247","0","250","0"
"199","252","377","377","377","252","377","377","252","377","0","377","0","0","252","252","237","34","0","377","252","76","0","249","249","249","249","0","252","0"
"200","253","379","379","379","253","379","379","253","379","0","379","0","0","253","253","238","34","0","379","253","76","0","250","250","250","250","0","253","0"
"201","254","381","381","381","254","381","381","254","381","0","381","0","0","254","254","239","34","0","381","254","77","0","252","252","252","252","0","254","0"
"202","256","383","383","383","256","383","383","256","383","0","383","0","0","256","256","241","34","0","383","256","77","0","253","253","253","253","0","256","0"
"203","257","386","386","386","257","386","386","257","386","0","386","0","0","257","257","242","35","0","386","257","78","0","254","254","254","254","0","257","0"
"204","259","388","388","388","259","388","388","259","388","0","388","0","0","259","259","244","35","0","388","259","78","0","256","256","256","256","0","259","0"
"205","260","390","390","390","260","390","390","260","390","0","390","0","0","260","260","245","35","0","390","260","79","0","257","257","257","257","0","260","0"
"206","261","392","392","392","261","392","392","261","392","0","392","0","0","261","261","246","35","0","392","261","79","0","259","259","259","259","0","261","0"
"207","263","394","394","394","263","394","394","263","394","0","394","0","0","263","263","248","35","0","394","263","80","0","260","260","260","260","0","263","0"
"208","264","396","396","396","264","396","396","264","396","0","396","0","0","264","264","249","36","0","396","264","80","0","261","261","261","261","0","264","0"
"209","266","398","398","398","266","398","398","266","398","0","398","0","0","266","266","251","36","0","398","266","81","0","263","263","263","263","0","266","0"
"210","267","400","400","400","267","400","400","267","400","0","400","0","0","267","267","252","36","0","400","267","81","0","264","264","264","264","0","267","0"
"211","268","402","402","402","268","402","402","268","402","0","402","0","0","268","268","253","36","0","402","268","82","0","266","266","266","266","0","268","0"
"212","270","404","404","404","270","404","404","270","404","0","404","0","0","270","270","255","36","0","404","270","82","0","267","267","267","267","0","270","0"
"213","271","406","406","406","271","406","406","271","406","0","406","0","0","271","271","256","37","0","406","271","83","0","268","268","268","268","0","271","0"
"214","272","408","408","408","272","408","408","272","408","0","408","0","0","272","272","257","37","0","408","272","83","0","270","270","270","270","0","272","0"
"215","274","411","411","411","274","411","411","274","411","0","411","0","0","274","274","259","37","0","411","274","84","0","271","271","271","271","0","274","0"
"216","275","413","413","413","275","413","413","275","413","0","413","0","0","275","275","260","37","0","413","275","84","0","273","273","273","273","0","275","0"
"217","277","415","415","415","277","415","415","277","415","0","415","0","0","277","277","262","37","0","415","277","85","0","274","274","274","274","0","277","0"
"218","278","417","417","417","278","417","417","278","417","0","417","0","0","278","278","263","38","0","417","278","85","0","275","275","275","275","0","278","0"
"219","279","419","419","419","279","419","419","279","419","0","419","0","0","279","279","264","38","0","419","279","86","0","277","277","277","277","0","279","0"
"220","281","421","421","421","281","421","421","281","421","0","421","0","0","281","281","266","38","0","421","281","86","0","278","278","278","278","0","281","0"
"221","282","423","423","423","282","423","423","282","423","0","423","0","0","282","282","267","38","0","423","282","87","0","279","279","279","279","0","282","0"
"222","284","425","425","425","284","425","425","284","425","0","425","0","0","284","284","269","38","0","425","284","87","0","281","281","281","281","0","284","0"
"223","285","427","427","427","285","427","427","285","427","0","427","0","0","285","285","270","39","0","427","285","88","0","282","282","282","282","0","285","0"
"224","286","429","429","429","286","429","429","286","429","0","429","0","0","286","286","271","39","0","429","286","88","0","284","284","284","284","0","286","0"
"225","288","431","431","431","288","431","431","288","431","0","431","0","0","288","288","273","39","0","431","288","89","0","285","285","285","285","0","288","0"
"226","289","433","433","433","289","433","433","289","433","0","433","0","0","289","289","274","39","0","433","289","89","0","286","286","286","286","0","289","0"
"227","291","436","436","436","291","436","436","291","436","0","436","0","0","291","291","276","39","0","436","291","90","0","288","288","288","288","0","291","0"
"228","292","438","438","438","292","438","438","292","438","0","438","0","0","292","292","277","40","0","438","292","90","0","289","289","289","289","0","292","0"
"229","293","440","440","440","293","440","440","293","440","0","440","0","0","293","293","278","40","0","440","293","91","0","291","291","291","291","0","293","0"
"230","295","442","442","442","295","442","442","295","442","0","442","0","0","295","295","280","40","0","442","295","91","0","292","292","292","292","0","295","0"
"231","296","444","444","444","296","444","444","296","444","0","444","0","0","296","296","281","40","0","444","296","92","0","293","293","293","293","0","296","0"
"232","297","446","446","446","297","446","446","297","446","0","446","0","0","297","297","282","40","0","446","297","92","0","295","295","295","295","0","297","0"
"233","299","448","448","448","299","448","448","299","448","0","448","0","0","299","299","284","41","0","448","299","93","0","296","296","296","296","0","299","0"
