Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7_0,Unknown7_1,Unknown7_2,Unknown7_3,Unknown7_4,Unknown7_5,Unknown8_0,Unknown8_1,Unknown9_0,Unknown9_1,Unknown9_2,Unknown9_3,Unknown9_4,Unknown9_5,Unknown9_6,Unknown9_7,Unknown9_8,Unknown9_9,Unknown9_10,Unknown9_11,Unknown9_12,Unknown9_13,Unknown9_14,Unknown9_15,Unknown9_16,Unknown9_17,Unknown10_0,Unknown10_1,Unknown10_2,Unknown10_3,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17_0,Unknown17_1,Unknown17_2,Unknown17_3,Unknown17_4,Unknown17_5,Unknown18
"11","Fast Magma","0","0","0","0","0","4","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0.025","0","0.025","0","0.55","0.45","0.35","0","0","0","1","0.05","0","0","0","0","0","0","0","0","16737792","0","0","120","0","7","0","2","1","1","2","30","1","257"
"12","Fast Slime","0","0","0","0","0","0","XTextures\slime\slime.%d.blp","XTextures\slime\Slime0","XTextures\slime\Slime1","XTextures\slime\Slime2","","","0","0","0","0.025","0","0.025","0","0.55","0.45","0.35","0","0","0","1","0.05","0","0","0","0","0","0","0","0","16737792","0","0","66","1","6","0","3","0","0","2","30","1","257"
"13","WMO Water","0","0","0","0","0","1","XTextures\river\lake_a.%d.blp","proceduralWmoWaterTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","0.25","0.5","270","0.5","1","1","0.2","0.7","0.2","0.1","1","0.7","1","0","0","1","1250","0","0","0","15","0","0","0","0","0","0","1","30","1","257"
"14","WMO Ocean","0","30","0.5","0.5","0.25","1","XTextures\ocean\ocean_h.%d.blp","proceduralOceanDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0.25","180","1","0.25","0.625","270","0.5","1","0.25","0.2","0.7","0.2","0.1","1","1","2","0","0","1","1250","0","0","0","15","2","0","0","1","0","0","1","30","1","257"
"15","Green Lava","0","0","0","0","0","4","XTextures\LavaGreen\lavagreen.%d.blp","XTextures\GreenLava\LavaGreen0","XTextures\GreenLava\LavaGreen1","XTextures\GreenLava\LavaGreen2","","","0","0","0","0.025","0","0.15","0","2.5","1.5","1.3","0","0","0","1","0.01","0","0","0","0","0","0","0","0","6867968","0","0","120","0","6","0","2","1","1","2","30","1","257"
"17","WMO Water - Interior","0","0","0","0","0","1","XTextures\river\lake_a.%d.blp","proceduralWmoWaterTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","0.25","0.5","270","1","0.5","0.5","0.2","0.7","0.2","0.1","1","0.5","1","0","0","1","1250","0","0","0","15","0","0","0","0","0","0","1","30","1","257"
"19","WMO Magma","0","0","0","0","0","4","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0.025","0.1","0.1","270","2.2","1.8","1.4","270","270","270","1","0.02","0","0","0","0","0","0","0","0","16737792","0","0","120","0","7","0","2","1","1","2","30","1","257"
"20","WMO Slime","0","0","0","0","0","0","XTextures\slime\slime.%d.blp","XTextures\slime\Slime0","XTextures\slime\Slime1","XTextures\slime\Slime2","","","0","0","0","0.025","0.1","0.1","270","2.2","1.8","1.4","270","270","270","0","0.03","0","0","0","0","0","0","0","0","0","0","0","66","1","6","0","3","0","0","2","30","1","257"
"21","Naxxramas - Slime","28801","0","0","0","0","0","XTextures\slime\slime.%d.blp","XTextures\slime\Slime0","XTextures\slime\Slime1","XTextures\slime\Slime2","","","0","0","0","0.025","0","0.025","0","0.55","0.45","0.35","0","0","0","1","0.05","0","0","0","0","0","0","0","0","16737792","0","0","66","1","6","0","3","0","0","2","30","1","257"
"41","Coilfang Raid - Water","37025","0","0","0","0","1","XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","0.25","0.5","270","1","0.5","0.5","0.2","0.7","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","15","0","0","0","0","0","0","1","30","1","257"
"61","Hyjal Past - Water","42201","0","0","0","0","1","XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","1","2.5","90","1","0.5","0.5","0.2","0.7","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","15","0","0","0","0","0","0","1","30","1","257"
"81","Lake Wintergrasp - Water","36444","0","0","0","0","1","XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","1","2.5","90","1","0.5","0.5","0.2","0.7","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","15","0","0","0","0","0","0","1","30","1","257"
"100","Basic Procedural Water","0","30","0.5","0.5","0.25","1","","","","","","","164","840","1.331234E-43","0","0","0","0","1","0","1","0.1","0.5","0","1","1","0.5","0","0","300","0.333","1045220557","1036831949","1045220557","1061997773","52429","15948","1","0","0","0","226","4","0","0","226","4","0"
"101","Basic Procedural Water - WMO","0","30","0.5","0.5","0","1","","","","","","","164","840","1.331234E-43","0","0","0","0","1","0","1","0.025","0.125","0","0.1","1","0","0","0","300","0.333","1045220557","1036831949","1045220557","1061997773","52429","15948","1","0","0","0","226","4","0","0","226","4","0"
"121","CoA Black - Magma","57634","0","0","0","0","4","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0","0.1","0.025","0","0.55","0.45","0.35","0","0","0","1","0.05","0","0","0","0","0","0","0","0","16737792","0","0","120","0","7","0","2","1","1","2","30","1","257"
"141","Chamber Magma","57634","0","0","0","0","4","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0","0.1","0.025","0","0.55","0.45","0.35","0","0","0","1","0.05","0","0","0","0","0","0","0","0","16737792","0","0","120","0","7","0","2","1","1","2","30","1","257"
"181","Orange Slime","0","0","0","0","0","1","XTextures\LavaOrange\LavaOrange.%d.blp","proceduralRiverDepthTex","XTextures\ocean\oceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","2","0","8.5","1","1.25","0","0.5","1","1","0.2","0.7","0.2","0.1","1","0.2","2.5","0","0","0","1250","0","0","0","15","0","0","0","0","0","0","1","30","1","257"
"221","Gary Test Water","0","0","0","0","0","0","","","","","","","164","840","1.331234E-43","0","0","0","0","1","0","1","0.1","0.5","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","226","4","0","0","226","4","0"
"301","Shallow Water","0","0","0","0","0","1","XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","1","2.5","90","0.5","0","0.5","0.2","0.7","0.2","0.1","1","1","2.5","0.8","1045220557","0","1250","0","1250","0","15","0","0","0","0","0","0","1","30","1","257"
"302","Magma 2","0","0","0","0","0","4","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","","0","0","0","0","0.025","0","0.55","0.45","0.35","0","0","0","1","0.05","0","0","0","0","0","0","0","0","0","0","26112","255","0","0","0","0","120","0","7","0","2","1","1025"
"303","WMO Magma 2","0","0","0","0","0","4","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","","0","0","0","0","0.1","0","2.2","1.8","1.4","0","0","0","1","0.05","0","0","0","0","0","0","0","0","0","0","26112","255","0","0","0","0","120","0","7","0","2","1","1025"
"321","New River","0","30","0.5","0.5","0","1","","","","","","","38","840","1.331234E-43","0","0","0","0","1","0","1","0.1","0.5","0","1","1","0","0","0","300","0.333","1045220557","1036831949","1045220557","1061997773","52429","15948","0","0","0","0","226","4","0","0","226","4","0"
"324","TEST Shallow Water","0","30","0.5","0.5","0","1","","","","","","","164","840","1.331234E-43","0","0","0","0","1","0","1","0.1","0.5","0","0.1","0","0","0","0","300","0.333","1045220557","1036831949","1045220557","1061997773","52429","15948","1","0","0","0","226","4","0","0","226","4","0"
"350","Mercury Water","0","30","0.5","0.5","0.25","1","XTextures\river\lake_a.%d.blp","proceduralOceanDepthTex","XTextures\ocean\mercurybump.blp","","","","0","0","0","0","1","0","1","1","1.25","0","0.5","0","0","0.1","0.7","0.2","0.1","1","1.3","2.5","1061997773","1045220557","1","1250","1","0","226","4","0","0","15","0","0","0","1","0","1280"
"397","Hack Fix Magma for Jesse","0","0","0","0","0","4","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0.025","0","0.025","0","0.55","0.45","0.35","0","0","0","1","0.005","0","0","0","0","0","0","0","0","16737792","0","0","120","0","7","0","2","1","1","2","30","1","257"
"404","Blackwing Descent - Magma","81114","0","0","0","0","4","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0","0.1","0.025","0","0.55","0.45","0.35","0","0","0","1","0.05","0","0","0","0","0","0","0","0","16737792","0","0","120","0","7","0","2","1","1","2","30","1","257"
"406","Grid","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"407","River Water Smooth","0","0","0","0","0","0","xtextures\river\lake_a.%d.blp","proceduralRiverDepthTex","xtextures\ocean\oceanbump.blp","xtextures\foam\waterchop7bw.blp","","","0","0","0","20","0","0","5","6","0.5","0.5","0","1","0.3","1","0.1","0.1","1","0.2","1","0","0","0","1200","0","0","0","0","0","0","0","0","0","0","1","30","1","257"
"411","WMO Shallow Water - Interior","0","0","0","0","0","1","XTextures\river\lake_a.%d.blp","proceduralWmoWaterTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","0.25","0.5","270","1","0","0.5","0.2","0.7","0.2","0.1","1","0.5","2.5","0","0","1","1250","0","0","0","15","0","0","0","0","0","0","1","30","1","257"
"412","WMO Mercury Water - Interior","0","30","0.5","0.5","0.25","1","XTextures\river\lake_a.%d.blp","proceduralOceanDepthTex","XTextures\ocean\mercurybump.blp","","","","0","0","0","0","1","0","1","1","1.25","0","0.5","0","0","0.1","0.7","0.2","0.1","1","1.3","2.5","1061997773","1045220557","1","1250","1","0","226","4","0","0","15","0","0","0","1","0","1280"
"671","Firelands - Magma","97151","0","0","0","0","4","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0","0.1","0.025","0","0.55","0.45","0.35","0","0","0","1","0.05","0","0","0","0","0","0","0","0","16737792","0","0","120","0","7","0","2","1","1","2","30","1","257"
"689","Fast Water Hyjal Magic","0","0","0","0","0","1","XTextures\river\fast_a.%d.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","1","2.5","90","0.5","0.5","0.5","0.2","0.7","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","15","0","0","0","0","0","0","1","16","1","257"
"733","Hawaii Liquid Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4294967040","0","0.0001","0.5","1","0.5","0.1","90","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"739","Fall of Azeroth - Magma","101619","0","0","0","0","4","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0","0.1","0.025","0","0.55","0.45","0.35","0","0","0","1","0.05","0","0","0","0","0","0","0","0","16737792","0","0","120","0","7","0","2","1","1","2","30","1","257"
"750","Jade Forest Swamp Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4285300313","0","0.0001","0.5","1","0.5","0.1","90","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"751","JF - Witch House Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","2927212409","0","0.0001","0.5","1","0.5","0.1","90","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"752","TestLavaFog","0","0","0","0","0","1","xtextures\splash\wake.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4292876831","0","0.0009","0.1","1","1","0.01","45","0.5","0.5","0.5","0.2","0.2","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"760","ZoneB Forest Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4280895039","0","0.001","0.3","1","0.7","0.5","90","0.5","0.5","0.5","0.03","0.03","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"761","Zone B Marsh Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4290036916","0","0.0001","0.5","1","0.5","0.1","90","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"763","Turtle - Staff Forest Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","3743129528","0","0.001","0.3","1","0.7","0.5","90","0.5","0.5","0.5","0.03","0.03","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"764","Despair Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","3747294581","0","0.001","0.3","1","0.7","0.5","90","0.5","0.5","0.5","0.03","0.03","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"765","Mogu Creepy Fog","0","0","0","0","0","0.1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4284383620","0","0.001","0.1","1","0.5","0.5","24","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","2","4","10","1","1","257"
"787","Sha Fog","0","0","0","0","0","0.1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","2953450812","0","0.0001","0.8","1","1","1","24","0.5","0.5","0.5","0.05","0.05","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","2","4","10","1","1","257"
"805","Black Bamboo Fog","0","0","0","0","0","0.1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4283990404","0","0.001","0.1","1","0.5","0.5","24","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","4","10","1","1","257"
"806","Zone D - Mogu Ruins Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4288660415","0","0.0001","0.5","1","0.5","0.1","25","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"807","Zone D - FogBeast","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4282995213","0","0.0001","0.5","1","0.5","0.1","25","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"808","Dread Wastes Sha Scar Fog black","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4279238656","0","0.0001","0.5","1","0.5","0.1","90","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"809","Dread Wastes Sha Scar Fog red","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4284350464","0","0.0001","0.5","1","0.5","0.1","90","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"812","Zone D - Mantid_Mystic_Lake","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4284374622","0","0.0001","0.5","1","0.5","0.1","25","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"814","ITK - Swamp Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4283989432","0","0.001","0.3","1","0.7","0.5","90","0.5","0.5","0.5","0.03","0.03","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"834","Purple Sands Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4290749878","0","0.0001","0.7","1","1","0.1","90","0.5","0.5","0.5","0.09","0.09","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"837","Fast Water Hyjal Magic - Color Variant","0","0","0","0","0","1","XTextures\river\fast_a.%d.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","1","2.5","90","0.5","0.5","0.5","0.2","0.7","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","15","0","0","0","0","0","0","1","16","1","257"
"839","Shadowmoon Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","3392441320","0","0.0001","0.08","1","0.5","0.1","90","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"844","Slow Blood Water","0","0","0","0","0","1","XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","1","2.5","90","0.7","0.5","0.5","0.2","0.5","0.2","0.1","1","0.7","2.5","0","0","0","1250","0","0","0","15","0","0","0","0","0","0","1","30","1","257"
"848","6XP Shattrath Rise Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4290036916","0","0.0001","0.5","1","0.5","0.1","90","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"849","6SM Faerie Dragon Fog","0","0","0","0","0","0.1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4284700906","0","0.001","0.5","1","0.5","0.5","24","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","4","10","1","1","257"
"850","SpiresSwampFog","0","0","0","0","0","1","xtextures\ocean\01basicwaterheighttex_25.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4282265143","0","0.1","150","1","1","1","320","0.5","0.5","0.5","0.5","0.1","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"851","6ar Steam Pools Fog","0","0","0","0","0","0.1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4291414209","0","0.001","0.5","1","0.5","0.5","24","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","4","10","1","1","257"
"852","6ar Steam Pools Fog","0","0","0","0","0","0.1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4293519583","0","0.001","0.5","1","0.5","0.5","24","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","4","10","1","1","257"
"853","Gorgrond Spore Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4294494266","0","0.0001","0.3","1","0.5","0.1","90","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"855","6AS_HordeStaging_Troll_Fog","0","0","0","0","0","0.1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4286150026","0","0.001","0.35","1","0.5","0.5","24","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","4","10","1","1","257"
"856","Slime - Very Slow","0","0","0","0","0","0","XTextures\slime\slime.%d.blp","XTextures\slime\Slime0","XTextures\slime\Slime1","XTextures\slime\Slime2","","","0","0","0","0.01","0","0.025","0","0.55","0.45","0.35","0","0","0","1","0.02","0","0","0","0","0","0","0","0","16737792","0","0","66","1","6","0","3","0","0","2","30","1","257"
