Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5_0,Unknown5_1,Unknown5_2,Unknown6,Unknown7,Unknown8,Unknown9
"43","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"44","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"45","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"46","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"47","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"48","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"49","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"50","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"51","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"52","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"53","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"54","0.85","0.5","1","0.75","1","0","0","0","0","0","0","0"
"55","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"56","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"57","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"58","0","0.5","1","0.75","1","0","0","0","0","1","0","0"
"59","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"60","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"61","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"62","0.3","0.5","1","0.75","1","0","0","0","0","1","0","0"
"63","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"64","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"65","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"66","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"67","0.85","0.5","1","0.75","1","0","0","0","0","1","0","0"
"68","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"69","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"70","0.65","0.5","1","0.75","1","0","0","0","0","1","0","0"
"71","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"72","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"73","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"74","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"75","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"76","0.7","0.5","1","0.75","1","0","0","0","0","0","0","0"
"77","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"78","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"79","0.2","0.85","1","0.75","1","0","0","0","0","1","0","0"
"80","0.6","0.5","1","0.75","1","0","0","0","0","1","0","0"
"81","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"82","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"83","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"84","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"85","0.9","0.5","1","0.75","1","0","0","0","0","0","0","0"
"86","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"87","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"88","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"89","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"90","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"91","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"92","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"93","0.65","0.5","1","0.75","1","0","0","0","0","0","0","0"
"94","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"95","0","0","0","0","0","0","0","0","0","0","0","0"
"96","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"97","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"98","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"99","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"100","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"101","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"102","0.8","0.5","1","0.75","1","0","0","0","0","1","0","0"
"103","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"104","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"105","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"106","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"107","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"108","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"109","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"110","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"111","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"112","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"113","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"114","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"115","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"116","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"117","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"118","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"119","0.85","0.5","1","0.75","1","0","0","0","0","0","0","0"
"120","0.75","0.5","1","0.75","1","0","0","0","0","1","0","0"
"121","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"122","0.75","0.5","1","0.75","1","0","0","0","0","1","0","0"
"123","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"124","0.2","0.5","1","0.75","1","0","0","0","0","1","0","0"
"125","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"126","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"127","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"128","0.2","0.5","1","0.75","1","0","0","0","0","1","0","0"
"129","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"130","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"131","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"132","0.8","0.5","1","0.75","1","0","0","0","0","1","0","0"
"133","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"134","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"135","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"136","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"137","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"138","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"139","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"140","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"141","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"142","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"143","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"144","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"145","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"146","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"147","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"148","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"149","0.2","0.5","1","0.75","1","0","0","0","0","1","0","0"
"150","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"151","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"152","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"153","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"154","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"155","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"156","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"157","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"158","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"159","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"160","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"161","0.85","0.5","1","0.75","1","0","0","0","0","1","0","0"
"162","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"163","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"164","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"165","0.75","0.5","1","0.75","1","0","0","0","0","1","0","0"
"166","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"167","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"168","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"169","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"170","0.65","0.5","1","0.75","1","0","0","0","0","0","0","0"
"171","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"172","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"173","0.3","0.85","1","0.75","1","0","0","0","0","1","0","0"
"174","0","0","0","0","0","0","0","0","0","0","0","0"
"175","0.75","0.5","1","0.8","1","0","0","0","0","0","0","0"
"176","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"177","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"178","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"179","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"180","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"181","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"182","0.85","0.5","1","0.75","1","0","0","0","0","0","0","0"
"183","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"184","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"185","1","0.5","1","0.75","0","0","0","0","0","1","0","0"
"186","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"187","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"188","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"189","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"190","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"191","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"192","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"193","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"194","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"195","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"196","0.1","0.5","1","0.75","1","0","0","0","0","1","0","0"
"197","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"198","0.3","0.5","1","0.75","1","0","0","0","0","0","0","0"
"199","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"200","0.1","0.5","1","0.75","1","0","0","0","0","1","0","0"
"201","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"202","0.65","0.5","1","0.75","1","0","0","0","0","0","0","0"
"203","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"204","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"205","0.2","0.5","1","0.75","1","0","0","0","0","0","0","0"
"206","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"207","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"208","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"209","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"210","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"211","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"212","0","0.5","1","0.75","1","0","0","0","0","0","0","0"
"213","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"214","0.2","0.5","1","0.75","1","0","0","0","0","0","0","0"
"215","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"216","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"217","0.2","0.5","1","0.75","1","0","0","0","0","1","0","0"
"218","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"219","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"220","0.75","0.5","0.6","0.75","1","0","0","0","0","0","0","0"
"221","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"222","0.85","0.5","1","0.75","1","0","0","0","0","0","0","0"
"223","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"224","0.6","0.5","0.9","0.75","1","0","0","0","0","0","0","0"
"225","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"226","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"227","0.3","0.5","1","0.75","1","0","0","0","0","1","0","0"
"228","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"229","0.75","0.5","1","0.75","1","0","0","0","0","1","0","0"
"230","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"231","0.85","0.6","1","0.75","1","0","0","0","0","1","0","0"
"232","0.6","0.5","1","0.75","1","0","0","0","0","1","0","0"
"233","1","0.5","1","0.75","1","0","0","0","0","1","0","0"
"234","0.85","0.5","1","0.75","1","0","0","0","0","1","0","0"
"235","1","0.5","1","0.75","1","0","0","0","0","1","0","0"
"236","0.85","0.5","1","0.75","1","0","0","0","0","0","0","0"
"237","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"238","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"239","0.2","1","1","0.75","1","0","0","0","0","1","0","0"
"240","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"241","1","0.5","1","0.75","1","0","0","0","0","1","0","0"
"242","1","0.5","1","0.75","1","0","0","0","0","1","0","0"
"243","1","0.5","1","0.75","1","0","0","0","0","1","0","0"
"244","1","0.5","1","0.75","1","0","0","0","0","1","0","0"
"245","1","0.5","1","0.75","1","0","0","0","0","1","0","0"
"246","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"247","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"248","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"249","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"250","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"251","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"252","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"253","0","0.5","1","0.75","1","0","0","0","0","0","0","0"
"254","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"255","0.75","0.5","1","0.75","1","0","0","0","0","1","0","0"
"256","0.2","0.5","1","0.75","1","0","0","0","0","1","0","0"
"257","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"258","0.85","0.5","1","0.75","1","0","0","0","0","0","0","0"
"259","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"260","0.8","1","1","0.75","1","0","0","0","0","0","0","0"
"261","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"262","0","0.5","1","0.75","1","0","0","0","0","0","0","0"
"263","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"264","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"265","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"266","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"267","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"268","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"269","0","0.5","1","0.75","1","0","0","0","0","0","0","0"
"270","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"271","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"272","0.3","0.5","1","0.75","1","0","0","0","0","1","0","0"
"273","0.3","0.5","1","0.75","1","0","0","0","0","0","0","0"
"274","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"275","0.3","0.5","1","0.75","1","0","0","0","0","0","0","0"
"276","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"277","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"278","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"279","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"280","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"281","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"282","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"283","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"284","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"285","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"286","0.85","0.5","1","0.75","1","0","0","0","0","0","0","0"
"287","1","0.5","1","0.75","1","0","0","0","0","1","0","0"
"288","0","0.5","1","0.75","1","0","0","0","0","0","0","0"
"289","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"290","0.3","0.5","1","0.75","1","0","0","0","0","0","0","0"
"291","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"292","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"293","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"294","0.6","0.5","1","0.75","1","0","0","0","0","1","0","0"
"295","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"296","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"297","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"298","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"299","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"300","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"301","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"302","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"303","0.2","0.5","1","0.75","1","0","0","0","0","1","0","0"
"304","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"305","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"306","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"307","0.5","0.5","1","0.75","0","0","0","0","0","0","0","0"
"308","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"309","0.3","0.5","1","0.75","1","0","0","0","0","0","0","0"
"310","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"311","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"312","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"313","0.65","0.5","1","0.75","1","0","0","0","0","1","0","0"
"314","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"315","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"316","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"317","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"318","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"319","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"320","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"321","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"322","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"323","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"324","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"325","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"326","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"327","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"328","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"329","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"330","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"331","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"332","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"333","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"334","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"335","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"336","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"337","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"338","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"339","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"340","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"341","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"342","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"343","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"344","0.1","0.5","1","0.75","1","0","0","0","0","1","0","0"
"345","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"346","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"347","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"348","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"349","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"350","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"351","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"352","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"353","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"354","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"355","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"356","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"357","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"358","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"359","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"360","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"361","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"362","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"363","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"364","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"365","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"366","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"367","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"368","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"369","0.5","0.5","1","0.75","1","0","0","0","0","0","0","0"
"370","0.65","0.85","1","0.75","1","0","0","0","0","1","0","0"
"371","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"372","0.65","0.85","1","0.75","1","0","0","0","0","1","0","0"
"373","0.65","0.85","1","0.75","1","0","0","0","0","1","0","0"
"374","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"375","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"376","0","0","0","0","0","0","0","0","0","0","0","0"
"377","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"378","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"379","0.25","0.5","1","0.75","1","0","0","0","0","1","0","0"
"380","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"381","0.25","0.5","1","0.75","0","0","0","0","0","1","0","0"
"382","0.7","0.5","1","0.75","1","0","0","0","0","0","0","0"
"383","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"384","0.4","0.5","1","0.75","1","0","0","0","7","0","0","0"
"385","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"386","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"387","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"388","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"389","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"390","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"391","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"392","0.5","0.5","1","0.75","1","0","0","0","0","1","0","0"
"393","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"394","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"395","0.25","0.5","1","0.75","1","0","0","0","0","1","0","0"
"396","0","0.45","1","0.75","0.5","0","0","0","12","1","0","0"
"397","0.75","0.5","1","0.75","1","0","0","0","0","0","0","0"
"398","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"399","0.5","0.5","1","0.5","1","0","0","0","0","0","0","0"
"400","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"401","0.6","0.5","1","0.75","1","0","0","0","0","0","0","0"
"402","0.75","0.5","1","0.75","1","0","0","0","1","0","0","0"
"403","0.75","0.5","1","0.75","1","0","0","0","1","0","0","0"
"404","0.5","0.5","1","0.75","1","0","0","0","5","1","0","0"
"405","0","0.5","1","0.75","1","0","0","0","0","1","0","0"
"406","0","0.5","1","0.75","1","0","0","0","0","1","0","0"
"407","0.65","0.5","1","0.75","1","0","0","0","0","0","0","0"
"408","0.4","0.5","1","0.75","1","0","0","0","0","0","0","0"
"409","0.65","0.85","1","0.75","1","0","0","0","0","1","0","0"
"410","0.8","0.5","1","0.75","1","0","0","0","0","0","0","0"
"411","0.8","0.5","1","0.75","1","0","0","0","0","0","0","0"
"412","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"413","1","0.5","1","0.75","1","0","0","0","0","0","0","0"
"414","0.8","1","1","0.75","1","0","0","0","0","0","0","0"
"415","0.8","0.5","1","0.75","1","0","0","0","0","0","0","0"
