Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10_0,Unknown10_1,Unknown10_2,Unknown10_3,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22
"53","1073758272","0","ThievesCamp","0","Thieves Camp","0","12","155","35","1","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"54","1073758272","0","JasperlodeMine","0","Jasperlode Mine","0","12","550","35","1","0","0","0","0","0","0","675","-1","0","11","8","0","15","0","0","0","0"
"55","1073758272","0","ValleyofHeroesUNUSED","0","Valley of Heroes UNUSED","0","12","156","35","13","61","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"56","1073758272","0","Heroes'Vigil","0","Heroes' Vigil","0","12","157","35","1","673","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"57","1073758272","0","FargodeepMine","0","Fargodeep Mine","0","12","158","35","1","0","0","0","0","0","0","675","-1","0","11","5","0","15","0","0","0","0"
"59","1074806784","0","NorthshireVineyards","0","Northshire Vineyards","0","6170","159","582","785","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"60","1073758272","0","Forest'sEdge","0","Forest's Edge","0","12","606","35","1","0","0","0","0","0","0","675","-1","0","11","8","0","15","0","0","0","0"
"61","1073758272","0","ThunderFalls","0","Thunder Falls","0","12","160","35","1","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"62","1073758272","0","PumpkinPatch","0","Brackwell Pumpkin Patch","0","12","161","35","1","671","0","0","0","0","0","675","-1","0","11","8","0","15","0","0","0","0"
"63","1073758272","0","TheStonefieldFarm","0","The Stonefield Farm","0","12","162","35","1","0","0","0","0","0","0","675","-1","0","11","6","0","15","0","0","0","0"
"64","1073758272","0","TheMaclureVineyards","0","The Maclure Vineyards","0","12","163","35","1","676","0","0","0","0","0","675","-1","0","11","6","0","15","0","0","0","0"
"65","16452","0","Dragonblight","0","Dragonblight","571","0","164","439","412","545","0","0","0","0","0","675","-1","0","11","0","0","15","22","23","0","0"
"66","16452","0","ZulDrak","0","Zul'Drak","571","0","165","441","423","544","0","0","0","0","0","675","-1","0","11","76","0","15","22","23","0","0"
"67","16449","0","TheStormPeaks","0.6","The Storm Peaks","571","0","166","465","420","0","0","0","0","0","0","675","-1","0","11","77","0","15","22","23","0","0"
"68","1073758272","0","LakeEverstill","0","Lake Everstill","0","44","557","0","1","0","0","0","0","0","0","675","-1","0","11","16","0","15","0","0","0","0"
"69","1075855424","0","Lakeshire","0","Lakeshire","0","44","167","0","1","0","0","0","0","0","0","675","-1","0","11","15","0","15","0","0","0","0"
"70","1073758272","0","Stonewatch","0","Stonewatch","0","44","168","0","1","0","0","0","0","0","0","675","-1","0","11","24","0","15","0","0","0","0"
"71","1073758272","0","StonewatchFalls","0","Stonewatch Falls","0","44","627","0","1","0","0","0","0","0","0","675","-1","0","11","20","0","15","0","0","0","0"
"72","1073758272","0","TheDarkPortal","0","The Dark Portal","0","4","169","210","7","649","0","0","0","0","0","675","-1","0","11","63","0","15","0","0","0","0"
"73","1073758272","0","TheTaintedScar","0","The Tainted Scar","0","4","170","0","731","0","0","0","0","0","0","675","-1","0","11","50","0","15","0","0","0","0"
"74","1073758272","0","PoolofTears","0","Pool of Tears","0","8","171","0","0","0","0","0","0","0","0","675","-1","0","11","53","0","15","0","0","0","0"
"75","1075855424","0","Stonard","0","Stonard","0","8","172","0","0","0","0","0","0","0","0","675","-1","0","11","54","0","15","0","0","0","0"
"76","1073758272","0","FallowSanctuary","0","Fallow Sanctuary","0","8","173","0","0","0","0","0","0","0","0","675","-1","0","11","53","0","15","0","0","0","0"
"77","1076903936","0","Anvilmar","0","Anvilmar","0","6176","174","42","8","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"80","1073758272","0","StormwindMountains","0","Stormwind Mountains","0","12","175","35","17","0","0","0","0","0","0","675","-1","0","11","10","2","15","0","0","0","0"
"81","1073741888","0","JeffNEQuadrantChanged","0","Jeff NE Quadrant Changed","451","22","575","0","0","0","0","0","0","0","0","675","-1","0","11","0","0","13","0","0","0","0"
"82","1073741888","0","JeffNWQuadrant","0","Jeff NW Quadrant","451","22","176","0","0","0","0","0","0","0","0","675","-1","0","11","0","0","13","0","0","0","0"
"83","1073741888","0","JeffSEQuadrant","0","Jeff SE Quadrant","451","22","177","0","0","0","0","0","0","0","0","675","-1","0","11","0","0","13","0","0","0","0"
"84","1073741888","0","JeffSWQuadrant","0","Jeff SW Quadrant","451","22","178","0","0","0","0","0","0","0","0","675","-1","0","11","0","0","13","0","0","0","0"
"85","16448","0","TirisfalGlades","0.3","Tirisfal Glades","0","0","179","601","2","0","0","0","0","0","0","675","-1","0","11","0","4","15","1","2","0","0"
"86","1073758272","0","StoneCircleLake","0","Stone Cairn Lake","0","12","180","35","1","0","0","0","0","0","0","675","-1","0","11","8","0","15","0","0","0","0"
"87","1076904000","0","Goldshire","0","Goldshire","0","12","548","35","1","0","0","0","0","0","0","675","-1","0","11","5","0","15","0","0","0","0"
"88","1073758272","0","EastvaleLoggingCamp","0","Eastvale Logging Camp","0","12","181","35","1","672","0","0","0","0","0","675","-1","0","11","6","0","15","0","0","0","0"
"89","1073758272","0","ThunderFallsOrchard","0","Mirror Lake Orchard","0","12","182","35","1","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"91","1073758272","0","TowerofAzora","0","Tower of Azora","0","12","183","35","1","0","0","0","0","0","0","675","-1","0","11","8","0","15","0","0","0","0"
"92","1073758272","0","MirrorLake","0","Mirror Lake","0","12","558","35","1","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"93","1073758272","0","Vul'GolOgreMound","0","Vul'Gol Ogre Mound","0","10","628","0","774","0","0","0","0","0","0","675","-1","0","11","28","0","15","0","0","0","0"
"94","1073758272","0","RavenHill","0","Raven Hill","0","10","184","0","2","667","0","0","0","0","0","675","-1","0","11","24","0","15","0","0","0","0"
"95","1073758272","0","RedridgeCanyon","0","Redridge Canyons","0","44","185","0","1","0","0","0","0","0","0","675","-1","0","11","20","0","15","0","0","0","0"
"96","1073758272","0","TowerofIlgalar","0","Tower of Ilgalar","0","44","186","0","1","0","0","0","0","0","0","675","-1","0","11","25","0","15","0","0","0","0"
"97","1073758272","0","Alther'sMill","0","Alther's Mill","0","44","187","0","748","0","0","0","0","0","0","675","-1","0","11","19","0","15","0","0","0","0"
"98","1073758272","0","RethbanCaverns","0","Rethban Caverns","0","44","188","0","1","0","0","0","0","0","0","675","-1","0","11","17","0","15","0","0","0","0"
"99","1075855424","0","RebelCamp","0","Rebel Camp","0","33","189","0","3","0","0","0","0","0","0","675","-1","0","11","30","0","15","0","0","0","0"
"100","1073758272","0","Nesingwary'sExpedition","0","Nesingwary's Expedition","0","33","585","0","3","0","0","0","0","0","0","675","-1","0","11","31","0","15","0","0","0","0"
"101","1073758272","0","Kurzen'sCompound","0","Kurzen's Compound","0","33","190","0","715","0","0","0","0","0","0","675","-1","0","11","32","0","15","0","0","0","0"
"102","1073758272","0","RuinsofZul'Kunda","0","Ruins of Zul'Kunda","0","33","586","0","713","0","0","0","0","0","0","675","-1","0","11","41","0","15","0","0","0","0"
"103","1073758272","0","RuinsofZul'Mamwe","0","Ruins of Zul'Mamwe","0","33","191","0","3","0","0","0","0","0","0","675","-1","0","11","40","0","15","0","0","0","0"
"104","1073758272","0","TheVileReef","0","The Vile Reef","0","33","192","567","3","0","0","0","0","0","0","675","-1","0","11","37","0","15","0","0","0","0"
"105","1073758272","0","Mosh'OggOgreMound","0","Mosh'Ogg Ogre Mound","0","33","193","0","963","0","0","0","0","0","0","675","-1","0","11","42","0","15","0","0","0","0"
"106","1073758272","0","TheStockpile","0","The Stockpile","0","33","194","0","3","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"107","1073758272","0","Saldean'sFarm","0","Saldean's Farm","0","40","195","0","9","0","0","0","0","0","0","675","-1","0","11","14","0","15","0","0","0","0"
"108","1076904000","0","SentinelHill","0","Sentinel Hill","0","40","196","0","709","0","0","0","0","0","0","675","-1","0","11","15","0","15","0","0","0","0"
"109","1073758272","0","Furlbrow'sPumpkinFarm","0","Furlbrow's Pumpkin Farm","0","40","197","0","710","0","0","0","0","0","0","675","-1","0","11","15","0","15","0","0","0","0"
"111","1073758272","0","JangolodeMine","0","Jangolode Mine","0","40","198","0","9","0","0","0","0","0","0","675","-1","0","11","12","0","15","0","0","0","0"
"113","1073758272","0","GoldCoastQuarry","0","Gold Coast Quarry","0","40","576","0","9","0","0","0","0","0","0","675","-1","0","11","15","0","15","0","0","0","0"
"115","1073758272","0","WestfallLighthouse","0","Westfall Lighthouse","0","40","199","567","9","0","0","0","0","0","0","675","-1","0","11","17","0","15","0","0","0","0"
"116","1073758272","0","MistyValley","0","Misty Valley","0","8","200","0","0","0","0","0","0","0","0","675","-1","0","11","53","0","15","0","0","0","0"
"117","1075855424","0","Grom'golBaseCamp","0","Grom'gol Base Camp","0","33","629","0","715","0","0","0","0","0","0","675","-1","0","11","35","0","15","0","0","0","0"
"118","1073758272","0","Whelgar'sExcavationSite","0","Whelgar's Excavation Site","0","11","201","0","191","0","0","0","0","0","0","675","-1","0","11","22","0","15","0","0","0","0"
"120","1075855424","0","WestbrookGarrison","0","Westbrook Garrison","0","12","559","35","787","0","0","0","0","0","0","675","-1","0","11","8","0","15","0","0","0","0"
"121","1073758272","0","TranquilGardensCemetery","0","Tranquil Gardens Cemetery","0","10","202","0","771","0","0","0","0","0","0","675","-1","0","11","28","0","15","0","0","0","0"
"122","1073758272","0","ZuuldaiaRuins","0","Zuuldaia Ruins","0","33","203","567","713","0","0","0","0","0","0","675","-1","0","11","37","0","15","0","0","0","0"
"123","1073758272","0","Bal'lalRuins","0","Bal'lal Ruins","0","33","204","567","714","0","0","0","0","0","0","675","-1","0","11","34","0","15","0","0","0","0"
"125","1073758272","0","Kal'aiRuins","0","Kal'ai Ruins","0","33","205","0","3","0","0","0","0","0","0","675","-1","0","11","35","0","15","0","0","0","0"
"126","1073758272","0","TkashiRuins","0","Tkashi Ruins","0","33","206","0","714","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"127","1073758272","0","Balia'mahRuins","0","Balia'mah Ruins","0","33","207","0","713","0","0","0","0","0","0","675","-1","0","11","40","0","15","0","0","0","0"
"128","1073758272","0","Ziata'jaiRuins","0","Ziata'jai Ruins","0","33","208","0","714","0","0","0","0","0","0","675","-1","0","11","36","0","15","0","0","0","0"
"129","1073758272","0","MizjahRuins","0","Mizjah Ruins","0","33","209","0","3","0","0","0","0","0","0","675","-1","0","11","37","0","15","0","0","0","0"
"130","16448","0","SilverpineForest","0.4","Silverpine Forest","0","0","210","28","2","0","0","0","0","0","0","675","-1","0","11","0","4","15","3","6","0","0"
"131","1076904000","0","Kharanos","0","Kharanos","0","1","211","0","0","0","0","0","0","0","0","675","-1","0","11","5","0","15","0","0","0","0"
"132","1074806784","0","ColdridgeValley","0","Coldridge Valley","0","6176","212","42","759","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"133","1073758208","0","Gnomeregan","0","New Tinkertown","0","6457","213","42","765","665","0","0","0","0","0","675","-1","0","11","10","0","15","0","0","0","0"
"134","1073758272","0","GolBolarQuarry","0","Gol'Bolar Quarry","0","1","214","0","8","0","0","0","0","0","0","675","-1","0","11","10","0","15","0","0","0","0"
"135","1073758208","0","FrostmaneHold","0","Frostmane Hold","0","6457","215","42","0","121","0","0","0","0","0","675","-1","0","11","7","0","15","0","0","0","0"
"136","1073758272","0","TheGrizzledDen","0","The Grizzled Den","0","1","216","0","0","666","0","0","0","0","0","675","-1","0","11","5","0","15","0","0","0","0"
"137","1075855424","0","BrewnallVillage","0","Brewnall Village","0","6457","217","0","0","0","0","0","0","0","0","675","-1","0","11","7","0","15","0","0","0","0"
"138","1073758272","0","MistyPineRefuge","0","Misty Pine Refuge","0","1","218","0","8","664","0","0","0","0","0","675","-1","0","11","7","0","15","0","0","0","0"
"139","16448","0","EasternPlaguelands","0.5","Eastern Plaguelands","0","0","219","37","775","0","0","0","0","0","0","675","-1","0","11","0","0","15","12","13","0","0"
"141","16448","0","Teldrassil","0.4","Teldrassil","1","0","220","584","11","0","0","0","0","0","0","675","-1","0","11","0","2","15","1","2","0","0"
"142","1073758272","0","Ironband'sExcavationSite","0","Ironband's Excavation Site","0","38","221","0","1","681","0","0","0","0","0","675","-1","0","11","15","0","15","0","0","0","0"
"143","1073758272","0","Mo'groshStronghold","0","Mo'grosh Stronghold","0","38","222","573","793","0","0","0","0","0","0","675","-1","0","11","18","0","15","0","0","0","0"
"144","1076904000","0","Thelsamar","0","Thelsamar","0","38","223","0","1","0","0","0","0","0","0","675","-1","0","11","10","0","15","0","0","0","0"
"145","1073758272","0","AlgazGate","0","Algaz Gate","0","38","224","0","1","0","0","0","0","0","0","675","-1","0","11","18","0","15","0","0","0","0"
"146","1075855424","0","StonewroughtDam","0","Stonewrought Dam","0","38","225","0","1","0","0","0","0","0","0","675","-1","0","11","15","0","15","0","0","0","0"
"147","1073758272","0","TheFarstriderLodge","0","The Farstrider Lodge","0","38","226","0","1","0","0","0","0","0","0","675","-1","0","11","15","0","15","0","0","0","0"
"148","16448","0","Darkshore","0.6","Darkshore","1","0","227","575","867","0","0","0","0","0","0","675","-1","0","0","0","2","15","3","6","0","0"
"149","1073758272","0","SilverStreamMine","0","Silver Stream Mine","0","38","228","0","1","0","0","0","0","0","0","675","-1","0","11","12","0","15","0","0","0","0"
"150","1075855424","0","MenethilHarbor","0","Menethil Harbor","0","11","229","567","702","0","0","0","0","0","0","675","-1","0","11","20","0","15","0","0","0","0"
"151","16448","0","DesignerIsland","0","Designer Island","451","0","560","47","226","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"152","1075855424","0","TheBulwark","0","The Bulwark","0","85","230","0","2","0","0","0","0","0","0","675","-1","0","11","9","0","15","0","0","0","0"
"153","1073758272","0","RuinsofLordaeron","0","Ruins of Lordaeron","0","85","607","0","2","0","0","0","0","0","0","675","-1","0","11","10","0","15","0","0","0","0"
"154","1076903936","0","Deathknell","0","Deathknell","0","6454","231","607","712","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"155","1073758208","0","NightWebsHollow","0","Night Web's Hollow","0","6454","232","40","2","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"156","1073758272","0","SollidenFarmstead","0","Solliden Farmstead","0","85","233","0","2","0","0","0","0","0","0","675","-1","0","11","6","0","15","0","0","0","0"
"157","1073758272","0","AgamandMills","0","Agamand Mills","0","85","234","0","15","0","0","0","0","0","0","675","-1","0","11","8","0","15","0","0","0","0"
"158","1073758272","0","AgamandFamilyCrypt","0","Agamand Family Crypt","0","85","235","0","15","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"159","1076904000","0","Brill","0","Brill","0","85","236","0","712","0","0","0","0","0","0","675","-1","0","11","5","0","15","0","0","0","0"
"160","1073758272","0","WhisperingGardens","0","Whispering Gardens","0","85","237","0","2","0","0","0","0","0","0","675","-1","0","11","12","0","15","0","0","0","0"
"161","1073758272","0","TerraceofRepose","0","Terrace of Repose","0","85","238","0","2","0","0","0","0","0","0","675","-1","0","11","10","0","15","0","0","0","0"
"162","1073758272","0","BrightwaterLake","0","Brightwater Lake","0","85","239","0","2","0","0","0","0","0","0","675","-1","0","11","7","0","15","0","0","0","0"
"163","1073758272","0","Gunther'sRetreat","0","Gunther's Retreat","0","85","240","0","2","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"164","1073758272","0","Garren'sHaunt","0","Garren's Haunt","0","85","241","0","2","0","0","0","0","0","0","675","-1","0","11","7","0","15","0","0","0","0"
"165","1073758272","0","BalnirFarmstead","0","Balnir Farmstead","0","85","242","0","15","0","0","0","0","0","0","675","-1","0","11","5","0","15","0","0","0","0"
"166","1073758272","0","ColdHearthManor","0","Cold Hearth Manor","0","85","243","0","2","0","0","0","0","0","0","675","-1","0","11","5","0","15","0","0","0","0"
"167","1073758272","0","CrusaderOutpost","0","Crusader Outpost","0","85","244","0","2","0","0","0","0","0","0","675","-1","0","11","8","0","15","0","0","0","0"
"168","1073758272","0","TheNorthCoast","0","The North Coast","0","85","245","567","2","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"169","1073758272","0","Whispering Shore","0","Whispering Shore","0","85","577","567","0","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"170","16448","0","LordamereLake","0","Lordamere Lake","0","0","246","31","2","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"172","1073758272","0","FenrisIsle","0","Fenris Isle","0","130","247","0","718","0","0","0","0","0","0","675","-1","0","11","12","0","15","0","0","0","0"
"173","1073758272","0","Faol'sRest","0","Faol's Rest","0","85","620","0","2","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"186","1076904000","0","Dolanaar","0","Dolanaar","1","141","622","0","11","712","0","0","0","0","0","675","-1","0","11","5","0","15","0","0","0","0"
"187","1073758272","0","DarnassusUNUSED","0","Darnassus UNUSED","1","141","248","48","76","63","0","0","0","0","0","675","-1","0","11","7","0","15","0","0","0","0"
"188","1076903936","0","Shadowglen","0","Shadowglen","1","6450","561","48","11","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"189","1073758272","0","Steelgrill'sDepot","0","Steelgrill's Depot","0","1","249","0","8","0","0","0","0","0","0","675","-1","0","11","5","0","15","0","0","0","0"
"190","1073758272","0","Hearthglen","0","Hearthglen","0","28","250","0","0","0","0","0","0","0","0","675","-1","0","11","56","0","15","0","0","0","0"
"192","1073758272","0","NorthridgeLumberCamp","0","Northridge Lumber Camp","0","28","251","0","0","0","0","0","0","0","0","675","-1","0","11","55","0","15","0","0","0","0"
"193","1073758272","0","RuinsofAndorhal","0","Andorhal","0","28","252","0","15","0","0","0","0","0","0","675","-1","0","11","55","0","15","0","0","0","0"
"195","1073758272","0","SchoolofNecromancy","0","School of Necromancy","0","28","253","0","0","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"196","1073758272","0","UthersTomb","0","Uther's Tomb","0","28","578","0","15","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"197","1073758272","0","SorrowHill","0","Sorrow Hill","0","28","254","0","671","0","0","0","0","0","0","675","-1","0","11","50","0","15","0","0","0","0"
"198","1073758272","0","TheWeepingCave","0","The Weeping Cave","0","28","255","37","0","0","0","0","0","0","0","675","-1","0","11","55","0","15","0","0","0","0"
"199","1073758272","0","FelstoneField","0","Felstone Field","0","28","256","0","10","0","0","0","0","0","0","675","-1","0","11","50","0","15","0","0","0","0"
"200","1073758272","0","Dalson'sTears","0","Dalson's Farm","0","28","257","0","10","0","0","0","0","0","0","675","-1","0","11","54","0","15","0","0","0","0"
"201","1073758272","0","Gahrron'sWithering","0","Gahrron's Withering","0","28","258","37","10","0","0","0","0","0","0","675","-1","0","11","57","0","15","0","0","0","0"
"202","1073758272","0","TheWrithingHaunt","0","The Writhing Haunt","0","28","259","0","670","0","0","0","0","0","0","675","-1","0","11","46","0","15","0","0","0","0"
"203","1073758272","0","MardenholdeKeep","0","Mardenholde Keep","0","28","260","0","193","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"204","1073758272","0","PyrewoodVillage","0","Pyrewood Village","0","130","261","0","720","301","0","0","0","0","0","675","-1","0","11","15","0","15","0","0","0","0"
"205","1073758272","0","DunModr","0","Dun Modr","0","11","262","0","191","0","0","0","0","0","0","675","-1","0","11","28","0","15","0","0","0","0"
"206","0","12","UtgardeKeep","0.7","Utgarde Keep","574","0","263","429","0","0","0","0","0","0","0","675","-1","0","11","0","0","13","0","0","0","0"
"207","64","0","TheGreatSea","0","The Great Sea","36","0","264","0","9","0","0","0","0","0","0","675","-1","0","11","0","0","13","0","0","0","0"
"208","64","0","UnusedIroncladcove","0","Unused Ironcladcove","36","0","265","34","0","0","0","0","0","0","0","675","-1","76","11","0","0","13","0","0","0","0"
"209","0","12","ShadowfangKeep","0","Shadowfang Keep","33","0","266","28","2","0","0","0","0","0","0","675","-1","0","11","16","4","13","0","0","0","0"
"210","69","0","Icecrown","0.75","Icecrown","571","0","267","466","421","543","0","0","0","0","0","675","-1","0","11","80","0","15","22","23","0","0"
"211","1073758208","0","IceflowLake","0","Iceflow Lake","0","6457","268","42","8","0","0","0","0","0","0","675","-1","0","11","7","0","15","0","0","0","0"
"212","1073758272","0","Helm'sBedLake","0","Helm's Bed Lake","0","1","269","0","8","0","0","0","0","0","0","675","-1","0","11","8","0","15","0","0","0","0"
