Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown0_7,Unknown0_8,Unknown0_9,Unknown1_0,Unknown1_1,Unknown1_2,Unknown1_3,Unknown1_4,Unknown1_5,Unknown1_6,Unknown1_7,Unknown1_8,Unknown1_9,Unknown2,Unknown3,Unknown4
"209","0.2549223","0.3844559","0.5129533","0.5896373","0.671958","0.7533679","0","0","0","0","0.4876923","0.3738462","0.3738462","0.28","0.259406","0.3661538","0","0","0","0","2204","0","1"
"215","0.2528497","0.3523316","0.5098445","0.5388601","0","0","0","0","0","0","0.4938462","0.3846154","0.3261539","0.1846154","0","0","0","0","0","0","3262","0","0"
"216","0.2588591","0.262853","0.2845764","0.2896452","0.3120927","0.3193338","0.3577118","0.3729182","0.3712858","0","0.6229864","0.6548117","0.666318","0.6945606","0.6694561","0.6202929","0.6098326","0.5753138","0.5402322","0","3465","324","0"
"245","0.8248705","0.7160622","0.6279793","0.5419689","0","0","0","0","0","0","0.3261539","0.2969231","0.1461539","0.1707692","0","0","0","0","0","0","3548","0","0"
"264","0.3712808","0.3648367","0.3544128","0.3467686","0.3564976","0.3794301","0.4051425","0.419041","0.4390254","0","0.5402226","0.4702309","0.4507898","0.4228433","0.3924666","0.4058324","0.3948967","0.399757","0.3873896","0","3567","324","0"
"265","0.4390254","0.4683808","0.4850591","0.4913134","0.4975677","0.493923","0","0","0","0","0.3873896","0.3863912","0.3730255","0.3487242","0.3353584","0.3067788","0","0","0","0","3568","324","0"
"266","0.4989611","0.5121612","0.5121612","0.5309243","0.5733148","0.6011119","0.6164003","0.638638","0.6462821","0.6333084","0.3143361","0.3049818","0.2794654","0.2685298","0.2818955","0.2515188","0.2199271","0.2065614","0.1883354","0.1883817","3569","324","0"
"267","0.5846075","0.6059763","0.5753996","0.5448228","0.5253648","0.5128561","0.4989611","0","0","0","0.1883817","0.2369381","0.2818955","0.2782503","0.2685298","0.2770352","0.2740307","0","0","0","3570","324","0"
"268","0.4989611","0.4933982","0.4982627","0.5135511","0.5090371","0","0","0","0","0","0.2740307","0.3025516","0.328068","0.3523694","0.3747941","0","0","0","0","0","3571","324","0"
"269","0.5090371","0.466296","0.4364142","0.428075","0.3961084","0.3794301","0.3713312","0","0","0","0.3747941","0.382746","0.3924666","0.4459295","0.472661","0.5066829","0.5400463","0","0","0","3572","324","0"
"270","0.3713312","0.3384295","0.304378","0.3349548","0.3412092","0.3210563","0.3078527","0.2957608","0","0","0.5400463","0.5479952","0.5589308","0.5382746","0.5042527","0.4629405","0.4507898","0.4614508","0","0","3573","324","0"
"271","0.6853679","0.6407228","0.6066713","0.5517721","0.495483","0.4204309","0.4009729","0.3703961","0.3494997","0","0.5385348","0.5382746","0.5528554","0.5224787","0.4665856","0.4155529","0.3803159","0.3681653","0.3496033","0","3574","326","0"
"272","0.3494997","0.4037526","0.4176511","0.5135511","0.5774844","0.6122307","0.6525365","0.6853679","0","0","0.3496033","0.382746","0.4155529","0.4799514","0.5358444","0.5552856","0.5382746","0.5385348","0","0","3575","326","0"
"290","0.584456","0.6341969","0.7119171","0.7958549","0.826943","0","0","0","0","0","0.7292308","0.6753846","0.6538461","0.6661538","0.5692308","0","0","0","0","0","737","0","0"
"291","0.4090472","0.4388835","0.3955727","0.2656401","0.2338787","0.09239653","0.06641001","0.08565929","0","0","0.4803922","0.4885621","0.5882353","0.6062092","0.8006536","0.7696078","0.6307189","0.5996732","0","0","0","198","0"
"292","0.4119346","0.4186718","0.385948","0.3435996","0.3349375","0","0","0","0","0","0.4820262","0.4607843","0.4150327","0.4133987","0.3872549","0","0","0","0","0","0","198","0"
"293","0.5863808","0.6101829","0.6339849","0.6577868","0.6815889","0.7044451","0.7273014","0.7501576","0.7730139","0","0.2207294","0.234165","0.2476007","0.2610365","0.2744721","0.2879078","0.3013436","0.3147793","0.3282149","0","0","0","0"
"296","0.08290155","0.1160622","0.1502591","0.1772021","0","0","0","0","0","0","0.6","0.56","0.5907692","0.6015384","0","0","0","0","0","0","503","0","0"
"297","0.1761658","0.1367876","0.1139896","0.06010363","0.0507772","0.08393782","0","0","0","0","0.6030769","0.6353846","0.7061539","0.7046154","0.64","0.6015384","0","0","0","0","503","0","1"
"298","0.8518135","0.7440414","0.7243524","0.6818653","0.584456","0","0","0","0","0","0.4323077","0.46","0.5969231","0.6876923","0.7276923","0","0","0","0","0","964","0","0"
"299","0.5834197","0.5357513","0.5968912","0.761658","0.8518135","0","0","0","0","0","0.7323077","0.5538461","0.4215385","0.4523077","0.4353846","0","0","0","0","0","964","0","1"
"1274","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"1276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"1277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","142","0"
"1279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","210","0"
"1280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","215","0"
"1281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","216","0"
"1282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","250","0"
"1283","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","251","0"
"1284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","268","0"
"1285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","272","0"
"1286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","311","0"
"1287","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","321","0"
"1291","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","327","0"
"1292","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","344","0"
"1293","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","346","0"
"1294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","359","0"
"1295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","360","0"
"1296","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","363","0"
"1297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","365","0"
"1298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","368","0"
"1299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","373","0"
"1300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","374","0"
"1301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","375","0"
"1311","0.9081272","0.8692579","0.8209658","0.7608952","0.6984688","0.6383981","0","0","0","0","0.6037152","0.5804954","0.5572755","0.5356037","0.5201238","0.5154799","0","0","0","0","0","0","0"
"1313","0.6062176","0.5906736","0.6341969","0.7419689","0.8259068","0","0","0","0","0","0.5076923","0.4553846","0.3861538","0.4138461","0.3123077","0","0","0","0","0","0","0","0"
"1314","0.6062176","0.5264249","0.4124352","0.3243523","0.2559586","0","0","0","0","0","0.5076923","0.4353846","0.4046154","0.4861538","0.4892308","0","0","0","0","0","0","0","0"
"1315","0.6062176","0.6880829","0.7481865","0.8435233","0.9202073","0","0","0","0","0","0.5123077","0.5261538","0.6046154","0.6307693","0.5753846","0","0","0","0","0","0","0","0"
"1316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","377","0"
"1317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411","0"
"1318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","353","0"
"1319","0.5082418","0.5195876","0.528866","0.5391753","0.548969","0.556701","0","0","0","0","0.2198142","0.2021276","0.1932624","0.1897163","0.1914894","0.1932624","0","0","0","0","0","376","0"
"1321","0.5082418","0.5515464","0.6082474","0.6608247","0.7061856","0.7072165","0.685567","0.6814433","0","0","0.2198142","0.2588652","0.320922","0.393617","0.4202127","0.4804965","0.5283688","0.5744681","0","0","0","376","0"
"1322","0.5970696","0.5714286","0.5540293","0.5384616","0.5228938","0.5082418","0","0","0","0","0.2260062","0.2275542","0.2337461","0.2337461","0.2306501","0.2213622","0","0","0","0","0","259","0"
"1323","0.6047297","0.643018","0.7162162","0.740991","0.8164414","0","0","0","0","0","0.5169231","0.4369231","0.4553846","0.5476923","0.5784615","0","0","0","0","0","0","0","0"
"1324","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","393","0"
"1326","0.8086081","0.7152014","0.6492674","0.6217949","0.6108059","0","0","0","0","0","0.2678019","0.2817338","0.3390093","0.4256966","0.5201238","0","0","0","0","0","0","0","0"
"1327","0.8628866","0.8670103","0.8536083","0.8360825","0.8134021","0.7814433","0","0","0","0","0.9737206","0.9142462","0.857538","0.8105118","0.7704011","0.7427386","0","0","0","0","0","376","0"
"1332","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","255","0"
"1333","0.5082418","0.5515464","0.6082474","0.6814433","0.7670103","0.7989691","0.7958763","0.7804124","0","0","0.2198142","0.2588652","0.320922","0.4121715","0.450899","0.5366528","0.6542186","0.7372061","0","0","0","376","0"
"1336","0.518315","0.5274726","0.5760073","0.6739927","0.7600732","0.779304","0","0","0","0","0.2105263","0.3684211","0.4427245","0.4829721","0.5526316","0.7244582","0","0","0","0","0","376","0"
"1337","0.5531136","0.5521978","0.5448718","0","0","0","0","0","0","0","0.9287926","0.9086688","0.8916408","0","0","0","0","0","0","0","0","0","0"
"1338","0.8628866","0.8415731","0.8168539","0.7797753","0.7359551","0.6820225","0","0","0","0","0.9737206","0.8976487","0.8271093","0.7247579","0.6556016","0.6141078","0","0","0","0","0","376","0"
"1341","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","408","0"
"1342","0.4964438","0.458037","0","0","0","0","0","0","0","0","0.2015306","0.4030612","0","0","0","0","0","0","0","0","0","376","0"
"1343","0.3214794","0.4423898","0","0","0","0","0","0","0","0","0.6709183","0.6096939","0","0","0","0","0","0","0","0","0","376","0"
"1344","0.4381223","0.3214794","0","0","0","0","0","0","0","0","0.6122449","0.6760204","0","0","0","0","0","0","0","0","0","376","0"
"1345","0.4352774","0.4395448","0","0","0","0","0","0","0","0","0.619898","0.4336734","0","0","0","0","0","0","0","0","0","376","0"
"1346","0.4352774","0.3243243","0","0","0","0","0","0","0","0","0.4285714","0.6632653","0","0","0","0","0","0","0","0","0","376","0"
"1347","0.2833178","0.2926375","0.2739981","0.3038211","0.2590867","0.3513514","0.4128611","0.4464119","0.4939422","0","0.6849866","0.6447721","0.5495979","0.4517426","0.2345845","0.1648794","0.09115279","0.1729223","0.1876675","0","0","376","0"
"1348","0.4967381","0.44548","0.4137931","0.3438956","0.2600186","0.306617","0.2739981","0.2917055","0.2814539","0","0.19437","0.1742628","0.0924933","0.1662198","0.2412869","0.4490617","0.5495979","0.6367292","0.6930295","0","0","376","0"
"1349","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","395","0"
"1350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","396","0"
"1351","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","409","0"
"1352","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","394","0"
"1353","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","410","0"
"1354","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","406","0"
"1356","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","405","0"
"1357","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","401","0"
"1358","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","415","0"
"1359","0.8207721","0.7362132","0.6691176","0.6305147","0.6259191","0","0","0","0","0","0.3242236","0.3304348","0.3689441","0.4409938","0.5055901","0","0","0","0","0","0","0","0"
"1360","0.5135453","0.5276796","0.5135453","0.4911661","0","0","0","0","0","0","0.2012384","0.2554179","0.3126935","0.3560371","0","0","0","0","0","0","0","376","0"
"1361","0.4946997","0.5029446","0.5312132","0.5382803","0.5194346","0","0","0","0","0","0.3606811","0.3204334","0.2972136","0.247678","0.2012384","0","0","0","0","0","0","376","0"
"1362","0.599141","0.5726557","0.5955619","0.6957766","0.8153185","0","0","0","0","0","0.5154762","0.4511905","0.3738095","0.3297619","0.3107143","0","0","0","0","0","0","0","0"
"1363","0.8138869","0.7501789","0.5984252","0.5705082","0.5977094","0","0","0","0","0","0.3107143","0.3285714","0.3916667","0.4571428","0.5130953","0","0","0","0","0","0","0","0"
"1364","0.6219081","0.5936396","0.5535924","0.5147232","0","0","0","0","0","0","0.1965944","0.1873065","0.1857585","0.1981424","0","0","0","0","0","0","0","376","0"
"1365","0.5206125","0.5512367","0.5877503","0.6207303","0","0","0","0","0","0","0.1965944","0.2089784","0.2105263","0.2043344","0","0","0","0","0","0","0","376","0"
"1366","0.2628677","0.3731618","0.4898897","0.6075368","0.6259191","0","0","0","0","0","0.4981366","0.4248447","0.3987578","0.4322981","0.5055901","0","0","0","0","0","0","0","0"
"1367","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1368","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","265","0"
"1369","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","412","0"
"1339","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"1340","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","250","0"
"1355","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","411","0"
