Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18_0,Unknown18_1,Unknown19,Unknown20,Unknown21_0,Unknown21_1,Unknown22,Unknown23,Unknown24_0,Unknown24_1,Unknown24_2,Unknown24_3,Unknown24_4,Unknown24_5,Unknown24_6,Unknown24_7,Unknown25,Unknown26_0,Unknown26_1,Unknown26_2,Unknown27,Unknown28
"37","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","645","0","0","0","0","0","0","0","0","0","0","0"
"38","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","647","0","0","0","0","0","0","0","0","0","0","0"
"39","1308647448","3.142","5.236","0","0","0.174533","1","1.5","0.087266","0","0","1.5","1.5","1","0.5","0.5","0.5","0.75","4","15","Interface\Vehicles\Arrow.blp","","Interface\Vehicles\Vehicle_Target_02.mdx","","1","0.034907","662","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","1074266112","1.047198","1.047198","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","682","0","0","0","0","0","0","0","0","0","0","0"
"41","532482","6.283","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","722","0","0","0","0","0","0","0","0","0","0","0"
"42","524288","3.142","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","723","0","0","0","0","0","0","0","0","0","0","0"
"43","1074266112","3.142","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","742","0","0","0","0","0","0","0","0","0","0","0"
"44","24584","3.142","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","762","764","0","0","0","0","0","0","0","0","0","0"
"46","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","767","0","0","0","0","0","0","0","0","0","0","0"
"47","532087","1.047","0.5236","-0.6981","1.396","0","1.2","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","805","806","807","808","0","0","0","1662","0","0","0","0"
"48","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","809","0","0","0","0","0","0","0","0","0","0","0"
"49","585767","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","821","0","0","0","0","0","0","0","0","0","0","0"
"50","1082655768","3.141593","0","-0.5235988","0.7853982","0.1745329","1","1.5","0","0","0","1.5","1.5","1","1","3","0.5","1.6","10","1","Spells\Textures\Target_Line.blp","Spells\Textures\Reticle_BrightGround.blp","Interface\Vehicles\Vehicle_Target_02.mdx","","10","0.1745329","841","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","524288","3.142","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","861","862","0","0","0","0","0","0","0","0","0","0"
"52","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","864","0","0","0","0","0","0","0","0","0","0","0"
"53","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","882","0","0","0","0","0","0","0","0","0","0","0"
"54","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","901","0","0","0","0","0","0","0","0","0","0","0"
"55","1074323456","6.283","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","922","0","0","0","0","0","0","0","0","0","0","0"
"56","1082947191","3.142","0.5236","-0.6981","1.396","0.767945","1","1.5","0","0","0","1.5","1.5","1","1","2","0.333333","1.6","10","1","Spells\Textures\Target_Line.blp","SPELLS\Textures\Reticle_BrightGround.blp","Interface\Vehicles\Vehicle_Target_02.mdx","","10","0","945","946","949","950","0","0","0","0","0","0","0","0","0","0"
"57","1074328039","0.6981","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","961","0","0","0","0","0","0","0","0","0","0","0"
"58","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1234","1235","1236","1233","981","0","0","0","0","0","0","0"
"59","1074266144","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1241","1242","0","0","0","0","0","0","0","0","0","0"
"60","581640","1.047","1.047","0","0","0","0.3","0.7","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1262","0","0","0","0","0","0","0","0","0","0","0"
"61","524296","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1267","1268","0","0","0","0","0","0","0","0","0","0"
"62","4726784","2.094","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1270","0","0","0","0","0","0","0","0","0","0","0"
"64","524555","1","0.5236","-0.5236","0.5236","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1285","1286","0","0","0","0","0","0","0","0","0","0"
"65","525943","1.571","0.5236","-0.6981","1.396","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1291","1292","1293","1294","0","0","0","0","0","0","0","0"
"68","1082393203","3.142","3.142","-0.4363","0.5236","0.261799","1","1.5","0.261799","0","0","1.5","1.5","1","1","0.5","0.5","1.6","0.5","0.5","Spells\Textures\Target_Line.blp","","","","1.008935E-43","1","47236","15794","1301","0","0","0","0","0","0","0","0","0","0","0"
"69","524288","2.094","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1321","0","0","0","0","0","0","0","0","0","0","0"
"70","1074266120","3.141593","1.047198","0","0","0","1","1.5","0.08726646","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1323","0","0","0","0","0","0","0","0","0","0","0"
"71","528423","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1324","1325","0","0","0","0","0","0","0","0","0","0"
"72","1073741824","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1362","0","0","0","0","0","0","0","0","0","0","0"
"74","270049662","1.571","1.571","-1.047","0.7854","0.20944","1","1.5","0.139626","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1383","0","0","0","0","0","0","0","0","0","0","0"
"75","1342742908","1.571","1.047","-0.5236","0.5236","0","1","1.5","0.261799","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1387","1388","0","0","0","0","0","0","228","0","0","0"
"76","1342709303","0.5236","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1389","0","0","0","0","0","0","0","0","0","0","0"
"77","9179767","1.047","0.5236","-0.6981","1.396","0","1","1.5","0","0","0","1.5","1.5","1","1","0.5","0.5","1.6","10","10","SPELLS\BEASTRAGE.BLP","SPELLS\Reticle_128.blp","","","0","10","0","0","1405","1406","1407","1408","0","0","0","0","0","0","0","0"
"79","1577972855","2.094","1.047","0","0.7854","0.785398","1","1.5","0.261799","0","0","1.5","1.5","1","0.5","2","0.333333","1.6","8","0","Spells\Textures\Target_Line.blp","Spells\Textures\Reticle_BrightGround.blp","Interface\Vehicles\Vehicle_Target_02.mdx","","8","0.095993","1427","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1431","1432","0","0","0","0","0","0","0","0","0","0"
"81","269017120","1.047","3.142","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1435","0","0","0","0","0","0","0","0","0","0","0"
"86","1082712064","1.047","1.047","0","0","0","1","1.5","0","0","0","1.5","1.5","1","1","2","0.5","1.6","1","1","Spells\Textures\Target_Line.blp","Spells\Textures\Reticle_BrightGround.blp","","","1.008935E-43","10","0","0","1457","0","0","0","0","0","0","0","228","0","0","0"
"87","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1458","0","0","0","0","0","0","0","0","0","0","0"
"88","528423","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1459","0","0","0","0","0","0","0","0","0","0","0"
"89","528423","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1461","0","0","0","0","0","0","0","0","0","0","0"
"90","524296","3.142","3.142","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1463","0","0","0","0","0","0","0","0","0","0","0"
"91","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1472","1473","1474","1475","1476","0","0","0","0","0","0","0"
"92","255595127","1.047","1.047","-0.3491","0.6981","0.785398","1.6","2.6","0.314159","1.570796","1.570796","1.5","1.5","1","0.5","0.5","0.5","1.6","8","0","Target_Line.blp","Textures\UnitSelectTexture.blp","","","0","8","2693","16006","1483","0","0","0","0","0","0","0","0","0","0","0"
"93","524290","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1501","0","0","0","0","0","0","0","0","0","0","0"
"97","1200358995","1.134","1.047","-0.2618","0.9599","0.174533","1","1.5","0","1.570796","1.570796","1.5","1.5","1","1","0.5","0.5","1.6","10","10","Spells\Textures\Target_Line.blp","SPELLS\TEXTURES\Reticle_BrightGround.blp","Interface\Vehicles\Vehicle_Target_02.mdx","","10","0","1515","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","1275355160","1.047198","5.235988","0","0","0.2617994","1","1.5","0","0","0","1.5","1.5","1","1","5","0.5","1","5","0","SPELLS\TEXTURES\TARGET_LINE.BLP","SPELLS\SHOCKWAVE1RED.BLP","INTERFACE\VEHICLES\VEHICLE_TARGET_02.mdx","","5","0.08726646","1520","1521","0","0","0","0","0","0","0","0","0","0","0","0"
"100","655360","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1522","0","0","0","0","0","0","0","0","0","0","0"
"102","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1541","0","0","0","0","0","0","0","0","0","0","0"
"104","1074266120","1.047198","1.047198","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1549","1550","0","0","0","0","0","0","0","0","0","0"
"105","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1551","0","0","0","0","0","0","0","0","0","0","0"
"106","1594750583","1.047","1.047","0.08727","0.7854","0.785398","1","1.5","0.261799","0","0","1.5","1.5","1","1","3","0.5","1.6","12","0","Spells\Textures\Target_Line.blp","Spells\Textures\Reticle_BrightGround.blp","Interface\Vehicles\Vehicle_Target_02.mdx","","12","0.034907","1554","0","1556","1557","0","0","0","0","222","0","0","0","0","0"
"107","1074266112","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1559","0","0","0","0","0","0","0","0","0","0","0"
"108","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1561","0","0","0","0","0","0","0","0","0","0","0"
"109","524290","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1565","0","0","0","0","0","0","0","0","0","0","0"
"110","1074270219","1.047198","1.047198","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1581","0","0","0","0","0","0","0","0","0","0","0"
"111","565280","6.283","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1601","0","0","0","0","0","0","0","0","0","0","0"
"112","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1621","0","0","0","0","0","0","0","0","0","0","0"
"113","589824","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1622","0","0","0","0","0","0","0","0","0","0","0"
"114","528423","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1623","0","0","0","0","0","0","0","0","0","0","0"
"115","528423","3.142","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1641","1642","0","0","0","0","0","0","0","0","0","0"
"116","1193080439","2.094395","1.047198","-0.5235988","0.7853982","0.7853982","1","1.5","0.2617994","0","0","1.5","1.5","1","1","2","0.5","1.6","10","1","SPELLS\TEXTURES\TARGET_LINE.BLP","SPELLS\TEXTURES\RETICLE_BRIGHTGROUND.BLP","INTERFACE\VEHICLES\VEHICLE_TARGET_02.mdx","","10","0.05235988","1643","0","0","0","0","0","0","0","223","61","0","0","0","0"
"117","1343811623","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1648","1649","1650","0","0","0","0","1652","223","61","0","0"
"118","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1682","0","0","0","0","0","0","0","0","0","0","0"
"120","532482","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1701","1702","0","0","0","0","0","0","0","0","0","0"
"121","1074323458","1.047198","1.047198","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1705","1706","0","0","0","0","0","0","0","0","0","0"
"122","1042162256","3.142","1.396","-1.396","0.7854","0.523599","1","1.5","0.174533","2.094395","2.094395","1.5","1.5","1","1","0.5","0.5","1","0.5","2","Spells\Textures\Target_Line.blp","SPELLS\TEXTURES\Reticle_BrightGround.blp","Interface\Vehicles\Vehicle_Target_01.mdx","","10","0.349066","1723","1865","2166","2167","6226","0","0","0","0","1","0","0","0","0"
"123","524288","3.142","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1782","0","0","0","0","0","0","0","0","0","0","0"
"124","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1784","0","0","0","0","0","0","0","0","0","0","0"
"125","524288","2.793","2.793","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1802","1803","0","0","0","0","0","0","0","0","0","0"
"126","581672","3.142","3.142","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1805","0","0","0","0","0","0","0","0","0","0","0"
"127","1074270255","3.142","3.142","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1806","2326","0","0","0","0","0","0","0","0","0","0"
"128","1074004496","3.142","5.236","0.1745","-0.7854","0.261799","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1807","1964","0","0","0","0","0","0","0","0","0","0"
"129","1074270319","3.142","4.538","-1.571","1.484","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1808","1809","0","0","0","0","0","0","0","0","0","0"
"130","524288","3.142","3.142","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1811","0","0","0","0","0","0","0","0","0","0","0"
"131","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1813","1814","0","0","0","0","0","0","0","0","0","0"
"132","1074307074","3.142","3.142","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1866","0","0","0","0","0","0","0","0","0","0","0"
"134","1075355648","3.142","3.142","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1869","0","0","0","0","0","0","0","0","142","0","0"
"135","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1871","0","0","0","0","0","0","0","0","0","0","0"
"137","524290","3.142","3.142","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1873","0","0","0","0","0","0","0","0","0","0","0"
"138","524288","3.142","3.142","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1874","0","0","0","0","0","0","0","0","0","0","0"
"139","1193543251","1.047","3.142","-0.4363","0.4363","0.349066","1","1.5","0","0.959931","0.959931","1.5","1.5","1","1","3","0.5","1.6","6","0","Spells\Textures\Target_Line.blp","SPELLS\Textures\Reticle_BrightGround.blp","Interface\Vehicles\Vehicle_Target_02.mdx","","6","0.174533","1876","0","0","0","0","0","0","0","0","0","0","0","0","0"
"142","1075314696","3.141593","3.141593","0","0","0.7853982","0","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","30544","15702","1881","2743","0","0","0","0","0","0","0","0","0","0"
"143","1073741832","1.047198","1.047198","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1902","0","0","0","0","0","0","0","0","0","0","0"
"145","581632","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1906","0","0","0","0","0","0","0","0","0","0","0"
"146","528423","3.142","3.142","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1908","0","0","0","0","0","0","0","0","0","0","0"
"147","524288","3.142","3.142","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1923","0","0","0","0","0","0","0","0","0","0","0"
"148","1074307074","6.283","1.047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1926","0","0","0","0","0","0","0","0","0","0","0"
"149","1073799206","3.142","3.142","0","0","0.785398","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1927","0","0","0","0","0","0","0","0","0","0","0"
"150","1073741824","3.141593","3.141593","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","1942","0","0","0","0","0","0","224","0","0","0"
"152","4135","3.142","3.142","0","0","0.785398","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1963","0","0","0","0","0","0","0","0","0","0","0"
"153","0","3.142","3.142","0","0","0.785398","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1965","0","0","0","0","0","0","0","0","0","0","0"
"154","524288","1.047","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","1966","0","0","0","0","0","0","0","0","0","0","0"
"156","1191501848","3.141593","5.235988","0.1745329","-0.7853982","0.2617994","1","1.5","0","0","0","1.5","1.5","0.25","1","0.5","1","0.6","5","0","SPELLS\TEXTURES\TARGET_LINE.BLP","","INTERFACE\VEHICLES\VEHICLE_TARGET_02.mdx","","5","0.08726646","1986","1987","0","0","0","0","0","0","0","0","0","0","0","0"
"158","1594726007","1.047198","1.047198","0","1.047198","0.7853982","1","1.5","0.2617994","0","0","1.5","1.5","1","1","3","0.5","1.6","15","10","Spells\Textures\Target_Line.blp ","SPELLS\Textures\Reticle_BrightGround.blp ","Interface\Vehicles\Vehicle_Target_02.mdx","","15","0.03490658","2021","0","0","0","0","0","0","0","0","0","0","0","0","0"
"160","1354536567","2.094","1.047","-0.5236","1.047","0.785398","1","1.5","0.261799","1.745329","1.745329","1.5","1.5","1","1","3","0.5","1.6","15","10","Spells\Textures\Target_Line.blp ","SPELLS\Textures\Reticle_BrightGround.blp","Interface\Vehicles\Vehicle_Target_02.mdx","","15","0","2029","0","0","0","0","0","0","0","0","0","0","0","0","2"
"162","819216","6.283","6.283","-0.3491","0.5236","0.261799","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","2041","0","0","0","0","0","0","0","0","0","0","0"
"163","528871","0.01745","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","2042","0","0","0","0","0","0","0","0","0","0","0"
"164","0","3.142","3.142","0","0","0.785398","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","2043","0","0","0","0","0","0","0","0","0","0","0"
"165","581640","3.142","1.047","0","0","0","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","2061","0","0","0","0","0","0","0","0","0","0","0"
"166","1082713112","3.142","1.047","0","0","0.261799","1","1.5","0.087266","0","0","1.5","1.5","1","1","0.5","0.5","1.6","8","1","Spells\Textures\Target_Line.blp ","SPELLS\Textures\Reticle_BrightGround.blp ","Interface\Vehicles\Vehicle_Target_02.mdx","","6","0.15708","2062","0","0","0","0","0","0","0","0","0","0","0","0","0"
"167","557056","6.283","6.283","-0.3491","0.5236","0.261799","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","2063","0","0","0","0","0","0","0","0","0","0","0"
"168","131072","3.142","3.142","0","0","0.785398","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","2064","0","0","0","0","0","0","0","0","0","0","0"
"169","4135","3.142","3.142","0","0","0.785398","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","2065","0","0","0","0","0","0","0","0","0","0","0"
"171","655360","3.142","1.047","0","0","0.785398","1","1.5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","2067","0","0","0","0","0","0","0","0","0","0","0"
