Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown1_0,Unknown1_1,Unknown1_2,Unknown1_3,Unknown2,Unknown3
"819","52","52","51","55","1","1","1","1","5","10"
"820","52","52","51","55","1","1","1","1","5","8"
"825","4","6","11","11","1","1","1","1","0","6"
"836","16","15","29","24","1","1","1","1","5","8"
"856","49","48","46","43","1","1","1","1","5","8"
"866","33","35","36","37","1","1","1","1","5","8"
"878","21","20","19","23","1","1","1","1","7","3"
"880","6","6","6","6","1","1","1","1","5","5"
"883","6","36","6","6","1","1","1","1","5","5"
"900","138","137","133","141","1","1","1","1","8","8"
"903","41","42","23","42","1","1","1","1","0","2"
"906","48","47","46","40","1","1","1","1","6","4"
"915","41","42","42","42","1","1","1","1","0","3"
"918","70","71","72","73","1","1","1","1","0","8"
"921","63","64","65","66","1","1","1","1","0","8"
"923","70","71","72","73","1","1","1","1","2","8"
"924","63","64","65","66","1","1","1","1","2","8"
"925","67","68","69","67","1","1","1","1","0","8"
"926","67","68","69","68","1","1","1","1","2","8"
"929","79","78","77","76","1","1","1","1","5","8"
"930","85","83","81","80","1","1","1","1","5","8"
"931","76","74","82","80","1","1","1","1","5","8"
"941","84","74","82","80","1","1","1","1","5","8"
"944","112","119","118","117","1","1","1","1","3","8"
"945","0","0","0","0","1","1","1","1","3","0"
"948","116","115","114","113","1","1","1","1","5","8"
"956","109","110","101","104","1","1","1","1","2","3"
"1055","0","0","0","0","1","1","1","1","8","0"
"1075","152","153","159","153","1","1","1","1","5","8"
"1077","150","160","156","159","1","1","1","1","8","3"
"1078","154","155","151","157","1","1","1","1","5","8"
"1080","154","157","158","157","1","1","1","1","0","4"
"1082","23","22","21","23","2","2","1","2","7","1"
"1098","177","176","143","144","1","1","1","1","0","4"
"1131","154","157","158","157","1","1","1","1","9","8"
"1136","143","143","146","148","1","1","1","1","0","4"
"1143","306","307","307","307","1","1","1","1","2","4"
"1144","305","312","304","300","1","1","1","1","8","6"
"1147","308","305","312","300","1","1","1","1","8","3"
"1148","309","310","301","311","1","1","1","1","8","12"
"1165","11","709","709","709","1","1","3","3","5","12"
"1173","161","162","162","161","1","1","1","1","7","4"
"1223","49","48","46","43","1","1","1","1","6","8"
"1244","51","53","57","59","1","1","1","1","5","9"
"1277","52","56","55","59","1","1","1","1","5","9"
"1363","801","11","3","5","1","1","1","1","5","13"
"1369","248","248","248","248","1","1","1","1","8","1"
"1372","313","314","315","306","1","1","1","1","7","3"
"1374","348","349","345","344","1","1","1","1","0","8"
"1377","343","343","347","344","1","1","1","1","5","8"
"1381","471","470","346","346","1","1","1","1","5","2"
"1471","186","187","188","186","1","1","1","1","6","8"
"1474","189","190","191","192","1","1","1","1","6","8"
"1475","0","0","0","0","1","1","1","1","4","0"
"1483","305","312","304","300","1","1","1","1","5","6"
"1493","30","22","25","23","1","1","1","1","9","0"
"1528","21","20","19","21","1","1","1","1","7","1"
"1531","193","200","205","206","1","1","1","1","8","9"
"1536","201","201","201","201","1","1","1","1","7","1"
"1537","197","200","205","204","1","1","1","1","5","8"
"1538","206","193","195","203","1","1","1","1","5","8"
"1540","199","200","199","200","1","1","1","1","0","1"
"1603","455","451","455","451","1","1","1","1","8","6"
"1604","458","458","458","454","1","1","1","1","8","8"
"1708","304","305","306","307","1","1","1","1","8","12"
"1741","280","277","281","279","1","1","1","1","7","2"
"1743","455","458","453","458","1","1","1","1","8","8"
"1744","221","226","223","224","1","1","1","1","5","8"
"1754","31","24","25","31","1","1","1","1","0","8"
"1761","133","134","137","141","1","1","1","1","0","8"
"1762","142","142","142","142","1","1","1","1","0","6"
"1772","242","244","243","575","2","1","1","1","5","10"
"1775","247","246","245","247","1","1","1","1","5","8"
"1779","355","354","355","354","1","1","1","1","0","1"
"1804","141","139","140","141","1","1","1","1","0","8"
"1841","327","328","327","328","1","1","1","1","0","4"
"1843","242","243","244","243","1","1","1","1","5","8"
"1845","240","240","239","326","1","1","1","1","6","8"
"1861","242","243","243","244","4","1","1","1","8","8"
"1862","243","243","245","247","1","1","1","1","0","4"
"1863","239","240","326","240","1","1","1","1","8","12"
"1906","186","187","186","186","1","1","1","1","5","8"
"1934","274","275","276","270","1","1","1","1","7","4"
"1935","299","268","269","270","1","1","1","1","5","8"
"1961","283","284","285","289","1","1","1","1","0","4"
"1963","290","291","292","283","1","1","1","1","9","4"
"1966","284","288","290","292","1","1","1","1","5","4"
"1970","293","279","281","294","1","1","1","1","8","4"
"1972","215","213","297","295","1","1","1","1","0","3"
"2103","308","305","312","300","1","1","1","1","0","3"
"2307","217","220","222","220","1","1","1","1","0","8"
"2520","186","187","188","186","1","1","1","1","5","8"
"2612","236","231","236","231","1","1","1","1","0","1"
"2614","231","238","229","230","1","1","1","1","5","7"
"2615","228","230","227","235","1","1","1","1","5","7"
"2643","321","318","317","316","1","1","1","1","0","8"
"2645","324","323","322","320","1","1","1","1","6","8"
"2655","321","321","321","321","1","1","1","1","0","8"
"2691","299","268","269","270","1","1","1","1","0","8"
"2740","215","214","213","298","1","1","1","1","0","8"
"2825","332","330","330","329","1","1","1","1","0","4"
"2826","340","342","339","341","1","1","1","1","6","8"
"2827","340","341","336","335","1","1","1","1","5","8"
"2828","334","333","332","331","1","1","1","1","5","8"
"2836","330","330","329","329","1","1","1","1","7","2"
"2993","434","391","436","437","1","1","1","1","7","0"
"3011","276","275","276","274","1","1","1","1","0","5"
"3014","276","275","274","275","1","1","1","1","7","8"
"3033","351","350","351","350","1","1","1","1","7","8"
"3035","369","351","350","350","1","1","1","1","7","3"
"3036","367","368","351","350","1","1","1","1","0","2"
"3080","510","511","512","513","1","1","1","1","0","4"
"3083","515","516","517","52","1","1","1","1","9","5"
"3126","518","514","515","515","1","1","1","1","6","4"
"3196","194","200","205","206","1","1","1","1","8","9"
"3347","458","454","453","453","1","1","1","1","8","8"
"3349","189","190","191","192","1","1","1","1","0","8"
"3425","189","190","191","192","1","1","1","1","5","8"
"3439","458","454","454","451","1","1","1","1","8","8"
"3440","371","372","375","376","6","6","6","82","0","0"
"3444","373","374","377","370","1","1","1","1","5","4"
"3445","372","375","378","379","1","1","1","1","5","8"
"3451","410","411","412","411","1","1","1","1","7","5"
"3515","45","49","46","43","1","1","1","1","9","5"
"3517","42","41","42","44","1","1","1","1","0","3"
"3525","41","42","42","41","1","1","1","1","0","3"
"3526","40","49","49","49","1","1","1","1","9","2"
"3527","44","44","49","43","1","1","1","1","8","8"
"3528","43","44","43","42","1","1","1","1","8","12"
"3530","43","43","49","43","1","1","1","1","5","3"
"3531","42","41","41","41","1","1","1","1","0","3"
"3542","44","43","43","49","1","1","1","1","5","6"
"3543","42","41","41","44","1","1","1","1","0","4"
"3547","40","49","40","44","1","1","1","1","5","6"
"3549","42","42","41","41","1","1","1","1","0","4"
"3551","43","43","43","44","1","1","1","1","5","4"
"3558","6","6","6","9","1","1","1","1","0","6"
"3567","237","237","238","237","1","1","1","1","0","1"
"3637","319","318","317","316","1","1","1","1","0","8"
"3638","324","323","322","320","1","1","1","1","0","8"
"3680","0","2","14","9","1","1","1","1","5","8"
"3726","434","391","436","437","1","1","1","1","7","8"
"3751","112","119","118","117","1","1","1","1","0","8"
"3832","517","515","516","518","1","1","1","1","8","8"
"3841","514","515","518","516","1","1","1","1","8","12"
"3900","517","515","516","518","1","1","1","1","0","8"
"3902","516","512","517","513","1","1","1","1","8","4"
"3903","514","515","518","516","1","1","1","1","0","12"
"3906","516","512","517","513","1","1","1","1","0","4"
"4052","228","230","227","235","1","1","1","1","8","12"
"4055","228","230","227","235","1","1","1","1","8","15"
"4063","228","230","227","235","1","1","1","1","8","0"
"4067","231","238","229","230","1","1","1","1","0","7"
"4077","100","102","104","107","1","1","1","1","0","5"
"4112","300","304","301","306","1","1","1","1","8","5"
"4113","435","436","390","391","1","1","1","1","8","8"
"4114","432","392","393","430","1","1","1","1","8","8"
"4115","390","433","431","434","1","1","1","1","8","8"
"4116","435","436","437","435","1","1","1","1","8","8"
"4124","249","249","249","249","1","1","1","1","8","1"
"4134","458","457","456","450","1","1","1","1","0","4"
"4137","456","455","454","454","1","1","1","1","8","8"
"4156","457","456","454","450","1","1","1","1","8","5"
"4166","139","135","139","142","1","1","1","1","8","4"
"4318","242","243","244","245","1","1","1","1","5","2"
"4343","58","59","57","56","1","1","1","1","6","10"
"4346","494","493","492","491","1","1","1","1","5","8"
"4379","99","101","103","105","1","1","1","1","0","4"
"4380","107","108","109","110","1","1","1","1","7","2"
"4436","112","119","118","117","1","1","1","1","3","16"
"4520","0","0","0","0","1","1","1","1","10","0"
"4604","242","243","244","245","1","1","1","1","0","2"
"4687","56","53","51","52","1","1","1","1","0","4"
"4688","59","58","54","57","1","1","1","1","5","8"
"4690","56","57","53","55","1","1","1","1","6","8"
"4691","50","51","52","54","1","1","1","1","2","2"
"4840","194","195","196","198","1","1","1","1","5","7"
"4841","201","202","203","205","1","1","1","1","5","7"
"5274","138","138","138","137","1","1","1","1","0","6"
"5307","236","231","236","231","1","1","1","1","0","8"
"5310","228","230","227","235","1","1","1","1","6","7"
"5457","61","62","61","62","1","1","1","1","7","6"
"5485","231","238","229","230","1","1","1","1","5","8"
"5486","228","230","227","235","1","1","1","1","5","8"
"5520","228","230","227","235","1","1","1","1","6","5"
"5521","228","230","227","235","1","1","1","1","5","5"
"5578","228","230","227","235","1","1","1","1","0","5"
"5744","242","244","243","575","1","1","1","1","5","10"
"5981","27","26","25","24","1","1","1","1","5","60"
"5998","227","228","229","230","1","1","1","1","3","1"
"6298","62","62","61","62","1","1","1","1","0","8"
"6307","538","538","538","538","1","1","1","1","5","8"
"6308","535","534","532","530","1","1","1","1","5","8"
"6309","538","537","531","536","1","1","1","1","5","8"
"6310","536","536","530","530","1","1","1","1","7","8"
"6378","454","454","458","451","1","1","1","1","8","8"
"6384","458","458","454","453","1","1","1","1","8","8"
"6385","453","458","454","453","1","1","1","1","8","8"
"6389","458","458","453","453","1","1","1","1","8","8"
"6519","551","553","554","555","1","1","1","1","8","8"
"6520","536","534","532","531","1","1","1","1","5","12"
"6521","536","535","538","537","1","1","1","1","5","12"
"6821","741","742","743","744","1","1","1","1","5","8"
"7241","364","366","361","357","1","1","1","1","0","8"
"7761","741","741","743","743","1","1","1","1","5","1"
"7818","137","135","137","135","1","1","1","1","8","6"
"7828","4","9","7","9","1","1","1","1","5","8"
"7875","373","374","377","370","1","1","1","1","5","8"
"8249","215","213","297","295","1","1","1","1","0","4"
"8625","290","291","292","283","1","1","1","1","8","12"
"8779","76","76","59","80","1","1","1","1","8","8"
"8781","360","362","363","358","1","1","1","1","8","8"
"8935","59","50","52","60","1","1","1","1","0","1"
"8937","51","57","53","58","1","1","1","1","5","7"
"8938","188","191","186","187","1","1","1","1","5","8"
"9186","573","572","571","570","1","1","1","1","8","8"
"9187","573","572","571","570","1","1","1","1","6","8"
"9323","360","362","363","255","1","1","1","1","8","8"
"10446","154","155","151","157","1","1","1","1","9","8"
"10447","152","153","159","153","1","1","1","1","9","8"
"11698","36","35","33","35","1","1","1","1","0","8"
"11768","229","231","230","227","1","1","1","1","3","123"
"11858","192","186","190","188","1","1","1","1","6","7"
"11860","186","188","191","187","1","1","1","1","5","7"
"11861","192","191","189","188","1","1","1","1","6","7"
"11865","266","299","269","268","1","1","1","1","9","6"
"11867","266","272","299","267","1","1","1","1","9","6"
"11973","266","267","269","299","1","1","1","1","9","6"
"11976","271","272","268","270","1","1","1","1","9","6"
"12078","366","363","364","216","1","1","1","1","2","6"
"17824","6","629","6","6","1","1","1","1","5","50"
"17826","668","670","671","672","1","1","1","1","0","20"
"17827","668","669","671","672","1","1","1","1","0","20"
"17965","225","224","225","224","1","1","1","1","0","5"
"17980","729","728","724","725","1","1","1","1","0","10"
"18070","711","711","711","709","7","7","7","3","5","24"
"18083","709","709","710","710","5","5","7","7","5","24"
"18084","718","721","718","721","4","4","4","4","0","8"
"18085","710","709","710","710","6","4","6","8","5","24"
"18093","710","709","710","710","6","4","6","8","0","24"
"18105","230","140","139","140","5","1","1","1","6","5"
"18106","230","141","1","325","9","5","3","2","5","15"
"18118","716","716","716","720","7","8","8","1","0","24"
"18119","719","719","719","719","2","2","2","2","0","2"
"18143","218","225","224","220","1","1","1","1","0","10"
"18146","722","726","723","220","1","1","1","1","0","10"
"18176","412","411","412","410","1","1","1","1","7","3"
"18178","412","411","412","412","1","1","1","1","7","1"
"18231","711","711","711","709","7","7","7","3","5","12"
"18233","711","711","711","711","8","8","4","4","0","24"
"18274","228","228","228","228","5","1","1","1","0","3"
"18276","227","227","227","227","5","1","1","1","0","3"
"18313","19","20","21","19","1","1","1","1","7","1"
"18316","19","20","21","21","1","1","1","1","7","1"
"18318","714","714","714","714","10","10","10","5","5","12"
"18319","713","713","715","712","10","10","4","1","5","12"
"18372","658","602","611","603","1","1","1","1","0","10"
"18384","657","622","532","708","1","1","1","1","5","20"
"18462","711","711","711","709","7","7","7","3","0","24"
"18704","602","642","599","611","1","1","1","1","0","10"
"18755","177","176","177","176","1","1","1","1","7","5"
"18981","716","716","716","720","8","7","8","1","5","24"
"18983","719","719","719","719","24","24","24","24","5","8"
"19061","718","721","717","721","1","1","1","1","0","8"
"19106","717","721","717","721","1","1","1","1","5","2"
"19162","716","716","716","720","7","8","8","1","5","24"
"19166","719","719","719","719","2","2","2","2","5","2"
"19169","717","721","717","721","4","4","4","4","5","8"
"19207","716","716","716","720","3","2","1","1","5","4"
"19208","719","719","719","719","1","1","1","1","5","1"
"19289","734","490","520","776","1","1","1","1","5","4"
"19290","683","735","736","737","1","1","1","1","0","10"
"19294","738","739","735","736","1","1","1","1","0","8"
"19295","735","736","737","740","1","1","1","1","0","8"
"19306","107","99","105","108","1","1","1","1","0","1"
"19335","121","766","767","735","1","1","1","1","0","10"
"19570","242","244","243","575","1","1","1","1","0","10"
"19599","21","22","19","20","3","5","3","3","10","8"
"19600","29","391","435","21","5","5","5","5","5","10"
"19653","805","805","806","805","2","2","2","1","5","8"
"19654","805","803","804","806","2","2","2","1","5","8"
"19676","711","711","709","711","1","1","1","1","5","12"
"19712","752","752","753","754","8","8","8","1","9","16"
"19730","0","0","0","0","1","1","1","1","12","0"
"19761","750","751","755","749","4","4","3","1","0","1"
"19776","750","751","759","748","1","1","1","1","0","1"
"19777","758","759","758","759","4","4","4","4","0","4"
"19831","710","709","710","709","6","4","6","8","5","24"
"19863","743","744","745","746","4","4","4","1","12","6"
"19865","734","732","715","4","1","1","1","1","0","10"
"19874","741","742","747","741","4","4","4","4","12","8"
"21660","577","578","574","574","1","1","1","1","5","8"
"21686","578","577","574","574","1","1","1","1","5","8"
"21687","4","5","11","14","1","1","1","1","5","8"
"21742","576","575","574","574","1","1","1","1","6","8"
"22093","227","227","227","227","1","1","1","1","6","15"
"22233","104","105","103","101","1","1","1","1","6","8"
"22234","587","581","582","586","1","1","1","1","5","8"
"22239","104","105","103","101","1","1","1","1","0","8"
"22241","584","583","582","584","1","1","1","1","6","8"
"22252","594","593","592","369","1","1","1","1","0","8"
"22253","590","591","368","367","1","1","1","1","0","8"
"22272","585","585","585","585","1","1","1","1","8","8"
"22371","67","68","580","579","1","1","1","1","0","8"
"22766","613","598","597","596","1","1","1","1","5","10"
"22767","596","614","613","595","1","1","1","1","5","8"
"22768","598","596","597","598","1","1","1","1","5","10"
"22771","220","450","451","225","1","1","1","1","8","4"
"22774","613","613","613","613","1","1","1","1","0","5"
"22780","603","609","203","206","1","1","1","1","5","12"
"22781","602","193","603","601","1","1","1","1","5","12"
"22792","605","606","607","605","1","1","1","1","9","8"
"22795","605","606","607","605","1","1","1","1","0","1"
"22796","126","591","125","124","1","1","1","1","0","8"
"22797","591","594","126","125","1","1","1","1","0","8"
"22798","351","590","350","367","1","1","1","1","0","5"
"22837","433","638","639","390","1","1","1","1","8","7"
"22849","276","275","274","276","1","1","1","1","0","1"
"22862","351","350","351","659","1","1","1","1","0","1"
"22869","87","91","31","285","1","1","1","1","0","2"
"22871","87","91","87","91","1","1","1","1","0","1"
"22923","620","621","620","621","1","1","1","1","0","2"
"22924","642","582","642","655","1","1","1","1","5","9"
"22925","642","618","346","587","1","1","1","1","5","10"
"22929","109","110","315","313","1","1","1","1","7","1"
"22931","636","618","346","616","1","1","1","1","5","10"
"22932","636","347","346","587","1","1","1","1","5","10"
"22935","633","632","634","301","1","1","1","1","5","10"
"23251","315","313","314","110","1","1","1","1","7","1"
"23255","346","630","56","372","1","1","1","1","5","10"
"23257","315","110","313","314","1","1","1","1","7","1"
"23344","639","576","537","586","1","1","1","1","6","15"
"23354","431","433","431","392","1","1","1","1","8","5"
"23356","648","645","652","648","1","1","1","1","5","10"
"23360","648","645","652","648","1","1","1","1","5","20"
"23364","220","450","451","225","1","1","1","1","0","12"
"23434","576","54","575","144","1","1","1","1","5","10"
"23505","640","641","609","600","1","1","1","1","5","12"
"23506","108","107","109","108","1","1","1","1","0","2"
"23507","301","374","631","634","1","1","1","1","5","10"
"23508","109","110","412","109","1","1","1","1","7","1"
"23509","412","110","410","411","1","1","1","1","7","1"
"23526","586","537","574","623","1","1","1","1","5","12"
"23547","109","110","315","313","1","1","1","1","0","1"
"23590","355","354","355","354","1","1","1","1","0","6"
"23606","620","621","620","621","1","1","1","1","0","1"
"23807","598","595","597","614","1","1","1","1","5","10"
"23854","632","628","628","374","1","1","1","1","5","10"
"23936","635","54","537","586","1","1","1","1","6","15"
"24111","108","109","107","108","1","1","1","1","0","2"
"24191","195","193","619","196","1","1","1","1","5","12"
"24192","109","313","315","108","1","1","1","1","7","1"
"24290","108","324","319","109","1","1","1","1","8","6"
"24470","586","630","635","629","1","1","1","1","6","15"
"24711","648","648","648","648","1","1","1","1","8","1"
"24892","521","520","519","521","1","1","1","1","0","15"
"24894","235","236","237","237","1","1","1","1","6","5"
"25348","84","643","82","644","1","1","1","1","8","8"
"25350","650","646","647","649","1","1","1","1","9","20"
"25403","130","590","367","273","1","1","1","1","0","5"
"25976","653","653","653","653","1","1","1","1","0","8"
"25977","654","653","654","653","1","1","1","1","0","4"
"26114","603","609","600","655","1","1","1","1","5","12"
"26150","653","653","653","653","1","1","1","1","0","5"
"26189","521","520","520","519","1","1","1","1","0","20"
"26694","103","107","104","108","1","1","1","1","0","2"
"26811","348","349","345","619","1","1","1","1","0","8"
"26812","615","615","347","619","1","1","1","1","5","8"
"26818","219","218","219","218","1","1","1","1","5","8"
"27051","653","654","653","654","1","1","1","1","0","8"
"27322","220","450","451","225","1","1","1","1","8","3"
"27371","228","230","227","238","1","1","1","1","5","10"
"27374","238","235","229","238","1","1","1","1","6","7"
"27885","220","220","220","220","1","1","1","1","9","2"
"28007","230","235","235","235","1","1","1","1","0","0"
"28008","220","235","237","235","1","1","1","1","0","20"
"28041","237","230","236","238","1","1","1","1","5","6"
"28042","147","235","236","230","1","1","1","1","5","4"
"29532","230","235","235","237","1","1","1","1","0","0"
"30394","130","590","367","70","1","1","1","1","0","5"
"30575","18","16","116","118","1","1","1","1","3","9"
"30578","18","17","16","15","1","1","1","1","5","9"
"30590","668","670","671","672","1","1","1","1","5","20"
"30592","630","629","629","629","1","1","1","1","5","1"
"30676","220","218","221","235","1","1","1","1","0","8"
"30694","201","201","201","369","1","1","1","1","0","0"
"30708","129","36","36","36","1","1","1","1","0","0"
"31030","661","661","661","661","1","1","1","1","5","16"
"31031","662","662","662","662","1","1","1","1","5","16"
"31042","664","664","664","664","1","1","1","1","5","13"
"31237","660","660","660","660","1","1","1","1","5","16"
"31240","363","362","361","360","1","1","1","1","5","6"
"31241","313","314","315","313","1","1","1","1","7","3"
"31244","55","30","28","31","1","1","1","1","6","9"
"31690","642","638","642","655","1","1","1","1","0","4"
"31837","663","663","663","663","1","1","1","1","5","10"
"31838","661","661","661","661","1","1","1","1","5","10"
"31889","660","660","660","660","1","1","1","1","5","10"
"32270","667","667","667","667","1","1","1","1","5","7"
"32430","646","646","647","647","1","1","1","1","8","0"
"32431","645","645","647","647","1","1","1","1","8","0"
"32730","686","686","686","681","1","1","1","1","5","1"
"32731","684","684","684","684","1","1","1","1","0","16"
"32732","684","681","684","681","1","1","1","1","5","16"
"32733","681","681","681","682","1","1","1","1","5","4"
"32734","685","681","685","681","1","1","1","1","5","16"
"33065","679","674","675","679","1","1","1","1","3","10"
"33066","674","678","677","676","1","1","1","1","3","15"
"33084","637","582","581","586","1","1","1","1","0","10"
"33119","532","536","531","583","1","1","1","1","0","10"
"33178","531","586","533","537","1","1","1","1","0","10"
"33315","186","4","186","4","1","1","1","1","0","15"
"33316","188","137","56","186","1","1","1","1","0","10"
"33317","536","138","531","142","1","1","1","1","0","0"
"33318","79","538","142","47","1","1","1","1","0","15"
"33757","367","351","593","594","1","1","1","1","0","8"
"34157","4","5","5","234","1","1","1","1","5","2"
"34158","590","591","368","367","1","1","1","1","0","6"
"34165","594","593","592","369","1","1","1","1","0","6"
"34175","21","20","19","19","1","1","1","1","0","8"
"34332","363","362","361","360","1","1","1","1","9","10"
"34583","680","680","680","680","1","1","1","1","8","8"
"34644","666","369","666","592","1","1","1","1","6","10"
"34647","4","5","11","3","1","1","1","1","5","3"
"34649","6","4","5","11","1","1","1","1","5","7"
"34658","667","667","667","667","1","1","1","1","6","7"
"34939","668","671","668","672","1","1","1","1","0","3"
"34966","673","673","669","672","1","1","1","1","8","3"
"35990","683","683","683","683","1","1","1","1","0","8"
"36240","367","368","593","369","1","1","1","1","0","8"
"36417","686","686","686","681","1","1","1","1","0","1"
"36418","684","684","684","684","1","1","1","1","5","16"
"36419","681","684","681","681","1","1","1","1","5","15"
"36946","690","666","693","690","1","1","1","1","6","16"
"36947","696","697","696","696","1","1","1","1","5","16"
"36948","694","694","695","694","1","1","1","1","2","16"
"36950","687","689","687","692","1","1","1","1","5","16"
"37022","368","592","367","594","1","1","1","1","3","5"
"37136","699","704","699","707","1","1","1","1","9","16"
"37148","456","455","456","450","1","1","1","1","8","6"
"37361","701","702","698","700","1","1","1","1","5","8"
"39591","703","707","703","707","1","1","1","1","5","16"
"39894","21","20","19","21","1","1","1","1","0","8"
"39958","698","698","698","705","1","1","1","1","0","16"
"39959","701","702","701","701","1","1","1","1","5","8"
"40199","277","283","284","293","1","1","1","1","9","3"
"40945","21","20","19","19","1","1","1","1","7","5"
"40947","21","20","19","19","1","1","1","1","7","1"
"41122","646","646","647","647","1","1","1","1","0","5"
"41124","646","646","647","696","1","1","1","1","0","5"
"41165","668","670","671","672","1","1","1","1","5","5"
"41166","668","670","671","672","1","1","1","1","6","5"
"42529","390","391","435","31","1","1","1","1","0","0"
"43647","300","696","301","300","1","1","1","1","5","8"
"43648","378","379","692","378","1","1","1","1","5","8"
"43649","238","237","227","235","1","1","1","1","5","8"
"44329","709","710","710","710","1","1","1","1","0","2"
"44588","281","280","155","202","1","1","1","2","0","1"
"44647","0","0","0","0","1","1","1","1","11","0"
"69264","805","806","803","807","1","1","1","1","5","8"
"69336","668","670","671","672","1","1","1","1","0","11"
