Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15
"55","Garden Shipment","Generates a shipment of herbs from draenic seeds you have gathered.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.","54","0","16091","16092","16093","0","1","2","2","14","21","80","1","0"
"56","Mine Shipment","Generates a shipment of ore from Draenic Stone you have mined.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.","54","0","16091","16092","16093","0","1","1","2","14","21","79","1","0"
"57","Alchemical Catalyst","Generate a shipment of Alchemical Catalysts.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","43","0","19959","19958","22544","0","1","16","2","14","21","31","0","0"
"58","Truesteel Ingot","Generate a shipment of Truesteel Ingots.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","42","0","19959","19958","22544","0","1","17","2","14","21","49","0","0"
"59","Temporal Crystal","Generate a shipment of enchanting crystals.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","44","0","19959","19958","22544","0","1","18","2","14","21","52","0","0"
"60","Gearspring Parts","Generate a shipment of Gearspring Parts.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","47","0","19959","19958","22544","0","1","19","2","14","21","53","0","0"
"61","War Paints","Generate a shipment of War Paints.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","45","0","19959","19958","22544","0","1","20","2","14","21","54","0","0"
"62","Taladite Crystal","Generate a shipment of Taladite Crystal.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","46","0","19959","19958","22544","0","1","21","2","14","21","51","0","0"
"63","Burnished Leather","Generate a shipment of Burnished Leather.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","49","0","19959","19958","22544","0","1","22","2","14","21","50","0","0"
"64","Hexweave Cloth","Generate a shipment of Hexweave Cloth. 

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","52","0","19959","19958","22544","0","1","23","2","14","21","37","0","0"
"65","Conqueror's Tribute","Turn in pieces of your enemies at the Altar of Bones to earn a tribute of riches and powerful items.

You can view the progress of your offering in the Garrison Report.","54","0","2614","15449","22474","0","1","25","2","14","21","0","-1","0"
"66","Garrison Resources","Trade in raw tradeskill materials for Garrison Resources.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.","54","0","16091","16092","16093","0","1","6","2","14","21","70","1","0"
"70","Garrison Resources","Trade in raw tradeskill materials for Garrison Resources.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.","54","0","19959","19958","22544","0","1","6","2","14","21","66","0","0"
"74","Overcharged Demolisher","Produces an Overcharged Demolisher. 

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.","159","0","24673","24673","24673","0","1","26","2","1","2","75","0","0"
"75","Overcharged Siege Engine","Produces an Overcharged Siege Engine.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.","90","0","24672","24672","24672","0","1","26","2","1","2","74","1","0"
"77","","Trade in Garrison Resources for follower upgrades and armor scraps.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.","18","0","19959","19958","22544","0","1","10","2","14","21","78","0","0"
"78","","Trade in Garrison Resources for follower upgrades and armor scraps.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.","16","0","16091","16092","22545","0","1","10","2","14","21","77","1","0"
"79","Mine Shipment","Generates a shipment of ore from Draenic Stone you have mined.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.","54","0","19959","19958","22544","0","1","1","2","14","21","56","0","0"
"80","Garden Shipment","Generates a shipment of herbs from draenic seeds you have gathered.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.","54","0","19959","19958","22544","0","1","2","2","14","21","55","0","0"
"100","","Trade in Ogre Waystones for Apexis Crystals and Mission Completion Orders.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.","149","0","19959","19958","22544","0","1","13","2","14","21","101","0","0"
"101","","Trade in Ogre Waystones for Apexis Crystals and Mission Completion Orders.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.","29","0","16091","16092","22545","0","1","13","2","14","21","100","1","0"
"103","","Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 30m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r","9","10070","10070","10070","10070","44449","1","9","2","2","3","113","1","0"
"104","","A destructive diving vessel that can be used on naval missions.

|cFFFFD200Build Time: 2hrs|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t |cffffffff Carrier|r","9","10309","10309","10309","10309","44449","1","9","2","2","3","111","1","0"
"105","","A powerful ship with large cannons that can be used on naval missions.

|cFFFFD200Build Time: 1hr|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff Destroyer|r","9","15165","15165","15165","15165","44449","1","9","2","2","3","112","1","0"
"106","","A large ship used to transport troops and recover materials on naval missions.

|cFFFFD200Build Time: 30m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\ABILITY_ROGUE_FLEETFOOTED.BLP:24:24:0:0|t |cffffffff Land Objective|r","9","26784","26784","26784","26784","44449","1","9","2","2","3","0","-1","0"
"107","","A strategic ship that can launch air attacks at sea for naval missions.

|cFFFFD200Build Time: 2hrs|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_ArmorPiercingAmmo.blp:24:24:0:0|t |cffffffff Battleship|r","9","27015","27015","27015","27015","44449","1","9","2","2","3","0","-1","0"
"109","","A large ship used to transport troops and recover materials on naval missions.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\ABILITY_ROGUE_FLEETFOOTED.BLP:24:24:0:0|t |cffffffff Land Objective|r","9","26784","26784","26784","26784","44449","1","9","2","2","3","0","-1","0"
"111","","A destructive diving vessel that can be used on naval missions.

|cFFFFD200Build Time: 2hrs|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t |cffffffff Carrier|r","9","27211","27211","27211","27211","44449","1","9","2","2","3","104","0","0"
"112","","A powerful ship with large cannons that can be used on naval missions.

|cFFFFD200Build Time: 1hr|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff Destroyer|r","9","10322","10322","10322","10322","44449","1","9","2","2","3","105","0","0"
"113","","Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 30m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r","9","10941","10941","10941","10941","44449","1","9","2","2","3","103","0","0"
"114","","Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r","9","10070","10070","10070","10070","44449","1","9","2","2","3","115","1","0"
"115","","Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r","9","10941","10941","10941","10941","44449","1","9","2","2","3","114","0","0"
"119","","Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r","9","10070","10070","10070","10070","44449","1","9","2","2","3","121","1","0"
"121","","Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r","9","10941","10941","10941","10941","44449","1","9","2","2","3","119","0","0"
"122","Test Kitchen Results","Nomi will research new recipes for you.","51","0","12572","12573","12573","0","24","0","3","20","21","0","-1","0"
"124","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","0","11843","11843","11843","11843","61015","4","0","3","4","4","0","-1","0"
"125","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","0","11843","11843","11843","11843","61015","3","0","3","2","3","0","-1","0"
"126","Troop Shipment","Requisition a squad of Crane Initiates which can accompany followers on missions to increase chance at a bonus reward.

|cFFFFD200Build Time: 30m|r","9","0","11843","11843","11843","0","2","0","3","2","3","0","-1","0"
"128","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","35397","35397","35397","35397","61015","3","0","3","3","3","0","-1","0"
"129","Troops Training","Summon a squad of troops which can accompany Champions on missions to increase chance of success.","9","35397","35397","35397","35397","61015","4","0","3","4","4","0","-1","0"
"130","Felguard Demons","Requisition a host of Felguard Demons to fight on missions for you.

|cFFFFD200Build Time: 1hr|r","9","0","8618","8618","8618","0","1","0","3","1","1","0","-1","0"
"131","Troops Training","Summon a squad of troops which can accompany Champions on missions to increase chance of success.","9","35172","35172","35172","35172","61015","4","0","3","4","4","0","-1","0"
"132","Troop Shipment","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","35172","35172","35172","35172","61015","3","0","3","3","3","0","-1","0"
"133","Troop Shipment","Requisition a squad of [units] to fight on missions for you.

|cFFFFD200Build Time: 30m|r","9","0","35172","35172","35172","0","1","0","3","2","3","0","-1","0"
"134","Troops Training","Raise a squad of troops which can accompany Champions on missions to increase chance of success.","9","8225","8225","8225","8225","61015","4","0","3","4","4","0","-1","0"
"135","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","8225","8225","8225","8225","61015","3","0","3","3","3","0","-1","0"
"136","Troop Shipment","Requisition a squad of troops which can accompany Champions on missions to increase chance of success.
|cFFFFD200Build Time: 30m|r","9","0","8225","8225","8225","0","1","0","3","2","3","0","-1","0"
"137","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","26916","26916","26916","26916","61015","4","0","3","4","4","0","-1","0"
"138","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","26916","26916","26916","26916","61015","3","0","3","3","3","0","-1","0"
"139","Troop Shipment","Requisition a squad of troops which can accompany Champions on missions to increase chance of success.

|cFFFFD200Build Time: 30m|r","9","0","26916","26916","26916","0","1","0","3","2","3","0","-1","0"
"140","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","35171","35171","35171","35171","61015","4","0","3","4","4","0","-1","0"
"141","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","35171","35171","35171","35171","61015","3","0","3","3","3","0","-1","0"
"142","Troop Shipment","Requisition a squad of Keepers of the Grove to fight on missions for you.

|cFFFFD200Build Time: 30m|r","9","0","35171","35171","35171","0","1","0","3","2","3","0","-1","0"
"143","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","36448","36448","36448","36448","61015","4","0","3","4","4","0","-1","0"
"144","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","36448","36448","36448","36448","61015","3","0","3","3","3","0","-1","0"
"145","Troop Shipment","Requisition a squad of [units] to fight on missions for you.

|cFFFFD200Build Time: 30m|r","9","0","10721","10721","10721","0","1","0","3","2","3","0","-1","0"
"146","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","35170","35170","35170","35170","61015","4","0","3","4","4","0","-1","0"
"147","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","35170","35170","35170","35170","61015","3","0","3","3","3","0","-1","0"
"148","Troop Shipment","Requisition a squad of [units] to fight on missions for you.

|cFFFFD200Build Time: 30m|r","9","0","35170","35170","35170","0","1","0","3","2","3","0","-1","0"
"149","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","35174","35174","35174","35174","61015","4","0","3","4","4","0","-1","0"
"150","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","35174","35174","35174","35174","61015","3","0","3","3","3","0","-1","0"
"151","Troop Shipment","Requisition a squad of troops which can accompany Champions on missions to increase chance of success.

|cFFFFD200Build Time: 30m|r","9","0","35174","35174","35174","0","1","0","3","2","3","0","-1","0"
"152","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","36449","36449","36449","36449","61015","4","0","3","4","4","0","-1","0"
"153","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","36449","36449","36449","36449","61015","3","0","3","3","3","0","-1","0"
"154","Troop Shipment","Requisition a squad of troops which can accompany Champions on missions to increase chance of success.

|cFFFFD200Build Time: 30m|r","9","0","10721","10721","10721","0","1","0","3","2","3","0","-1","0"
"155","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","0","35398","35398","35398","35398","61015","3","0","3","3","3","0","-1","0"
"156","Troops Training","Summon a squad of troops which can accompany Champions on missions to increase chance of success.","0","35398","35398","35398","35398","61015","4","0","3","4","4","0","-1","0"
"157","Troops Training","Summon a squad of troops which can accompany Champions on missions to increase chance of success.","9","35398","35398","35398","35398","61015","1","0","3","1","1","0","-1","0"
"158","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","33176","33176","33176","33176","61015","4","0","3","4","4","0","-1","0"
"159","Troops Training","Train a squad of troops which can accompany Champions on missions to increase chance of success.","9","33176","33176","33176","33176","61015","3","0","3","3","3","0","-1","0"
"160","Troop Shipment","Requisition a squad of troops which can accompany Champions on missions to increase chance of success.
|cFFFFD200Build Time: 30m|r","9","0","33176","33176","33176","0","1","0","3","2","3","0","-1","0"
"161","Troop Shipment","Requisition a squad of Crane Adepts which can accompany followers on missions to increase chance at a bonus reward.

|cFFFFD200Build Time: 30m|r","9","0","10811","10811","10811","0","2","0","3","2","3","0","-1","0"
"163","Troop Shipment","Requisition a squad of Tiger Adepts which can accompany followers on missions to increase chance of success.

|cFFFFD200Build Time: 30m|r","9","0","11843","11843","11843","0","2","0","3","2","3","0","-1","0"
"164","Troops Training","Summon a powerful ally which can accompany Champions on missions to increase chance of success.","9","35173","35173","35173","35173","61015","1","0","3","1","1","0","-1","0"
"165","Troop Shipment","Requisition a squad of Ox Adepts which can accompany followers on missions to increase chance of success.

|cFFFFD200Build Time: 30m|r","9","0","11843","11843","11843","0","4","0","3","4","4","0","-1","0"
"166","Pack of Wild Imps","Requisition a Pack of Wild Imps to fight on missions for you.

|cFFFFD200Build Time: 15m|r","9","0","8618","8618","8618","0","4","0","3","4","4","0","-1","0"
"167","Fel Wrathguard Demons","Requisition a host of Fel Wrathguard Demons to fight on missions for you.

|cFFFFD200Build Time: 1hr|r","9","0","8618","8618","8618","0","1","0","3","1","1","0","-1","0"
"168","Black Harvest Invokers","Requisition a mob of Black Harvest Invokers to fight on missions for you.

|cFFFFD200Build Time: 30m|r","9","0","8618","8618","8618","0","2","0","3","2","2","0","-1","0"
"171","Troop Shipment","Requisition a shipment of Champion Armaments and Equipment.","16","0","36928","36928","36928","0","4","0","3","4","2","0","-1","0"
"173","Pending Research Notes","Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.","44","0","36065","36065","16159","0","2","0","3","1","2","0","-1","0"
"177","Seal of Broken Fate Shipment","Requisition a Seal of Broken Fate.","16","0","26060","26060","26060","0","1","0","3","1","1","0","-1","0"
"178","Summoning Frost Wyrm","Requisition a Frost Wyrm to unleash.","16","36780","36780","36780","36780","61015","1","0","3","1","1","0","-1","0"
"179","Enslaving Infernal","Summon an Infernal and contain it within a Demonic Phylactery, which can be unleashed to complete a World Quest.","16","37137","37137","37137","37137","61015","1","0","3","1","1","0","-1","0"
"180","Channelling the power of Dalaran.","Channel the power of order into the Focusing Crystal, allowing you to unleash the Might of Dalaran and complete a World Quest.","16","7631","7631","7631","7631","61015","1","0","3","1","1","0","-1","0"
"192","Raising the Vanguard","Begin the recruitment of the Vanguard of the Silver Hand, to unleash them on a World Quest.","16","37230","37230","37230","37230","61015","1","0","3","1","1","0","-1","0"
"193","Ritual of Blessings","Call upon the prayers of the order to bless your Champions, increasing their chance of success on missions.","16","35853","35853","35853","35853","61015","1","0","3","1","1","0","-1","0"
"194","Calling the Val'kyr","Begin calling the Val'kyr, allowing you to deploy them to complete a World Quest.","16","33174","33174","33174","33174","61015","1","0","3","1","1","0","-1","0"
"195","Channel the wrath of the order.","Channel the wrath of the order to empower the Rift Core, allowing you to deploy the Rift Cannon to complete a World Quest.","16","25536","25536","25536","25536","61015","1","0","3","1","1","0","-1","0"
"196","Troop Shipment","Summon a powerful ally which can accompany Champions on missions to increase chance of success.","9","35171","35171","35171","35171","61015","1","0","3","1","1","0","-1","0"
"197","Troop Shipment","Requisition a shipment of Champion armaments and equipment.","16","35924","36928","36928","36928","61015","4","0","3","4","2","0","-1","0"
"198","Troop Shipment","Requisition a shipment of Champion armaments and equipment.","16","31180","31180","31180","31180","61015","4","0","3","4","2","0","-1","0"
"199","Troop Shipment","Requisition a shipment of Champion armaments and equipment.","16","36928","36928","36928","36928","61015","4","0","3","4","2","0","-1","0"
"200","Troop Shipment","Requisition a shipment of Champion armaments and equipment.","16","7088","7088","7088","7088","61015","4","0","3","4","2","0","-1","0"
"201","Troop Shipment","Requisition a shipment of Champion armaments and equipment.","16","37189","37189","37189","37189","61015","4","0","3","4","4","0","-1","0"
"202","Troop Shipment","Requisition a shipment of Champion armaments and equipment.","16","37480","37480","37478","37481","61015","4","0","3","2","4","0","-1","0"
"203","Troop Shipment","Requisition a shipment of Champion armaments and equipment.","16","30825","30825","30825","30825","61015","4","0","3","4","2","0","-1","0"
"206","Troop Shipment","Requisition a shipment of Champion armaments and equipment.","16","30127","30127","30127","30127","61015","4","0","3","4","2","0","-1","0"
"207","Troop Shipment","Requisition a shipment of Champion armaments and equipment.","16","37231","37231","37231","37231","61015","4","0","3","4","2","0","-1","0"
"208","Troop Shipment","Requisition a shipment of Champion armaments and equipment.","16","37234","37234","37234","37234","61015","4","0","3","4","2","0","-1","0"
"209","Seal of Broken Fate Shipment","Requisition a Seal of Broken Fate.","16","37191","37191","37191","37191","61015","1","0","3","1","1","0","-1","0"
"210","Seal of Broken Fate Shipment","Requisition a Seal of Broken Fate.","16","27369","27369","27369","27369","61015","1","0","3","1","1","0","-1","0"
"211","Seal of Broken Fate Shipment","Requisition a Seal of Broken Fate.","16","36278","36278","36278","36278","61015","1","0","3","1","1","0","-1","0"
"212","Seal of Broken Fate Shipment","Requisition a Seal of Broken Fate.","16","6964","6964","6964","6964","61015","1","0","3","1","1","0","-1","0"
"213","Seal of Broken Fate Shipment","Requisition a Seal of Broken Fate.","16","35501","35501","35501","35501","61015","1","0","3","1","1","0","-1","0"
"214","Seal of Broken Fate Shipment","Requisition a Seal of Broken Fate.","16","26060","26060","26060","26060","61015","1","0","3","1","1","0","-1","0"
"216","Seal of Broken Fate Shipment","Requisition a Seal of Broken Fate.","16","34442","34442","34442","34442","61015","1","0","3","1","1","0","-1","0"
"217","Seal of Broken Fate Shipment","Requisition a Seal of Broken Fate.","16","32320","32320","32320","32320","61015","1","0","3","1","1","0","-1","0"
"218","Seal of Broken Fate Shipment","Requisition a Seal of Broken Fate.","16","29891","29891","29891","29891","61015","1","0","3","1","1","0","-1","0"
"219","Seal of Broken Fate Shipment","Requisition a Seal of Broken Fate.","16","34219","34219","34219","34219","61015","1","0","3","1","1","0","-1","0"
"181","Pending Research Notes","Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.","44","0","36065","36065","16159","0","2","0","3","1","2","0","-1","0"
"182","Pending Research Notes","Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.","44","0","36065","36065","16159","0","2","0","3","1","2","0","-1","0"
"183","Pending Research Notes","Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.","44","0","36065","36065","16159","0","2","0","3","1","2","0","-1","0"
"184","Pending Research Notes","Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.","44","0","36065","36065","16159","0","2","0","3","1","2","0","-1","0"
"185","Pending Research Notes","Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.","44","0","36065","36065","16159","0","2","0","3","1","2","0","-1","0"
"186","Pending Research Notes","Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.","44","0","36065","36065","16159","0","2","0","3","1","2","0","-1","0"
"187","Pending Research Notes","Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.","44","0","36065","36065","16159","0","2","0","3","1","2","0","-1","0"
"188","Pending Research Notes","Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.","44","0","36065","36065","16159","0","2","0","3","1","2","0","-1","0"
"189","Pending Research Notes","Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.","44","0","36065","36065","16159","0","2","0","3","1","2","0","-1","0"
"190","Pending Research Notes","Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.","44","0","36065","36065","16159","0","2","0","3","1","2","0","-1","0"
"191","Pending Research Notes","Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.","44","0","36065","36065","16159","0","2","0","3","1","2","0","-1","0"
"204","Troop Shipment","Requisition a shipment of Champion armaments and equipment.","16","36928","36928","36928","36928","61015","4","0","3","4","2","0","-1","0"
"205","Troop Shipment","Requisition a shipment of Champion armaments and equipment.","16","36928","36928","36928","36928","61015","4","0","3","4","2","0","-1","0"
"215","Seal of Broken Fate Shipment","Requisition a Seal of Broken Fate.","16","26060","26060","26060","26060","61015","1","0","3","1","1","0","-1","0"
"220","Seal of Broken Fate Shipment","Requisition a Seal of Broken Fate.","16","26060","26060","26060","26060","61015","1","0","3","1","1","0","-1","0"
