Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10_0,Unknown10_1,Unknown10_2,Unknown11,Unknown12,Unknown13,Unknown14
"139","","CAPTUREPOINT","","","Progress: %2427w","","530","3483","0","2473","2474","2475","0","0","0","0","1"
"140","Interface\WorldStateFrame\AllianceTower","","","Last Winner: Alliance","Controlled: %2476w","Alliance Forts Controlled","530","3483","0","2490","0","0","0","0","0","0","1"
"141","Interface\WorldStateFrame\HordeTower","","","Last Winner: Horde","Controlled: %2478w","Horde Forts Controlled","530","3483","0","2489","0","0","0","0","0","0","1"
"142","","","","","Invading Enemies = %2454w","Number of Invading Enemies in the Horde Base","534","3606","0","2453","0","0","0","0","0","0","0"
"143","","","","","Invading Enemies = %2454w","Number of Invading Enemies in the Horde Base","534","3606","0","2486","0","0","0","0","0","0","0"
"144","Interface\TargetingFrame\UI-PVP-Horde","","","","Guards Remaining: %2491w/%2493w","","530","3518","0","2503","0","0","0","0","0","0","1"
"145","","CAPTUREPOINT","","","Progress: %2494w","","530","3518","0","2495","2494","2497","0","0","0","0","1"
"146","Interface\TargetingFrame\UI-PVP-Alliance","","","","Guards Remaining: %2491w/%2493w","","530","3518","0","2502","0","0","0","0","0","0","1"
"147","Interface\WorldStateFrame\NeutralTower","","","","Time Remaining - %2509w:%2512w%2510w","Time remaining until the Spirit Towers become capturable.","530","3519","0","2508","0","0","0","0","0","0","1"
"148","","CAPTUREPOINT","","","","","530","3521","0","2527","2528","2529","0","0","0","0","1"
"149","","CAPTUREPOINT","","","","","530","3521","0","2533","2534","2535","0","0","0","0","1"
"150","","","","","Medivh's Shield Remaining: %2540w%","","269","2366","0","2541","0","0","0","0","0","0","0"
"151","","","","","Green Team: %3600w Players Remaining","","562","0","0","3610","0","0","0","1","0","0","0"
"152","","","","","Gold Team: %3601w Players Remaining","","562","0","0","3610","0","0","0","0","0","0","0"
"153","Interface\WorldStateFrame\AllianceTower","","","","West Beacon","Alliance Controlled Beacon","530","3521","0","2555","0","0","0","0","0","0","1"
"154","Interface\WorldStateFrame\HordeTower","","","","West Beacon","Horde Controlled Beacon","530","3521","0","2556","0","0","0","0","0","0","1"
"155","Interface\WorldStateFrame\NeutralTower","","","","West Beacon","Neutral Controlled Beacon","530","3521","0","2557","0","0","0","0","0","0","1"
"156","Interface\WorldStateFrame\AllianceTower","","","","East Beacon","Alliance Controlled Beacon","530","3521","0","2558","0","0","0","0","0","0","1"
"157","Interface\WorldStateFrame\HordeTower","","","","East Beacon","Horde Controlled Beacon","530","3521","0","2559","0","0","0","0","0","0","1"
"158","Interface\WorldStateFrame\NeutralTower","","","","East Beacon","Neutral Controlled Beacon","530","3521","0","2560","0","0","0","0","0","0","1"
"159","","","","","Gold Team: %3601w Players Remaining","","559","0","0","3610","0","0","0","0","0","0","0"
"160","","","","","Green Team: %3600w Players Remaining","","559","0","0","3610","0","0","0","1","0","0","0"
"161","Interface\WorldStateFrame\AllianceTower","","","","Towers Controlled: %2621w","Alliance Towers Controlled","530","3519","0","2620","0","0","0","0","0","0","1"
"162","Interface\WorldStateFrame\HordeTower","","","","Towers Controlled: %2622w","Horde Towers Controlled","530","3519","0","2620","0","0","0","0","0","0","1"
"163","","CAPTUREPOINT","","","","","530","3519","0","2623","2625","2624","0","0","0","0","0"
"164","","CAPTUREPOINT","","","","","566","0","0","2718","2719","2720","0","0","0","0","0"
"165","","","","","Incendiary Bombs Set = %2436w/5","Number of Incendiary Bombs Placed in Durnholde","560","2367","0","2436","0","0","0","0","0","0","0"
"166","Interface\TargetingFrame\UI-PVP-Alliance","","Interface\WorldStateFrame\AllianceFlag","The Alliance have the flag","Bases: %1779w  Resources: %1776w/%1780w","Alliance Status","566","0","0","9808","0","0","0","0","0","0","0"
"167","Interface\TargetingFrame\UI-PVP-Horde","","Interface\WorldStateFrame\HordeFlag","The Horde have the flag","Bases: %1778w  Resources: %1777w/%1780w","Horde status","566","0","0","9809","0","0","0","0","0","0","0"
"168","Interface\WorldStateFrame\AllianceTower","","","","Time Remaining - %2509w:%2512w%2510w","Time remaining until the Spirit Towers become capturable.","530","3519","0","2767","0","0","0","0","0","0","1"
"169","Interface\WorldStateFrame\HordeTower","","","","Time Remaining - %2509w:%2512w%2510w","Time remaining until the Spirit Towers become capturable.","530","3519","0","2768","0","0","0","0","0","0","1"
"171","","","","","Time Rifts Opened: %2784w/18","","269","2366","0","2541","0","0","0","0","0","0","0"
"172","","","","","Current Wave = %2842w of 8","Current Wave","534","3606","0","2842","0","0","0","0","0","0","0"
"173","","","","","North Warp-Gate: %2880w%","","530","3831","0","2889","0","0","0","0","0","0","0"
"174","","","","","South Warp-Gate: %2881w%","","530","3831","0","2889","0","0","0","0","0","0","0"
"175","","","","","Gold Team: %3601w Players Remaining","","572","0","0","3610","0","0","0","0","0","0","0"
"176","","","","","Green Team: %3600w Players Remaining","","572","0","0","3610","0","0","0","1","0","0","0"
"177","","","","","Shield Remaining: %3054w%","Percentage of the shield remaining.","530","4008","0","3055","0","0","0","0","0","0","0"
"178","","","","","%3082w / 12 Marksmen Remaining","Number of Theramore defenders still alive.","1","513","0","3083","0","0","0","0","0","0","0"
"179","","","","","Time Until Sacrifice: %3106w Min","Time remaining until prisoners are killed.","568","3805","0","3104","0","0","0","0","0","0","0"
"180","Interface\TargetingFrame\UI-PVP-Alliance","","","","Reinforcements: %3127w","Alliance Reinforcements","30","0","0","3134","0","0","0","0","0","0","0"
"181","Interface\TargetingFrame\UI-PVP-Horde","","","","Reinforcements: %3128w","Horde Reinforcements","30","0","0","3133","0","0","0","0","0","0","0"
"183","Interface\WorldStateFrame\ColumnIcon-FlagCapture2.blp","","","","Flag Captures","Number of times you have captured the flag","566","0","0","0","0","0","0","0","0","0","2"
"184","","CAPTUREPOINT","","","Progress: %3467w","","571","0","0","3466","3467","3468","0","0","0","0","1"
"185","","","","","Plagued Crates Revealed = %3480w/5","Number of plagued grain crates revealed.","595","0","0","3479","0","0","0","0","0","0","0"
"186","","CAPTUREPOINT","","","Progress: %2427w","","571","0","0","3501","3502","3508","0","0","0","0","1"
"187","","","","","Scourge Wave = %3504w/10","Number of Scourge waves encountered.","595","0","0","3504","0","0","0","0","0","0","0"
"188","Interface\TargetingFrame\UI-PVP-Horde","","","","Vehicles: %3490w/%3491w","Horde status","571","4197","0","3710","0","0","0","0","0","0","0"
"189","Interface\TargetingFrame\UI-PVP-Alliance","","","","Vehicles: %3680w/%3681w","Alliance status","571","4197","0","3710","0","0","0","0","0","0","0"
"190","","","","","Centrifuge Constructs: %3486w Remaining","","578","0","0","3524","0","0","0","0","0","0","0"
"191","","CAPTUREPOINT","","","Progress: %3537w","","607","0","0","3536","3537","3538","0","0","0","0","1"
"192","Interface\TargetingFrame\UI-PVP-Alliance","","","","Attacker","Alliance status","607","4384","0","4352","0","0","0","0","0","0","0"
"193","Interface\TargetingFrame\UI-PVP-Horde","","","","Defender","Horde status","607","4384","0","4352","0","0","0","0","0","0","0"
"194","","","","","End of Round: %3557k","Round ends after this duration","607","4384","0","2889","0","0","0","0","0","0","3"
"196","Interface\TargetingFrame\UI-PVP-Alliance","","","","Defender","Alliance status","607","4384","0","4353","0","0","0","0","0","0","0"
"197","Interface\TargetingFrame\UI-PVP-Horde","","","","Attacker","Horde status","607","4384","0","4353","0","0","0","0","0","0","0"
"198","","","","","Bonus Time: %3557k","Time left for bonus points","607","4384","0","3571","0","0","0","0","0","0","0"
"199","","","","","End of Round: %3557k","Round ends after this duration","607","4384","0","3565","0","0","0","0","0","0","3"
"200","","","","","Forces of the Light Remaining: %3590w","Forces of the Light remaining!","609","0","176","3592","0","0","0","0","0","0","0"
"201","","","","","Forces of the Scourge Remaining: %3591w","Forces of the Scourge remaining!","609","0","176","3592","0","0","0","0","0","0","0"
"202","","","","","%3604w minutes until the battle for Light's Hope Chapel begins!","Time remaining until the battle for Light's Hope Chapel begins!","609","0","176","3603","0","0","0","0","0","0","1"
"203","","","","","The battle for Light's Hope Chapel has begun!","","609","0","176","3605","0","0","0","0","0","0","1"
"204","","","","","Gold Team: %3601w Players Remaining","","617","0","0","3610","0","0","0","0","0","0","0"
"205","","","","","Green Team: %3600w Players Remaining","","617","0","0","3610","0","0","0","1","0","0","0"
"206","","","","","Gold Team: %3601w Players Remaining","","618","0","0","3610","0","0","0","0","0","0","0"
"207","","","","","Green Team: %3600w Players Remaining","","618","0","0","3610","0","0","0","1","0","0","0"
"208","","","","","Time Remaining: %3781k","Game ends after this duration","571","4197","0","3710","0","0","0","0","0","0","3"
"210","Interface\TargetingFrame\UI-PVP-Alliance","","","","Alliance Controlled","","571","4197","0","3803","0","0","0","0","0","0","0"
"211","Interface\TargetingFrame\UI-PVP-Horde","","","","Horde Controlled","","571","4197","0","3802","0","0","0","0","0","0","0"
"212","","","","","Next Battle: %4354k","The War for Lake Wintergrasp will resume after this duration.","571","4197","0","3801","0","0","0","0","0","0","3"
"213","","","","","Prison Seal Integrity: %3815w%","","608","0","0","3816","0","0","0","0","0","0","0"
"214","","","","","Portals Opened: %3810w/18","","608","4415","0","3816","0","0","0","0","0","0","0"
"215","Interface\WorldStateFrame\ColumnIcon-FlagCapture","","","","Walls Destroyed","Number of times you have destroyed enemy walls.","571","0","0","0","0","0","0","1","0","0","2"
"216","Interface\WorldStateFrame\ColumnIcon-FlagCapture","","","","Buildings Destroyed","Number of times you have destroyed enemy buildings.","571","0","0","0","0","0","0","1","0","0","2"
"217","","","","","The battle for Undercity has begun!","The battle for Undercity has begun!","0","0","345","3875","0","0","0","0","0","0","1"
"218","","","","","%3877w minutes until the battle for the Undercity begins!","Time remaining until the battle for the Undercity begins!","0","0","345","3876","0","0","0","0","0","0","1"
"220","Interface\WorldStateFrame\DreadLordIcon","","","","The enemy controls the Undercity!","Varimathras and Grand Apothecary Putress have taken over the Undercity!","0","0","345","3878","0","0","0","0","0","0","0"
"221","Interface\WorldStateFrame\CombatSwords","","Interface\WorldStateFrame\CombatSwords","","The Horde is battling over the courtyard!","Assist the Horde forces in the Undercity courtyard!","0","0","345","3885","0","0","0","0","0","0","1"
"222","Interface\TargetingFrame\UI-PVP-Horde","","","","The Horde controls the courtyard!","The area is now secured.","0","0","345","3886","0","0","0","0","0","0","1"
"223","Interface\WorldStateFrame\CombatSwords","","Interface\WorldStateFrame\CombatSwords","","The Horde is battling over the inner sanctum!","Assist the Horde forces in the Trade Quarter and Canals!","0","0","345","3887","0","0","0","0","0","0","1"
"224","Interface\TargetingFrame\UI-PVP-Horde","","","","The Horde controls the inner sanctum!","The area is now secured.","0","0","345","3888","0","0","0","0","0","0","1"
"225","Interface\WorldStateFrame\CombatSwords","","Interface\WorldStateFrame\CombatSwords","","The Horde is battling over the Apothecarium!","Assist the Horde forces in the Apothecarium!","0","0","345","3891","0","0","0","0","0","0","1"
"226","Interface\TargetingFrame\UI-PVP-Horde","","","","The Horde controls the Apothecarium!","The area is now secured.","0","0","345","3892","0","0","0","0","0","0","1"
"227","Interface\WorldStateFrame\CombatSwords","","Interface\WorldStateFrame\CombatSwords","","The Horde is battling over the Royal Quarter!","Assist the Horde forces in the Royal Quarter!","0","0","345","3889","0","0","0","0","0","0","1"
"228","Interface\TargetingFrame\UI-PVP-Horde","","","","The Horde controls the Royal Quarter! Varimathras is defeated!","The Horde has regained control of the Undercity!","0","0","345","3890","0","0","0","0","0","0","1"
"229","","","","","%3893w minute(s) remaining until this event resets.","","0","0","345","3894","0","0","0","0","0","0","1"
"230","","","","","Time Remaining = %3931w min.","Time until Guardian of Time corrupted.","595","0","0","3932","0","0","0","0","0","0","0"
"231","Interface\WorldStateFrame\ColumnIcon-FlagCapture","","","","Gates Destroyed","Number of times you have destroyed a gate","607","0","0","0","0","0","0","2","0","0","2"
"232","Interface\WorldStateFrame\ColumnIcon-FlagCapture","","","","Demolishers Destroyed","Number of times you have destroyed a demolisher","607","0","0","0","0","0","0","1","0","0","2"
"233","Interface\WorldStateFrame\SkullBones","","","","The enemy controls the Undercity!","Grand Apothecary Putress and Varimathras have taken over the Undercity!","0","0","344","3963","0","0","0","0","0","0","0"
"234","Interface\WorldStateFrame\CombatSwords","","Interface\WorldStateFrame\CombatSwords","","The Alliance is battling through the Sewers!","Assist the Alliance forces in the Undercity Sewers!","0","0","344","3962","0","0","0","0","0","0","1"
"235","Interface\TargetingFrame\UI-PVP-Alliance","","","","The Alliance has secured the Sewers!","The area is now secured.","0","0","344","3964","0","0","0","0","0","0","1"
"236","","","","","%3957w minutes until the manhunt begins!","Time remaining until the manhunt for Grand Apothecary Putress begins!","0","0","344","3958","0","0","0","0","0","0","1"
"237","","","","","The manhunt has begun!","The manhunt has begun!","0","0","344","3966","0","0","0","0","0","0","1"
"238","Interface\WorldStateFrame\CombatSwords","","Interface\WorldStateFrame\CombatSwords","","The Alliance is battling through the Apothecarium!","Assist the Alliance forces in the Apothecarium!","0","0","344","3972","0","0","0","0","0","0","1"
"239","Interface\TargetingFrame\UI-PVP-Alliance","","","","The Alliance has secured the Apothecarium!","The area is now secured. Putress has been defeated!","0","0","344","3971","0","0","0","0","0","0","1"
"240","","","","","Time until Algalon transmits distress signal= %4131w min.","Time until message sent.","603","4273","0","5636","0","0","0","0","0","0","0"
"241","Interface\TargetingFrame\UI-PVP-Alliance","","","","Reinforcements: %4226w","Alliance Reinforcements","628","0","0","4221","0","0","0","0","0","0","0"
"242","Interface\TargetingFrame\UI-PVP-Horde","","","","Reinforcements: %4227w","Horde Reinforcements","628","0","0","4222","0","0","0","0","0","0","0"
"244","","","","","Time Remaining: %4248k","Time Remaining","489","3277","0","4247","0","0","0","0","0","0","3"
"245","Interface\WorldStateFrame\ColumnIcon-TowerCapture","","","","Bases Assaulted","Number of times enemy base banners have been removed","628","0","0","0","0","0","0","0","0","0","2"
"246","Interface\WorldStateFrame\ColumnIcon-TowerDefend","","","","Bases Defended","Number of times a base capture has been prevented","628","0","0","0","0","0","0","1","0","0","2"
"247","","","","","End of Round: %3557k","Round ends after this duration","607","4384","0","3564","0","0","0","0","0","0","3"
"248","","","","","Unsuccessful Attempts Remaining: %4389w","","649","0","0","4390","0","0","0","0","0","0","0"
"249","","","","","Spirit Wave = %4882w/10","Number of Spirit waves encountered.","668","0","0","4884","0","0","0","0","0","0","0"
"250","","","","","Time Until Execution: %4904w Min","Time remaining until Minchar succumbs.","631","0","0","4903","0","0","0","0","0","0","0"
"251","","","","","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","","631","4890","0","4940","0","0","0","0","0","0","0"
"252","","","","","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","","631","4891","0","4940","0","0","0","0","0","0","0"
"253","","","","","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","","631","4889","0","4940","0","0","0","0","0","0","0"
"254","","","","","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","","631","4859","0","4940","0","0","0","0","0","0","0"
"255","","","","","Unsuccessful Heroic Attempts until Retreat: %4941w of %4942w","","631","4910","0","4940","0","0","0","0","0","0","0"
"259","Interface\WorldStateFrame\SkullBones","","","","Naga Attackers Killed: %5028w/50","Number of Naga Attackers killed.","0","5006","171","5034","0","0","0","0","0","0","0"
"260","Interface\TargetingFrame\UI-PVP-Alliance","","","","Operation Gnomeregan is in progress.","Operation Gnomeregan is in progress.","0","0","177","4981","0","0","0","0","0","0","0"
"261","","","","","Rocket Launchers Destroyed = %5027w/4","","0","0","177","5040","0","0","0","3","0","0","0"
"262","Interface\WorldStateFrame\CombatSwords","","","","Assist the Gnomeregan forces at the engineering facilities.","Assist the Gnomeregan forces at the engineering facilities.","0","0","177","5018","0","0","0","2","0","0","0"
"263","Interface\WorldStateFrame\CombatSwords","","","","The airfield is under attack.","Assist the Gnomeregan forces at the Airfield!","0","0","177","5039","0","0","0","2","0","0","0"
"264","Interface\TargetingFrame\UI-PVP-Alliance","","","","The Gnomes control the airfield!","The Gnomes control the airfield!","0","0","177","5044","0","0","0","1","0","0","0"
"265","","","","","Tankbusters Destroyed = %5006w/6","Assist the Gnomeregan forces at the engineering facilities.","0","0","177","5018","0","0","0","3","0","0","0"
"266","Interface\TargetingFrame\UI-PVP-Alliance","","","","The Gnomes control the airfield and command post.","The Gnomes have secured the airfield and the surface command post.","0","0","177","5043","0","0","0","1","0","0","0"
"267","Interface\WorldStateFrame\CombatSwords","","Interface\WorldStateFrame\CombatSwords","","The forces are battling over the entrance to Gnomeregan.","Assist the Gnomeregan forces at the entrance to Gnomeregan.","0","0","177","5019","0","0","0","2","0","0","0"
"268","Interface\TargetingFrame\UI-PVP-Alliance","","","","The Gnomes control the surface of Gnomeregan.","The entrance to Gnomeregan, command post and airfield are secure.","0","0","177","5045","0","0","0","1","0","0","0"
"269","Interface\WorldStateFrame\CombatSwords","","Interface\WorldStateFrame\CombatSwords","","The forces are battling in the tunnels of Gnomeregan.","Assist the attack force in the tunnels of Gnomeregan.","0","0","177","5021","0","0","0","2","0","0","0"
"270","Interface\TargetingFrame\UI-PVP-Alliance","","","","The tunnels of Gnomeregan are secured.","The tunnels of Gnomeregan are secured.","0","0","177","5011","0","0","0","1","0","0","0"
"271","Interface\TargetingFrame\UI-PVP-Alliance","","","","%5037w minutes until Operation: Gnomeregan begins!","Operation: Gnomeregan will commence at this time","0","0","177","5038","0","0","0","0","0","0","1"
"272","","","","","Halion's corporeality: %5050w%","Halion's corporeality in this dimension","724","0","174","5051","0","0","0","0","0","0","1"
"273","","","","","Halion's corporeality: %5049w%","Halion's corporeality in this dimension","724","0","169","5051","0","0","0","0","0","0","1"
"274","Interface\TargetingFrame\UI-PVP-Horde","","","","The Darkspear are prepared to take back the Echo Isles.","The Darkspear are prepared to take back the Echo Isles.","1","0","177","5052","0","0","0","0","0","0","0"
"275","Interface\TargetingFrame\UI-PVP-Horde","","","","%5071w minutes until Echo Isles takeback begins!","Echo Isles Takeback will commence at this time","1","0","177","5070","0","0","0","0","0","0","1"
"276","Interface\WorldStateFrame\CombatSwords","","","","Requesting the aid of Bwonsamdi","Assist the trolls convince Bwonsamdi to help them","1","0","177","5099","0","0","0","2","0","0","0"
"277","Interface\TargetingFrame\UI-PVP-Horde","","","","The trolls have Bwonsamdi on their side!","The trolls have Bwonsamdi on their side!","1","0","177","5100","0","0","0","1","0","0","0"
"278","Interface\WorldStateFrame\CombatSwords","","","","Assist the trolls in taking back the burnt village.","Assist the trolls in taking back the burnt village.","1","0","0","5056","0","0","0","2","0","0","0"
"279","Interface\TargetingFrame\UI-PVP-Horde","","","","The burnt village has been reclaimed!","The Trolls have eliminated the mindless forces in the burnt village.","1","0","177","5101","0","0","0","1","0","0","0"
"280","Interface\WorldStateFrame\CombatSwords","","Interface\WorldStateFrame\CombatSwords","","Vol'jin and his forces are fighting Zalazane.","Vol'jin and his forces are fighting Zalazane and his hexed troll followers.","1","0","0","5090","0","0","0","2","0","0","0"
"281","Interface\TargetingFrame\UI-PVP-Horde","","","","Zalazane has fled to another island!","The troll forces have forced Zalazane to flee to another island.","1","0","177","5102","0","0","0","1","0","0","0"
"282","Interface\WorldStateFrame\CombatSwords","","Interface\WorldStateFrame\CombatSwords","","The forces are battling Zalazane","The forces are battling Zalazane","1","0","177","5060","0","0","0","2","0","0","0"
"283","Interface\TargetingFrame\UI-PVP-Horde","","","","Zalazane has been defeated!","Zalazane has been defeated!","1","0","177","5061","0","0","0","1","0","0","0"
"285","","","","","%5146k until the battle to free Hyjal from Ragnaros begins!","","1","0","405","5144","0","0","0","0","0","0","3"
"286","","","","","The battle to free Hyjal from Ragnaros has begun!","","1","0","405","5140","0","0","0","0","0","0","1"
"287","","","","","%5147k until the battle to free Hyjal from Ragnaros begins!","","1","0","404","5145","0","0","0","0","0","0","3"
"288","","","","","The battle to free Hyjal from Ragnaros has begun!","","1","0","404","5142","0","0","0","0","0","0","1"
"289","Interface\TargetingFrame\UI-PVP-Alliance","","Interface\WorldStateFrame\HordeFlag","Horde flag has been picked up","%1581w/%1601w","Alliance flag captures","726","5031","0","2339","0","0","0","1","0","0","0"
"290","Interface\WorldStateFrame\ColumnIcon-FlagCapture","","","","Flag Captures","Number of times you have captured the enemy flag","726","0","0","0","0","0","0","1","0","0","2"
"291","Interface\WorldStateFrame\ColumnIcon-FlagReturn","","","","Flag Returns","Number of times you have returned your flag to your base from the field","726","0","0","0","0","0","0","2","0","0","2"
"292","Interface\TargetingFrame\UI-PVP-Horde","","Interface\WorldStateFrame\AllianceFlag","Alliance flag has been picked up","%1582w/%1601w","Horde flag captures","726","5031","0","2338","0","0","0","1","0","0","0"
"293","","","","","Time Remaining: %4248k","Time Remaining","726","5031","0","4247","0","0","0","0","0","0","3"
"296","","CAPTUREPOINT","","","","","728","0","0","2718","2719","2720","0","0","0","0","1"
"297","Interface\TargetingFrame\UI-PVP-Alliance","","","","Bases: %2752w  Victory Points: %2749w/1600","","728","0","0","2889","0","0","0","0","0","0","1"
"298","Interface\TargetingFrame\UI-PVP-Horde","","","","Bases: %2753w  Victory Points: %2750w/1600","","728","0","0","2889","0","0","0","0","0","0","1"
"300","","","","","Hold the bridge! %5207w minutes remaining.","Buy time for Lady Sira'kess to complete the summoning ritual.","0","4968","183","5205","0","0","0","0","0","0","0"
"301","","","","","Hold the bridge! %5208w minutes remaining.","Buy time for Lady Sira'kess to complete the summoning ritual.","0","4968","184","5206","0","0","0","0","0","0","0"
"302","Interface\WorldStateFrame\CombatSwords","","","","Trade District: %4440w Rifts Remain","Close all the elemental rifts to secure the Trade District.","0","5148","177","4437","0","0","0","1","0","0","0"
"303","","","","","Trade District: %5216w Citizens Trapped","Free trapped citizens to secure the Trade District.","0","5148","177","4437","0","0","0","1","0","0","0"
"304","Interface\TargetingFrame\UI-PVP-Alliance","","","","Unsecured Districts: %5215w","","0","1519","177","4437","0","0","0","0","0","0","0"
"305","Interface\WorldStateFrame\CombatSwords","","","","Cathedral Square: %5212w Rifts Remain","Close all the elemental rifts to secure Cathedral Square.","0","5151","177","4437","0","0","0","1","0","0","0"
"306","","","","","Cathedral Square: %5213w Citizens Trapped","Free trapped citizens to secure Cathedral Square.","0","5151","177","4437","0","0","0","2","0","0","0"
"307","Interface\WorldStateFrame\CombatSwords","","","","Old Town: %4439w Rifts Remain","Close all the elemental rifts to secure Old Town.","0","5149","177","4437","0","0","0","1","0","0","0"
"308","","","","","Old Town: %4458w Citizens Trapped","Free trapped citizens to secure Old Town.","0","5149","177","4437","0","0","0","2","0","0","0"
"309","Interface\WorldStateFrame\CombatSwords","","","","Mage Quarter: %5217w Rifts Remain","Close all the elemental rifts to secure Mage Quarter.","0","5154","177","4437","0","0","0","1","0","0","0"
"310","","","","","Mage Quarter: %4441w Citizens Trapped","Free trapped citizens to secure Mage Quarter.","0","5154","177","4437","0","0","0","2","0","0","0"
"311","Interface\WorldStateFrame\CombatSwords","","","","Dwarven District: %5223w Rifts Remain","Close all the elemental rifts to secure the Dwarven District.","0","5150","177","4437","0","0","0","1","0","0","0"
"312","","","","","Dwarven District: %5222w Citizens Trapped","Free trapped citizens to secure the Dwarven District.","0","5150","177","4437","0","0","0","2","0","0","0"
"313","Interface\WorldStateFrame\CombatSwords","","","","The Park: %5221w Rifts Remain","Close all the elemental rifts to secure The Park.","0","5157","177","4437","0","0","0","1","0","0","0"
"314","","","","","The Park: %5220w Citizens Trapped","Free trapped citizens to secure The Park.","0","5157","177","4437","0","0","0","2","0","0","0"
"315","Interface\WorldStateFrame\CombatSwords","","","","Stormwind Harbor: %5219w Rifts Remain","Close all the elemental rifts to secure Stormwind Harbor.","0","4411","177","4437","0","0","0","1","0","0","0"
"316","","","","","Stormwind Harbor: %5218w Citizens Trapped","Free trapped citizens to secure Stormwind Harbor","0","4411","177","4437","0","0","0","2","0","0","0"
"317","Interface\TargetingFrame\UI-PVP-Horde","","","","Unsecured Districts: %4857w","","1","1637","177","4583","0","0","0","0","0","0","0"
"318","Interface\WorldStateFrame\CombatSwords","","","","Valley of Strength: %4584w Rifts Remain","Close all the elemental rifts to secure the Valley of Strength.","1","5170","177","4583","0","0","0","1","0","0","0"
"319","","","","","Valley of Strength: %4582w Citizens Trapped","Free trapped citizens to secure the Valley of Strength.","1","5170","177","4583","0","0","0","2","0","0","0"
"320","Interface\WorldStateFrame\CombatSwords","","","","Valley of Spirits: %5229w Rifts Remain","Close all the elemental rifts to secure the Valley of Spirits.","1","5169","177","4583","0","0","0","1","0","0","0"
"321","","","","","Valley of Spirits: %5230w Citizens Trapped","Free trapped citizens to secure the Valley of Spirits.","1","5169","177","4583","0","0","0","2","0","0","0"
"322","Interface\WorldStateFrame\CombatSwords","","","","Valley of Wisdom: %5232w Rifts Remain","Close all the elemental rifts to secure the Valley of Wisdom.","1","5171","177","4583","0","0","0","1","0","0","0"
"323","","","","","Valley of Wisdom: %5231w Citizens Trapped","Free trapped citizens to secure the Valley of Wisdom.","1","5171","177","4583","0","0","0","2","0","0","0"
