Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown1
"192","1.599054E+07","0","0","0","1"
"193","1.675137E+07","0","0","0","1"
"194","1.671424E+07","0","0","0","1"
"195","0","0","0","0","1"
"196","4","0","0","1","26"
"197","1.120563E+07","0","0","0","1"
"198","0","0","0","0","11"
"199","1.332121E+07","0","0","0","1"
"200","1.262358E+07","0","0","0","1"
"201","52747","0","0","0","1"
"202","1.671503E+07","0","1000","0","8"
"203","8847498","0","0","0","1"
"204","0","1E+11","0","0","13"
"205","8","0","0","1","26"
"206","13","0","0","1","26"
"207","1.671168E+07","0","0","0","1"
"208","0","0","0","0","11"
"209","3","3","0","0","12"
"210","1.674445E+07","0","0","0","1"
"211","5789784","0","0","0","1"
"212","0","0","0","0","11"
"213","17","1","0","0","12"
"214","1.144806E+07","0","0","0","1"
"215","3494","0","0","0","1"
"216","0","0","0","0","11"
"217","7995566","0","0","0","1"
"218","18","1","0","0","12"
"219","7274496","0","0","0","1"
"220","7274496","3","0","0","13"
"221","4587588","0","0","0","1"
"222","0.3","2","1000","0","14"
"223","0","0","0","0","11"
"224","1381887","0","0","0","1"
"225","0","0","0","0","11"
"226","1.50666E+07","0","0","0","1"
"227","1.342177E+07","0","0","0","1"
"228","1.171115E+07","0","0","0","1"
"229","1.006633E+07","0","0","0","1"
"230","8355711","0","0","0","1"
"231","6710886","0","0","0","1"
"232","5000268","0","0","0","1"
"233","3355443","0","0","0","1"
"234","1644825","0","0","0","1"
"235","0","0","0","0","1"
"236","10","1","0","0","12"
"237","1","1","0","0","12"
"238","10","0","0","1","26"
"239","1","1","0","0","12"
"240","7","0","0","1","26"
"241","6484992","0","0","0","1"
"242","20","1","0","0","12"
"243","4","0","0","1","26"
"244","1.51609E+07","0","0","0","1"
"245","3132928","0","0","0","1"
"246","8","0","0","1","26"
"247","1.490582E+07","0","0","0","1"
"248","12","1","0","0","12"
"249","4623359","0","0","0","1"
"250","0","0","0","0","11"
"251","103","0","0","0","9"
"252","339","0","0","1","26"
"253","2555970","0","0","0","1"
"254","0.65","0","2","0","14"
"255","415","0","0","1","26"
"256","416","0","0","1","26"
"257","102","0","0","0","9"
"258","1","1","0","0","12"
"259","10","1","0","0","12"
"260","13","0","0","3","26"
"261","268","0","0","1","26"
"262","269","0","0","3","26"
"263","255","0","0","0","1"
"264","13","0","0","1","26"
"265","2","0","0","1","26"
"266","0","0","2","0","7"
"267","10","1","0","0","12"
"268","10","0","0","3","26"
"269","10","1","1","0","12"
"270","10","0","0","1","26"
"271","1.62747E+07","0","0","0","1"
"272","8388608","0","0","0","1"
"273","0.5","0","0","0","14"
"274","65535","0","0","0","1"
"275","21","0","0","0","9"
"276","410","0","0","1","26"
"277","1.671424E+07","1E+07","1E+07","0","13"
"278","0.9","0","0","0","14"
"279","13","0","0","1","26"
"280","8","0","0","1","26"
"281","2","0","0","1","26"
"282","1.35","0","0","0","2"
"283","2","0","0","0","2"
"284","1048353","0","0","0","1"
"285","31","1","0","0","12"
"286","1.219232E+07","0.5","0.5","0","13"
"287","1.101494E+07","0.5","0","0","6"
"288","7","1","1","0","12"
"289","1900475","0","0","0","1"
"290","1.489126E+07","20","600","100","8"
"291","1.646419E+07","8","400","128","8"
"292","29","0","0","1","26"
"293","1.67176E+07","0","0","0","1"
"294","0","1","1000","0","15"
"295","6","1","0","0","12"
"296","8","0","0","1","26"
"297","8","0","0","1","26"
"298","1.555862E+07","0","0","0","1"
"299","0.75","0","2","0","14"
"300","13","0","0","1","26"
"301","0.25","0","0","0","14"
"302","0.35","0","0","0","14"
"303","0.5","0","0","0","14"
"304","12","0","0","3","26"
"305","2302755","0","0","0","1"
"306","0","0","0","0","11"
"307","7","0","0","1","26"
"308","1.42505E+07","0","0","0","1"
"309","1","0","0","0","11"
"310","0.9","2","2","0","15"
"311","0","0","0","0","11"
"312","0","0","0","0","1"
"313","2948871","0","0","0","3"
"314","0.65","0","2","0","15"
"315","2631720","0","0","0","1"
"316","13","0","0","1","26"
"317","1.395919E+07","0","1","0","13"
"318","22","0","0","3","26"
"319","21","1","0","0","12"
"320","1","0","1","0","15"
"321","0","0","0","0","13"
"322","0","0","0","0","1"
"323","1.2","0","0","0","2"
"324","1.591173E+07","0","0","0","1"
"325","0.65","0","2","0","14"
"326","4066815","0","0","0","1"
"327","1.444889E+07","20","600","100","8"
"328","2","0","0","3","26"
"329","0","0","0","0","11"
"330","1.533517E+07","0","0","0","1"
"331","0.5","0","1","0","15"
"332","4","0","0","3","26"
"333","2555970","0","0","0","1"
"334","0.65","0","2","0","14"
"335","31","1","0","1","12"
"336","23","0","0","3","26"
"337","16384","0.5","0","0","6"
"338","8388608","0","0","0","1"
"339","1.63384E+07","0","0","0","1"
"340","1.671606E+07","0","0","0","1"
"341","0","0","0","0","11"
"342","8","0","0","3","26"
"343","10","0","0","2","26"
"344","3","0","0","0","9"
"345","1.671606E+07","0","0","0","1"
"346","1","0","0","0","14"
"347","914162","0","0","0","1"
"348","8","0","0","1","26"
"349","8388863","0","0","0","1"
"350","7929859","0","0","0","1"
"351","7","0","0","3","26"
"352","1.067756E+07","0","0","0","1"
"353","10","0","0","1","26"
"354","2","0","0","0","7"
"355","8","0","0","1","26"
"356","28","1","0","0","12"
"357","1.61933E+07","20","10000","100","8"
"358","74","1","0","0","12"
"359","862","0","0","1","26"
"360","2","0","0","3","26"
"361","52747","0","0","0","1"
"362","24","0","0","1","26"
"363","8","0","0","3","26"
"364","1.081276E+07","0","0","0","1"
"365","3342390","0","0","0","1"
"366","0.5","2","1","0","14"
"367","3947775","0.25","0.1","0","13"
"368","13","0","0","1","26"
"369","111","0","0","0","9"
"370","12","0","0","1","26"
"371","12","0","0","1","26"
"372","23","0","0","3","26"
"373","8","0","0","3","26"
"374","12","0","0","3","26"
"375","28","0","0","3","26"
"376","26","0","0","3","26"
"377","1.555473E+07","0","0","0","1"
"378","4","0","0","1","26"
"379","13","0","0","1","26"
"380","27","1","0","1","12"
"381","28","1","0","1","12"
"382","26","1","0","1","12"
"383","1.067756E+07","0","0","0","1"
"384","1198","0","0","0","1"
"385","0.3","2","1000","0","14"
"386","2555970","0","0","0","1"
"387","0.65","0","2","0","14"
"388","0","0","0","0","11"
"389","132","132","132","132","7"
"390","65280","0","0","0","1"
"391","1.6714E+07","0","0","0","1"
"392","566","0","0","1","26"
"393","1.271302E+07","20","600","100","8"
"394","113","0","0","0","9"
"395","1","1","0","0","12"
"396","0","0","0","0","11"
"397","301361","0","0","0","1"
"398","7","0","0","3","26"
"399","3148","0","0","1","26"
"400","22","0","0","1","26"
"401","4","0","0","1","26"
"402","4","0","0","1","26"
"403","4","0","0","1","26"
"404","1","1","0","0","12"
"405","4260099","0","0","0","1"
"406","0.65","0","2","0","14"
"407","1.2","0","0","0","2"
"408","1.591173E+07","0","0","0","1"
"409","0.65","0","2","0","14"
"410","12","0","0","1","26"
"411","6","0","0","1","26"
"412","1.671606E+07","0","0","0","1"
"413","10","0","0","2","26"
"414","22","0","0","1","26"
"415","12","0","0","1","26"
"416","2","0","0","1","26"
"417","22","0","0","1","26"
"418","22","0","0","1","26"
"419","8","1","0","0","12"
"420","1.067756E+07","0","0","0","1"
"421","4","0","0","3","26"
"422","1047841","0","0","0","1"
"423","8","0","0","3","26"
"424","4","0","0","1","26"
"425","1.671323E+07","0","0","0","1"
"426","0.65","0","0","0","14"
"427","7","0","0","3","26"
"428","1900344","0","0","0","1"
"429","0","1E+11","0","0","13"
"430","0.75","0","0","0","14"
"431","7105791","0.5","0.5","0","13"
"432","12","0","0","3","26"
"433","1","0","1","0","15"
"434","1.271302E+07","20","600","100","8"
"435","10","0","0","1","26"
"436","17","0","0","1","26"
"437","7","1","1","0","12"
"438","102","0","0","0","9"
"439","1.61933E+07","20","10000","100","8"
"440","0","0","0","3","26"
"441","7995528","0","0","0","1"
"442","7","1","0","0","12"
"443","0.85","0","0","0","14"
"444","16512","0","0","0","1"
"445","8453888","0","0","0","1"
"446","8","0","0","1","26"
"447","1.677696E+07","0","0","0","1"
"448","0.5","0","0","0","14"
"449","1.616914E+07","0","0","0","1"
"450","10","0","0","3","26"
"451","4","0","0","1","26"
"452","1.626347E+07","20","600","100","8"
"453","8","0","0","3","26"
"454","1.671168E+07","0","0","0","1"
"455","0","9999999","9999999","0","13"
"456","30","0","0","3","26"
"457","1.415296E+07","0.5","0.5","0","13"
"458","1.415296E+07","0.5","0","0","6"
"459","32832","0","0","0","1"
"460","160","0","0","0","1"
"461","3","0","0","3","26"
"462","8388736","0","0","0","1"
"463","32","0","0","3","26"
"464","1.648412E+07","20","10000","100","8"
"465","28","0","0","0","26"
"466","7609773","0","0","0","1"
"467","1.51609E+07","0","0","0","1"
"468","1","0","0","0","14"
"469","4194432","0","0","0","1"
"470","1","0","0","0","14"
"471","8388672","0","0","0","1"
"472","0","0","0","0","3"
"473","1.240826E+07","15","400","96","8"
"474","0","0","0","0","1"
"475","13","0","0","1","26"
"476","949289","0","0","0","1"
"477","0.65","0","2","0","14"
"478","8388608","0","0","0","1"
"479","0.5","2","50000","0","14"
"480","58897","0","0","0","1"
"481","2555970","0","0","0","1"
"482","0.65","0","2","0","14"
"483","1.648412E+07","20","10000","100","8"
"484","65","0","0","1","26"
"485","72","0","0","3","26"
"486","76","0","0","3","26"
"487","80","0","0","3","26"
"488","82","0","0","3","26"
"489","81","0","0","3","26"
"490","85","0","0","3","26"
"491","84","0","0","3","26"
"492","83","0","0","3","26"
"493","138","0","0","2","26"
"494","0","0","0","0","1"
"495","2490453","0","0","0","1"
"496","95","0","0","0","26"
"497","3670430","0","0","0","1"
"498","6556410","0","0","0","1"
"499","4194432","0","0","0","1"
"500","0.65","0","2","0","14"
"501","97","0","0","3","26"
"502","129","0","0","3","26"
"503","102","0","0","1","26"
"504","95","0","0","2","26"
"505","49","0","0","1","26"
"506","95","0","0","2","26"
"507","56","0","0","3","26"
"508","40","0","0","0","26"
"509","95","0","0","0","26"
"510","5","0","0","1","26"
"511","8","0","0","1","26"
"512","1.435522E+07","20","1000","100","8"
"513","1.067756E+07","0","0","0","1"
"514","102","0","0","3","26"
"515","128","0","0","0","26"
"516","92","0","0","1","26"
"517","99","0","0","3","26"
"518","129","0","0","2","26"
"519","8","0","0","3","26"
"520","13","0","0","1","26"
"521","130","0","0","3","26"
"522","2555970","0","0","0","1"
"523","0.65","0","2","0","14"
"524","131","0","0","0","26"
"525","132","0","0","0","26"
"526","133","0","0","0","26"
"527","134","0","0","0","26"
"528","0","0","0","0","11"
"529","0.2","0","0","0","14"
"530","229","0","0","1","26"
"531","138","0","0","0","26"
"532","139","1","0","0","12"
"533","83","0","0","2","26"
"534","140","0","0","1","26"
"535","949289","0","0","0","1"
"536","0.65","0","2","0","14"
"537","141","0","0","1","26"
"538","3625213","0","0","0","1"
"539","143","0","0","1","26"
"540","145","0","0","3","26"
"541","146","0","0","2","26"
"542","147","0","0","3","26"
"543","149","0","0","1","26"
"544","0","0","0","0","11"
"545","151","0","0","3","26"
"546","154","0","0","1","26"
"547","155","0","0","3","26"
"548","161","0","0","2","26"
"549","157","0","0","1","26"
"550","160","0","0","2","26"
"551","158","0","0","3","26"
"552","0","0","0","0","11"
"553","1.082793E+07","0","0","0","1"
"554","1.671168E+07","8","400","128","8"
"555","162","0","0","3","26"
"556","164","0","0","1","26"
"557","168","0","0","2","26"
"558","169","0","0","2","26"
"559","1.677709E+07","0","0","0","1"
"560","0","0","0","0","11"
"561","176","0","0","0","26"
"562","173","0","0","0","26"
"563","177","0","0","0","26"
"564","179","0","0","0","26"
"565","182","0","0","3","26"
"566","184","0","0","0","26"
"567","64","0","0","0","1"
"568","1.435522E+07","20","1000","100","8"
"569","190","0","0","3","26"
"570","1.674451E+07","0","0","0","1"
"571","264","0","0","3","26"
"572","190","0","0","3","26"
"573","2699262","0","0","0","1"
"574","194","0","0","3","26"
"575","1.671168E+07","8","400","128","8"
"576","145","0","0","2","26"
"577","40","0","0","2","26"
"578","95","0","0","2","26"
"579","195","0","0","2","26"
"580","197","0","0","3","26"
"581","199","0","0","0","26"
"582","199","0","0","0","26"
"583","200","0","0","3","26"
"584","199","0","0","0","26"
"585","207","0","0","3","26"
"586","215","0","0","3","26"
"587","199","0","0","0","26"
"588","141","0","0","1","26"
"589","217","0","0","3","26"
"590","72","0","0","3","26"
"591","0.5","2","1000","0","14"
"592","0.75","2","1000","0","14"
"593","1","2","1000","0","14"
"594","218","0","0","0","26"
"595","0.25","0","0","0","14"
"596","221","0","0","2","26"
"597","220","0","0","3","26"
"598","220","0","0","2","26"
"599","224","0","0","0","26"
"600","65280","0","0","0","1"
"601","226","0","0","3","26"
"602","228","0","0","0","26"
"603","7275191","0","0","0","1"
"604","157","0","0","2","26"
"605","224","0","0","0","26"
"606","4066815","0","0","0","1"
"607","237","0","0","3","26"
"608","106","0","0","0","9"
"609","3538943","0","0","0","1"
"610","240","0","0","1","26"
"611","241","0","0","2","26"
"612","1.489126E+07","20","600","100","8"
"613","246","0","0","3","26"
"614","1.67117E+07","8","400","128","8"
"615","0","33292","0","0","17"
"616","1.489126E+07","20","600","100","8"
"617","1.422131E+07","0","0","0","1"
"618","1.671168E+07","0","0","0","1"
"619","247","0","0","3","26"
"620","249","0","0","3","26"
"621","250","0","0","3","26"
"622","252","0","0","3","26"
"623","251","0","0","3","26"
"624","253","0","0","1","26"
"625","256","0","0","1","26"
"626","0.7","0","0","0","14"
"627","1.146564E+07","0","0","0","1"
"628","1.671168E+07","8","400","128","8"
"629","257","0","0","2","26"
"630","106","0","0","3","26"
"631","9074175","0","0","0","1"
"632","0","0","0","0","11"
"633","258","0","0","3","26"
"634","1.676364E+07","0","0","0","1"
"635","1.676E+07","0","0","0","1"
"636","1.401395E+07","0","0","0","1"
"637","1.054566E+07","0","0","0","1"
"638","1.671194E+07","0","0","0","1"
"639","261","0","0","2","26"
"640","261","0","0","2","26"
"641","207","0","0","3","26"
"642","111","0","0","3","26"
"643","262","0","0","3","26"
"644","264","0","0","3","26"
"645","80","0","0","3","26"
"646","132","132","132","0","7"
"647","10","0","0","1","26"
"648","266","0","0","3","26"
"649","265","0","0","3","26"
"650","1.435522E+07","20","1000","100","8"
"651","1.271302E+07","20","600","100","8"
"652","95","0","0","0","26"
"653","8421504","0","0","0","1"
"654","267","0","0","3","26"
"655","8388608","0","0","0","1"
"656","0.5","0","2","0","14"
"657","95","0","0","2","26"
"658","1702","0","0","3","26"
"659","275","0","0","3","26"
"660","276","0","0","2","26"
"661","253","0","0","2","26"
"662","253","0","0","1","26"
"663","279","0","0","3","26"
"664","95","0","0","0","26"
"665","278","0","0","0","26"
"666","280","0","0","3","26"
"667","282","0","0","0","26"
"668","128","0","0","0","26"
"669","267","0","0","3","26"
"670","283","0","0","3","26"
"671","122","0","0","3","26"
"672","122","0","0","3","26"
"673","10","0","0","3","26"
"674","280","0","0","3","26"
"675","280","0","0","3","26"
"676","0","33292","0","0","17"
"677","286","0","0","1","26"
"678","287","0","0","2","26"
"679","10","0","0","3","26"
"680","289","0","0","2","26"
"681","10","0","0","3","26"
"682","293","0","0","1","26"
"683","290","0","0","3","26"
"684","1546239","0","0","0","1"
"685","291","0","0","2","26"
"686","7","0","0","0","26"
"687","290","0","0","2","26"
"688","291","0","0","2","26"
"689","292","0","0","1","26"
"690","294","0","0","1","26"
"691","295","0","0","1","26"
"692","231","0","0","1","26"
"693","72","0","0","1","26"
"694","293","0","0","1","26"
"695","297","0","0","0","26"
"696","1.61933E+07","20","2000","100","8"
"697","1.435522E+07","20","1000","100","8"
"698","300","0","0","3","26"
"699","0","34187","0","0","17"
"700","4","0","0","1","26"
"701","1.677696E+07","0","0","0","1"
"702","4194304","0","0","0","1"
"703","8404992","0","0","0","1"
"704","0.85","0","0","0","14"
"705","9222653","0","0","0","1"
"706","0.85","0","0","0","14"
"707","9222653","0","0","0","1"
"708","0.85","0","0","0","14"
"709","9222653","0","0","0","1"
"710","0.85","0","0","0","14"
"711","9222653","0","0","0","1"
"712","277","0","0","0","26"
"713","16384","0","0","0","1"
"714","0.85","0","0","0","14"
"715","299","0","0","3","26"
"716","302","0","0","1","26"
"717","10","0","0","3","26"
"718","217","0","0","2","26"
"719","9074175","0","0","0","1"
"720","0","0","0","0","11"
"721","308","0","0","1","26"
"722","298","0","0","3","26"
"723","9868950","0","0","0","1"
"724","0","0","0","0","11"
"725","310","0","0","3","26"
"726","314","0","0","3","26"
"727","1.067756E+07","0","0","0","1"
"728","3800598","500","3000","0","8"
"729","1.271302E+07","20","600","100","8"
"730","316","0","0","1","26"
"731","319","0","0","0","26"
"732","317","0","0","0","26"
"733","49","0","0","1","26"
"734","1.435522E+07","20","1000","100","8"
"735","320","0","0","0","26"
"736","337","0","0","3","26"
"737","247","0","0","3","26"
"738","342","0","0","1","26"
"739","344","0","0","3","26"
"740","1889025","0","0","0","1"
"741","1.663783E+07","0","0","0","1"
"742","329","0","0","1","26"
"743","345","0","0","1","26"
"744","1.452723E+07","0","0","0","1"
"745","1.676638E+07","0","0","0","1"
"746","348","0","0","3","26"
"747","257","0","0","1","26"
"748","330","0","0","3","26"
"749","349","0","0","3","26"
"750","324","0","0","3","26"
"751","350","0","0","3","26"
"752","23","0","0","3","26"
"753","351","0","0","3","26"
"754","105","0","0","3","26"
"755","352","0","0","0","26"
"756","1.677696E+07","0","0","0","1"
"757","355","0","0","3","26"
"758","356","0","0","3","26"
"759","357","0","0","3","26"
"760","1.269114E+07","0","0","0","1"
"761","358","0","0","3","26"
"762","3801407","0","0","0","1"
"763","4079166","0","0","0","1"
"764","359","0","0","2","26"
"765","362","0","0","3","26"
"766","59","0","0","3","26"
"767","365","0","0","3","26"
"768","365","0","0","2","26"
"769","366","0","0","3","26"
"770","367","0","0","2","26"
"771","368","0","0","1","26"
"772","368","0","0","1","26"
"773","0","0","0","0","1"
"774","369","0","0","3","26"
"775","370","0","0","2","26"
"776","1.11872E+07","0","0","0","1"
"777","12","0","0","1","26"
"778","1.638426E+07","0","0","0","1"
"779","374","0","0","3","26"
"780","374","0","0","2","26"
"781","375","0","0","2","26"
"782","1.626347E+07","20","600","100","8"
"783","376","0","0","0","26"
"784","6974058","0","0","0","1"
"785","0","0","0","0","11"
"786","377","0","0","1","26"
"787","382","0","0","3","26"
"788","381","0","0","3","26"
"789","384","0","0","0","26"
"790","304","0","0","3","26"
"791","253","0","0","3","26"
"792","374","0","0","0","26"
"793","103","0","0","0","9"
"794","113","0","0","0","9"
"795","3","0","0","0","9"
"796","109","0","0","0","9"
"797","1","0","0","0","9"
"798","2","0","0","0","9"
"799","139","0","0","0","9"
"800","6","0","0","0","9"
"801","5","0","0","0","9"
"802","7","0","0","0","9"
"803","102","0","0","0","9"
"804","111","0","0","0","9"
"805","102","0","0","0","9"
"806","106","0","0","0","9"
"807","109","0","0","0","9"
"808","8","0","0","0","9"
"809","109","0","0","0","9"
"810","5","0","0","0","9"
"811","388","0","0","2","26"
"812","3","0","0","2","26"
"813","389","0","0","3","26"
"814","389","0","0","3","26"
"815","391","0","0","3","26"
"816","0.65","0.2","2","0","14"
"817","399","0","0","2","26"
"818","1.675164E+07","20","10000","100","8"
"819","400","0","0","1","26"
"820","397","0","0","3","26"
"821","407","0","0","0","26"
"822","1.452723E+07","0","0","0","1"
"823","1.663783E+07","0","0","0","1"
"824","3342390","0","0","0","1"
"825","0.75","2","1","0","14"
"826","10","0","0","1","26"
"827","5131854","0","0","0","1"
"828","0.85","0","2","0","14"
"829","1.671168E+07","8","400","128","8"
"830","9136944","0","0","0","1"
"831","404","0","0","0","26"
"832","405","0","0","2","26"
"833","0.6","0","1","0","14"
"834","1.256653E+07","0","0","0","1"
"835","411","0","0","1","26"
"836","96","0","0","0","26"
"837","10","0","0","0","26"
"838","189","0","0","1","26"
"839","1.663783E+07","0","0","0","1"
"840","9074175","0","0","0","1"
"841","0","0","0","0","11"
"842","145","0","0","3","26"
"843","412","0","0","3","26"
"844","1.663783E+07","0","0","0","1"
"845","1","1","0","0","7"
"846","0","0.5","0.5","0","13"
"847","0","0.5","0","0","6"
"848","8388608","0","0","0","1"
"849","0.75","0","2","0","14"
"850","229","0","0","3","26"
"851","13297","0.5","0","0","6"
"852","199","0","0","1","26"
"853","199","0","0","1","26"
"854","418","0","0","1","26"
"855","418","0","0","1","26"
"856","421","0","0","3","26"
"857","421","0","0","3","26"
"858","563","0","0","3","26"
"859","421","0","0","2","26"
"860","0.75","0","2","0","14"
"861","255","0","0","0","1"
"862","207","0","0","0","1"
"863","50","0","0","0","2"
"864","423","0","0","1","26"
"865","424","0","0","3","26"
"866","4066815","0","0","0","1"
"867","0","0","0","0","14"
"868","425","0","0","3","26"
"869","0","0.1","0.1","60","11"
"870","55","0","0","0","7"
"871","434","1","0","0","12"
"872","77","0","0","0","1"
"873","427","0","0","3","26"
"874","1.613845E+07","0","0","0","1"
"875","1.619405E+07","0","0","0","1"
"876","255","0","0","0","1"
"877","429","0","0","3","26"
"878","64193","0","0","0","1"
"879","1.551129E+07","0","0","0","1"
"880","428","0","0","3","26"
"881","95","1","0","0","12"
"882","104","0","0","0","9"
"883","430","0","0","3","26"
"884","431","0","0","2","26"
"885","431","0","0","2","26"
"886","9074175","0","0","0","1"
"887","0","0","0","0","11"
"888","7105791","0","0","0","13"
"889","95","0","0","0","26"
"890","9074175","0","0","0","1"
"891","0","0","0","0","11"
"892","1.269114E+07","0","0","0","1"
"893","501","0","0","3","26"
"894","460","0","0","0","26"
"895","10","0","0","0","26"
"896","1.671168E+07","8","400","128","8"
