Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1_0,Unknown1_1,Unknown1_2,Unknown2_0,Unknown2_1,Unknown2_2,Unknown3_0,Unknown3_1,Unknown3_2,Unknown4_0,Unknown4_1,Unknown4_2,Unknown5_0,Unknown5_1,Unknown5_2,Unknown5_3,Unknown6,Unknown7,Unknown8,Unknown9
"30","1347128","1347129","1347130","0","0","0","0","0","0","1","1","1","1","1","1","4","3.5","3.5","3.5","0","1","2","3"
"31","1346468","1347129","1347130","0","0","0","0","0","0.02","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
"32","1355095","1355096","0","0","0","0","0","0","0","0.25","1","1","1","1","1","4","4","4","4","0","1","2","3"
"33","1137595","1088339","127226","0.01","0.15","0","0.01","0.15","0","1","1","1","1","1","1","4","5","5","30","0","1","2","3"
"34","1346468","1131614","1137595","0","0.05","0","0","0","0.05","1.2","1.2","0.5","1.2","1.2","0.5","1","5","5","60","0","1","2","3"
"35","1363163","1363227","1363228","0","0","0","0","0","0","1.7","1.7","1.7","1.7","1.7","1.7","4","2.5","2.5","2","0","1","2","3"
"36","1365471","1365472","1365473","0","0","0","0","0","0","1.7","1.7","1.7","1.7","1.7","1.7","4","2.5","2.5","2","0","1","2","3"
"37","1346464","1002607","1002607","0","0","0","0","0","0","0.5","1","1","0.5","1","1","4","4","4","4","0","1","2","3"
"38","1346468","1346475","1346477","0","0","0","0","0","0.02","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
"39","1369455","1369454","1369456","0","0.003","0","0","0","0.03","1","2","3","1","2","3","4","4","4","4","0","1","2","3"
"40","1370489","1369457","1369458","0","0.005","0","0","0","-0.01","1","2","1","1","2","1","4","4","4","4","0","1","2","3"
"43","1018309","1089067","1089067","0","0","0","0","0","0","0.8","1","1","0.9","1","1","1","1","1","1","0","1","2","3"
"44","1089067","1089067","1018309","0","0","0","0","0","0","1.1","1","1","1","1","1","1","1","1","1","0","1","2","3"
"45","1346466","1346466","1346466","0","0.003","0","0","0","0.03","1","2","3","1","2","3","4","4","4","4","0","1","2","3"
"48","308909","1346927","971057","0","0.02","0","0","0","0.01","1","0.75","2","1","0.75","2","3.1","3","3","3","0","1","2","3"
"49","1310526","1117569","1117569","0","0.02","0","0","0","0.01","1","1","0.75","1","1","0.75","3","3","3","3","0","1","2","3"
"50","1084587","0","0","0.02","0","0","0.02","0","0","3","3","3","3","3","3","1","1","1","1","0","1","2","3"
"51","1305962","1131770","1131770","0","-0.02","0.02","0","0.02","0.02","5","5","10","5","5","10","4","4","4","4","0","1","2","3"
"195","464305","982931","982931","1","0.3","-0.15","1","-0.2","-0.1","1","0.35","0.3","1","0.35","0.3","1","1","1","1","0","1","2","3"
"221","0","0","0","0","0","1.2","0","0","0","0","2.4","0","0","0","0","1","1","1","1","0","1","2","3"
"222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","2","3"
"223","1320181","1320182","1327102","0","0","0","0","-0.01","-0.05","0","1","2","0","0.75","0.5","1","1","1","1","0","1","2","3"
"224","1260591","952572","952572","0","0.7","-0.7","0","-1.4","-1.4","1","2","3.2","1","2","3.2","1","1","1","1","0","1","2","3"
"225","1260591","1278149","1278149","0","0","0","0","0.5","0.3","0.1","0.4","0.7","0.1","0.4","0.7","1","1","1","1","0","1","2","3"
"226","1310527","1278149","1278149","0","0","0","0","0.5","0.3","0.1","0.3","0.5","0.1","0.3","0.5","1","1","1","1","0","1","2","3"
"227","1310527","1110123","1038957","0","0","0","0","0.5","0.3","0.3","0.6","0.8","0.3","0.6","0.8","1","1","1","1","0","1","2","3"
"228","1310527","1278149","1278149","0","0","0","0","0.5","0.3","0.5","0.4","0.7","0.1","0.4","0.8","1","1","1","1","0","1","2","3"
"230","1320181","1320182","1320180","0","0","0","0.1","-0.25","0","1","1","2","1","1","2","1","1","1","1","0","1","2","3"
"231","1310526","1131763","1131763","0","0","0","0","0.8","1.2","1","0.8","0.6","1","0.8","0.6","1","1","1","1","0","1","2","3"
"232","1310529","960661","960661","0","0.1","0","0","0.1","0","0.4","0.6","0.6","0.4","0.6","0.6","1","1","1","1","0","1","2","3"
"233","1310529","1279066","1084468","0","0","0","0","0.1","0.2","1","1","2","1","1","1","1","1","1","1","0","1","2","3"
"234","1336403","1336404","1336404","0","-0.1","-0.05","0","-0.05","0.1","0.5","0.6","0.7","0.5","0.6","0.7","1","1","1","1","0","1","2","3"
"235","1310531","1060238","1109909","0","0.05","0.1","0","0.05","-0.1","1","0.3","0.4","1","0.3","0.4","1","1","1","1","0","1","2","3"
"236","1310526","937026","937026","0","0","0","0","0.1","0.2","1","1","2","1","1","1","1","1","1","1","0","1","2","3"
"239","1310527","930326","930326","0","0","0","0","0.5","0.3","0.1","0.5","1","0.1","0.5","1","1","1","1","1","0","1","2","3"
"243","1310529","968764","1062100","0","0","0","0","0.5","0.4","0.2","0.2","-0.2","0.2","0.2","0.4","1","1","1","1","0","1","2","3"
"244","1310526","1320180","1125473","0.5","0.5","0.5","0.5","0.5","0.5","1","1","1","1","1","1","1","1","1","1","0","1","2","3"
"246","1310527","1304143","1268835","0","0.3","-0.75","0","-0.5","0.3","0.03","0.2","0.1","0.03","0.2","0.1","1","1","1","1","0","1","2","3"
"247","1096657","1268803","1261553","0","0.2","0.7","0","0","0","1","2","2","1","2","2","1","1","1","1","0","1","2","3"
"248","1320181","1320182","1320180","0","0","0","0","-0.01","-0.05","0","1","2","0","0.75","0.5","1","1","1","1","0","1","2","3"
"250","1310527","1085131","1085131","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","2","3"
"251","1310526","514026","983086","0","0.5","0.75","0","0.5","0.75","0.15","0.5","0.3","0.15","0.5","0.3","1","1","1","1","0","1","2","3"
"252","1310528","514026","983086","0.05","-0.01","0.075","-0.025","0.05","-0.05","0.175","0.5","0.3","0.175","0.5","0.3","1","1","1","1","0","1","2","3"
"254","1310528","968764","1062100","0","0","0","0","0.5","0.4","0.2","0.2","-0.2","0.2","0.2","0.4","1","1","1","1","0","1","2","3"
"255","1310527","1278149","1278149","0","0","0","0","0.5","0.3","0.5","0.6","0.9","1","0.6","0.9","1","1","1","1","0","1","2","3"
"261","1310527","930326","930326","0","0","0","0","0.5","0.3","0.2","0.7","1.1","0.2","0.7","1.1","1","1","1","1","0","1","2","3"
"264","1310526","1260251","1346471","0.1","0.5","-0.5","-0.5","0.1","0.75","0.25","0.5","0.3","0.25","0.5","0.3","1","1","1","1","0","1","2","3"
"265","1310526","1322296","1110032","0.01","-0.1","0.075","0.01","0.1","-0.05","0.25","0.5","0.3","0.25","0.5","0.3","1","1","1","1","0","1","2","3"
"266","1310530","1119948","1273168","0","-0.5","0.5","0","0.5","0.5","1","1","1","1","1","1","1","1","1","1","0","1","2","3"
"267","1310527","1125471","960661","0","0.01","-0.01","0","-0.01","0.01","0.3","0.5","0.3","0.3","0.5","0.3","1","1","1","1","0","1","2","3"
"270","1310531","1131613","1346978","1.5","0.75","0.75","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","2","3"
"271","1310526","1119239","1129146","0.25","0.5","-0.5","0.15","-0.5","0.5","2","2","2","2","2","2","1","1","1","1","0","1","2","3"
"274","1310531","1131613","1346978","0","0","0","1.5","0","0","1","1","1","1","1","1","1","1","1","1","0","1","2","3"
"275","1310526","1346471","1349017","0.01","-0.1","0.075","0.01","0.1","-0.05","0.25","0.5","0.3","0.25","0.5","0.3","1","1","1","1","0","1","2","3"
"276","1310526","1346475","1114916","0.01","0.1","0.2","-0.025","0.1","0.2","0.1","0.5","0.5","0.1","0.5","0.5","1","1","1","1","0","1","2","3"
"278","1310526","1267161","999712","0","0.1","-0.1","0","0.1","0.3","0.25","0.5","0.3","0.25","0.5","0.3","1","1","1","1","0","1","2","3"
"283","1310527","1353421","984911","0.2","0.2","-0.2","-1.5","-0.8","-1","0.5","1","1","0.5","1","1","1","1","1","1","0","1","2","3"
"284","1313917","1249927","1249927","0.5","0.2","-0.2","-0.5","-3.5","-4","1","4","2","1","4","2","1","1","1","1","0","1","2","3"
"285","1310526","1320182","1320180","0.3","0","0","0","0.1","0.1","0.1","0.2","0.2","0.1","0.2","0.2","1","1","1","1","0","1","2","3"
"286","1347130","122890","122890","0.01","0.1","-0.01","0.1","0.05","0.1","0.2","1","0.001","0.25","1","0.001","1","1","1","1","0","1","2","3"
"287","1310527","930326","930326","0","0","0","0","0.5","0.25","6","16","16","6","8","8","1","1","1","1","0","1","2","3"
"288","1310526","1346475","1133090","0.01","0.1","-0.075","-0.2","-0.1","0.05","0.075","0.5","0.3","0.075","0.5","0.3","1","1","1","1","0","1","2","3"
"292","1310530","645273","937220","0","-0.1","0","0.1","-0.5","0","1","1","2","1","1","2","1","1","1","1","0","1","2","3"
"293","1310530","1131613","1346978","1.5","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1","1","1","1","1","0","1","2","3"
"294","1310528","514026","983086","0.05","-0.01","0.075","-0.025","0.05","-0.05","0.2","0.5","0.3","0.2","0.5","0.3","1","1","1","1","0","1","2","3"
"295","1310526","657738","952572","0","0.01","-0.01","0","-0.01","0.01","0.3","0.5","0.3","0.3","0.5","0.3","1","1","1","1","0","1","2","3"
"297","1309229","875435","1085063","0","0","0","-0.7","-0.4","-0.5","0.3","0.2","0.5","0.6","0.4","1","1","1","1","1","0","1","2","3"
"298","1310526","1346471","1349017","0.01","-0.1","0.075","0.01","0.1","-0.05","0.05","0.5","0.3","0.05","0.5","0.3","1","1","1","1","0","1","2","3"
"299","1310527","930326","930326","0","0","0","0","0.5","0.3","0.1","0.5","1","0.1","5","1","1","1","1","1","0","1","2","3"
"302","1310526","1346471","1109876","0.01","-0.1","0.075","0.01","0.1","-0.05","0.25","0.5","0.3","0.25","0.5","0.3","1","1","1","1","0","1","2","3"
"303","1310526","1322296","1110032","0.01","-0.1","0.075","0.01","0.14","-0.05","0.25","0.5","0.3","0.25","0.5","0.3","1","1","1","1","0","1","2","3"
"305","1310526","510820","510820","0.01","0.1","-0.075","0.01","-0.1","0.05","0.3","0.5","0.3","0.2","0.5","0.3","1","1","1","1","0","1","2","3"
"306","1310530","514026","1062637","0.01","-0.25","0.25","-0.02","0.25","-0.25","0.25","0.35","0.3","0.25","0.35","0.3","1","1","1","1","0","1","2","3"
"308","1310530","514026","1062637","0.01","-0.25","0.25","-0.02","0.25","-0.25","0.35","0.35","0.3","0.35","0.35","0.3","1","1","1","1","0","1","2","3"
"309","1310527","1320182","1320180","0","0","0","0","0.5","0.3","0.1","0.3","0.5","0.1","0.3","0.5","1","1","1","1","0","1","2","3"
"311","1310526","1320182","1320180","0.01","-0.25","0.25","-0.02","0.25","-0.25","0.25","0.35","0.3","0.25","0.35","0.3","1","1","1","1","0","1","2","3"
"312","1310526","1346471","1349017","0.01","-0.25","0.25","-0.02","0.25","-0.25","0.25","0.35","0.3","0.25","0.35","0.3","1","1","1","1","0","1","2","3"
"321","1310526","0","1302952","0.1","0.5","0.5","-0.5","0.1","0.75","0.225","0.15","0.1","0.2","0.15","0.1","1","1","1","1","0","1","2","3"
"324","1310526","1346471","1109876","0.01","-0.1","0.075","0.001","0.1","-0.05","0.25","0.5","0.3","0.25","0.5","0.3","1","1","1","1","0","1","2","3"
"326","1310532","1375639","1375639","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","2","3"
"327","1310526","1375681","1375681","-1","-0.3","-0.2","0","-0.4","0","1","2","1","1","2","1","1","1","1","1","0","1","2","3"
"329","1310528","1129146","1011983","0.05","-0.01","0.075","-0.025","0.05","-0.05","0.175","0.5","0.3","0.175","0.5","0.3","1","1","1","1","0","1","2","3"
"330","1310528","1068456","657738","0.05","-0.01","0.075","-0.025","0.05","-0.05","0.175","0.5","0.3","0.175","0.5","0.3","1","1","1","1","0","1","2","3"
"331","1310526","1125473","1116796","0","0","0.3","0","0.5","0.1","0.05","0.3","0.15","0.05","0.3","0.2","1","1","1","1","0","1","2","3"
"332","1310527","1125473","1116796","0","0","0.3","0","0.5","0.1","0.05","0.3","0.15","0.05","0.3","0.2","1","1","1","1","0","1","2","3"
"333","1310527","1125473","1116796","0","0","0.3","0","0.5","0.1","0.8","1","0.6","0.8","1","0.8","1","1","1","1","0","1","2","3"
"334","1310527","1125471","1116796","0","0","0.3","0","0.5","0.1","0.8","1","0.6","0.8","1","0.8","1","1","1","1","0","1","2","3"
"335","1310527","929726","1116796","0","0","0.3","0","0.5","0.1","0.8","1","0.6","0.8","1","0.8","1","1","1","1","0","1","2","3"
"336","1310526","929726","1116796","0","0","0.3","0","0.5","0.1","0.05","0.3","0.15","0.1","0.3","0.2","1","1","1","1","0","1","2","3"
"337","1310527","929726","1116796","0","0","0.3","0","0.5","0.1","0.05","0.3","0.15","0.05","0.3","0.2","1","1","1","1","0","1","2","3"
"338","1310526","1125471","1116796","0","0","0.3","0","0.5","0.1","0.05","0.3","0.15","0.05","0.3","0.2","1","1","1","1","0","1","2","3"
"339","1310527","1125471","1116796","0","0","0.3","0","0.5","0.1","0.05","0.3","0.15","0.05","0.3","0.2","1","1","1","1","0","1","2","3"
"342","167192","1375681","1116796","0","-0.1","0.05","0","0.1","-0.05","1","0.4","0.8","1","0.4","0.8","1","1","1","1","0","1","2","3"
"343","1095463","942488","1121956","-1","0.5","-0.8","-1","0.35","-0.55","1","0.45","0.8","1","0.45","0.8","1","1","1","1","0","1","2","3"
"344","1310527","1354471","1068996","0","-0.1","0.1","0","-0.45","-0.7","0.3","0.4","0.8","0.3","0.4","0.8","1","1","1","1","0","1","2","3"
"351","1310526","1346469","1346448","0.01","-0.1","0.075","-0.02","0.1","-0.05","0.15","0.5","0.3","0.15","0.5","0.3","1","1","1","1","0","1","2","3"
"352","1310526","1381693","1110032","0.01","-0.1","0.075","0.01","0.1","-0.05","0.25","0.5","0.3","0.25","0.5","0.3","1","1","1","1","0","1","2","3"
"353","1310526","1346470","1346448","0.01","-0.1","0.05","-0.02","0.1","-0.05","0.25","0.5","0.3","0.25","0.5","0.3","1","1","1","1","0","1","2","3"
"354","1310526","1346471","1109876","0.01","-0.1","0.075","0.001","0.1","-0.05","0.125","0.5","0.3","0.125","0.5","0.3","1","1","1","1","0","1","2","3"
"355","1310526","1346471","1109876","0.01","-0.1","0.075","0.001","0.1","-0.05","0.05","0.5","0.3","0.05","0.5","0.3","1","1","1","1","0","1","2","3"
"357","1310526","982931","1315245","0.01","-0.05","0.25","-0.02","-0.05","-0.25","0.1","0.1","0.1","0.1","0.1","0.1","1","1","1","1","0","1","2","3"
"358","942150","1385954","1315245","0","0","0.1","0.1","-0.25","0.01","0.05","0.05","0.05","0.05","0.05","0.05","1","1","1","1","0","1","2","3"
"359","1310527","1392374","1392374","0","0.5","-0.3","0","-0.5","0.3","2","0.6","1","2","0.6","1","1","1","1","1","0","1","2","3"
"361","999611","982931","982931","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1","1","1","1","1","0","1","2","3"
"363","1389118","1315245","1380176","0.1","0.3","-0.2","-0.1","-0.1","-0.1","1.5","3","2.4","1.5","3","2.4","1","1","1","1","0","1","2","3"
"364","1310527","1102793","1138089","0.01","0.02","0","0","-0.01","0.02","0.05","0.2","0.15","0.05","0.2","0.15","1","1","1","1","0","1","2","3"
"365","1310526","1346475","999712","0.1","-0.1","0.1","-0.3","-0.3","-0.3","0.25","0.5","0.3","0.25","0.5","0.3","1","1","1","1","0","1","2","3"
"366","1310531","1320182","1320180","1","0","0","0","0","0","1","0.3","0.5","1","0.3","0.5","1","1","1","1","0","1","2","3"
"367","1310526","1346469","942429","0.1","-0.1","0.1","-0.2","-0.2","-0.2","0.25","0.5","0.3","0.25","0.5","0.3","1","1","1","1","0","1","2","3"
"368","1310526","1346474","1392391","0.1","-0.1","0.1","-0.2","-0.2","-0.2","0.25","0.5","0.3","0.25","0.5","0.3","1","1","1","1","0","1","2","3"
"370","1310526","1346471","1346461","0.01","0.1","-0.075","-0.2","-0.1","0.05","0.075","0.5","0.3","0.075","0.5","0.3","1","1","1","1","0","1","2","3"
"371","1310526","943217","1006703","0.01","-0.1","0.1","-0.02","-0.2","-0.2","0.25","0.8","0.45","0.25","0.8","0.45","1","1","1","1","0","1","2","3"
"372","1310526","943217","1006703","-0.02","0.1","-0.1","0.04","-0.2","-0.2","0.25","0.75","0.45","0.25","0.75","0.45","1","1","1","1","0","1","2","3"
"374","1310528","1346479","1083808","0.05","-0.5","0.05","0.05","-0.5","0.05","0.1","0.1","0.1","0.1","1","0.1","1","1","1","1","0","1","2","3"
"383","1310526","1346471","960661","0.01","-0.1","0.075","0.001","0.1","-0.05","0.25","0.5","0.3","0.25","0.5","0.3","1","1","1","1","0","1","2","3"
"389","1310529","960661","960661","0","0.05","0.1","0.1","0.05","-0.1","0.3","0.4","0.4","0.3","0.4","0.4","1","1","1","1","0","1","2","3"
"390","1310526","1115811","1102793","0.1","0.3","-0.2","-0.1","-0.1","-0.1","1.5","3","2.4","1.5","3","2.4","1","1","1","1","0","1","2","3"
"392","1310527","937219","1062636","0","0.75","0.5","0","-0.75","-0.5","1","0.25","0.5","1","0.25","0.5","1","1","1","1","0","1","2","3"
"393","1006544","1006561","939361","0.01","0.001","0","0","0.002","0.02","0.5","1","0.5","0.5","1","0.5","4","4","4","4","0","1","2","3"
"395","1346468","1346478","1346479","0","0.005","0","0","0","-0.01","1","2","1","1","2","1","4","4","4","4","0","1","2","3"
"396","1310529","1346471","1109876","0","0","0","0","0.5","0.4","0.2","0.2","-0.2","0.2","0.2","0.4","1","1","1","1","0","1","2","3"
"397","1089067","938018","943217","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","2","3"
"398","1394562","1394562","1394562","0","0","0","0","0","0","2","1.4","1","2","1.4","1","3.4","2.88","0.936","4","0","1","2","3"
"399","1394563","1394563","1394563","0","0","0","0","0","0","2","1.4","1","2","1.4","1","8","4","4","1.5","0","1","2","3"
"400","875911","1346471","1346472","0","0.02","0","0","0","0.01","2","1","2","2","1","2","1","2","3","4","0","1","2","3"
"402","1310532","1373151","1373151","0.2","0.01","0.1","0.2","0.05","0.02","1","1","1","1","1.6","1","1","1.8","2","4","0","1","2","3"
"403","0","0","0","0","0","0","0","0","0.02","1","1","1","1","1","1","0.5","0.5","0.5","1","0","1","2","3"
"404","1388141","1018309","1033446","0","0","0.03","0","0.03","0","2","2","3","2","2","3","2.5","2.9","2.5","2.5","0","1","2","3"
"405","0","0","0","0","0","0","0","0","0.02","1","1","1","1","1","1","4","4","4","4","0","1","2","3"
"406","1130829","1130829","1130825","0.01","0.02","0.005","0.01","0.005","0.02","1.8","1.2","0.8","1.8","1.2","0.8","1.8","2.8","6.3","3.8","0","1","2","3"
"407","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","2","3"
"408","1310527","1127154","1127154","0","0","0","0","0.5","0.3","0.5","0.4","0.7","0.1","0.4","0.8","1","1","1","1","0","1","2","3"
"409","1347128","1062704","1062704","0.02","0.02","0.02","0.25","0.12","0.02","1","2","5","1","2","5","3","3","3","3","0","1","2","3"
"410","1347128","1347129","1347130","0.02","0.02","0.02","0.25","0.12","0.02","1","1.5","2","1","1.5","2","4","4","4","4","0","1","2","3"
"411","1347128","1347129","1347130","-0.025","-0.02","-0.03","-0.1","-0.02","-0.02","2","2","5","2","2","5","1","2","2","2","0","1","2","3"
"412","1347128","1347129","1347129","-0.025","-0.02","-0.03","-0.1","-0.02","-0.02","2","2","5","2","2","5","1","2","2","2","0","1","2","3"
"414","1310526","930326","930326","0","0","0","0","0.5","0.3","0.2","0.7","1.1","0.2","0.7","1.1","1","1","1","1","0","1","2","3"
"415","1310527","1347128","1347128","0","-0.2","-0.2","0","0.1","0.3","0.2","0.8","1.1","0.2","0.8","1.1","1","1","1","1","0","1","2","3"
"416","1310526","1068996","1068996","0","0","0","0","0.5","0.3","0.2","0.7","1.1","0.2","0.7","1.1","1","1","1","1","0","1","2","3"
"417","1310527","1068996","1068996","0","0","0","0","0.5","0.3","0.2","0.7","1.1","0.2","0.7","1.1","1","1","1","1","0","1","2","3"
"418","1310526","1445479","1445479","0","-0.7","-0.7","0","0.3","-0.3","0.2","0.6","1.1","0.2","0.6","1.1","1","1","1","1","0","1","2","3"
"419","1310527","1445479","1445479","0","-0.7","-0.7","0","0.3","-0.3","0.2","0.6","1.1","0.2","0.6","1.1","1","1","1","1","0","1","2","3"
"420","1310527","939368","219767","0","-0.2","-0.2","0","0.1","-0.1","0.2","0.8","1.5","0.2","0.8","1.5","1","1","1","1","0","1","2","3"
"421","1310526","939368","219767","0","-0.2","-0.2","0","0.1","-0.1","0.2","0.8","1.5","0.2","0.8","1.5","1","1","1","1","0","1","2","3"
"422","1310527","1373172","1445482","0","-0.2","-0.2","0","0.1","-0.1","0.2","0.8","1","0.2","0.8","1","1","1","1","1","0","1","2","3"
"423","1310526","1373172","1445482","0","-0.2","-0.2","0","0.1","-0.1","0.2","0.8","1","0.2","0.8","1","1","1","1","1","0","1","2","3"
"424","1310527","1038957","1038957","0","-0.5","-0.5","0","0.2","-0.2","0.2","0.8","1","0.2","0.8","1","1","1","1","1","0","1","2","3"
"425","1310526","1038957","1038957","0","-0.5","-0.5","0","0.2","-0.2","0.2","0.8","1","0.2","0.8","1","1","1","1","1","0","1","2","3"
"426","1310527","943217","1445478","0","-1","-1","0","0.2","-1","0.2","0.8","2.2","0.2","0.8","2.2","1","1","1","1","0","1","2","3"
"427","1310526","943217","1445478","0","-1","-1","0","0.2","-1","0.2","0.8","2.2","0.2","0.8","2.2","1","1","1","1","0","1","2","3"
"428","1310527","645291","1062698","0","-0.4","-0.3","0","-0.2","-0.5","0.2","0.8","1","0.2","0.8","1","1","1","1","1","0","1","2","3"
"429","1310526","645291","1062698","0","-0.4","-0.3","0","-0.2","-0.5","0.2","0.8","1","0.2","0.8","1","1","1","1","1","0","1","2","3"
"430","1310527","1445480","1445480","0","-0.2","-0.1","0","-0.1","-0.3","0.2","0.8","1","0.2","0.8","1","1","1","1","1","0","1","2","3"
"432","1310527","349174","1034854","0","-0.2","-0.1","0","-0.1","-0.3","0.2","1","0.6","0.2","1","0.6","1","1","1","1","0","1","2","3"
"433","1310526","349174","1034854","0","-0.2","-0.1","0","-0.1","-0.3","0.2","1","0.6","0.2","1","0.6","1","1","1","1","0","1","2","3"
"434","1310527","666984","219773","0","-0.2","-0.2","0","-0.2","-0.3","0.2","1","0.6","0.2","1","0.6","1","1","1","1","0","1","2","3"
"435","1310526","666984","219773","0","-0.2","-0.2","0","-0.2","-0.3","0.2","1","0.6","0.2","1","0.6","1","1","1","1","0","1","2","3"
"436","1310527","1346945","1084587","0","-0.1","-0.1","0","-0.1","-0.1","0.2","1","0.6","0.2","1","0.6","1","1","1","1","0","1","2","3"
"437","1310526","1346945","1084587","0","-0.1","-0.1","0","-0.1","-0.1","0.2","1","0.6","0.2","1","0.6","1","1","1","1","0","1","2","3"
"438","1310527","1332494","1332494","0","-0.4","-0.4","0","-0.2","-0.4","0.2","0.8","1.6","0.2","0.8","1.6","1","1","1","1","0","1","2","3"
"439","1310526","1332494","1332494","0","-0.4","-0.4","0","-0.2","-0.4","0.2","0.8","1.6","0.2","0.8","1.6","1","1","1","1","0","1","2","3"
"440","1310527","1029569","1029569","0","-0.2","-0.2","0","-0.1","-0.2","0.2","0.8","1.6","0.2","0.8","1.6","1","1","1","1","0","1","2","3"
"441","1310526","1029569","1029569","0","-0.2","-0.2","0","-0.1","-0.2","0.2","0.8","1.6","0.2","0.8","1.6","1","1","1","1","0","1","2","3"
"442","1310527","646330","651231","0","-0.2","-0.2","0","-0.1","-0.2","0.2","0.65","0.9","0.2","0.65","0.9","1","1","1","1","0","1","2","3"
"443","1310526","646330","651231","0","-0.2","-0.2","0","-0.1","-0.2","0.2","0.65","0.9","0.2","0.65","0.9","1","1","1","1","0","1","2","3"
"444","1310527","1114592","978828","0","-0.5","-0.6","0","-0.3","-0.8","0.2","0.8","1.3","0.2","0.8","1.3","1","1","1","1","0","1","2","3"
"445","1310526","1114592","978828","0","-0.5","-0.6","0","-0.3","-0.8","0.2","0.8","1.3","0.2","0.8","1.3","1","1","1","1","0","1","2","3"
"446","1310527","666984","349181","0","-0.2","-0.2","0","0.1","0.3","0.2","0.8","1.1","0.2","0.8","1.1","1","1","1","1","0","1","2","3"
