Id,Unknown0,Unknown1,Unknown2,Unknown3_0,Unknown3_1,Unknown3_2,Unknown3_3,Unknown3_4,Unknown3_5,Unknown3_6,Unknown3_7,Unknown3_8,Unknown3_9,Unknown3_10,Unknown3_11,Unknown3_12,Unknown3_13,Unknown3_14,Unknown3_15,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14
"102","Rated Battleground","0","","727","998","726","489","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","3","1","6","100","100","6","4","6","2"
"108","Twin Peaks","525913","Capture the Flag","726","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5361","0","3","1","5","30","110","10","5","10","0"
"120","The Battle for Gilneas","460871","Domination","761","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5360","0","3","1","5","25","110","10","5","10","0"
"656","Rated Eye of the Storm","0","","968","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2851","0","3","1","5","100","110","10","5","10","2"
"699","Temple of Kotmogu","791651","Power Orbs","998","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6306","0","3","1","5","40","110","10","5","10","0"
"706","CTF3","0","","1010","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6408","0","3","1","5","0","0","10","5","10","0"
"708","Silvershard Mines","791650","Payload","727","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","6436","0","3","1","5","35","110","10","5","10","0"
"719","Tol'Viron Arena","791652","","980","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","4","1","5","90","110","5","0","5","0"
"754","Deepwind Gorge","875925","Domination","1105","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","7671","0","3","1","5","45","110","10","8","15","0"
"757","The Tiger's Peak","875926","","1134","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","4","1","5","90","110","5","0","5","0"
"789","Southshore vs. Tarren Mill","0","","1280","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","9365","28099","3","1","5","0","110","0","5","40","4"
"803","Small Battleground D","0","Various","1171","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","5793","3","1","5","0","0","10","7","10","5"
"808","Black Rook Hold Arena","1389174","","1504","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","4","1","5","90","110","5","0","5","0"
"809","Nagrand Arena","460867","","1505","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","4","1","5","10","110","5","0","5","0"
"816","Ashamane's Fall","1389175","","1552","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","4","1","5","90","110","5","0","5","0"
"844","Blade's Edge Arena","460861","","1672","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","4","1","5","10","110","5","0","5","0"
