Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13
"1100","1.66764","-292.675","Stonehearth Outpost","","516","30","0","0","0","0","0","0","0","7","0"
"1101","-537.807","-168.363","Iceblood Garrison","","516","30","0","0","0","0","0","0","0","7","0"
"1102","-946.912","-195.454","Coldtooth Mine","Horde Controlled","644","30","0","1356","15185","0","0","0","0","2","0"
"1103","-1369.01","-225.37","Frostwolf Keep","","516","30","0","0","0","0","0","0","0","7","0"
"1104","-6143.21","-1078.89","Marshal's Refuge","","516","1","538","0","0","0","0","0","0","7","0"
"1105","-6370.15","-1836.52","Fungal Rock","","516","1","538","0","0","0","0","0","0","7","0"
"1106","-7693.45","-4878.96","Wavestrider Beach","","516","1","1336","0","0","0","0","0","0","7","0"
"1107","-9635.41","-2787.2","Uldum","","516","1","990","0","0","0","0","0","0","7","0"
"1108","-5086.21","-1919.44","Darkcloud Pinnacle","","516","1","2097","0","0","0","0","0","0","7","0"
"1109","-5466.71","-1636.27","Roguefeather Den","","516","1","483","0","0","0","0","0","0","7","0"
"1110","-6239.42","-3973.12","Mirage Raceway","","516","1","439","0","0","0","0","0","0","7","0"
"1111","-6490.61","-3449.15","Sunken Dig Site","","516","1","439","0","0","0","0","0","0","7","0"
"1112","-5065.61","-2367.61","Splithoof Hold","","516","1","481","0","0","0","0","0","0","7","0"
"1113","-5213.85","-2794.53","The Weathered Nook","","516","1","481","0","0","0","0","0","0","7","0"
"1114","-5848.05","-3412.38","Ironstone Camp","","516","1","2303","0","0","0","0","0","0","7","0"
"1115","-5799.94","-3899.53","Weazel's Crater","","516","1","439","0","0","0","0","0","0","7","0"
"1116","-6569.91","-3894.97","Tahonda Ruins","","516","1","439","0","0","0","0","0","0","7","0"
"1127","-11076","-1139.98","Roland's Doom","","516","0","241","0","0","0","0","0","0","7","0"
"1128","-10349.7","-1538.8","Beggar's Haunt","","0","0","42","0","0","0","0","0","0","7","0"
"1147","-2281.95","2499.6","Bolgan's Hole","","516","1","606","0","0","0","0","0","0","7","0"
"1148","-1422.62","2918.45","Maraudon","","516","1","607","0","0","0","0","0","0","7","0"
"1149","-1224.06","1736.67","Ghost Walker Post","","516","1","596","0","0","0","0","0","0","7","0"
"1150","-1407.87","1493.13","Scrabblescrew's Camp","","516","1","602","0","0","0","0","0","0","7","0"
"1151","-2251.19","1513.55","Valley of Bones","","516","1","602","0","0","0","0","0","0","7","0"
"1168","-3842.71","1738.94","Rage Scar Hold","","516","1","1119","0","0","0","0","0","0","7","0"
"1169","-4852.91","3616.63","Ruins of Solarsal","","516","1","1117","0","0","0","0","0","0","7","0"
"1171","-6206.25","1766.95","Ravaged Twilight Camp","","516","1","2740","0","0","0","0","0","0","7","0"
"1172","-6740.04","1636.32","Twilight Post","","516","1","3098","0","0","0","0","0","0","7","0"
"1173","-7929.11","1833.28","Twilight Outpost","","516","1","2743","0","0","0","0","0","0","7","0"
"1174","-4915.81","199.275","Woodpaw Hills","","516","1","1101","0","0","0","0","0","0","7","0"
"1175","-4052.72","81.5525","Lariss Pavillion","","516","1","1103","0","0","0","0","0","0","7","0"
"1176","-7652.52","-3030.61","Slither Rock","","516","0","2420","0","0","0","0","0","0","7","0"
"1177","-7479.77","-2186.4","Flame Crest","","517","0","250","0","0","0","0","0","3","7","0"
"1187","-5492.37","3622.79","Shalzaru's Lair","","516","1","1121","0","0","0","0","0","0","7","0"
"1208","666.927","-305.544","Stormpike Graveyard","Alliance Controlled","644","30","0","1333","14966","0","0","0","0","15","0"
"1209","-202.695","-112.569","Snowfall Graveyard","Horde Controlled","644","30","0","1342","14959","0","0","0","0","13","0"
"1210","-1083.31","-307.402","Frostwolf Graveyard","Horde Controlled","644","30","0","1338","14953","0","0","0","0","13","0"
"1211","3705.1","-6043.45","Scalebeard's Cave","","516","1","1227","0","0","0","0","0","0","7","0"
"1212","6900.63","-2298.18","Timbermaw Hold","","516","1","2246","0","0","0","0","0","0","7","0"
"1213","6426.76","-4304.99","The Ruins of Kel'Theril","","516","1","2251","0","0","0","0","0","0","7","0"
"1214","5718.83","-4507.31","Dun Mandarr","","516","1","2245","0","0","0","0","0","0","7","0"
"1215","2707.72","-3869.25","Talrendis Point","","516","1","1235","0","0","0","0","0","0","7","0"
"1216","2195.67","-6438.33","Rethress Sanctum","","516","1","1256","0","0","0","0","0","0","7","0"
"1217","7123.02","-4631.57","Moon Horror Den","","516","1","2255","0","0","0","0","0","0","7","0"
"1218","6817.78","-2097.68","Timbermaw Hold","","516","1","1762","0","0","0","0","0","0","7","0"
"1219","6481.87","-1571","Irontree Cavern","","516","1","1767","0","0","0","0","0","0","7","0"
"1220","5111.98","-353.403","Bloodvenom Post","","516","1","1765","0","0","0","0","0","0","7","0"
"1227","515.845","624.05","Sishir Canyon","","516","1","2541","0","0","0","0","0","0","7","0"
"1228","1543.57","70.1338","Cragpool Lake","","516","1","461","0","0","0","0","0","0","7","0"
"1229","981.949","-358.9","Windshear Mine","","516","1","461","0","0","0","0","0","0","7","0"
"1230","1531.94","-576.57","The Talondeep Path","","516","1","461","0","0","0","0","0","0","7","0"
"1231","2416.89","1792.39","The Talon Den","","516","1","467","0","0","0","0","0","0","7","0"
"1232","3493.89","-119.601","The Ruins of Ordil'Aran","","516","1","413","0","0","0","0","0","0","7","0"
"1233","3827.37","-161.305","Bathran's Haunt","","516","1","413","0","0","0","0","0","0","7","0"
"1234","3362.22","1010.16","Zoram'gar Outpost","","517","1","414","0","0","0","0","0","3","0","0"
"1235","2231.21","-2222.91","Falfarren River","","516","1","428","0","0","0","0","0","0","7","0"
"1237","2936.56","-2822.67","Xavian","","516","1","430","0","0","0","0","0","0","7","0"
"1238","2880.33","-3287.54","Forest Song","","516","1","430","0","0","0","0","0","0","7","0"
"1239","1702.45","-3150.99","Demon Fall Canyon","","516","1","434","0","0","0","0","0","0","7","0"
"1240","1776.64","-2065.15","Silverwing Outpost","","516","1","422","0","0","0","0","0","0","7","0"
"1241","1776.23","-2678.36","The Dor'Danil Barrow Den","","516","1","422","0","0","0","0","0","0","7","0"
"1242","2130.27","-1190.25","Silverwind Refuge","","517","1","421","0","0","0","0","0","1","7","0"
"1243","2291.29","-1444.96","Greenpaw Village","","516","1","421","0","0","0","0","0","0","7","0"
"1244","1612.52","-1465.1","Bloodtooth Camp","","516","1","421","0","0","0","0","0","0","7","0"
"1245","1930.26","-732.677","The Talondeep Path","","516","1","421","0","0","0","0","0","0","7","0"
"1246","7856.18","-2215.45","Shrine of Remulos","","516","1","656","0","0","0","0","0","0","7","0"
"1247","7961.75","-2491.77","Nighthaven","","517","1","656","0","0","0","0","0","3","0","0"
"1248","7564.51","-2951.72","Stormrage Barrow Dens","","516","1","656","0","0","0","0","0","0","7","0"
"1249","571.535","-80.543","Dun Baldar South Bunker","Alliance Controlled","644","30","0","1361","15021","0","0","0","0","11","0"
"1250","668.04","-128.176","Dun Baldar North Bunker","Alliance Controlled","644","30","0","1362","15229","0","0","0","0","11","0"
"1251","217.425","-359.764","Icewing Bunker","Alliance Controlled","644","30","0","1363","15186","0","0","0","0","11","0"
"1252","-562.172","-273.554","Iceblood Tower","Horde Controlled","644","30","-1","1385","15081","0","0","0","0","10","0"
"1254","-760.664","-347.326","Tower Point","Horde Controlled","644","30","-1","1384","15132","0","0","0","0","10","0"
"1255","-1302.65","-305.886","East Frostwolf Tower","Horde Controlled","644","30","-1","1383","15064","0","0","0","0","10","0"
"1268","1575.91","-2463.94","Warsong Labor Camp","","516","1","422","0","0","0","0","0","0","7","0"
"1287","-10443.3","-2141.1","Ariden's Camp","","516","0","2697","0","0","0","0","0","0","7","0"
"1288","-10572","-1841.05","Deadwind Ravine","","516","0","2697","0","0","0","0","0","0","7","0"
"1289","-10740.8","-1973.68","Sleeping Gorge","","516","0","2938","0","0","0","0","0","0","7","0"
"1307","921.054","-1421.46","Chillwind Camp","","517","0","197","0","0","0","0","0","2","7","0"
"1328","693.095","-19.197","Dun Baldar","","516","30","0","0","0","0","0","0","0","7","0"
"1347","-160.17","-454.107","Stonehearth Bunker","Alliance Controlled","644","30","0","1364","15038","0","0","0","0","11","0"
"1348","640.261","-18.6661","Stormpike Aid Station","Alliance Controlled","644","30","0","1325","14864","0","0","0","0","15","0"
"1349","-531.316","-405.584","Iceblood Graveyard","Horde Controlled","644","30","0","1347","14872","0","0","0","0","13","0"
"1350","65.9825","-415.573","Stonehearth Graveyard","Alliance Controlled","644","30","0","1302","15056","0","0","0","0","15","0"
"1351","-1415.05","-305.986","Frostwolf Relief Hut","Horde Controlled","644","30","0","1330","15073","0","0","0","0","13","0"
"1352","678.076","-137.378","Dun Baldar North Bunker","Destroyed","644","30","-1","1371","15187","0","0","0","0","6","0"
"1353","678.437","-137.095","Dun Baldar North Bunker","In Conflict","644","30","0","1375","15007","0","0","0","0","9","0"
"1354","678.371","-137.14","Dun Baldar North Bunker","In Conflict","644","30","0","1379","15059","0","0","0","0","12","0"
"1355","557.858","-88.1394","Dun Baldar South Bunker","Destroyed","644","30","-1","1370","15188","0","0","0","0","6","0"
"1356","557.849","-88.2827","Dun Baldar South Bunker","In Conflict","644","30","0","1374","14939","0","0","0","0","9","0"
"1357","557.752","-88.2432","Dun Baldar South Bunker","In Conflict","644","30","0","1378","14873","0","0","0","0","12","0"
"1358","-948.309","-193.286","Coldtooth Mine","Alliance Controlled","644","30","0","1355","14874","0","0","0","0","3","0"
"1359","-948.542","-193.079","Coldtooth Mine","Kobold Controlled","644","30","0","1357","14940","0","0","0","0","0","0"
"1362","-1301.22","-306.564","East Frostwolf Tower","Destroyed","644","30","5481","1366","15076","0","0","0","0","6","0"
"1363","-1301.4","-307.196","East Frostwolf Tower","In Conflict","644","30","-1","1388","14875","0","0","0","0","9","0"
"1364","-1301.47","-307.241","East Frostwolf Tower","In Conflict","644","30","-1","1393","15075","0","0","0","0","12","0"
"1368","-1083.54","-307.433","Frostwolf Graveyard","Alliance Controlled","644","30","0","1337","15230","0","0","0","0","15","0"
"1369","-1083.49","-307.617","Frostwolf Graveyard","In Conflict","644","30","-1","1339","15068","0","0","0","0","4","0"
"1370","-1083.67","-307.436","Frostwolf Graveyard","In Conflict","644","30","0","1340","14886","0","0","0","0","14","0"
"1371","-1414.93","-305.602","Frostwolf Relief Hut","Alliance Controlled","644","30","0","1329","15231","0","0","0","0","15","0"
"1372","-1414.79","-306.018","Frostwolf Relief Hut","In Conflict","644","30","0","1332","14834","0","0","0","0","14","0"
"1373","-1414.89","-306.056","Frostwolf Relief Hut","In Conflict","644","30","0","1331","14993","0","0","0","0","4","0"
"1374","-531.344","-405.273","Iceblood Graveyard","Alliance Controlled","644","30","0","1346","15020","0","0","0","0","15","0"
"1375","-531.402","-405.326","Iceblood Graveyard","In Conflict","644","30","0","1348","14829","0","0","0","0","4","0"
"1376","-531.425","-405.326","Iceblood Graveyard","In Conflict","644","30","0","1349","15039","0","0","0","0","14","0"
"1377","-560.3","-271.439","Iceblood Tower","Destroyed","644","30","-1","1368","15080","0","0","0","0","6","0"
"1378","-560.261","-271.528","Iceblood Tower","In Conflict","644","30","-1","1395","14954","0","0","0","0","12","0"
"1379","-560.376","-271.281","Iceblood Tower","In Conflict","644","30","-1","1390","15061","0","0","0","0","9","0"
"1380","209.101","-367.837","Icewing Bunker","Destroyed","644","30","-1","1372","14909","0","0","0","0","6","0"
"1381","208.785","-367.938","Icewing Bunker","In Conflict","644","30","0","1376","15054","0","0","0","0","9","0"
"1382","209.023","-368.034","Icewing Bunker","In Conflict","644","30","0","1380","14887","0","0","0","0","12","0"
"1383","801.661","-330.015","Irondeep Mine","Horde Controlled","644","30","0","1359","14835","0","0","0","0","2","0"
"1384","801.41","-330.128","Irondeep Mine","Trogg Controlled","644","30","0","1360","15018","0","0","0","0","0","0"
"1386","-202.963","-112.575","Snowfall Graveyard","Alliance Controlled","644","30","0","1341","14856","0","0","0","0","15","0"
"1387","-203.153","-112.587","Snowfall Graveyard","In Conflict","644","30","0","1344","15189","0","0","0","0","14","0"
"1388","-203.09","-112.598","Snowfall Graveyard","In Conflict","644","30","0","1343","14836","0","0","0","0","4","0"
"1389","-160.264","-454.198","Stonehearth Bunker","Destroyed","644","30","-1","1373","14984","0","0","0","0","6","0"
"1390","-160.169","-454.076","Stonehearth Bunker","In Conflict","644","30","0","1377","15032","0","0","0","0","9","0"
"1391","-160.403","-454.183","Stonehearth Bunker","In Conflict","644","30","0","1381","15190","0","0","0","0","12","0"
"1392","65.9149","-415.562","Stonehearth Graveyard","Horde Controlled","644","30","0","1301","15208","0","0","0","0","13","0"
"1393","65.8907","-415.551","Stonehearth Graveyard","In Conflict","644","30","0","1304","14933","0","0","0","0","4","0"
"1394","65.8889","-415.616","Stonehearth Graveyard","In Conflict","644","30","0","1303","14896","0","0","0","0","14","0"
"1395","641.501","-17.3997","Stormpike Aid Station","Horde Controlled","644","30","0","1327","15191","0","0","0","0","13","0"
"1396","640.908","-18.1867","Stormpike Aid Station","In Conflict","644","30","0","1326","14994","0","0","0","0","4","0"
"1397","640.699","-18.1078","Stormpike Aid Station","In Conflict","644","30","0","1328","15034","0","0","0","0","14","0"
"1398","666.642","-305.542","Stormpike Graveyard","Horde Controlled","644","30","0","1334","14897","0","0","0","0","13","0"
"1399","666.699","-305.533","Stormpike Graveyard","In Conflict","644","30","0","1335","15074","0","0","0","0","4","0"
"1400","666.571","-305.432","Stormpike Graveyard","In Conflict","644","30","0","1336","14944","0","0","0","0","14","0"
"1405","-759.186","-348.19","Tower Point","Destroyed","644","30","-1","1367","14922","0","0","0","0","6","0"
"1406","-759.141","-348.12","Tower Point","In Conflict","644","30","-1","1394","14914","0","0","0","0","12","0"
"1407","-759.266","-348.044","Tower Point","In Conflict","644","30","-1","1389","14995","0","0","0","0","9","0"
"1469","-2352.66","-1921.67","Camp Taurajo","","0","1","17","0","0","0","0","0","3","5","0"
"1471","2286.41","-2564.67","Splintertree Post","","517","1","331","0","0","0","0","0","3","0","0"
"1472","-7066.79","731.852","The Swarming Pillar","","516","1","3425","0","0","0","0","0","0","7","0"
"1473","-7234.61","874.224","Bones of Grakkarond","","516","1","3425","0","0","0","0","0","0","7","0"
"1475","-4835.2","863.048","Woodpaw Den","","516","1","1101","0","0","0","0","0","0","7","0"
"1507","-573.459","-4590.51","Revantusk Village","","517","0","307","0","0","0","0","0","2","0","0"
"1508","-6513.68","-1142.76","Thorium Point","","516","0","1442","0","0","0","0","0","0","7","0"
"1512","1035.13","-2113.34","Mor'shan Base Camp","","516","1","1703","0","0","0","0","0","0","7","0"
"1513","1462.48","-1858.93","Silverwing Grove","","516","1","422","0","0","0","0","0","0","7","0"
"1527","-1297.9","-266.613","West Frostwolf Tower","Horde Controlled","644","30","-1","1382","14839","0","0","0","0","10","0"
"1528","-1297.92","-266.629","West Frostwolf Tower","Destroyed","644","30","-1","1365","14991","0","0","0","0","6","0"
"1529","-1298.02","-266.508","West Frostwolf Tower","In Conflict","644","30","-1","1392","15052","0","0","0","0","12","0"
"1530","-1298.09","-266.702","West Frostwolf Tower","In Conflict","644","30","-1","1387","14838","0","0","0","0","9","0"
"1550","451.372","-127.12","Pre-alliance POI test","","0","30","-1","0","21439","0","0","0","0","0","0"
"1551","2249.61","-2389.63","The Weeping Cave","","0","0","198","0","0","0","0","0","0","7","0"
"1568","-1436.1","-455.651","Wildpaw Cavern","","516","30","2978","0","0","0","0","0","0","7","0"
"1569","276.056","61.1517","Icewing Cavern","","516","30","2959","0","0","0","0","0","0","7","0"
"1588","-11874.6","1250.73","Yojamba Isle","","516","0","33","0","0","0","0","0","0","7","0"
"1612","1181.51","1185.65","Stables","Neutral","644","529","-1","5834","0","0","0","0","0","36","0"
"1618","988.693","1012.81","Blacksmith","Neutral","644","529","-1","8799","0","0","0","0","0","26","0"
"1623","812.715","1182.26","Lumber Mill","Neutral","644","529","-1","8805","0","0","0","0","0","21","0"
"1628","1178.15","822.624","Gold Mine","Neutral","644","529","-1","8809","0","0","0","0","0","16","0"
"1632","824.015","826.696","Farm","Neutral","644","529","-1","8808","0","0","0","0","0","31","0"
"1682","-202.932","-112.716","Snowfall Graveyard","Uncontrolled","644","30","-1","1966","14925","0","0","0","0","8","0"
"1683","-10854.8","-4093.43","Misty Reed Post","","517","0","300","0","0","0","0","0","0","7","0"
"1684","-3132.98","-2880.71","Brackenwall Village","","517","1","496","0","0","0","0","0","1","7","0"
"1685","-6886.15","718.398","Cenarion Hold","","517","1","3425","0","0","0","0","0","3","0","0"
"1687","-6996.15","1195.01","Twilight Base Camp","","516","1","2739","0","0","0","0","0","0","7","0"
"1688","-6517.49","97.5554","Staghelm Point","","516","1","3426","0","0","0","0","0","0","7","0"
