Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7_0,Unknown7_1,Unknown7_2,Unknown7_3,Unknown7_4,Unknown7_5,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27
"13","1","18","12","1","0.5097312","2.031265","0","-0.19898","-0.378926","-0.014416","0.390325","0.322053","1.896097","1","1","0","0","0","0","0","0","1","0","0","124437","1","1","1","0","0","0","13","0"
"14","1","18","12","1","0.5097312","2.031265","0","-0.2308","-0.378927","-0.014415","0.39032","0.322057","1.883328","1","1","0","0","0","0","0","0","1","0","0","124440","1","1","1","0","0","0","14","0"
"15","1","18","12","1","0.5097312","2.031265","0","-0.198984","-0.378927","-0.014415","0.39032","0.322057","1.901672","1","1","0","0","0","0","0","0","1","0","0","124442","1","1","1","0","0","0","15","0"
"16","1","18","12","1","0.5555555","1.889077","1.151695","-0.489041","-0.398861","-0.014148","0.580239","0.315939","1.777872","1","1","0","0","0","0","0","0","1","0","0","124553","1","1","1","0","0","0","16","0"
"17","1","18","12","1","0.6111111","2.031278","0","-0.29474","-0.582371","-0.007053","0.519454","0.555572","2.008623","1","1","0","0","0","0","0","0","1","0","0","124565","1","1","1","0","0","0","17","0"
"18","1","18","12","1","0.5097312","2.031265","0","-0.29474","-0.689696","-0.007052","0.617837","0.555572","2.275541","1","1","0","0","0","0","0","0","1","0","0","124569","1","1","1","0","0","0","18","0"
"19","1","18","12","1","0.5097312","2.031265","0","-0.293407","-0.581778","-0.006811","0.515013","0.554914","2.010396","1","1","0","0","0","0","0","0","1","0","0","124571","1","1","1","0","0","0","19","0"
"20","1","18","12","1","0.5097312","2.031265","0","-0.293581","-0.581822","-0.006811","0.515113","0.554888","2.050255","1","1","0","0","0","0","0","0","1","0","0","124572","1","1","1","0","0","0","20","0"
"21","1","18","12","1","0.5097312","2.031265","0","-0.524196","-0.47091","-0.002551","0.42839","0.517416","2.227501","1","1","0","0","0","0","0","0","1","0","0","124576","1","1","1","0","0","0","21","0"
"22","1","18","12","1","0.6111111","2.031278","1.166689","-0.7177","-0.869459","-0.000788","0.368035","0.749464","2.025258","1","1","0","0","0","0","0","0","1","0","0","124578","1","1","1","0","0","0","22","0"
"23","1","18","12","1","0.5097312","2.031265","0","-0.24361","-0.537323","-0.001524","0.503073","0.540581","2.024281","1","1","0","0","0","0","0","0","1","0","0","124580","1","1","1","0","0","0","23","0"
"24","1","18","12","1","0.6111111","2.031278","2.780813","-1.439006","-2.751233","0.03088906","1.05978","2.727136","4.129122","1","1","0","0","0","0","0","0","1","0","2","124637","1","1","5","0","0","20","24","0"
"25","1","18","12","1","0.6111111","2.031278","1.995838","-1.852656","-1.001164","-0.0218392","1.470197","1.58021","4.138807","1","1","0","0","0","0","0","0","1","0","0","124670","1","1","6","0","0","0","25","0"
"26","1","18","12","1","0.6111111","2.031278","0.8857812","-0.9811256","-0.552605","-0.008108695","0.9436077","0.4809845","1.237186","1","1","0","0","0","0","0","0","1","0","0","124691","0","1","1","0","0","0","26","0"
"27","1","18","12","1","0.6111111","2.031278","3.54287","-7.381371","-2.445921","-0.013299","3.354583","2.273486","5.366937","1","3","0","0","0","0","0","0","1","0","4096","124694","3","1","1","0","21","20","27","0"
"29","1","18","12","1","0.6111111","2.031278","1.043115","-0.569406","-0.520267","-0.004756","0.308936","0.531255","1.948932","1","1","0","0","0","0","0","0","1","0","12288","124809","1","1","4","0","0","0","29","0"
"30","1","9","6","1","0.6111111","2.031278","0","-2.203223","-2.200133","-0.0179083","3.884322","2.197358","2.039114","1","1","0","0","0","0","0","0","1","0","4098","124903","1","2","6","0","0","0","30","0"
"31","1","18","12","1","0.6111111","2.031278","0.3871956","-0.6132064","-0.498869","-0.0298694","0.4799519","0.5246636","1.285222","1","1","0","0","0","0","0","0","1","0","0","1113034","1","1","4","0","0","0","31","0"
"32","1","18","12","1","0.6111111","2.031278","1.346687","-0.5712469","-0.9941024","-0.01056","0.5162139","0.9899054","2.880224","1","1","0","0","0","0","0","0","1","0","0","125263","3","1","4","0","0","20","32","0"
"33","1","18","12","1","0.6111111","2.031278","1.346687","-0.571247","-0.9941036","-0.01055911","0.5162139","0.9899045","2.883805","1","1","0","0","0","0","0","0","1","0","0","125264","3","1","1","0","0","20","33","0"
"34","1","18","12","1","0.6111111","2.031278","2.520609","-4.362841","-1.149117","-0.06238513","1.992092","2.126703","3.213527","1","1","0","0","0","0","0","0","1","0","0","125559","1","1","5","0","0","0","34","0"
"35","1","18","12","1","0.6111111","2.031278","5.148509","-2.380527","-4.277986","-0.150071","1.688339","4.446599","7.892841","0.8","0.75","0","0","0","0","0","0","1","0","2","125830","4","1","4","0","21","22","35","0"
"36","1","1","1","1","0.6111111","2.031278","0","-2.681853","-1.708342","-0.014994","1.425311","1.710168","2.374973","1","1","0","0","0","0","0","0","1","0","4097","125891","1","2","1","0","0","0","36","0"
"37","1","8","4","1","0.6111111","2.031278","0","-1.618273","-0.5204853","0.002322312","0.2538413","1.263682","2.050356","1","1","0","0","0","0","0","0","1","0","2","1380189","1","1","3","0","0","0","5255","0"
"38","1","18","12","1","0.6111111","2.031278","2.301097","-1.672168","-0.7807119","-0.0286576","1.430013","0.8903592","3.252123","1","1","0","0","0","0","0","0","1","0","2","126117","1","1","5","0","0","0","38","0"
"39","1","18","12","1","0.6111111","2.031278","4.548935","-1.152977","-1.854793","-0.0199967","1.21447","1.142182","7.336601","1","1","0","0","0","0","0","0","1","0","2","126199","4","1","1","0","20","22","39","0"
"40","1","18","12","1","0.6111111","2.031278","4.309964","-1.626472","-2.598162","-0.005346856","1.261169","2.442171","7.497973","1","1","0","0","0","0","0","0","1","0","2","126214","3","1","1","0","21","23","40","0"
"41","1","18","12","1","0.6111111","2.031278","0.811947","-0.25364","-0.832327","-0.000682","1.034496","0.856486","1.882737","1","1","0","0","0","0","0","0","1","0","0","126239","1","1","4","0","0","0","41","0"
"42","1","18","12","1","0.6111111","2.031278","1.579596","-1.10344","-0.704511","0.000752","0.47442","0.761578","2.267059","1","1","0","0","0","0","0","0","1","0","0","126244","1","1","1","0","0","0","42","0"
"43","1","15","10","1","0.6111111","2.031278","0","-2.25668","-0.6344103","0.001693917","1.586745","0.6654184","1.702782","1","1","0","0","0","0","0","0","1","0","4112","126487","1","1","7","0","0","0","43","0"
"44","1","18","12","1","0.6111111","2.031278","1.29405","-0.655967","-1.176232","0.000852","0.702095","1.080357","2.290177","1","1","0","0","0","0","0","0","1","0","4096","126511","1","1","7","0","0","0","44","0"
"45","1","18","12","1","0.6111111","2.031278","1.21797","-0.586957","-1.35872","-0.028185","1.17789","1.53303","1.941079","1","1","0","0","0","0","0","0","1","0","2","124160","1","2","1","0","0","0","4960","0"
"47","1","18","12","1","0.6111111","2.031278","1.451612","-2.950162","-2.114285","-0.036095","2.255903","2.068478","2.578512","1","1","0","0","0","0","0","0","1","0","8192","123543","1","1","5","0","0","0","47","0"
"49","1","12","10","1","0.6111111","2.031278","0","-0.561973","-0.5819489","-0.01299056","0.3821452","0.566642","2.092667","1","1","0","0","0","0","0","0","1","0","2052","119940","1","1","1","0","0","0","49","0"
"50","1","12","10","1","0.6111111","2.031278","0","-0.5338706","-0.3896666","-0.002803772","0.2868541","0.3818523","1.924981","1","1","0","0","0","0","0","0","1","0","2052","119563","1","1","1","0","0","0","50","0"
"51","1","14","14","1","0.6111111","2.031278","0","-0.7261261","-0.9371173","-0.0261065","0.8166243","0.8791794","2.404127","1","1","0","0","0","0","0","0","1","0","2052","121287","1","1","1","0","0","0","51","0"
"52","1","12","11","1","0.6111111","2.031278","0","-0.7055371","-0.5833616","-0.01062727","0.3034235","0.5012153","2.186535","1","1","0","0","0","0","0","0","1","0","2052","121087","1","1","1","0","0","0","52","0"
"53","1","12","10","1","0.6111111","1.606598","0","-0.6778498","-0.6275498","-0.01687537","0.3946739","0.6533173","1.645034","1","1","0","0","0","0","0","0","1","0","2052","118355","1","1","1","0","0","0","53","0"
"54","1","12","10","1","0.4444445","1.527778","0","-0.4221506","-0.4412088","-0.01144348","0.2540633","0.4526459","1.591363","1","1","0","0","0","0","0","0","1","0","2052","118135","1","1","1","0","0","0","54","0"
"55","1","12","10","1","0.7777778","2.438083","0","-0.6237031","-0.6208935","-0.02003163","0.3093713","0.6068154","2.517677","1","1","0","0","0","0","0","0","1","0","2052","120791","1","1","1","0","0","0","55","0"
"56","1","12","10","1","0.5555556","2.25","0","-0.4538546","-0.4018812","-0.0112912","0.3496614","0.455224","2.358718","1","1","0","0","0","0","0","0","1","0","2052","120590","1","1","1","0","0","0","56","0"
"57","1","12","10","1","0.6111111","2.031278","0","-0.6571355","-0.5855172","-0.01459034","0.4015151","0.4839354","2.115928","1","1","0","0","0","0","0","0","1","0","2052","121768","1","2","1","0","0","0","57","0"
"58","1","12","10","1","0.4166668","1.843873","0","-0.3700582","-0.4522041","-0.0582798","0.4175218","0.3923787","2.059667","1","1","0","0","0","0","0","0","1","0","2052","121608","1","2","1","0","0","0","58","0"
"59","1","22","16","2","0.6111111","2.031278","0","-1.172205","-0.9010568","-0.008746728","1.041091","0.8939111","2.542844","1","1","0","0","0","0","0","0","1","0","2052","122055","1","1","3","0","0","0","59","0"
"60","1.25","20","14","2","0.6111111","2.031278","0","-1.073339","-0.6521126","-0.01292617","0.5052986","0.6559035","2.23901","1","1","0","0","0","0","0","0","1","0","2052","121961","1","1","3","0","0","0","60","0"
"61","1","18","12","1","0.6111111","2.031278","0","-2.152836","-2.981109","0.374427","1.676888","3.062344","6.303791","0.6","1","0","0","0","0","0","0","1","0","12298","123137","0","1","1","0","0","0","61","0"
"62","1","18","12","1","0.6111111","2.031278","0","-6.072165","-2.778265","-0.194536","2.309946","4.293607","4.740297","1","1","0","0","0","0","0","0","1","0","12296","124581","3","1","1","0","0","20","62","0"
"63","1","18","12","1","0.6111111","2.031278","0","-2.262889","-3.051109","-0.024284","2.927909","3.043403","2.577806","1","1","0","0","0","0","0","0","1","0","12290","126124","1","1","1","0","0","0","63","0"
"65","1","18","12","1","0.6111111","2.031278","1.991094","-1.51651","-0.426821","-0.016094","1.732865","0.394274","2.585811","1","1","0","0","0","0","0","0","1","0","4096","124427","1","1","6","0","0","0","65","0"
"66","1","9","6","1","0.6111111","2.031278","1.27032","-1.156953","-0.452104","-0.028093","1.783582","0.45203","2.095408","1","1","0","0","0","0","0","0","1","0","4096","123090","0","1","3","0","0","0","66","0"
"67","1","18","12","1","0.6111111","2.031278","0","-1.836898","-2.81259","-0.03268291","2.67227","2.977185","6.281037","0.8","0.5","0","0","0","0","0","0","1","0","16","122899","3","2","3","0","21","22","67","0"
"68","1","21","14","1","0.6111111","2.031278","0","-3.12028","-3.592814","-0.003690735","0.6557199","3.770025","4.177846","0.6","1.1","0","0","0","0","0","1.6","1","0","0","1115848","1","3","3","0","0","0","5024","0"
"69","1","18","12","1","0.6111111","2.031278","0","-1.859194","-2.296979","-0.131291","1.863204","2.17864","3.328697","0.3","1","0","0","0","0","0","0","1","0","3","123747","1","15","3","0","0","0","69","0"
"70","1","18","12","1","0.6111111","2.031278","1.391404","-0.606957","-0.747482","-0.016811","0.53046","0.665247","1.9874","1","1","0","0","0","0","0","0","1","0","2","125942","1","1","1","0","0","0","70","0"
"71","1","18","12","1","0.6111111","2.031278","0","-1.073586","-1.481991","-0.005854","0.728422","1.460348","3.381757","1","1","0","0","0","0","0","0","1","0","8194","124235","1","3","1","0","0","0","71","0"
"72","1","18","12","1","0.6111111","2.031278","0","-1.026669","-1.415597","0.000997","0.595842","1.425137","3.007038","1","1","0","0","0","0","0","0","1","0","2","124243","1","3","1","0","0","0","72","0"
"73","1","6","4","1","0.6111111","2.031278","1.399111","-2.152961","-0.575959","-0.140682","1.589405","0.546911","1.879035","1","1","0","0","0","0","0","0","1","0","4097","123388","1","1","7","0","0","0","73","0"
"74","1","12","10","1","0.6111111","2.031278","0","-0.3705676","-0.5404289","0.0005871939","0.4403648","0.5604966","1.831964","1","1","0","0","0","0","0","0","1","0","0","124507","1","1","4","0","0","0","74","0"
"75","1","18","12","1","0.6111111","2.031278","0","-5.364156","-2.952769","0.04020153","2.501697","2.594871","5.198347","1","1","0","0","0","0","0","0","1","0","4097","126452","2","1","5","0","0","0","75","0"
"76","1","18","12","1","0.6111111","2.031278","0","-1.52124","-0.791052","0.012092","1.031662","1.063799","1.454085","1","1","0","0","0","0","0","0","1","0","12297","124004","1","1","0","0","0","0","76","0"
"77","1","18","12","1","0.6111111","2.031278","0","-0.9848593","-0.5810583","-0.01110975","1.062566","0.4366183","2.434479","1","1","0","0","0","0","0","0","1","0","0","123698","1","1","6","0","0","0","77","0"
"78","1","18","12","1","0.6111111","2.031278","0","-2.100864","-1.006217","-0.08904986","0.684481","1.143942","2.754792","1","1","0","0","0","0","0","0","1","0","0","125796","1","1","3","0","0","0","78","0"
"79","1","10","6","1","0.6111111","2.031278","0","-0.169948","-0.254709","0.007144","0.212211","0.25633","1.301312","1","1","0","0","0","0","0","0","1","0","0","124495","1","1","1","0","0","0","79","0"
"80","1","18","12","1","0.6111111","2.031278","0","-0.162359","-0.208797","-0.001194","0.089624","0.201047","1.163888","1","1","0","0","0","0","0","0","1","0","0","124456","1","1","4","0","0","0","80","0"
"81","1","18","12","1","0.6111111","2.031278","0","-2.439453","-1.428156","-0.03030575","1.089217","1.410892","1.604741","1","1","0","0","0","0","0","0","1","0","4099","125957","1","2","0","0","0","0","81","0"
"82","1","18","12","1","0.6111111","2.031278","1.241372","-2.428365","-0.6587007","-0.006203236","1.029503","0.5337023","1.268102","1","1","0","0","0","0","0","0","1","0","4112","126171","1","1","7","0","0","0","82","0"
"83","1","18","12","1","0.6111111","2.031278","1.761474","-1.657582","-0.925305","-0.05871","1.685014","0.867246","1.845206","1","1","0","0","0","0","0","0","1","0","0","123040","1","1","7","0","0","0","83","0"
"84","1","18","12","1","0.6111111","2.031278","0","-0.908701","-1.840712","-3.2E-05","1.948845","1.595444","3.106752","1","1","0","0","0","0","0","0","1","0","8194","124248","1","3","0","0","0","20","84","0"
"85","1","18","12","1","0.6111111","2.031278","1.193891","-3.258461","-5.229759","0.849886","3.439852","5.235108","7.616106","1","1","0","0","0","0","0","0","1","0","4097","126530","1","1","0","0","0","0","85","0"
"86","1","18","12","1","0.6111111","2.031278","0","-0.370568","-0.540429","0.000587","0.440365","0.560497","1.831964","1","1","0","0","0","0","0","0","1","0","0","124508","1","1","1","0","0","0","86","0"
"87","1","18","12","1","0.6111111","2.031278","0","-0.9917762","-0.5270344","0.0005852279","0.4403507","0.523597","1.761802","1","1","0","0","0","0","0","0","1","0","0","124509","1","1","1","0","0","0","87","0"
"88","1","18","12","1","0.6111111","2.031278","0","-0.432397","-0.540428","-0.001787","0.826877","0.575359","1.828942","1","1","0","0","0","0","0","0","1","0","0","124512","1","1","1","0","0","0","88","0"
"89","1","18","12","1","0.6111111","2.031278","0","-0.5272886","-0.6404104","0.0006550704","0.5789187","0.5452346","2.122705","1","1","0","0","0","0","0","0","1","0","0","124515","1","1","1","0","0","0","89","0"
"90","1","18","12","1","0.6111111","2.031278","1.656586","-2.877178","-3.743629","0.039645","2.177575","3.76338","5.156446","1","1","0","0","0","0","0","0","1","0","12297","124387","2","1","0","0","0","0","90","0"
"91","1","1","1","1","0.6111111","2.031278","0","-2.460755","-1.440653","-0.043356","1.368367","1.772471","3.220704","1","1","0","0","0","0","0","0","1","0","4097","125902","1","1","1","0","0","0","91","0"
"92","1","18","12","1","0.6111111","2.031278","2.76492","-1.944304","-2.61017","0.160823","2.338802","2.484161","5.967974","1","1.65","0","0","0","0","0","0","1","0","4099","125931","1","1","0","0","0","0","92","0"
"93","1","18","12","1","0.472222","1.94444","0","-0.269897","-0.316466","-0.004714","0.246695","0.328929","1.897014","1","1","0","0","0","0","0","0","1","0","0","124444","1","1","1","0","0","0","93","0"
"94","1","18","12","1","0.6111111","2.031278","0","-0.529582","-0.427913","-0.00457","0.245354","0.435132","1.883839","1","1","0","0","0","0","0","0","1","0","0","124452","1","1","1","0","0","0","94","0"
"95","1","18","12","1","0.6111111","2.031278","0","-0.316277","-0.369578","-0.008559","0.260954","0.463854","2.022604","1","1","0","0","0","0","0","0","1","0","0","124463","1","1","1","0","0","0","95","0"
"96","1","18","12","1","0.555556","1.94444","0","-0.3336","-0.369577","-0.008558","0.249117","0.403831","1.872996","1","1","0","0","0","0","0","0","1","0","0","124467","1","1","1","0","0","0","96","0"
"97","1","18","12","1","0.416666","1.91345","0","-0.300864","-0.330077","-0.001708","0.333066","0.421097","1.889445","1","1","0","0","0","0","0","0","1","0","0","124468","1","1","1","0","0","0","97","0"
"98","1","18","12","1","0.416666","1.91345","0","-0.281995","-0.342848","-0.002671","0.246974","0.343207","1.913336","1","1","0","0","0","0","0","0","1","0","0","124472","1","1","1","0","0","0","98","0"
"99","1","18","12","1","0.416666","1.91345","0","-0.322469","-0.319104","-0.001459","0.288641","0.329237","1.895215","1","1","0","0","0","0","0","0","1","0","0","124475","1","1","1","0","0","0","99","0"
"100","1","18","12","1","0.416666","1.91345","0","-0.271689","-0.325399","-0.001459","0.243055","0.329237","1.895229","1","1","0","0","0","0","0","0","1","0","0","124478","1","1","1","0","0","0","100","0"
"101","1","18","12","1","0.694444","2.05556","0","-0.360743","-0.664335","-0.002381","0.438553","0.542029","2.007537","1","1","0","0","0","0","0","0","1","0","0","124482","1","1","1","0","0","0","101","0"
"102","1","18","12","1","0.555556","2.08333","0","-0.255377","-0.437861","-0.000814","0.349882","0.434437","2.014777","1","1","0","0","0","0","0","0","1","0","0","124490","1","1","1","0","0","0","102","0"
"103","1","18","12","1","0.6111111","2.031278","0.871599","-0.360744","-0.664336","-0.002395","0.438486","0.553806","2.046734","1","1","0","0","0","0","0","0","1","0","0","124506","1","1","1","0","0","0","103","0"
"104","1","18","12","1","0.6111111","2.031265","0","-0.316737","-0.475834","-0.002818","0.402932","0.484231","2.05718","1","1","0","0","0","0","0","0","1","0","0","124540","1","1","1","0","0","0","104","0"
"105","1","18","12","1","0.611112","2.03126","0","-0.316737","-0.486773","-0.002813","0.402931","0.513672","1.993774","1","1","0","0","0","0","0","0","1","0","0","124547","1","1","1","0","0","0","105","0"
"106","1","18","12","1","0.509728","2.03126","0","-0.360743","-0.664337","-0.002381","0.438496","0.54203","2.282205","1","1","0","0","0","0","0","0","1","0","0","124552","1","1","1","0","0","0","106","0"
"107","1","18","12","1","0.611112","2.03126","0","-0.337104","-0.471952","-0.002563","0.403315","0.484192","1.994458","1","1","0","0","0","0","0","0","1","0","0","124544","1","1","1","0","0","0","107","0"
"108","1","18","12","1","0.6111111","2.031264","0","-0.372525","-0.516474","-0.00081","0.431895","0.514724","2.019828","1","1","0","0","0","0","0","0","1","0","0","124485","1","1","1","0","0","0","108","0"
"109","1","18","12","1","0.4166667","1.913455","0","-0.338402","-0.366659","-0.001565","0.240099","0.346871","1.962467","1","1","0","0","0","0","0","0","1","0","0","124448","1","1","1","0","0","0","109","0"
"110","1","18","12","1","0.6111111","2.031278","0","-1.041009","-1.680827","0.366207","1.043886","1.684634","3.043421","0.35","1","0","0","0","0","0","0","1","0","12299","126426","1","2","4","0","0","0","110","0"
"111","1","4","3","1","0.6111111","2.031278","0.269091","-0.269335","-0.200649","0.000307","0.261495","0.185284","0.44167","1","1","0","0","0","0","0","0","3","0","4096","123200","0","1","5","0","0","0","111","0"
"112","1","18","12","1","0.6111111","2.031278","0","-0.626689","-0.769626","-0.000164","0.524903","0.730086","2.352855","1","1","0","0","0","0","0","0","1","0","0","125377","1","1","1","0","0","0","112","0"
"113","1","18","12","1","0.75","2.361111","0","-0.626689","-0.769626","-0.000164","0.524904","0.730086","2.273276","1","1","0","0","0","0","0","0","1","0","0","125372","1","1","1","0","0","0","113","0"
"114","1","4","3","1","0.6111111","2.031278","0","-0.5063027","-0.2292813","-0.020165","0.3146576","0.2290089","0.5821247","1","0.5","0","0","0","0","0","0","1","0","4096","1112735","0","1","7","0","0","0","114","0"
"115","1","18","12","1","0.6944445","1.388889","0.823056","-0.423409","-0.614069","-0.006921","0.532601","0.56656","1.55894","1","1","0","0","0","0","0","0","1","0","0","123708","1","1","1","0","0","0","115","0"
"116","1","18","12","1","0.6111111","2.031278","1.41886","-1.123374","-1.141437","-0.048109","0.47753","0.770787","2.282448","1","1","0","0","0","0","0","0","1","0","0","126248","1","1","4","0","0","0","116","0"
"117","1","18","12","1","0.6111111","2.031278","1.41886","-1.123374","-1.141437","-0.048109","0.756848","0.770787","2.557313","1","1","0","0","0","0","0","0","1","0","0","126247","1","1","4","0","0","0","117","0"
"118","1","18","12","1","0.6111111","2.031278","1.41886","-1.110465","-0.707755","-1.4E-05","0.47753","0.758649","2.262716","1","1","0","0","0","0","0","0","1","0","0","126267","1","1","4","0","0","0","118","0"
"119","1","18","12","1","0.6111111","2.031278","1.41886","-1.123951","-1.141413","-0.048104","0.47753","0.770781","2.281977","1","1","0","0","0","0","0","0","1","0","0","126249","1","1","4","0","0","0","119","0"
"120","1","18","12","1","0.6111111","2.031278","1.41886","-1.122086","-1.141437","-0.046315","0.756848","0.770787","2.553173","1","1","0","0","0","0","0","0","1","0","0","126245","1","1","4","0","0","0","120","0"
"121","1","18","12","1","0.6111111","2.031278","1.41886","-1.122086","-1.141437","-0.046315","0.515449","0.770787","2.282449","1","1","0","0","0","0","0","0","1","0","0","126246","1","1","4","0","0","0","121","0"
"122","1","18","12","1","0.6111111","2.031278","0.891646","-0.89678","-0.757445","0.000414","0.731812","0.757685","1.851908","1","1","0","0","0","0","0","0","1","0","0","124186","1","1","7","0","0","0","122","0"
"123","1","18","12","1","0.6111111","2.031278","0.891646","-0.777","-0.700137","0.000479","0.731759","0.764516","1.7562","1","1","0","0","0","0","0","0","1","0","0","124192","1","1","7","0","0","0","123","0"
"124","1","6","4","1","0.6111111","2.031278","0","-0.470813","-0.257748","-0.003308","1.213048","0.258521","1.677998","1","1","0","0","0","0","0","0","1","0","4096","123362","1","3","3","0","0","0","124","0"
"125","1","18","12","1","0.5097312","2.031265","1.16669","-0.524196","-0.47091","-0.002551","0.42839","0.517416","2.011116","1","1","0","0","0","0","0","0","1","0","0","124500","1","1","1","0","0","0","125","0"
"126","1","18","12","1","0.6111111","2.031278","1.16669","-0.524182","-0.470892","-0.002548","0.42839","0.517417","2.227501","1","1","0","0","0","0","0","0","1","0","0","124494","1","1","1","0","0","0","126","0"
"127","1","18","12","1","0.6111111","2.031278","1.03618","-0.240204","-0.497698","-0.000429","0.313023","0.510517","2.056736","1","1","0","0","0","0","0","0","1","0","0","124516","1","1","1","0","0","0","127","0"
"128","1","18","12","1","0.6111111","2.031278","1.16669","-0.250635","-0.453516","-0.000599","0.330271","0.44736","2.012269","1","1","0","0","0","0","0","0","1","0","0","124521","1","1","4","0","0","0","128","0"
"129","1","18","12","1","0.6111111","2.031278","1.16669","-0.252008","-0.462726","-0.001817","0.309355","0.455395","1.995213","1","1","0","0","0","0","0","0","1","0","0","124533","1","1","1","0","0","0","129","0"
"130","1","18","12","1","0.6111111","2.031278","0","-2.606853","-2.316218","-0.1812648","1.039569","2.28446","3.467349","1","1","0","0","0","0","0","0","1","0","0","123673","2","3","3","0","0","20","130","0"
"131","1","18","12","1","0.6944445","1.25","0.481653","-0.286203","-0.445213","-0.001502","0.306011","0.419611","0.929975","1","1","0","0","0","0","0","0","1","0","0","124198","1","1","1","0","0","0","131","0"
"132","1","4","3","1","0.6111111","2.031278","0","-0.717807","-0.952885","-0.032214","1.28324","0.952488","0.964783","1","1","0","0","0","0","0","0","1","0","12296","123291","0","3","8","0","0","0","132","0"
"133","1","18","12","1","0.6111111","2.031278","0","-4.715688","-1.839936","-0.717581","3.361149","1.763009","4.616408","1.3","0.65","0","0","0","0","0","0","1","0","12297","126153","1","3","4","0","0","0","133","0"
"134","1","4","3","1","0.6111111","2.031278","0","-0.5023749","-0.1747271","-0.007455618","0.08903658","0.1616643","0.376791","0.4","2","0","0","0","0","0","0","2.5","0","4096","1129448","0","1","7","0","0","0","134","0"
"136","1","18","12","1","0.6111111","2.031278","0","-1.608117","-1.231323","-0.08085963","0.9196799","1.24399","2.226088","1","1","0","0","0","0","0","0","1","0","16","124263","0","1","4","0","0","0","135","0"
"137","1","18","12","1","0.6111111","2.031278","0","-6.219212","-2.986058","-0.3351795","3.331984","3.188107","1.612615","1","1","0","0","0","2.5","4","0","1","0","12298","123324","0","3","5","0","0","0","136","0"
"139","1","16.2","10.8","1","0.6944445","2.083333","0","-3.794199","-1.658464","-0.088782","2.06211","0.951092","2.768118","1","1","0","0","0","0","0","0","1","0","0","123878","0","3","5","0","0","0","138","0"
"140","1","18","12","1","0.6111111","2.031278","0","-0.7881508","-0.4031575","0.001853073","0.7944533","0.3661321","1.10919","1","1","0","0","0","0","0","0","1","0","0","1377131","0","1","3","0","0","0","139","0"
"141","1","18","12","1","0.6111111","2.031278","1.036183","-1.455462","-1.317726","-0.08035271","1.378301","1.2777","3.351689","1","1","0","0","0","0","0","0","1","0","0","123756","0","14","5","0","0","0","140","0"
