Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4_0,Unknown4_1,Unknown5,Unknown6,Unknown7,Unknown8
"53","0.5","0.7","Beetle","Interface\Icons\inv_misc_ahnqirajtrinket_01","818","270","48","1","60","1"
"55","1","1.45","Shale Spider","Interface\Icons\inv_pet_ shalespider","817","270","195","1","60","1"
"56","0.8","1","Zombie","Interface\Icons\achievement_boss_patchwerk","236","0","0","1","80","-1"
"57","1","1.25","<< QA TEST FAMILY >>","Interface\Icons\inv_scarab_stone","818","270","48","1","60","-1"
"68","0.5","0.63","Hydra","Interface\Icons\trade_archaeology_whitehydrafigurine","824","270","195","0","60","0"
"100","0.5","0.6","Fel Imp","","927","0","0","1","60","-1"
"101","0.5","0.9","Voidlord","","928","0","0","1","60","-1"
"102","0.45","0.65","Shivarra","","929","0","0","1","60","-1"
"103","0.12","0.225","Observer","","930","0","0","1","60","-1"
"104","0.45","0.85","Wrathguard","","931","0","0","1","60","-1"
"108","0.25","0.3","Infernal","","206","0","0","1","60","-1"
"116","1","1.01","Fire Elemental","Interface\Icons\spell_fire_elemental_totem","962","0","0","1","60","-1"
"117","1","1.01","Earth Elemental","Interface\Icons\spell_nature_earthelemental_totem","963","0","0","1","60","-1"
"125","0.2","0.7","Crane","Interface\Icons\inv_pet_crane","984","270","138","1","60","2"
"126","0.3","0.5","Water Strider","Interface\Icons\inv_pet_waterstrider","985","270","48","1","60","2"
"127","0.6","1","Porcupine","Interface\Icons\inv_pet_porcupine","983","270","16","1","60","1"
"128","0.7","1.1","Quilen","Interface\Icons\achievement_moguraid_01","986","270","195","1","60","0"
"129","0.5","0.8","Goat","Interface\Icons\inv_pet_ goat","987","270","255","1","60","0"
"130","0.4","0.6","Basilisk","Interface\Icons\inv_pet_ basilisk","988","270","3","1","60","1"
"138","0.4","0.6","Direhorn","Interface\Icons\inv_pet_direhorn","1305","270","48","1","60","1"
"145","1","1.01","Storm Elemental","Interface\Icons\ability_druid_galewinds","1748","0","0","1","60","-1"
"147","0.64","1","Terrorguard","","1981","0","0","1","60","-1"
"148","0.8","1","Abyssal","","1982","0","0","1","60","-1"
"149","0.35","0.65","Rylak","Interface\Icons\ability_mount_ironchimera","1818","270","195","1","60","2"
"150","0.6","0.8","Riverbeast","Interface\Icons\inv_hippo_green","1819","270","56","1","60","1"
"151","0.5","0.8","Stag","Interface\Icons\inv_talbukdraenor_white","1993","270","60","1","60","0"
"154","0.7","1","Mechanical","Interface\Icons\ability_mount_mechastrider","2189","270","256","1","60","2"
"155","0.6","0.8","Abomination","Interface\Icons\spell_shadow_abominationexplosion","2216","0","0","1","80","-1"
"156","0.5","0.8","Scalehide","Interface\Icons\inv_mushanbeastmount","2280","270","60","1","60","1"
"157","0.5","0.8","Oxen","Interface\Icons\ability_mount_yakmount","2279","270","60","1","60","1"
