Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29
"107","82747","82751","","","1066168","1066169","0","0","0","0","600","600","0","0","1","3","4","2","20","20","90","1","0","-1","-1","2","0","0","0","0"
"108","82657","82659","","","1066146","1066147","0","0","0","0","600","600","0","0","1","12","14","2","25","25","90","1","0","-1","-1","2","0","0","0","0"
"109","81478","82830","","","1066187","1066189","0","0","0","0","600","600","0","0","1","9","4","2","29","29","90","0","0","-1","-1","2","0","0","0","0"
"110","82693","82773","","","1066156","1066177","0","0","0","0","600","600","0","0","1","11","5","2","30","30","90","1","0","-1","-1","2","0","0","0","0"
"111","82633","82641","","","1066139","1066141","0","0","0","0","600","600","0","0","1","9","5","2","31","31","90","0","0","-1","-1","2","0","0","0","0"
"112","81451","82824","","","1066125","1066188","0","0","0","0","600","600","0","0","1","3","8","2","12","12","90","1","0","-1","-1","2","0","0","0","0"
"113","82807","82810","","","1066184","1066186","0","0","0","0","600","600","0","0","1","7","5","2","13","13","90","0","0","-1","-1","2","0","0","0","0"
"114","81450","82853","","","1066124","1066193","0","0","0","0","600","600","0","0","1","13","4","2","10","10","90","0","0","-1","-1","2","0","0","0","0"
"115","82796","82808","","","1066183","1066185","0","0","0","0","600","600","0","0","1","3","5","2","2","2","90","0","0","-1","-1","2","0","0","0","0"
"116","82595","82630","","","1066134","1066136","0","0","0","0","600","600","0","0","1","3","8","2","3","3","90","1","0","-1","-1","2","0","0","0","0"
"117","82784","82787","","","1066179","1066180","0","0","0","0","600","600","0","0","1","13","2","2","4","4","90","0","0","-1","-1","2","0","0","0","0"
"118","82760","82760","","","1066172","1066172","0","0","0","0","600","600","0","0","1","10","10","2","17","17","90","0","0","-1","-1","2","0","0","0","0"
"119","82781","82781","","","1066178","1066178","0","0","0","0","600","600","0","0","1","10","10","2","19","19","90","1","0","-1","-1","2","0","0","0","0"
"120","82765","82765","","","1066175","1066175","0","0","0","0","600","600","0","0","1","10","10","2","18","18","90","1","0","-1","-1","2","0","0","0","0"
"122","79358","79358","","","0","0","0","0","0","0","600","600","0","0","1","4","4","5","13","13","90","1","7","-1","-1","2","0","0","0","0"
"123","79368","79368","","","0","0","0","0","0","0","600","600","0","0","1","5","5","5","14","14","90","0","7","-1","-1","2","0","0","0","0"
"124","79367","79367","","","0","0","0","0","0","0","600","600","0","0","1","5","5","5","15","15","90","1","7","-1","-1","2","0","0","0","0"
"125","79363","79363","","","0","0","0","0","0","0","600","600","0","0","1","6","6","5","16","16","90","0","7","-1","-1","2","0","0","0","0"
"126","79364","79364","","","0","0","0","0","0","0","600","600","0","0","1","6","6","5","17","17","90","1","7","-1","-1","2","0","0","0","0"
"127","79360","79360","","","0","0","0","0","0","0","600","600","0","0","1","10","10","5","18","18","90","0","7","-1","-1","2","0","0","0","0"
"128","78013","78013","","","0","0","0","0","0","0","600","600","0","0","1","10","10","5","19","19","90","1","7","-1","-1","2","0","0","0","0"
"129","78012","78012","","","0","0","0","0","0","0","600","600","0","0","1","2","2","5","20","20","90","0","7","-1","-1","2","0","0","0","0"
"130","81334","81334","","","0","0","0","0","0","0","600","600","0","0","1","2","2","5","21","21","90","1","7","-1","-1","2","0","0","0","0"
"131","79371","79371","","","0","0","0","0","0","0","600","600","0","0","1","11","11","5","22","22","90","0","7","-1","-1","2","0","0","0","0"
"132","79365","79365","","","0","0","0","0","0","0","600","600","0","0","1","8","8","5","23","23","90","0","7","-1","-1","2","0","0","0","0"
"133","79366","79366","","","0","0","0","0","0","0","600","600","0","0","1","8","8","5","24","24","90","1","7","-1","-1","2","0","0","0","0"
"134","79361","79361","","","0","0","0","0","0","0","600","600","0","0","1","13","13","5","25","25","90","0","7","-1","-1","2","0","0","0","0"
"135","78009","78009","","","0","0","0","0","0","0","600","600","0","0","1","9","9","5","26","26","90","0","7","-1","-1","2","0","0","0","0"
"136","79364","79364","","","0","0","0","0","0","0","600","600","0","0","1","6","6","5","27","27","90","1","7","-1","-1","2","0","0","0","0"
"137","79362","79362","","","0","0","0","0","0","0","600","600","0","0","1","13","13","5","28","28","90","1","7","-1","-1","2","0","0","0","0"
"138","79368","79368","","","0","0","0","0","0","0","600","600","0","0","1","5","5","5","29","29","90","0","7","-1","-1","2","0","0","0","0"
"139","79358","79358","","","0","0","0","0","0","0","600","600","0","0","1","4","4","5","30","30","90","0","7","-1","-1","2","0","0","0","0"
"140","79373","79373","","","0","0","0","0","0","0","600","600","0","0","1","12","12","5","31","31","90","0","7","-1","-1","2","0","0","0","0"
"141","79357","79357","","","0","0","0","0","0","0","600","600","0","0","1","7","7","5","32","32","90","0","7","-1","-1","2","0","0","0","0"
"142","78010","78010","","","0","0","0","0","0","0","600","600","0","0","1","7","7","5","33","33","90","0","7","-1","-1","2","0","0","0","0"
"143","79369","79369","","","0","0","0","0","0","0","600","600","0","0","1","14","14","5","34","34","90","0","7","-1","-1","2","0","0","0","0"
"144","79370","79370","","","0","0","0","0","0","0","600","600","0","0","1","14","14","5","35","35","90","0","7","-1","-1","2","0","0","0","0"
"145","79375","79375","","","0","0","0","0","0","0","600","600","0","0","1","3","3","5","37","37","90","0","7","-1","-1","2","0","0","0","0"
"146","78010","78010","","","0","0","0","0","0","0","600","600","0","0","1","7","7","5","38","38","90","0","7","-1","-1","2","0","0","0","0"
"147","79378","79378","","","0","0","0","0","0","0","600","600","0","0","1","15","15","1","2","2","90","0","7","-1","-1","2","0","0","0","0"
"148","79378","79378","","","0","0","0","0","0","0","600","600","0","0","1","15","15","5","5","5","90","0","7","-1","-1","2","0","0","0","0"
"149","79378","79378","","","0","0","0","0","0","0","600","600","0","0","1","15","15","5","10","10","90","0","7","-1","-1","2","0","0","0","0"
"150","79378","79378","","","0","0","0","0","0","0","600","600","0","0","1","15","15","5","17","17","90","0","7","-1","-1","2","0","0","0","0"
"151","79378","79378","","","0","0","0","0","0","0","600","600","0","0","1","15","15","5","14","14","90","0","7","-1","-1","2","0","0","0","0"
"153","81494","82865","|cFFFFD200Mission:|r Gronnlings Abound|n|cFFFFD200Zone:|r Frostfire Ridge","|cFFFFD200Mission:|r Killing The Corrupted|n|cFFFFD200Zone:|r Shadowmoon Valley","1066122","1066199","0","0","0","0","600","600","0","0","1","9","5","2","28","28","90","1","1","-1","-1","2","0","0","0","0"
"154","80732","80733","|cFFFFD200Quest:|r Due Cause to Celebrate|n|cFFFFD200Zone:|r Talador","|cFFFFD200Quest:|r Due Cause to Celebrate|n|cFFFFD200Zone:|r Talador","1066115","1066114","0","0","87","88","600","600","0","0","1","3","2","2","15","16","94","0","1","-1","1","2","0","0","0","0"
"155","81073","81070","|cFFFFD200Quest:|r The Only Way to Travel|n|cFFFFD200Zone:|r Talador","|cFFFFD200Quest:|r The Only Way to Travel|n|cFFFFD200Zone:|r Talador","1066109","1066108","0","0","89","90","600","600","0","0","1","9","4","2","37","37","94","0","1","-1","1","2","0","0","0","0"
"157","81792","81792","|cFFFFD200Quest:|r Challenge of the Masters|n|cFFFFD200Zone:|r Nagrand","|cFFFFD200Quest:|r Challenge of the Masters|n|cFFFFD200Zone:|r Nagrand","1066127","1066127","0","0","62","62","600","600","0","0","1","9","9","2","35","35","99","0","1","-1","-1","2","0","0","0","0"
"159","81857","78052","|cFFFFD200Quest:|r Iyu|n|cFFFFD200Zone:|r Gorgrond","|cFFFFD200Quest:|r Iyu|n|cFFFFD200Zone:|r Gorgrond","1066095","1066104","0","0","99","42","600","600","0","0","1","9","4","2","29","12","93","1","1","-1","-1","2","0","0","0","0"
"168","82122","82122","|cFFFFD200Outpost Choice:|r Smuggler's Den|n|cFFFFD200Zone:|r Spires of Arak|n","|cFFFFD200Outpost Choice:|r Smuggler's Den|n|cFFFFD200Zone:|r Spires of Arak","1066317","1066317","0","0","69","69","600","600","0","0","1","41","41","2","35","35","99","0","1","2","-1","2","0","0","0","0"
"170","82453","82453","|cFFFFD200Zone:|r Nagrand","|cFFFFD200Zone:|r Nagrand","1066118","1066118","0","0","63","63","600","600","0","0","1","29","29","2","26","26","100","0","1","-1","-1","2","0","0","0","0"
"171","81758","81758","|cFFFFD200Quest:|r Clear!|n|cFFFFD200Zone:|r Talador|n","|cFFFFD200Quest:|r Clear!|n|cFFFFD200Zone:|r Talador|n","1066130","1066130","0","0","71","71","600","600","0","0","1","28","28","2","37","37","94","0","1","1","-1","2","0","0","0","0"
"172","82717","82717","","","1066161","1066161","0","0","106","106","600","600","0","0","1","2","2","2","21","21","90","0","0","-1","-1","2","0","0","0","0"
"176","81372","81265","|cFFFFD200Quest:|r The Axe of Kor'gall|n|cFFFFD200Zone:|r Gorgrond|n|n","|cFFFFD200Quest:|r The Axe of Kor'gall|n|cFFFFD200Zone:|r Gorgrond","1066096","1066113","0","0","81","82","600","600","0","0","1","9","4","2","19","19","93","0","1","0","0","2","0","0","0","0"
"177","81042","81042","|cFFFFD200Achievement:|r Come With Me If You Want To Live|n|cFFFFD200Zone:|r Bloodmaul Slag Mines (Heroic)","|cFFFFD200Achievement:|r Come With Me If You Want To Live|n|cFFFFD200Zone:|r Bloodmaul Slag Mines (Heroic)","1087482","1087482","0","0","65","65","600","600","0","0","1","2","2","4","22","22","100","0","1","-1","-1","2","0","0","0","0"
"178","82756","82756","|cFFFFD200Achievement:|r Leeeeeeeeeeeeeroy...?|n|cFFFFD200Dungeon:|r Upper Blackrock Spire|n","|cFFFFD200Achievement:|r Leeeeeeeeeeeeeroy...?|n|cFFFFD200Dungeon:|r Upper Blackrock Spire|n","1066162","1066162","0","0","74","74","600","600","0","0","1","2","2","4","22","22","100","0","1","5","-1","2","0","0","0","0"
"179","79601","82479","|cFFFFD200Quest:|r Smeltcraft|n|cFFFFD200Zone:|r Frostfire Ridge","|cFFFFD200Zone:|r Shadowmoon Valley|n","1066097","1066098","0","0","93","45","600","600","0","0","1","9","4","2","35","20","92","1","1","-1","1","2","0","0","0","0"
"180","79602","82481","|cFFFFD200Quest:|r The Real Prey|n|cFFFFD200Zone:|r Frostfire Ridge","|cFFFFD200Quest:|r Gestating Genesaur|n|cFFFFD200Zone:|r Shadowmoon Valley|n","1066105","1066059","0","0","98","52","600","600","0","0","1","12","14","2","12","24","90","1","1","-1","1","2","0","0","0","0"
"181","82481","82485","","|cFFFFD200Quest:|r A Matter of Life and Death|n|cFFFFD200Zone:|r Shadowmoon Valley","1066059","1066107","0","0","0","44","600","600","0","0","1","13","4","2","14","14","90","1","5","-1","-1","2","0","0","0","0"
"182","79265","82487","|cFFFFD200Quest:|r Mulverick's Plight|n|cFFFFD200Zone:|r Frostfire Ridge","|cFFFFD200Quest:|r Game of Thorns|n|cFFFFD200Zone:|r Shadowmoon Valley","1066106","1066399","0","0","95","48","600","600","0","0","1","9","2","2","13","28","90","1","1","-1","-1","2","0","0","0","0"
"183","79230","82495","|cFFFFD200Quest:|r Only the Winner|n|cFFFFD200Zone:|r Frostfire Ridge","|cFFFFD200Quest:|r Ancestor's Memory|n|cFFFFD200Zone:|r Shadowmoon Valley","1066110","1066100","0","0","94","51","600","600","0","0","1","9","9","2","12","30","92","1","1","-1","1","2","0","0","0","0"
"184","77321","82489","|cFFFFD200Quest:|r The Battle for Thunder Pass|n|cFFFFD200Zone:|r Frostfire Ridge|n","|cFFFFD200Quest:|r Friend of the Exarchs|n|cFFFFD200Zone:|r Shadowmoon Valley","1084769","1066121","0","0","108","47","600","600","0","0","1","9","4","2","29","35","90","1","1","-1","-1","2","0","0","0","0"
"185","79233","82491","|cFFFFD200Quest:|r The Battle for Thunder Pass|n|cFFFFD200Zone:|r Frostfire Ridge|n","|cFFFFD200Quest:|r Friend of the Exarchs|n|cFFFFD200Zone:|r Shadowmoon Valley","1066101","1066129","0","0","92","43","600","600","0","0","1","9","4","2","30","12","90","1","1","-1","-1","2","0","0","0","0"
"186","89092","82492","|cFFFFD200Quest:|r The Battle for Thunder Pass|n|cFFFFD200Zone:|r Frostfire Ridge|n","|cFFFFD200Quest:|r Friend of the Exarchs|n|cFFFFD200Zone:|r Shadowmoon Valley","1084770","1066225","0","0","107","46","600","600","0","0","1","9","4","2","31","21","90","1","1","-1","-1","2","0","0","0","0"
"189","78031","78031","|cFFFFD200Zone:|r Gorgrond","|cFFFFD200Zone:|r Gorgrond","1066119","1066119","0","0","61","61","600","600","0","0","1","30","30","2","37","37","92","0","1","-1","-1","2","0","0","0","0"
"190","78638","78638","|cFFFFD200Quest:|r Temporal Juxtaposition|n|cFFFFD200Zone:|r Draenor","|cFFFFD200Quest:|r Temporal Juxtaposition|n|cFFFFD200Zone:|r Draenor","1066016","1066016","0","0","57","57","600","600","0","0","1","2","2","2","14","14","100","0","1","-1","-1","2","0","0","0","0"
"192","83947","83947","|cFFFFD200Quest:|r Flame On|n|cFFFFD200Zone:|r Spires of Arak","|cFFFFD200Quest:|r Flame On|n|cFFFFD200Zone:|r Spires of Arak","1066120","1066120","0","0","66","66","600","600","0","0","1","7","7","2","27","27","97","0","1","1","-1","2","0","0","0","0"
"193","82656","82656","|cFFFFD200Quest:|r A Centurion Without a Cause|n|cFFFFD200Zone:|r Gorgrond","|cFFFFD200Quest:|r A Centurion Without a Cause|n|cFFFFD200Zone:|r Gorgrond","1066145","1066145","0","0","60","60","600","600","0","0","1","15","15","3","35","35","93","0","1","-1","-1","2","0","0","0","0"
"194","84889","84889","|cFFFFD200Garrison Building:|r Lumber Mill|n|cFFFFD200Zone:|r Draenor","|cFFFFD200Garrison Building:|r Lumber Mill|n|cFFFFD200Zone:|r Draenor","1066276","1066276","0","0","58","58","600","600","0","0","1","31","31","3","9","9","100","0","3","-1","-1","2","0","0","0","0"
"195","85414","85413","|cFFFFD200Quest:|r The Rise and Fall of Barov Industries: Alexi Barov|n|cFFFFD200Garrison Building:|r Lumber Mill|n","|cFFFFD200Quest:|r The Rise and Fall of Barov Industries: Weldon Barov|n|cFFFFD200Garrison Building:|r Lumber Mill","1066003","1066004","0","0","77","78","600","600","0","0","1","13","2","2","26","26","95","0","1","1","-1","2","0","0","0","0"
"202","85989","85989","|cFFFFD200Profession:|r Fishing - 700 Skill|n|cFFFFD200Quest:|r An Angler On Our Team|n|cFFFFD200Zone:|r Garrison, Fishing Shack","|cFFFFD200Profession:|r Fishing - 700 Skill|n|cFFFFD200Quest:|r An Angler On Our Team|n|cFFFFD200Zone:|r Garrison, Fishing Shack","1066006","1066006","0","0","56","56","600","600","0","0","1","2","2","3","13","13","100","0","3","3","-1","2","0","0","0","0"
"203","86152","86152","|cFFFFD200Brawler's Guild:|r Rank 5|n","|cFFFFD200Brawler's Guild:|r Rank 5","1066078","1066078","0","0","0","0","600","600","0","0","1","33","33","4","37","37","100","0","1","1","-1","2","0","0","0","0"
"204","86588","85081","|cFFFFD200Quest:|r Three Feet Under|n|cFFFFD200Zone:|r Spires of Arak","|cFFFFD200Quest:|r Admiral Taylor|n|cFFFFD200Zone:|r Spires of Arak","1066344","1066531","0","0","100","53","600","600","0","0","1","13","2","2","4","35","96","1","1","-1","-1","2","0","0","0","0"
"205","85759","85759","|cFFFFD200Quest:|r Destination: Unknown|n|cFFFFD200Zone:|r Talador|n","|cFFFFD200Quest:|r Destination: Unknown|n|cFFFFD200Zone:|r Talador|n","1066103","1066103","0","0","72","72","600","600","0","0","1","4","4","2","25","25","96","0","1","-1","-1","2","0","0","0","0"
"207","85768","85772","|cFFFFD200Quest:|r Gatekeepers of Auchindoun|n|cFFFFD200Zone:|r Talador","|cFFFFD200Quest:|r Gatekeepers of Auchindoun|n|cFFFFD200Zone:|r Talador","1066346","1066345","0","0","101","54","600","600","0","0","1","3","4","3","33","21","95","1","1","-1","-1","2","0","0","0","0"
"208","85776","85776","|cFFFFD200Quest:|r Dying Wish|n|cFFFFD200Zone:|r Talador|n","|cFFFFD200Quest:|r Dying Wish|n|cFFFFD200Zone:|r Talador|n","1066532","1066532","0","0","73","73","600","600","0","0","1","4","4","2","35","35","95","1","1","-1","-1","2","0","0","0","0"
"209","86293","86293","|cFFFFD200Zone:|r Nagrand","|cFFFFD200Zone:|r Nagrand","1066167","1066167","0","0","64","64","600","600","0","0","1","12","12","2","2","2","98","0","1","-1","-1","2","0","0","0","0"
"211","86459","86484","|cFFFFD200Quest:|r Penny For Your Thoughts|n|cFFFFD200Zone:|r Gorgrond","|cFFFFD200Quest:|r Lumber, I Hardly Knew 'Er|n|cFFFFD200Zone:|r Gorgrond|n","1066293","1066296","0","0","79","80","600","600","0","0","1","7","5","2","13","10","93","0","1","-1","1","2","0","0","0","0"
"212","86510","86514","|cFFFFD200Quest:|r Zero Xuk's Given|n|cFFFFD200Zone:|r Gorgond|n","|cFFFFD200Quest:|r Chains of Iron|n|cFFFFD200Zone:|r Gorgond|n","1066335","1066135","0","0","83","84","600","600","0","0","1","9","4","2","28","28","94","0","1","1","-1","2","0","0","0","0"
"216","89133","89075","|cFFFFD200Quest:|r Establish Your Garrison|n|cFFFFD200Zone:|r Frostfire Ridge","|cFFFFD200Quest:|r A Surly Dwarf|n|cFFFFD200Zone:|r Ashran","1066126","1066337","0","0","91","41","600","600","0","0","1","13","5","3","15","2","91","1","1","-1","-1","2","0","0","0","0"
"217","86711","86709","|cFFFFD200Quest:|r The Sleepers|n|cFFFFD200Zone:|r The Garrison Campaign|n","|cFFFFD200Quest:|r The Sleepers|n|cFFFFD200Zone:|r The Garrison Campaign","1066047","1066048","0","0","75","76","600","600","0","0","1","11","8","2","7","7","100","0","1","1","-1","2","0","0","0","0"
"218","86760","86760","|cFFFFD200Achievement:|r Between Arak and a Hard Place|n","|cFFFFD200Achievement:|r Between Arak and a Hard Place","1066341","1066341","0","0","68","68","600","600","0","0","1","36","36","3","25","25","97","0","1","5","-1","2","0","0","0","0"
"219","86887","86887","|cFFFFD200Zone:|r Spires of Arak|n","|cFFFFD200Zone:|r Spires of Arak","1086429","1086429","0","0","70","70","600","600","0","0","1","29","29","3","31","31","97","0","1","1","-1","2","0","0","0","0"
"220","79378","79378","","","0","0","0","0","0","0","700","700","0","0","1","15","15","4","17","17","100","0","7","-1","-1","2","0","0","0","0"
"224","87531","87531","|cFFFFD200Achievement:|r Mantle of the Talon King","|cFFFFD200Achievement:|r Mantle of the Talon King|n","1066342","1066342","0","0","67","67","600","600","0","0","1","36","36","3","35","35","100","0","1","-1","5","2","0","0","0","0"
"225","80590","80590","|cFFFFD200Achievement:|r The Steel Has Been Brought","|cFFFFD200Achievement:|r The Steel Has Been Brought|n","1087481","1087481","0","0","59","59","600","600","0","0","1","9","9","4","35","35","100","0","1","-1","5","2","0","0","0","0"
"227","86782","86784","","","1066347","1066348","0","0","0","0","600","600","0","0","1","9","2","2","2","2","90","0","0","-1","-1","2","0","0","0","0"
"228","86786","86787","","","1066349","1066350","0","0","0","0","600","600","0","0","1","7","14","2","2","2","90","0","0","-1","-1","2","0","0","0","0"
"229","86788","86790","","","1066351","1066352","0","0","0","0","600","600","0","0","1","13","33","2","2","2","90","0","0","-1","-1","2","0","0","0","0"
"230","86805","86812","","","1066353","1066354","0","0","0","0","600","600","0","0","1","9","14","2","2","2","90","0","0","-1","-1","2","0","0","0","0"
"231","87596","87598","","","1066032","1066033","0","0","0","0","600","600","0","0","1","3","2","3","2","2","90","0","0","-1","-1","2","0","0","0","0"
"232","82955","82956","","","1066210","1066211","0","0","0","0","600","600","0","0","1","11","8","3","2","2","90","0","0","-1","-1","2","0","0","0","0"
"233","87603","87605","","","1066028","1066403","0","0","0","0","600","600","0","0","1","11","6","2","3","3","90","0","0","-1","-1","2","0","0","0","0"
"234","87606","87607","","","1086368","1086369","0","0","0","0","600","600","0","0","1","12","6","2","3","3","90","0","0","-1","-1","2","0","0","0","0"
"235","87608","87609","","","1086433","1086434","0","0","0","0","600","600","0","0","1","3","4","2","3","3","90","0","0","-1","-1","2","0","0","0","0"
"236","87611","87612","","","1066409","1086367","0","0","0","0","600","600","0","0","1","11","5","2","3","3","90","0","0","-1","-1","2","0","0","0","0"
"237","87613","87614","","","1086365","1086366","0","0","0","0","600","600","0","0","1","9","8","3","3","3","90","0","0","-1","-1","2","0","0","0","0"
"238","86814","86816","","","1066355","1066356","0","0","0","0","600","600","0","0","1","7","14","3","3","3","90","0","0","-1","-1","2","0","0","0","0"
"239","87616","87674","","","1086372","1086432","0","0","0","0","600","600","0","0","1","10","4","2","4","4","90","0","0","-1","-1","2","0","0","0","0"
"240","87675","87676","","","1086370","1086371","0","0","0","0","600","600","0","0","1","9","2","2","4","4","90","0","0","-1","-1","2","0","0","0","0"
"241","87677","87678","","","1086375","1086376","0","0","0","0","600","600","0","0","1","13","5","2","4","4","90","0","0","-1","-1","2","0","0","0","0"
"242","82961","82965","","","1066212","1066213","0","0","0","0","600","600","0","0","1","13","2","2","4","4","90","0","0","-1","-1","2","0","0","0","0"
"243","87679","87680","","","1087480","1066426","0","0","0","0","600","600","0","0","1","12","5","3","4","4","90","0","0","-1","-1","2","0","0","0","0"
"244","87681","87682","","","1086373","1086374","0","0","0","0","600","600","0","0","1","11","8","3","4","4","90","0","0","-1","-1","2","0","0","0","0"
"245","84484","84482","","","1066266","1066265","0","0","0","0","600","600","0","0","1","11","8","2","5","5","90","0","0","-1","-1","2","0","0","0","0"
"246","84486","84487","","","1066267","1066268","0","0","0","0","600","600","0","0","1","12","14","2","5","5","90","0","0","-1","-1","2","0","0","0","0"
"247","84704","84703","","","1066283","1066282","0","0","0","0","600","600","0","0","1","12","8","2","5","5","90","0","0","-1","-1","2","0","0","0","0"
"248","84701","84699","","","1066281","1066280","0","0","0","0","600","600","0","0","1","12","14","2","5","5","90","0","0","-1","-1","2","0","0","0","0"
"249","84479","84478","","","1066045","1066262","0","0","0","0","600","600","0","0","1","11","8","3","5","5","90","0","0","-1","-1","2","0","0","0","0"
"250","84481","84480","","","1066264","1066263","0","0","0","0","600","600","0","0","1","11","14","3","5","5","90","0","0","-1","-1","2","0","0","0","0"
"251","84707","84710","","","1066284","1066285","0","0","0","0","600","600","0","0","1","12","14","2","7","7","90","0","0","-1","-1","2","0","0","0","0"
"252","84711","84715","","","1066286","1066287","0","0","0","0","600","600","0","0","1","12","14","2","7","7","90","0","0","-1","-1","2","0","0","0","0"
"253","84123","84124","","","1066229","1066230","0","0","0","0","600","600","0","0","1","11","8","2","7","7","90","0","0","-1","-1","2","0","0","0","0"
"254","84128","84130","","","1066233","1066234","0","0","0","0","600","600","0","0","1","12","14","2","7","7","90","0","0","-1","-1","2","0","0","0","0"
"255","84126","88098","","","1066231","1066530","0","0","0","0","600","600","0","0","1","12","8","3","7","7","90","0","0","-1","-1","2","0","0","0","0"
