Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21
"89","3015","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"90","3015","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"91","7552","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"92","7552","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"93","7552","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"94","10369","0","10370","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8","1","4"
"95","10378","10379","10380","0","0","0","0","0","1","0","0","0","-1","-1","0","0","0","0","0","0","0","0"
"104","10550","10555","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","7","1","3"
"105","10550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","3"
"106","13776","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","3"
"107","10587","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"108","10589","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"109","10590","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"110","10601","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"114","10620","10622","10703","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","8","1","4"
"118","10628","10630","10734","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","4"
"119","10571","0","10641","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8","1","4"
"127","10675","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"137","10601","10601","10601","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","8","1","0"
"138","10697","10698","0","10699","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"140","10469","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"141","10640","10727","10572","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0","8","1","4"
"145","7709","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"146","10882","0","10886","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8","1","4"
"147","9150","0","11094","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","4"
"148","9151","0","11094","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","4"
"151","11944","11946","11945","0","0","0","0","0","1","1","1","0","-1","0","0","0","0","0","0","8","1","4"
"152","11947","11948","11949","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","4"
"153","11950","11951","11952","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","4"
"155","12843","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"156","9563","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"157","13524","0","13526","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"158","13525","0","13527","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1"
"159","13659","13660","13658","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"160","13662","13663","13661","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"161","13669","0","13671","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","4"
"162","14655","0","14655","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"163","15400","15402","18754","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4"
"168","15921","15923","15924","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","8","1","4"
"169","16568","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"170","16569","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"171","18507","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"172","15982","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"173","21022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"174","23328","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"175","23321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"178","26137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"179","26136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"180","15333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"183","28740","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"185","31852","31853","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","4"
"187","32140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","4"
"188","32141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","4"
"189","32142","32501","35271","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8","1","4"
"190","32139","32498","32471","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8","1","4"
"191","32140","32499","35269","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8","1","4"
"192","32141","32500","35270","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8","1","4"
"193","35766","0","35767","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8","1","4"
"177","9582","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"182","9583","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"78","9534","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"176","12843","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"181","9563","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
