Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown12,Unknown13
"258","77486","0","Shadow","Shadow","Uses sinister Shadow magic, especially damage-over-time spells, to eradicate enemies.","bg-priest-shadow","234","5","2","0","2","0","11","357"
"259","76803","0","Assassination","Assassination","A deadly master of poisons who dispatches victims with vicious dagger strikes.","bg-rogue-assassination","2963","4","0","0","2","3","68","0"
"260","76806","0","Outlaw","Outlaw","A ruthless fugitive who uses agility and guile to stand toe-to-toe with enemies.","bg-rogue-combat","1835","4","1","0","2","3","4","0"
"261","76808","0","Subtlety","Subtlety","A dark stalker who leaps from the shadows to ambush $Ghis:her; unsuspecting prey.","bg-rogue-subtlety","250","4","2","0","2","3","4","0"
"262","168534","0","Elemental","Elemental","A spellcaster who harnesses the destructive forces of nature and the elements.","bg-shaman-elemental","62","7","0","0","2","0","75","369"
"263","77223","0","Enhancement","Enhancement","A totemic warrior who strikes foes with weapons imbued with elemental power.","bg-shaman-enhancement","3159","7","1","0","2","2","260","369"
"264","77226","0","Restoration","Restoration","A healer who calls upon ancestral spirits and the cleansing power of water to mend allies' wounds.","bg-shaman-restoration","13","7","2","0","1","0","3","369"
"265","77215","0","Affliction","Affliction","A master of shadow magic who specializes in drains and damage-over-time spells.","bg-warlock-affliction","88","9","0","0","2","0","67","357"
"266","77219","0","Demonology","Demonology","A master of demons who compels demonic powers to aid $Ghim:her;.","bg-warlock-demonology","90","9","1","0","2","0","3","357"
"267","77220","0","Destruction","Destruction","A master of chaos who calls down fire to burn and demolish enemies.","bg-warlock-destruction","547","9","2","0","2","0","3","357"
"268","117906","0","Brewmaster","Brewmaster","A sturdy brawler who uses liquid fortification and unpredictable movement to avoid damage and protect allies.","bg-monk-brewmaster","6139","10","0","0","0","2","4","0"
"269","115636","0","Windwalker","Windwalker","A martial artist without peer who pummels foes with hands and fists.","bg-monk-battledancer","6138","10","2","0","2","2","68","0"
"270","117907","0","Mistweaver","Mistweaver","A healer who masters the mysterious art of manipulating life energies, aided by the wisdom of the Jade Serpent and Pandaren medicinal techniques.","bg-monk-mistweaver","6140","10","1","0","1","0","5","0"
"535","0","0","Ferocity","Ferocity","Driven by a rabid persistence to pursue prey, these carnivorous beasts stop at nothing to achieve victory; even death is temporary for these predators.","bg-rogue-assassination","2850","0","0","0","2","0","32","0"
"536","0","0","Cunning","Cunning","Guileful creatures capable of skillfully mitigating lethal blows dealt to themselves and their allies.","bg-rogue-assassination","49","0","2","2","2","0","32","0"
"537","0","0","Tenacity","Tenacity","Stalwart and veteran defenders who unquestionably place their thick hides and protective exteriors in harm's way for their allies.","bg-rogue-assassination","960","0","1","1","0","0","32","0"
"577","185164","0","Havoc","Havoc","A brooding master of warglaives and the destructive power of Fel magic.","bg-rogue-subtlety","10370","12","0","0","2","3","68","364"
"581","203747","0","Vengeance","Vengeance","Embraces the demon within to incinerate enemies and protect their allies.","bg-warlock-demonology","10437","12","1","0","0","3","4","364"
