Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1_0,Unknown1_1,Unknown1_2,Unknown2_0,Unknown2_1,Unknown2_2
"327","4292802815","4280351999","4294902015","4282293722","4286574335","4294902015","4280436169","4287428094","4294902015"
"328","4292850283","4294902015","4294902015","4288355099","4294902015","4294902015","4287038725","4294902015","4294902015"
"329","4293001216","4288557618","4294901760","4286775296","4294918465","4294901760","4292945960","4293935939","4294901760"
"330","4293947667","4292624406","4292639766","4293940243","4291180048","4290209811","4292951570","4287637259","4294689839"
"331","4294177772","4294373835","4293848280","4292705661","4291992942","4294943125","4292389751","4290075674","4290806055"
"332","4294180747","4287102831","4287154490","4287154490","4281443111","4280694800","4281177101","4280630308","4278654466"
"333","4294696703","4283566936","4294902015","4290920154","4291854335","4294902015","4287374025","4293364734","4294902015"
"334","4294902009","4294508799","4293656831","4294902009","4293656831","4294902009","4294508799","4294902009","4294902015"
"335","4294909984","4294909984","4292290600","4294935424","4294934656","4294901760","4294871947","4294871947","4291731359"
"336","4294934480","4294211071","4294902015","4293799935","4288413951","4294902015","4288807167","4278198015","4294902015"
"337","4294936053","4294902015","4294902015","4292492998","4294902015","4294902015","4290904265","4294902015","4294902015"
"338","4294938624","4294927872","4294902015","4294049792","4294901760","4294902015","4290314240","4291624960","4294902015"
"339","4294939648","4294902015","4294902015","4294967295","4294902015","4294902015","4291112237","4294902015","4294902015"
"340","4294946304","4294938624","4294902015","4292816640","4292630528","4294902015","4285202432","4283958790","4294902015"
"341","4294952831","4294964884","4294902015","4294937647","4294958592","4294902015","4293496576","4294950912","4294902015"
"342","4294955218","4294958043","4293843172","4293813595","4294933180","4294934949","4288288350","4289073537","4290783058"
"343","4294955909","4294902015","4294902015","4292518206","4294902015","4294902015","4291389440","4294902015","4294902015"
"344","4294964741","4280663852","4289085448","4288344576","4278774317","4291065856","4289462079","4278254681","4291063552"
"345","4294966155","4285512447","4291402810","4291401018","4284950405","4281864208","4287892749","4280559422","4279632386"
"346","4294967040","4294967040","4294967040","4294967040","4294967040","4294967040","4294967040","4294967040","4294967040"
"347","4294967295","4279004129","4278215903","4285113323","4281763302","4285376236","4281171684","4284785131","4293522172"
"348","4294967295","4280663852","4289085448","4286611584","4278774317","4291065856","4278190080","4278254681","4291063552"
"349","4294967295","4280663852","4289085448","4290134207","4278774317","4291065856","4284093018","4278254681","4291063552"
"350","4294967295","4292938789","4292804624","4293683818","4293277495","4293684613","4293209389","4293682533","4294765040"
"351","4294967295","4293054948","4292607993","4294963181","4294835197","4294834175","4282691327","4294568445","4290167295"
"352","4294967295","4294967295","4294902015","4286829718","4293716092","4294902015","4278214637","4284103430","4294902015"
"353","0","0","4292991214","0","0","4289959423","0","0","4283115456"
"355","14614405","4294902015","4294902015","1019664958","4294902015","4294902015","13217570","4294902015","4294902015"
"356","517094580","4294902015","4294902015","1023305867","4294902015","4294902015","15438883","4294902015","4294902015"
"441","4278255615","4278255615","4278255615","4286644223","4286644223","4286644223","4294967295","4294967295","4294967295"
"442","4278431489","4279617282","4279717120","4284269824","4283082550","4285437037","4280458240","4284809109","4281335552"
"443","4278653282","0","0","4279381969","0","0","4283732198","0","0"
"444","4280254189","0","0","4284344305","0","0","4289389297","0","0"
"445","4282384384","4294902015","4294902015","4282384384","4294902015","4294902015","4282384384","4294902015","4294902015"
"446","4282713986","0","0","4293796295","0","0","4294286013","0","0"
"447","4286595072","4294902015","4294902015","4286595072","4294902015","4294902015","4286595072","4294902015","4294902015"
"448","4291305759","0","0","4278206544","0","0","4293365903","0","0"
"449","4294901760","4294934656","4294965632","4289664020","4292421158","4292333824","4285988864","4284628542","4286349312"
"450","4294934528","0","0","4294967040","0","0","4294934656","0","0"
"451","4294967295","4294902015","4294902015","4290822336","4294902015","4294902015","4291742975","4294902015","4294902015"
"452","4294967295","4294967295","4294967295","4294967295","4290822336","4290822336","4294967295","4286611584","4286611584"
"453","0","0","0","4278190080","0","0","0","0","0"
"454","9175027","1685061511","3852680","1681574280","841458481","1259354150","889901","505691173","136711"
"461","4285579775","4281030911","4279369983","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080"
"462","4293066608","4279697207","4278219040","4293066608","4279697207","4278219040","4293066608","4279697207","4278219040"
"481","4288910741","4288910741","4288910741","4284696892","4284696892","4284696892","4285291072","4285291072","4285291072"
"482","4289644021","4289644021","4289644021","4287075251","4287075251","4287075251","4287536834","4287536834","4287536834"
"501","4294958160","4294573904","4294836048","4290558464","4290558464","4290558464","4282587136","4282587136","4282587136"
"521","4279089657","4279025401","4279024121","4278878677","4278878677","4278878677","4278743217","4278807729","4278807729"
"541","4294901637","4294901637","4294901637","4294935572","4294935572","4294935572","4288151552","4288151552","4288151552"
"542","4290307583","4290307583","4290307583","4279547135","4279547135","4279547135","4278416604","4278416604","4278416604"
"561","4293456698","4278190080","4278190080","4285051663","4278190080","4278190080","4284033321","4278190080","4278190080"
"562","4294146874","4278190080","4278190080","4289929743","4278190080","4278190080","4284033321","4278190080","4278190080"
"563","4294163770","4278190080","4278190080","4289944890","4278190080","4278190080","4284040489","4278190080","4278190080"
"581","4286119180","4278190080","4278190080","4278221062","4278190080","4278190080","4278799630","4278190080","4278190080"
"582","4294168591","4278190080","4278190080","4292981760","4278190080","4278190080","4289929984","4278190080","4278190080"
"583","4294395151","4278190080","4278190080","4291514624","4278190080","4278190080","4287573772","4278190080","4278190080"
"584","4292854781","4278190080","4278190080","4290083576","4278190080","4278190080","4287245556","4278190080","4278190080"
"585","4291056384","4292172288","4291056384","4292196434","4292460389","4292196434","4293777321","4293777321","4293777321"
"586","4281254912","4278190080","4278190080","4287157584","4278190080","4278190080","4293520809","4278190080","4278190080"
"588","4278241535","4286737919","4280352820","4278241535","4286737919","4280352820","4278241535","4286737919","4280352820"
"596","4294967295","4294967295","4294967295","4278247167","4278247167","4278247167","4278976767","4278976767","4278976767"
"597","4294967295","4294967295","4294967295","4294967295","4294967295","4294967295","4294440704","4294440704","4294440704"
"598","4294967295","4294967295","4294967295","4294930944","4294930944","4294930944","4286447616","4286447616","4286447616"
"599","4279380910","4278190080","4278190080","4279081948","4278190080","4278190080","4280868076","4278190080","4278190080"
"600","4284682926","4278190080","4278190080","4283396087","4278190080","4278190080","4290368236","4278190080","4278190080"
"601","4289602578","4278190080","4278190080","4294414605","4278190080","4278190080","4293711248","4278190080","4278190080"
"602","4289612562","4278190080","4278190080","4294426125","4278190080","4278190080","4293716159","4278190080","4278190080"
"603","4289775099","4278190080","4278190080","4282088431","4278190080","4278190080","4280305606","4278190080","4278190080"
"604","4286116042","4278190080","4278190080","4279871637","4278190080","4278190080","4280329369","4278190080","4278190080"
"605","4282587829","4278190080","4278190080","4280396031","4278190080","4278190080","4294967295","4278190080","4278190080"
"606","4294901760","4278190080","4278190080","4294941184","4278190080","4278190080","4294964602","4278190080","4278190080"
"607","4280999679","4278190080","4278190080","4279524770","4278190080","4278190080","4279644261","4278190080","4278190080"
"608","4294211923","4278190080","4278190080","4291514624","4278190080","4278190080","4285473556","4278190080","4278190080"
"609","4287233296","4278190080","4278190080","4281466128","4278190080","4278190080","4280499021","4278190080","4278190080"
"610","4294277136","4278190080","4278190080","4294774800","4278190080","4278190080","4280499021","4278190080","4278190080"
"611","4282515448","4278190080","4278190080","4279079647","4278190080","4278190080","4280496569","4278190080","4278190080"
"612","4290327775","4278190080","4278190080","4284560101","4278190080","4278190080","4281932749","4278190080","4278190080"
"613","4279138225","4278190080","4278190080","4282098160","4278190080","4278190080","4286791393","4278190080","4278190080"
"614","4291281570","4278190080","4278190080","4288983957","4278190080","4278190080","4282531553","4278190080","4278190080"
"615","4281144219","4282395035","4278190080","4282721758","4281608547","4278190080","4288431795","4280426039","4278190080"
"616","4278229770","4281288519","4278190080","4280201594","4281751364","4278190080","4278954975","4280495153","4278190080"
"617","4290612519","4284166937","4278190080","4290210071","4284761897","4278190080","4290266392","4281869598","4278190080"
"619","4293707639","4278190080","4278190080","4289097497","4278190080","4278190080","4288116512","4278190080","4278190080"
"620","4291638043","4278190080","4278190080","4294796298","4278190080","4278190080","4293700629","4278190080","4278190080"
"621","4287435282","4278190080","4278190080","4294780682","4278190080","4278190080","4293683221","4278190080","4278190080"
"622","4291261975","4278190080","4278190080","4290789377","4278190080","4278190080","4289928461","4278190080","4278190080"
"623","4291276375","4278190080","4278190080","4291267621","4278190080","4278190080","4289362989","4278190080","4278190080"
"624","4279748483","4278190080","4278190080","4278281408","4278190080","4278190080","4279085491","4278190080","4278190080"
"625","4280222720","4291638043","4278190080","4294801191","4294796298","4278190080","4294953369","4293687829","4278190080"
"626","4284095437","4284619725","4278190080","4278855677","4282190589","4278190080","4279626220","4279614700","4278190080"
"627","4280221703","4293466907","4278190080","4288026391","4294773258","4278190080","4294905101","4293661973","4278190080"
"628","4279482809","4278190080","4278190080","4278623940","4278190080","4278190080","4280194251","4278190080","4278190080"
"629","4287801723","4278190080","4278190080","4287733850","4278190080","4278190080","4288321636","4278190080","4278190080"
"630","4291267863","4278190080","4278190080","4290799617","4278190080","4278190080","4289938445","4278190080","4278190080"
"631","4294253824","4278190080","4278190080","4290776839","4278190080","4278190080","4285144840","4278190080","4278190080"
"632","4278253036","4278190080","4278190080","4278226363","4278190080","4278190080","4278600788","4278190080","4278190080"
"633","4293903930","4278190080","4278190080","4291844874","4278190080","4278190080","4290513152","4278190080","4278190080"
"634","4294307789","4278190080","4278190080","4294099456","4278190080","4278190080","4290146822","4278190080","4278190080"
"635","4290132719","4278190080","4278190080","4286992592","4278190080","4278190080","4283834790","4278190080","4278190080"
"636","4293903930","4278190080","4278190080","4291844874","4278190080","4278190080","4290523904","4278190080","4278190080"
"637","4282047727","4278190080","4278190080","4278876880","4278190080","4278190080","4278212796","4278190080","4278190080"
"638","4293694976","4278190080","4278190080","4293219840","4278190080","4278190080","4285734400","4278190080","4278190080"
"639","4278266041","4278190080","4278190080","4280359031","4278190080","4278190080","4279763059","4278190080","4278190080"
"640","4286104300","4278190080","4278190080","4278220773","4278190080","4278190080","4278191475","4278190080","4278190080"
"641","4294958592","4294370327","4282263849","4293165312","4291715329","4286660138","4290969609","4288941325","4291385131"
"642","4291661311","4293203960","4280887626","4286251246","4287693293","4280955013","4281663649","4281339297","4284033965"
"643","4292269782","4286257095","4286610794","4288447387","4283171262","4291414447","4282585676","4279050420","4293583052"
"644","4290183167","4278190080","4278190080","4278255528","4278190080","4278190080","4278290512","4278190080","4278190080"
"645","4294965594","4278190080","4278190080","4294872867","4278190080","4278190080","4287506975","4278190080","4278190080"
"646","4289784831","4278190080","4278190080","4287515135","4278190080","4278190080","4279112086","4278190080","4278190080"
"647","4279743687","4278190080","4278190080","4284203072","4278190080","4278190080","4278234726","4278190080","4278190080"
"648","4293248538","4278190080","4278190080","4291980545","4278190080","4278190080","4289607936","4278190080","4278190080"
"649","4291259415","4278190080","4278190080","4290789377","4278190080","4278190080","4289597440","4278190080","4278190080"
"650","4293691166","4278190080","4278190080","4293545996","4278190080","4278190080","4287179278","4278190080","4278190080"
"651","4288919850","4278190080","4278190080","4282934814","4278190080","4278190080","4280560140","4278190080","4278190080"
"652","4288187378","4278190080","4278190080","4284690652","4278190080","4278190080","4281994889","4278190080","4278190080"
"653","4288373021","4278190080","4278190080","4287767317","4278190080","4278190080","4290210843","4278190080","4278190080"
"654","4284450187","4278190080","4278190080","4286938213","4278190080","4278190080","4287923796","4278190080","4278190080"
"655","4294936631","4278190080","4278190080","4292886027","4278190080","4278190080","4284685076","4278190080","4278190080"
"656","4294500927","4278190080","4278190080","4288861722","4278190080","4278190080","4279479070","4278190080","4278190080"
"657","4290313983","4278190080","4278190080","4280011742","4278190080","4278190080","4279454891","4278190080","4278190080"
"658","4288823807","4278190080","4278190080","4284361189","4278190080","4278190080","4279837321","4278190080","4278190080"
"659","4279618540","4278190080","4278190080","4278880509","4278190080","4278190080","4279966669","4278190080","4278190080"
"663","4286382051","4278190080","4278190080","4278763189","4278190080","4278190080","4278728640","4278190080","4278190080"
"664","4294901689","4278190080","4278190080","4293583644","4278190080","4278190080","4290794250","4278190080","4278190080"
"665","4294639562","4278190080","4278190080","4287097228","4278190080","4278190080","4278742641","4278190080","4278190080"
"666","4294953061","4278190080","4278190080","4291913764","4278190080","4278190080","4287039804","4278190080","4278190080"
"667","4282854019","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080"
"668","4281003640","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080"
"669","4293355562","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080"
"670","4278521124","4278190080","4278190080","4279520126","4278190080","4278190080","4284866009","4278190080","4278190080"
"671","4280550673","4278190080","4278190080","4280222981","4278190080","4278190080","4291628044","4278190080","4278190080"
"672","4280165381","4278190080","4278190080","4281171476","4278190080","4278190080","4292728421","4278190080","4278190080"
"673","4292659812","4278190080","4278190080","4289487662","4278190080","4278190080","4291185680","4278190080","4278190080"
"674","4288928897","4278190080","4278190080","4285905214","4278190080","4278190080","4288924989","4278190080","4278190080"
"675","4288732360","4278190080","4278190080","4282300777","4278190080","4278190080","4284592465","4278190080","4278190080"
"676","4290314240","4278190080","4278190080","4290314240","4278190080","4278190080","4294933760","4278190080","4278190080"
"677","4278780097","4278190080","4278190080","4278780097","4278190080","4278190080","4291166424","4278190080","4278190080"
"678","4290012672","4278190080","4278190080","4290012672","4278190080","4278190080","4294961664","4278190080","4278190080"
"679","4293491490","4278190080","4278190080","4291248408","4278190080","4278190080","4286651393","4278190080","4278190080"
"680","4280467945","4278190080","4278190080","4279794889","4278190080","4278190080","4279794889","4278190080","4278190080"
"681","4280477730","4278190080","4278190080","4278224393","4278190080","4278190080","4278224393","4278190080","4278190080"
"683","4289734912","4278190080","4278190080","4289734912","4278190080","4278190080","4289734912","4278190080","4278190080"
"684","4293382223","4278190080","4278190080","4293382223","4278190080","4278190080","4293382223","4278190080","4278190080"
"685","4289734912","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080"
"686","4283396088","4278190080","4278190080","4283396088","4278190080","4278190080","4283396088","4278190080","4278190080"
"687","4291646218","4278190080","4278190080","4294806794","4278190080","4278190080","4293704725","4278190080","4278190080"
"688","4292049435","4278190080","4278190080","4294796298","4278190080","4278190080","4294037269","4278190080","4278190080"
"689","4289010469","4278190080","4278190080","4291037899","4278190080","4278190080","4288006133","4278190080","4278190080"
"690","4280008051","4278190080","4278190080","4284737802","4278190080","4278190080","4290902293","4278190080","4278190080"
"691","4284226493","4278190080","4278190080","4281577449","4278190080","4278190080","4279628019","4278190080","4278190080"
"692","4294554417","4278190080","4278190080","4294926080","4278190080","4278190080","4293204736","4278190080","4278190080"
"693","4281466875","4278190080","4278190080","4278237951","4278190080","4278190080","4278224639","4278190080","4278190080"
"694","4288937777","4278190080","4278190080","4280549120","4278190080","4278190080","4278255399","4278190080","4278190080"
"695","4292657407","4278190080","4278190080","4288086271","4278190080","4278190080","4288086271","4278190080","4278190080"
"696","4284095381","4278190080","4278190080","4284425966","4278190080","4278190080","4286822380","4278190080","4278190080"
"697","4279008342","4278190080","4278190080","4280660787","4278190080","4278190080","4288867454","4278190080","4278190080"
"698","4279994573","4278190080","4278190080","4278890749","4278190080","4278190080","4278890749","4278190080","4278190080"
"699","4287900431","4278190080","4278190080","4292113696","4278190080","4278190080","4293573376","4278190080","4278190080"
"701","4294307789","4278190080","4278190080","4294104940","4278190080","4278190080","4290932259","4278190080","4278190080"
"703","4294953984","4278190080","4278190080","4293474048","4278190080","4278190080","4288413696","4278190080","4278190080"
"704","4294770432","4278190080","4278190080","4294302803","4278190080","4278190080","4288569600","4278190080","4278190080"
"705","4278213375","4278190080","4278190080","4285677756","4278190080","4278190080","4278386733","4278190080","4278190080"
"706","4283942822","4278190080","4278190080","4278229715","4278190080","4278190080","4278204525","4278190080","4278190080"
"707","4289120087","4278190080","4278190080","4286757895","4278190080","4278190080","4280262455","4278190080","4278190080"
"708","4291277143","4278190080","4278190080","4290546439","4278190080","4278190080","4288629023","4278190080","4278190080"
"709","4279178399","4278190080","4278190080","4278585447","4278190080","4278190080","4279372667","4278190080","4278190080"
"710","4288672271","4278190080","4278190080","4278409481","4278190080","4278190080","4278662920","4278190080","4278190080"
"712","4278216674","4278190080","4278190080","4278190717","4278190080","4278190080","4278190114","4278190080","4278190080"
"713","4293005824","4278190080","4278190080","4286387200","4278190080","4278190080","4280418304","4278190080","4278190080"
"714","4283425280","4278190080","4278190080","4278222082","4278190080","4278190080","4278198786","4278190080","4278190080"
"716","4280868076","4278190080","4278190080","4279081975","4278190080","4278190080","4279380910","4278190080","4278190080"
"723","4283955711","4278190080","4278190080","4278216447","4278190080","4278190080","4278194134","4278190080","4278190080"
"724","4293525294","4278190080","4278190080","4278255360","4278190080","4278190080","4280129792","4278190080","4278190080"
"725","4294959913","4278190080","4278190080","4294924800","4278190080","4278190080","4291895808","4278190080","4278190080"
"726","4279697665","4278190080","4278190080","4280680705","4278190080","4278190080","4294904844","4278190080","4278190080"
"727","4278863309","4278190080","4278190080","4278887677","4278190080","4278190080","4279626220","4278190080","4278190080"
"728","4279125763","4278190080","4278190080","4286053642","4278190080","4278190080","4289260565","4278190080","4278190080"
"729","4287179278","4278190080","4278190080","4293545996","4278190080","4278190080","4293691166","4278190080","4278190080"
"730","4287172110","4278190080","4278190080","4293528588","4278190080","4278190080","4293676318","4278190080","4278190080"
"731","4278232304","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080"
"732","4283105493","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080"
"733","4278243362","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080","4278190080"
"734","4294960486","4278190080","4278190080","4294948966","4278190080","4278190080","4294939415","4278190080","4278190080"
"735","4291362810","4278190080","4278190080","4284278237","4278190080","4278190080","4278206311","4278190080","4278190080"
"736","4293525381","4278190080","4278190080","4288544512","4278190080","4278190080","4278227311","4278190080","4278190080"
"737","4281804511","4278190080","4278190080","4286531251","4278190080","4278190080","4288353168","4278190080","4278190080"
"738","4280682504","4278190080","4278190080","4283236352","4278190080","4278190080","4290910232","4278190080","4278190080"
"739","4282820531","4278190080","4278190080","4280727263","4278190080","4278190080","4279471515","4278190080","4278190080"
"740","4283281613","4278190080","4278190080","4285764586","4278190080","4278190080","4289065958","4278190080","4278190080"
"741","4291725646","4278190080","4278190080","4293579124","4278190080","4278190080","4294173605","4278190080","4278190080"
"742","4279831825","4278190080","4278190080","4280618528","4278190080","4278190080","4286789876","4278190080","4278190080"
"746","4293821507","4278190080","4278190080","4291893786","4278190080","4278190080","4286187049","4278190080","4278190080"
"747","4286447103","4278190080","4278190080","4282362105","4278190080","4278190080","4278806462","4278190080","4278190080"
"748","4294639469","4278190080","4278190080","4285388830","4278190080","4278190080","4278218300","4278190080","4278190080"
"749","4283760500","4278190080","4278190080","4279808413","4278190080","4278190080","4278732099","4278190080","4278190080"
"752","4291634698","4278190080","4278190080","4294786082","4278190080","4278190080","4293687829","4278190080","4278190080"
"753","4278209291","4278190080","4278190080","4278910753","4278190080","4278190080","4290898965","4278190080","4278190080"
"754","4278327341","4278190080","4278190080","4281074787","4278190080","4278190080","4287039386","4278190080","4278190080"
"755","4282714829","4278190080","4278190080","4278886397","4278190080","4278190080","4279621100","4278190080","4278190080"
"759","4294304117","4278190080","4278190080","4294428160","4278190080","4278190080","4291920391","4278190080","4278190080"
"760","4292842784","4278190080","4278190080","4292842784","4278190080","4278190080","4292842784","4278190080","4278190080"
"761","4280345509","4278190080","4278190080","4280345509","4278190080","4278190080","4280345509","4278190080","4278190080"
"762","4287701225","4278190080","4278190080","4287701225","4278190080","4278190080","4287701225","4278190080","4278190080"
"763","4292359712","4278190080","4278190080","4292359712","4278190080","4278190080","4292359712","4278190080","4278190080"
"764","4291362815","4278190080","4278190080","4284807935","4278190080","4278190080","4278192436","4278190080","4278190080"
"767","4291362815","4278190080","4278190080","4285397759","4278190080","4278190080","4278192436","4278190080","4278190080"
"768","4285584484","4278190080","4278190080","4278230885","4278190080","4278190080","4278680671","4278190080","4278190080"
"769","4283942822","4278190080","4278190080","4278697073","4278190080","4278190080","4280239775","4278190080","4278190080"
"770","4287547223","4278190080","4278190080","4290558471","4278190080","4278190080","4288640543","4278190080","4278190080"
"771","4283927751","4278190080","4278190080","4278679228","4278190080","4278190080","4282392479","4278190080","4278190080"
"772","4285524381","4278190080","4278190080","4281530879","4278190080","4278190080","4279647903","4278190080","4278190080"
"773","4292471151","4278190080","4278190080","4288937778","4278190080","4278190080","4279403581","4278190080","4278190080"
"778","4290838272","4278190080","4278190080","4278226206","4278190080","4278190080","4278205235","4278190080","4278190080"
"779","4290380031","4278190080","4278190080","4283302062","4278190080","4278190080","4278194221","4278190080","4278190080"
"780","4286641920","4278190080","4278190080","4278226688","4278190080","4278190080","4278985984","4278190080","4278190080"
"781","4292352256","4278190080","4278190080","4287758336","4278190080","4278190080","4280811520","4278190080","4278190080"
"782","4279765763","4278190080","4278190080","4294836171","4278190080","4278190080","4294967139","4278190080","4278190080"
"783","4279636988","4278190080","4278190080","4294967261","4278190080","4278190080","4294967276","4278190080","4278190080"
"784","4280012185","4287018393","4278190080","4278190080","4285698458","4278190080","4292209685","4289705367","4278190080"
"785","4291638043","4279633411","4278190080","4294796298","4278976537","4278190080","4293700629","4278323481","4278190080"
"788","4294950156","4278190080","4278190080","4292941824","4278190080","4278190080","4287696649","4278190080","4278190080"
"789","4279041268","4278190080","4278190080","4278216936","4278190080","4278190080","4280617359","4278190080","4278190080"
"790","4286969612","4278190080","4278190080","4278247989","4278190080","4278190080","4278819186","4278190080","4278190080"
"791","4285875709","4278190080","4278190080","4286578914","4278190080","4278190080","4286581145","4278190080","4278190080"
"792","4294948365","4278190080","4278190080","4294930957","4278190080","4278190080","4291365386","4278190080","4278190080"
"793","4294098751","4278190080","4278190080","4293229056","4278190080","4278190080","4285859840","4278190080","4278190080"
"794","4290707213","4278190080","4278190080","4278896938","4278190080","4278190080","4278615322","4278190080","4278190080"
"795","4287792114","4278190080","4278190080","4284364193","4278190080","4278190080","4282253473","4278190080","4278190080"
"796","4294958677","4278190080","4278190080","4294930957","4278190080","4278190080","4283040772","4278190080","4278190080"
"797","4278452055","4278190080","4278190080","4280452872","4278190080","4278190080","4279587845","4278190080","4278190080"
"802","4294932748","4278190080","4278190080","4294920704","4278190080","4278190080","4287696649","4278190080","4278190080"
"803","4279023349","4278190080","4278190080","4278219484","4278190080","4278190080","4278790804","4278190080","4278190080"
"804","4292410636","4278190080","4278190080","4287030272","4278190080","4278190080","4280860681","4278190080","4278190080"
"805","4291366136","4278190080","4278190080","4284547314","4278190080","4278190080","4278784654","4278190080","4278190080"
"808","4292657407","4278190080","4278190080","4288086271","4278190080","4278190080","4288020735","4278190080","4278190080"
"810","4291634698","4278190080","4278190080","4294780682","4278190080","4278190080","4293687829","4278190080","4278190080"
"811","4279306867","4278190080","4278190080","4285399220","4278190080","4278190080","4293479423","4278190080","4278190080"
"812","4278910452","4278190080","4278190080","4278889954","4278190080","4278190080","4279585006","4278190080","4278190080"
