Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1,Unknown2,Unknown3,Unknown4_0,Unknown4_1,Unknown4_2,Unknown4_3,Unknown4_4,Unknown4_5,Unknown4_6,Unknown4_7
"37","266.666","-3872","0","663.9445","1121.083","0","51","52","10","52","4","0","0","0"
"38","826.833","-4006.945","0","239.2222","326.5278","0","53","24","10","24","4","0","0","0"
"39","-14352.97","487.6094","0","152.3889","228.5833","0","26","27","409","27","4","0","0","0"
"40","-10324.81","370.416","46.19445","35.52778","76.19444","0","54","27","494","27","4","0","0","0"
"41","-10452","-445.2227","0","130.6111","250.3333","0","55","27","469","27","4","0","0","0"
"42","2597.692","-4303.781","0","1280","1653.139","0","56","37","444","37","4","0","0","0"
"43","2480.499","-3752.557","143","193.3889","281.5556","0","57","37","457","37","4","0","0","0"
"44","572.416","-487.6113","0","261.2222","478.9167","0","427","45","422","45","2","0","0","0"
"45","-2066.75","-1250.861","0","119.7222","674.8333","0","30","45","10","45","4","0","0","0"
"46","3041.859","-3686.057","149.1389","229.75","404.7778","0","59","33","457","33","4","0","0","0"
"47","2705.942","-5475.834","106.5278","182.3333","306.3333","0","57","31","457","31","4","0","0","0"
"48","3851.498","-3427.391","149.1389","426.6667","557.9445","0","60","45","60","45","4","0","0","0"
"49","3858.887","-3242.92","114.5278","62.58333","164.1111","0","61","45","61","45","4","0","0","0"
"50","-8275.695","-1683.223","56.30556","251.6111","339.1389","0","23","45","456","45","4","0","0","0"
"51","-8480.361","548.2773","80.91666","65.63889","84.52778","0","62","24","10","24","4","0","0","0"
"52","-8405.531","620.8887","70.91666","62.63889","89.63889","0","62","24","10","24","4","0","0","0"
"53","2365.055","-873.584","63.91667","262.5556","404.7778","0","40","24","407","24","4","0","0","0"
"54","-13333.33","13866.66","0","2516.25","2647.528","0","12","63","10","63","4","0","0","0"
"55","-1424.945","455.0547","-54.69445","267.8056","347.1389","0","64","13","10","13","4","0","0","0"
"56","-1329.723","555.2773","167.3611","87.52778","142.2222","0","65","66","10","66","4","0","0","0"
"57","-11953.06","-1598","0","306.3333","601.7222","0","67","66","10","66","4","0","0","0"
"58","-3345.141","-2705.945","637.1223","25.40895","25.42431","0","29","13","499","13","4","0","0","0"
"59","-13884.28","12311.58","-202.3611","164.1111","231.6944","0","68","27","10","27","4","0","0","0"
"60","-13913.28","12541.64","-234.3611","149.8056","231.8056","0","69","13","10","13","4","0","0","0"
"61","-4.3125","-1565","176.1389","104.75","154.2778","0","70","71","10","71","4","0","0","0"
"63","-404.834","-3984.361","191.75","218.8056","295.3889","0","72","52","10","52","4","0","0","0"
"64","-10972.95","-2660.334","0","160.0556","251.6111","0","21","45","454","45","4","0","0","0"
"65","-10977.33","-3418.391","47.30556","123.2222","229.75","0","21","45","454","45","4","0","0","0"
"66","-10800.5","-3002.25","27.69444","87.52778","207.8611","0","21","22","454","22","4","0","0","0"
"68","-10078.06","-3217.311","0","153.1667","240.6944","0","16","22","496","22","4","0","0","0"
"69","-11230.64","-2837.781","151.1389","43.75","76.58334","0","74","15","74","15","4","0","0","0"
"70","-15733.33","-15733.33","0","645.4722","940.8611","0","75","15","10","15","4","0","0","0"
"71","-10546.81","-2347.061","112.5278","62.58333","99.47222","0","76","22","465","22","4","0","0","0"
"72","-6779.223","-1643.611","210.1389","382.9167","566","0","77","78","471","78","4","0","0","0"
"73","-6754.223","-830.9727","234.3611","339.1389","506.1389","0","77","24","471","24","4","0","0","0"
"74","-7309.195","-1976.531","352.6111","44.75","98.47222","0","77","24","471","24","4","0","0","0"
"75","-6315.078","-2121.75","279.75","124.8431","240.7019","0","77","24","471","24","4","0","0","0"
"76","-7222.973","-1001.422","404.8333","196.9167","306.3333","0","77","24","471","24","4","0","0","0"
"78","-7607.891","-1821.084","118.9167","240.6944","339.1389","0","23","13","456","13","4","0","0","0"
"79","3364.777","-4174.42","117.5278","124.2222","149.2222","0","80","24","10","24","3","0","0","0"
"80","3427.387","-4879.861","102.9167","240.6944","273.5","0","81","13","10","13","4","0","0","0"
"81","1477.166","-3706.67","85.52778","125.0556","214.0556","0","82","37","444","37","4","0","0","0"
"82","0","0","0","0","0","509","394","391","8","11","3","0","0","0"
"83","0","0","0","0","0","469","85","86","10","11","5","0","0","0"
"84","0","0","0","0","0","269","87","88","10","11","4","0","0","0"
"85","-1866.672","7095.137","0","533.3333","800","269","89","90","89","90","4","0","0","0"
"86","2237.192","786.3604","-44.69445","439.7222","1465.972","269","91","92","91","92","4","0","0","0"
"87","3174.692","447.4375","0","404.7778","459.5","269","93","94","10","11","4","0","0","0"
"88","2973.858","1146.86","32.30556","367.7222","415.7222","269","93","94","10","11","4","0","0","0"
"89","2788.777","1637.61","0","334.1945","384.8333","269","93","94","10","11","4","0","0","0"
"90","2399.999","2109.972","0","317.9167","382.9167","269","93","94","10","11","4","0","0","0"
"91","1779.442","1939.916","0","307.1945","374.0833","269","93","94","10","11","4","0","0","0"
"92","1261.083","1190.86","0","536.0555","601.7222","269","93","94","10","11","4","0","0","0"
"93","1145.86","183.75","0","492.3056","557.9445","269","93","94","10","11","4","0","0","0"
"94","1725.833","-281.3613","0","373.9167","437.6111","269","93","94","10","11","4","0","0","0"
"95","2492.887","-362.2227","0","415.7222","481.3611","269","93","94","10","11","4","0","0","0"
"96","2791.164","21.30469","0","393.8333","470.4167","269","93","95","10","11","4","0","0","0"
"97","0","0","0","0","0","36","96","97","10","11","4","0","0","0"
"98","-9786.67","1573.333","0","640","800","36","98","99","10","11","4","0","0","0"
"99","-245.334","-533.334","0","1408","1792","36","100","101","10","11","4","0","0","0"
"179","0","0","0","0","0","429","175","176","10","11","4","0","0","0"
"180","-10177.92","-804.3613","0","187.9167","213.9167","429","177","178","10","11","4","0","0","0"
"181","17844.14","17667.58","0","281.9722","371.9722","429","179","180","10","11","3","0","0","0"
"182","17452.19","17316.8","0","175.0556","175.0556","429","181","176","10","11","4","0","0","0"
"183","17455.89","17059.64","0","137.2222","180.9722","429","181","176","10","11","4","0","0","0"
"184","17081.64","17422.19","0","197.8611","233.75","429","182","183","10","11","4","0","0","0"
"185","17030.86","17864.14","0","203.9722","214.8611","429","184","183","10","11","4","0","0","0"
"186","17367.8","16611.72","-52.69445","171.9722","187.2222","429","185","186","10","11","4","0","0","0"
"187","3132.083","106.5273","0","722.0555","1104.944","169","187","188","10","11","4","0","0","0"
"188","-2365.059","-1853.695","-106.5278","886.1667","1148.722","169","189","188","10","11","4","0","0","0"
"189","1333.333","1866.666","0","1531.611","2002.056","169","190","188","10","11","4","0","0","0"
"190","-3733.334","3199.998","0","1137.778","1433.167","169","191","188","10","11","4","0","0","0"
"191","0","0","0","0","0","1","192","193","10","193","3","0","0","0"
"193","121.5273","-2406.063","0","16.12431","16.12431","1","196","215","477","215","3","0","0","0"
"194","-1809.975","1069.708","24.30556","460.4476","813.2194","1","198","199","478","199","3","0","0","0"
"195","-8586.611","-4410.5","0","1750.417","2013","1","200","201","420","201","2","0","0","0"
"196","7834.442","-2646.195","744.9722","54.38167","56.18444","1","202","203","482","203","4","0","0","0"
"197","5177.527","958.8047","0","1181.528","1509.75","1","835","193","426","193","4","0","0","0"
"198","-3626.672","-3813.334","317.275","40.58111","53.0975","1","205","206","495","206","4","0","0","0"
"199","7321.411","122.5273","-162.5278","754.8611","1225.306","1","835","207","426","207","4","0","0","0"
"200","10277.33","1295.996","522.6667","1568","2090.667","1","208","209","453","209","4","0","0","0"
"202","-2730.672","-618.6719","330.2861","20.89369","20.89369","1","210","211","449","211","3","0","0","0"
"204","1163.713","-4858.494","297.3107","23.10849","25.87838","1","212","213","451","11","4","0","0","0"
"206","-2066.75","-2237.195","387.1694","19.90003","19.90003","1","214","215","477","215","3","0","0","0"
"207","-3237.881","-1993.766","87.95237","251.0083","438.3979","1","881","195","881","195","3","0","0","0"
"208","2279.805","-1450.563","109.8324","15.13509","15.13509","1","194","195","492","195","4","0","0","0"
"210","3472.996","-3544.223","0","316.0833","743.9445","1","194","216","492","216","4","0","0","0"
"211","-4620.172","-1121.25","0","459.5","614.6389","1","239","240","485","240","3","0","0","0"
"214","4282.637","-1129.25","191.75","481.3611","951.8055","1","218","1029","480","1029","4","0","0","0"
"215","5347.972","-737.334","342.6111","371.9722","634.5278","1","218","1029","480","1029","4","0","0","0"
"216","6200.246","-1512.781","308.2222","722.0555","951.8055","1","218","1029","480","1029","4","0","0","0"
"217","-4708.781","106.5273","779.0139","28.05","30.74583","1","220","221","425","221","4","0","0","0"
"218","1751.442","-3265.695","21.30556","229.8056","361.1389","1","222","223","222","223","4","0","0","0"
"219","9965.609","2463.277","1171.861","367.0833","482.3611","1","224","225","453","225","3","0","0","0"
"220","-3046.861","-1171.473","0","240.6944","361.0278","1","226","980","450","980","3","0","0","0"
"221","1044.027","-3132.084","0","142.2222","252.75","1","227","228","10","228","3","0","0","0"
"223","318.6094","-2194.584","216.3611","131.2778","230.5556","1","229","219","10","219","3","0","0","0"
"224","-72.92188","-594.2813","0","295.3889","640.6389","1","230","207","483","207","4","0","0","0"
"225","1130.246","-140.1406","0","525.1389","711.1111","1","232","213","483","213","4","0","0","0"
"226","750.8799","1799.333","-17.61984","169.3746","295.7318","1","232","233","483","233","4","0","0","0"
"227","1638.61","916.583","-4.694445","437.6111","601.7222","1","234","235","483","235","4","0","0","0"
"228","2578.106","1295.722","0","478.3056","664.2778","1","236","237","483","237","4","0","0","0"
"229","3590.605","1768.442","0","515.3055","1017.445","1","238","193","492","193","4","0","0","0"
"230","-6200.25","-3899.141","0","415.7222","886.1667","1","239","240","485","240","2","0","0","0"
"231","-3657.057","-2596.723","0","150.2222","284.4445","1","205","207","495","207","4","0","0","0"
"232","4859.222","-526.2813","309","103.3889","146.0556","1","241","242","480","242","4","0","0","0"
"233","4818.996","-404.834","387.6111","81.63889","131.2778","1","243","203","480","203","4","0","0","0"
"234","-2705.945","-1427.563","63.91667","109.3889","153.1667","1","210","244","449","244","3","0","0","0"
"235","1555.387","-2906.422","191.75","159.1667","180.0556","1","222","223","222","223","4","0","0","0"
"239","1903.692","-4325.25","278.503","13.67187","15.24144","1","910","215","910","215","4","0","0","0"
"240","-4964.473","2820.552","0","776.75","1094.028","1","248","207","425","207","4","0","0","0"
"241","-3217.313","2194.583","-277","689.2222","875.2222","1","249","219","425","219","4","0","0","0"
"242","-6583.781","-5390.584","0","539","798.6389","1","200","219","420","219","2","0","0","0"
"243","-7350.807","-3046.861","0","393.8333","590.7778","1","200","250","420","250","2","0","0","0"
"244","-6451.922","-2729.563","0","470.4167","579.8333","1","200","251","420","251","2","0","0","0"
"245","-8842.281","-2620.723","0","415.7222","711.1111","1","200","201","420","201","2","0","0","0"
"246","-245.1406","1105.666","-1.444444E-05","381.6647","804.8406","1","198","199","478","199","3","0","0","0"
"247","3525.543","-6113.584","443.3966","17.20451","17.20451","1","246","207","458","207","4","0","0","0"
"248","-7342.422","-1321.723","-63.91667","984.6111","1255.417","1","252","207","411","207","4","0","0","0"
"249","-7222.973","1233.277","0","25.92714","34.85445","1","253","207","408","207","3","0","0","0"
"250","-6157.641","3472.996","0","897.0833","1334.694","1","254","207","425","207","4","0","0","0"
"252","-8515.361","-3057.861","0","35.75","75.52778","1","200","250","420","250","2","0","0","0"
"253","-3780.223","-4426","26.70183","267.3939","384.3472","1","256","257","495","257","4","0","0","0"
"254","2251.192","275","121.5278","169.9722","252.5556","1","258","259","492","259","4","0","0","0"
"255","-6752.611","-1380.945","-277","448.5556","787.6945","1","419","251","417","251","4","0","0","0"
"256","-7633.5","-2023.141","-277","246.6111","479.3056","1","252","207","411","207","4","0","0","0"
"257","-7734.334","-956.4219","-277","254.3889","459.5","1","252","207","411","207","4","0","0","0"
"259","6998.333","-4154.807","1070.828","36.51056","38.43334","1","262","263","424","263","2","0","0","0"
"267","-3771.281","3302.527","0","328.1945","426.6667","1","248","207","425","207","4","0","0","0"
"268","-3903.361","1873.692","0","266.6945","404.7778","1","249","219","425","219","4","0","0","0"
"269","9353.639","490.0547","-106.5278","787.6945","1214.361","1","268","213","453","213","4","0","0","0"
"270","4661.42","-4422.896","893.1721","368.4594","468.5","1","876","952","876","952","2","0","0","0"
"271","16257","16299.64","-404.8333","623.5833","864.2778","1","270","213","10","11","4","0","0","0"
"272","4223.161","-3947.578","970.5382","256.323","360.1389","1","876","952","876","952","2","0","0","0"
"273","29.30469","-1938.922","63.91667","119.4722","185.9722","1","272","960","10","960","3","0","0","0"
"274","-1265.783","-2998.234","76.01395","120.3333","240.6944","1","272","960","10","960","3","0","0","0"
"275","-1050.641","-2106.75","73.91666","118.3889","223.8611","1","272","960","10","960","3","0","0","0"
"276","-4495.723","-2109.361","21.30556","175.0556","240.6944","1","273","274","10","274","3","0","0","0"
"277","-4726.391","-2480.281","57.30556","175.0556","256.5556","1","275","263","10","263","3","0","0","0"
"278","-6419.307","-233.3613","0","196.9167","306.3333","1","253","207","408","207","3","0","0","0"
"279","-6418.922","-699.1113","-191.75","164.1111","306.3333","1","252","207","411","207","4","0","0","0"
"281","-4708.781","-2224.973","71.91666","46.69445","76.52778","1","275","271","10","271","3","0","0","0"
"282","-6954.281","-2068.75","-280.6111","127.4722","196.9167","1","252","276","411","276","4","0","0","0"
"283","-7043.141","-1772.445","-281","157.1111","229.75","1","252","259","411","259","4","0","0","0"
"284","-6850.057","-1471.172","-282","125.2778","176.9722","1","252","257","411","257","4","0","0","0"
"285","-6932.672","-1281.723","-274","17.88889","56.63889","1","252","216","411","216","4","0","0","0"
"286","-6999.922","-1090.641","-291.6111","128.2778","175.0556","1","252","277","411","277","4","0","0","0"
"287","-6716.223","-1037.031","-287","109.3889","153.1667","1","252","257","411","257","4","0","0","0"
"288","-6626.391","-883.584","-288.2222","71.47222","119.2778","1","252","257","411","257","4","0","0","0"
"289","8075.247","-1335.334","-149.1389","371.9722","875.2222","1","204","257","426","257","4","0","0","0"
"290","5944.553","-745.7227","319.6111","196.9167","350.0833","1","218","257","480","257","4","0","0","0"
"291","4495.722","-490.0625","277","120.3333","350.0833","1","218","1029","480","1029","4","0","0","0"
"292","191.75","1254.083","182.1389","103.4722","187.4722","1","278","257","10","257","3","0","0","0"
"293","-144.1406","736.7217","79.91666","120.3333","210.6944","1","279","257","10","257","3","0","0","0"
"295","2077.749","-277","63.91667","164.1111","284.4445","1","281","282","492","282","4","0","0","0"
"296","2432.666","-3310.922","106.5278","258.75","332.1945","1","283","282","492","282","4","0","0","0"
"297","191.75","1853.692","77.91666","131.2778","295.3889","1","284","285","478","285","3","0","0","0"
"298","-2207.584","2451.277","106.5278","197.8611","355.9722","1","284","223","478","223","3","0","0","0"
"299","3259.911","-490.0625","63.91667","184.0556","339.1389","1","286","219","492","219","4","0","0","0"
"300","3728.661","-94.53125","0","252.75","450.6667","1","287","219","492","219","4","0","0","0"
"302","4770.739","-4910.602","883.2278","175.6425","205.3278","1","876","206","876","206","2","0","0","0"
"303","5708.887","-4870.223","805.9722","30.83333","84.47222","1","288","206","424","206","2","0","0","0"
"304","5603.664","-4994.473","855.5833","98.47222","153.1667","1","288","206","424","206","2","0","0","0"
"305","-1931.313","655.5","136.1389","157.1667","194.9167","1","289","193","10","193","3","0","0","0"
"306","-1267.084","2677.942","63.30556","295.3889","425.6667","1","290","193","478","193","3","0","0","0"
"307","-1901.922","1896.305","40.30556","153.1667","262.5556","1","291","203","10","203","3","0","0","0"
"308","-6078.031","1743.833","6.694445","295.3889","371.9722","1","292","293","408","293","4","0","0","0"
"309","63.91602","2663.333","-9.694445","218.8056","350.0833","1","294","271","478","271","3","0","0","0"
"310","543.375","584.8887","103.5278","140.8731","206.6723","1","865","207","865","207","4","0","0","0"
"311","973.8047","956.8047","81.91666","144.2222","224.9167","1","230","207","483","207","4","0","0","0"
"312","2936.027","-3251.922","120.5278","150.2778","177.2778","1","295","206","492","206","4","0","0","0"
"313","2605.106","527.666","50.30556","156.1111","262.6111","1","295","195","295","195","4","0","0","0"
"315","-6751.223","1614.996","11.30556","66.63889","87.52778","1","296","207","408","207","3","0","0","0"
"316","-6990.281","1164.86","0","57.63889","76.58334","1","296","207","408","207","3","0","0","0"
"317","-7949.781","1917.916","-3.694444","125.2778","153.1667","1","296","207","408","207","3","0","0","0"
"318","0","0","0","0","0","44","297","298","10","11","4","0","0","0"
"319","0","0","0","0","0","189","299","300","10","11","4","0","0","0"
"320","0","0","0","0","0","249","301","302","10","11","4","0","0","0"
"321","0","0","0","0","0","30","303","304","10","304","2","0","0","0"
"322","3132.083","106.5273","0","722.0555","1104.944","37","305","306","10","11","4","0","0","0"
"323","3132.083","106.5273","0","722.0555","1104.944","489","307","308","10","11","4","0","0","0"
"324","1455.305","1477.387","267.6111","212.8056","288.3889","489","307","308","10","11","4","0","0","0"
"325","931.3604","1460.387","312.6111","214.8056","295.3889","489","309","310","10","11","3","0","0","0"
"326","0","0","0","0","0","529","311","312","10","11","4","0","0","0"
"327","945.0547","945.0547","0","787.6945","1066.667","529","313","314","10","11","4","0","0","0"
"328","3132.083","106.5273","0","722.0555","1104.944","129","315","316","10","11","4","0","0","0"
"329","2133.333","1066.666","0","1066.667","1600","129","317","316","10","11","4","0","0","0"
"330","0","0","0","0","0","47","318","319","10","11","4","0","0","0"
"331","-9786.67","1573.333","0","640","800","47","318","319","10","11","4","0","0","0"
"332","-245.334","-533.334","0","1408","1792","47","318","319","10","11","4","0","0","0"
"333","0","0","0","0","0","289","320","321","10","11","4","0","0","0"
"334","-1866.672","7095.137","0","533.3333","800","289","322","323","10","11","4","0","0","0"
"335","106.5273","106.5273","-44.69445","1072.139","1072.139","289","324","325","10","11","4","0","0","0"
"336","266.666","-3872","0","663.9445","1121.083","33","326","327","10","11","4","0","0","0"
"337","-63.92188","1981.527","0","1247.167","1333.333","33","328","329","10","11","4","0","0","0"
"338","0","0","0","0","0","35","330","331","10","11","4","0","0","0"
"339","-9786.67","1573.333","0","640","800","35","332","333","10","11","4","0","0","0"
"340","-245.334","-533.334","0","1408","1792","35","334","335","10","11","4","0","0","0"
"341","0","0","0","0","0","329","336","337","10","11","4","0","0","0"
"342","-1866.672","7095.137","0","533.3333","800","329","338","339","10","11","4","0","0","0"
"343","-11953.06","-1896.313","-44.69445","1641.028","2417.778","329","340","341","10","11","4","0","0","0"
"344","3132.083","106.5273","0","722.0555","1104.944","209","342","343","10","11","4","0","0","0"
"345","1768.442","1086.637","0","533.3333","765.8055","209","344","345","10","11","4","0","0","0"
"346","0","0","0","0","0","13","346","347","10","11","4","0","0","0"
"347","-10688","10.66602","0","512","576","13","348","349","10","11","4","0","0","0"
"348","-10304","-2821.334","0","480","560","13","350","349","10","11","4","0","0","0"
"349","-5333.334","-3386.67","0","720","800","13","351","349","10","11","4","0","0","0"
"350","-10053.33","1333.333","0","453.3333","546.6667","13","352","349","10","11","4","0","0","0"
"351","-10464","-1930.672","160","298.6667","362.6667","13","353","349","10","11","4","0","0","0"
"352","-11594.67","-2997.334","0","480","608","13","354","349","10","11","4","0","0","0"
"353","1386.666","-1546.672","21.33333","437.3333","490.6667","13","355","349","10","11","4","0","0","0"
"354","-7370.672","-1066.672","0","1024","1120","13","356","349","10","11","4","0","0","0"
"355","-10666.67","1189.333","0","512","608","13","357","349","10","11","4","0","0","0"
"356","-13333.33","0","0","1770.667","2005.333","13","358","349","10","11","4","0","0","0"
"357","-10666.67","-1066.672","0","490.6667","597.3333","13","359","349","10","11","4","0","0","0"
"358","-10666.67","-533.334","0","512","618.6667","13","359","349","10","11","4","0","0","0"
"359","-5600","-1733.334","528","528","688","13","360","349","10","11","4","0","0","0"
"360","-6933.334","-2666.67","256","586.6667","682.6667","13","361","349","10","11","4","0","0","0"
"361","-3818.67","-1920","0","640","1706.667","13","362","349","10","11","4","0","0","0"
"362","-2133.334","-2666.67","0","554.6667","640","13","363","349","10","11","4","0","0","0"
"363","-533.334","-533.334","0","490.6667","533.3333","13","364","349","10","11","4","0","0","0"
"364","-234.6719","1237.333","96","405.3333","512","13","365","349","10","11","4","0","0","0"
"365","0","0","0","0","0","309","366","367","10","11","4","0","0","0"
"366","-1866.672","7095.137","0","533.3333","800","309","368","369","10","11","4","0","0","0"
"367","-11953.06","-1896.313","-44.69445","1641.028","2417.778","309","370","371","10","11","4","0","0","0"
"368","-11545.58","-1291.945","51.30556","126.2778","155.1667","309","372","371","10","11","4","0","0","0"
"369","-11792.75","-1653.195","13.30556","101.5278","138.2778","309","373","371","10","11","4","0","0","0"
"370","-11771.06","-1513.111","37.30556","38.83333","72.63889","309","373","371","10","11","4","0","0","0"
"371","-11892.14","-1877.672","65.91666","51.75","65.69444","309","374","375","10","11","4","0","0","0"
"372","-11953.83","-1865.672","53.91667","36.83333","52.69445","309","374","376","10","11","4","0","0","0"
"374","0","0","0","0","0","530","379","380","503","380","2","0","0","0"
"377","-213","3958.521","28.99505","1175.117","1284.192","530","384","385","384","11","3","0","0","0"
"378","7851.842","-7541.922","139.9986","317.0358","438.0601","530","399","383","399","383","4","0","0","0"
"379","0","0","0","0","0","532","386","387","10","11","4","0","0","0"
"415","0","0","0","479.6042","837.262","531","394","392","394","392","3","0","0","0"
"439","8125.692","-6178.016","27.40438","129.1148","267.3145","530","399","383","399","383","3","0","0","0"
"443","6098.927","-6401.971","37.36598","1888.663","2028.719","530","399","383","399","383","4","0","0","0"
"450","6336.849","-6281.844","73.99802","424.0648","517.7297","530","433","9","407","11","3","0","0","0"
"451","-3365.375","4944.59","-104.2532","593.3468","767.8757","530","500","9","500","11","3","0","0","0"
"453","-1904.203","-10874.86","50.33857","179.0146","298.4264","530","488","505","488","505","3","0","0","0"
"454","-5119.486","-12664.14","12.75024","2094.178","2483.627","530","460","439","502","439","3","0","0","0"
"455","2733.465","6418.396","85.21146","17.34302","24.32976","530","438","9","438","11","3","0","0","0"
"458","-1829","5247.809","-46.05829","196.7734","255.5826","530","435","441","435","441","3","0","0","0"
"460","197.1348","6433.817","22.86285","61.98107","91.624","530","432","506","432","506","3","0","0","0"
"465","8242.403","-6396.609","78.35281","111.8726","219.2881","530","399","383","399","383","3","0","0","0"
"466","7785.388","-6849.928","69.99042","233.146","410.5117","530","399","383","399","383","4","0","0","0"
"467","9689.498","-6714.133","1.026688","286.7343","369.6256","530","442","380","442","380","3","0","0","0"
"468","164.0313","3512.771","59.95896","136.1698","185.1957","530","446","518","446","518","3","0","0","0"
"469","411.7031","3447.161","62.62771","151.989","220.0922","530","446","518","446","518","3","0","0","0"
"470","9498.121","-6865.58","16.22051","177.7783","248.5195","530","442","380","442","380","3","0","0","0"
"471","9963.34","-6862.66","16.10777","140.5473","192.957","530","442","380","442","380","3","0","0","0"
"472","6859.105","-9106.781","165.7681","437.3611","701.1444","530","448","383","448","383","3","0","0","0"
"474","6339.605","-6524.057","97.48174","183.6303","183.6303","530","433","9","407","11","3","0","0","0"
"493","0","0","0","45.26772","95.80544","543","384","385","384","11","3","0","0","0"
"496","-1400.844","-11609.15","11.62889","1314.027","1658.971","530","487","505","488","486","3","0","0","0"
"498","-2392.672","-12014.55","27.3977","189.2634","274.5811","530","436","505","488","486","3","0","0","0"
"500","3519.083","6896.255","142.1189","449.4136","571.5196","530","504","9","504","11","3","0","0","0"
"501","-1542.266","-11138.91","73.98804","103.4553","200.6113","530","488","505","488","505","3","0","0","0"
"502","3672.13","2297.637","15.47884","104.1345","131.7717","530","508","553","508","553","3","0","0","0"
"503","1884.449","6018.387","139.8339","225.7383","290.1594","530","504","9","504","11","3","0","0","0"
"504","-2917.484","6419.668","82.34263","100.737","166.8176","530","510","491","510","491","3","0","0","0"
"505","7899.052","-5849.75","-3.487963","287.0097","364.8735","530","399","383","399","383","3","0","0","0"
"506","3220.88","5417.958","137.615","204.3178","264.9524","530","504","441","504","441","3","0","0","0"
"507","2952.55","5534.958","146.2234","204.3178","264.9524","530","504","441","504","441","3","0","0","0"
"509","2311.824","6024.512","147.5597","228.3485","317.819","530","504","9","504","11","3","0","0","0"
"510","1948.197","6868.036","161.5773","202.5931","339.2351","530","525","225","525","225","3","0","0","0"
"515","0","0","0","28948.28","28948.28","553","521","9","521","11","3","0","0","0"
"519","-3823.807","992.2461","93.51723","32.83861","32.83861","530","513","526","513","526","3","0","0","0"
"526","-62.7207","8692.575","18.46467","158.5887","249.713","530","516","506","516","506","3","0","0","0"
"527","-54.38281","8842.911","20.87804","158.5887","256.8415","530","516","506","516","506","3","0","0","0"
"539","-1079.984","7004.98","-8.919703","227.644","309.1459","530","396","491","396","491","3","0","0","0"
"540","-1819.256","9260.42","70.37464","152.3654","208.675","530","555","519","555","519","3","0","0","0"
"541","-1279.719","9005.875","-11.82967","130.616","220.2324","530","555","519","555","519","3","0","0","0"
"542","-1107.125","9115.945","72.90302","82.46922","104.16","530","555","519","555","519","3","0","0","0"
