Id,X,Y,Z,Unknown,Name,Map
"1051","-3942.589","3686.287","286.7603","0","Terokkar Forest, Skettis GY","530"
"1052","-2652.662","1484.209","23.24333","0","Shadowmoon, Corpse Location 005","530"
"1053","-2477.686","1386.238","47.26426","0","Shadowmoon, Corpse Location 006","530"
"1054","-2459.082","1277.568","33.36959","0","Shadowmoon, Corpse Location 007","530"
"1055","-2464.278","1074.655","33.70033","0","Shadowmoon, Corpse Location 008","530"
"1056","-2597.449","1040.724","40.00664","0","Shadowmoon, Corpse Location 009","530"
"1057","-2753.667","966.1463","-3.373643","0","Shadowmoon, Corpse Location 010","530"
"1058","-2721.158","711.0336","-21.30142","0","Shadowmoon, Corpse Location 011","530"
"1059","-2752.543","509.309","-25.6439","0","Shadowmoon, Corpse Location 012","530"
"1060","-3004.488","482.0506","-15.39617","0","Shadowmoon, Corpse Location 013","530"
"1061","-2997.384","207.5794","3.166604","0","Shadowmoon, Corpse Location 014","530"
"1062","-4084.617","120.5132","63.0947","0","Shadowmoon, Corpse Location 015","530"
"1063","-4231.622","58.62674","7.603757","0","Shadowmoon, Corpse Location 016","530"
"1064","-4445.808","224.8442","93.54214","0","Shadowmoon, Corpse Location 017","530"
"1065","-4507.595","553.553","124.2585","0","Shadowmoon, Corpse Location 018","530"
"1066","-4445.426","863.5579","6.451982","0","Shadowmoon, Corpse Location 019","530"
"1067","-4791.516","1082.184","-8.866979","0","Shadowmoon, Corpse Location 020","530"
"1068","-4618.168","1850.606","153.4386","0","Shadowmoon, Corpse Location 021","530"
"1069","-4568.143","2023.798","90.06275","0","Shadowmoon, Corpse Location 022","530"
"1070","-4541.319","2281.759","17.79532","0","Shadowmoon, Corpse Location 023","530"
"1071","-4408.892","2328.78","31.21297","0","Shadowmoon, Corpse Location 024","530"
"1072","1932.998","7389.176","364.8876","0","Blade's Edge, Corpse Location 000","530"
"1073","2356.31","7345.093","363.3094","0","Blade's Edge, Corpse Location 001","530"
"1074","2818.311","7269.72","364.234","0","Blade's Edge, Corpse Location 002","530"
"1075","3199.991","7264.964","146.6597","0","Blade's Edge, Corpse Location 003","530"
"1076","3432.887","7312.378","138.6475","0","Blade's Edge, Corpse Location 004","530"
"1077","3753.245","7118.026","141.1424","0","Blade's Edge, Corpse Location 005","530"
"1078","3797.193","6900.236","142.4289","0","Blade's Edge, Corpse Location 006","530"
"1079","3839.148","6586.807","135.0938","0","Blade's Edge, Corpse Location 007","530"
"1080","3482.779","6487.127","134.426","0","Blade's Edge, Corpse Location 008","530"
"1081","3656.614","6208.107","272.7013","0","Blade's Edge, Corpse Location 009","530"
"1082","3995.325","6092.064","262.3427","0","Blade's Edge, Corpse Location 010","530"
"1083","4095.108","5811.886","259.7625","0","Blade's Edge, Corpse Location 011","530"
"1084","4153.549","5508.917","272.1116","0","Blade's Edge, Corpse Location 012","530"
"1085","4120.706","5214.146","264.9877","0","Blade's Edge, Corpse Location 013","530"
"1086","4086.354","4849.898","267.429","0","Blade's Edge, Corpse Location 014","530"
"1087","3926.204","4825.278","264.9824","0","Blade's Edge, Corpse Location 015","530"
"1088","3731.115","4738.445","240.9427","0","Blade's Edge, Corpse Location 016","530"
"1089","3455.314","4468.35","154.243","0","Blade's Edge, Corpse Location 017","530"
"1090","3323.599","4503.877","152.4047","0","Blade's Edge, Corpse Location 018","530"
"1091","2877.525","4738.905","278.7247","0","Blade's Edge, Corpse Location 019","530"
"1092","2653.003","5100.261","275.4593","0","Blade's Edge, Corpse Location 020","530"
"1093","2344.619","5072.5","268.1646","0","Blade's Edge, Corpse Location 021","530"
"1094","2251.085","4907.941","140.9575","0","Blade's Edge, Corpse Location 022","530"
"1095","2274.353","4725.426","159.4515","0","Blade's Edge, Corpse Location 023","530"
"1096","2102.656","4685.081","139.9528","0","Blade's Edge, Corpse Location 024","530"
"1097","1914.582","4677.853","133.2797","0","Blade's Edge, Corpse Location 025","530"
"1098","1771.943","4585.165","144.923","0","Blade's Edge, Corpse Location 026","530"
"1099","1621.036","4563.139","137.2652","0","Blade's Edge, Corpse Location 027","530"
"1100","1606.357","4792.579","138.085","0","Blade's Edge, Corpse Location 028","530"
"1101","1596.314","4948.648","169.6685","0","Blade's Edge, Corpse Location 029","530"
"1102","1616.903","5077.052","174.7611","0","Blade's Edge, Corpse Location 030","530"
"1103","2523.756","1596.13","1247.7","180","Netherstorm BG - Graveyard (Alliance Start)","566"
"1104","1803.021","1539.967","1249.189","0","Netherstorm BG - Graveyard (Horde Start)","566"
"1105","2013.062","1677.238","1182.126","340","Netherstorm BG - Graveyard (Felreaver)","566"
"1106","2012.403","1455.412","1172.202","65","Netherstorm BG - Graveyard (BE Tower)","566"
"1107","2351.22","1455.63","1185.33","270","Netherstorm BG - Graveyard (Draenei Tower)","566"
"1108","2355.298","1683.714","1173.154","225","Netherstorm BG - Graveyard (Human Tower)","566"
"1109","2626.898","1457.847","1225.536","180","Netherstorm BG - Corpse Catcher 000","566"
"1110","2603.99","1695.964","1229.464","180","Netherstorm BG - Corpse Catcher 001","566"
"1111","2495.96","1402.39","1204.588","180","Netherstorm BG - Corpse Catcher 002","566"
"1112","2541.247","1787.237","1187.976","180","Netherstorm BG - Corpse Catcher 003","566"
"1113","2353.734","1336.662","1192.144","180","Netherstorm BG - Corpse Catcher 004","566"
"1114","2368.347","1800.785","1166.335","180","Netherstorm BG - Corpse Catcher 005","566"
"1115","2253.473","1298.661","1188.844","180","Netherstorm BG - Corpse Catcher 006","566"
"1116","2227.599","1819.579","1151.61","180","Netherstorm BG - Corpse Catcher 007","566"
"1117","2047.889","1324.838","1170.765","180","Netherstorm BG - Corpse Catcher 008","566"
"1118","2057.311","1848.257","1192.269","180","Netherstorm BG - Corpse Catcher 009","566"
"1119","1914.77","1381.502","1175.387","180","Netherstorm BG - Corpse Catcher 010","566"
"1120","1918.943","1766.295","1194.124","180","Netherstorm BG - Corpse Catcher 011","566"
"1121","1796.215","1341.522","1188.567","180","Netherstorm BG - Corpse Catcher 012","566"
"1122","1808.187","1726.816","1206.021","180","Netherstorm BG - Corpse Catcher 013","566"
"1123","1724.505","1405.741","1208.55","180","Netherstorm BG - Corpse Catcher 014","566"
"1124","1692.782","1672.565","1225.528","180","Netherstorm BG - Corpse Catcher 015","566"
