Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2,Unknown3
"407","0","0","4157","3260","119"
"408","0","0","4158","2251","120"
"409","0","0","4158","2258","120"
"410","0","0","4157","2259","120"
"411","0","0","4159","2260","120"
"412","0","0","4158","3259","120"
"413","0","0","4157","3260","120"
"414","0","0","4169","2254","9"
"415","0","0","4169","2262","9"
"416","0","0","4168","2263","9"
"417","0","0","4169","3262","9"
"418","0","0","4189","2254","10"
"419","0","0","4189","2262","10"
"420","0","0","4188","2263","10"
"421","0","0","4189","3262","10"
"422","0","0","4143","2254","8"
"423","0","0","4143","2262","8"
"424","0","0","4142","2263","8"
"425","0","0","4143","3262","8"
"426","0","0","4145","2261","24"
"427","0","0","4144","2264","24"
"428","0","0","4145","3261","24"
"429","0","0","4171","2261","25"
"430","0","0","4170","2264","25"
"431","0","0","4171","3261","25"
"432","0","0","4191","2261","133"
"433","0","0","4190","2264","133"
"434","0","0","4191","3261","133"
"435","-0.005","0.01","4147","2254","26"
"436","-0.005","0.01","4147","2262","26"
"437","-0.0015","-0.005","4146","2263","26"
"438","-0.005","0.01","4147","3262","26"
"439","0","0","4173","2254","27"
"440","0","0","4173","2262","27"
"441","0","0","4172","2263","27"
"442","0","0","4173","3262","27"
"443","0","0","4193","2254","28"
"444","-0.006","-0.0005","4193","2262","28"
"445","-0.002","-0.013","4192","2263","28"
"446","0","0","4193","3262","28"
"447","0","0","4158","2251","60"
"448","0","0","4158","2258","60"
"449","0","0","4157","2259","60"
"450","0","0","4159","2260","60"
"451","0","0","4158","3259","60"
"452","0","0","4157","3260","60"
"453","0","0","4158","2251","117"
"454","0","0","4158","2258","117"
"455","0","0","4157","2259","117"
"456","0","0","4159","2260","117"
"457","0","0","4158","3259","117"
"458","0","0","4157","3260","117"
"459","0","0","4158","2251","118"
"460","0","0","4158","2258","118"
"461","0","0","4157","2259","118"
"462","0","0","4159","2260","118"
"463","0","0","4158","3259","118"
"464","0","0","4157","3260","118"
"465","0","0","4158","2251","93"
"466","0","0","4158","2258","93"
"467","0","0","4157","2259","93"
"468","0","0","4159","2260","93"
"469","0","0","4158","3259","93"
"470","0","0","4157","3260","93"
"471","0","0","4158","2251","125"
"472","0","0","4158","2258","125"
"473","0","0","4157","2259","125"
"474","0","0","4159","2260","125"
"475","0","0","4158","3259","125"
"476","0","0","4157","3260","125"
"477","0","0","4158","2251","126"
"478","0","0","4158","2258","126"
"479","0","0","4157","2259","126"
"480","0","0","4159","2260","126"
"481","0","0","4158","3259","126"
"482","0","0","4157","3260","126"
"483","0","0","4158","2251","91"
"484","0","0","4158","2258","91"
"485","0","0","4157","2259","91"
"486","0","0","4159","2260","91"
"487","0","0","4158","3259","91"
"488","0","0","4157","3260","91"
"489","0","0","4158","2251","123"
"490","0","0","4158","2258","123"
"491","0","0","4157","2259","123"
"492","0","0","4159","2260","123"
"493","0","0","4158","3259","123"
"494","0","0","4157","3260","123"
"495","0","0","4158","2251","124"
"496","0","0","4158","2258","124"
"497","0","0","4157","2259","124"
"498","0","0","4159","2260","124"
"499","0","0","4158","3259","124"
"500","0","0","4157","3260","124"
"501","0","0","4149","2267","64"
"502","0","0","4149","3265","64"
"503","0","0","4149","2267","134"
"504","0","0","4149","3265","134"
"505","0","0","4149","2267","135"
"506","0","0","4149","3265","135"
"507","0","0","4148","2266","29"
"508","0","0","4148","3264","29"
"509","0","0","4148","2266","136"
"510","0","0","4148","3264","136"
"511","0","0","4148","2266","137"
"512","0","0","4148","3264","137"
"513","0","0","4151","2261","34"
"514","0","0","4150","2264","34"
"515","0","0","4151","3261","34"
"516","0","0","4175","2261","35"
"517","0","0","4174","2264","35"
"518","0","0","4175","3261","35"
"519","0","0","4195","2261","36"
"520","0","0","4194","2264","36"
"521","0","0","4195","3261","36"
"522","0","0","4158","2251","95"
"523","0","0","4158","2258","95"
"524","0","0","4157","2259","95"
"525","0","0","4159","2260","95"
"526","0","0","4158","2251","129"
"527","0","0","4158","2258","129"
"528","0","0","4157","2259","129"
"529","0","0","4159","2260","129"
"530","0","0","4158","3259","129"
"531","0","0","4157","3260","129"
"532","0","0","4158","2251","130"
"533","0","0","4158","2258","130"
"534","0","0","4157","2259","130"
"535","0","0","4159","2260","130"
"536","0","0","4158","3259","130"
"537","0","0","4157","3260","130"
"538","0","0","4158","2251","96"
"539","0","0","4158","2258","96"
"540","0","0","4157","2259","96"
"541","0","0","4159","2260","96"
"542","0","0","4158","3259","96"
"543","0","0","4157","3260","96"
"544","0","0","4158","2251","131"
"545","0","0","4158","2258","131"
"546","0","0","4157","2259","131"
"547","0","0","4159","2260","131"
"548","0","0","4158","3259","131"
"549","0","0","4157","3260","131"
"550","0","0","4158","2251","132"
"551","0","0","4158","2258","132"
"552","0","0","4157","2259","132"
"553","0","0","4159","2260","132"
"554","0","0","4158","3259","132"
"555","0","0","4157","3260","132"
"556","0","0","4158","2251","90"
"557","0","0","4158","2258","90"
"558","0","0","4157","2259","90"
"559","0","0","4159","2260","90"
"560","0","0","4158","3259","90"
"561","0","0","4157","3260","90"
"562","0","0","4158","2251","121"
"563","0","0","4158","2258","121"
"564","0","0","4157","2259","121"
"565","0","0","4159","2260","121"
"566","0","0","4158","3259","121"
"567","0","0","4157","3260","121"
"568","0","0","4158","2251","122"
"569","0","0","4158","2258","122"
"570","0","0","4157","2259","122"
"571","0","0","4159","2260","122"
"572","0","0","4158","3259","122"
"573","0","0","4157","3260","122"
"574","0","0","4153","2261","40"
"575","0","0","4152","2264","40"
"576","0","0","4153","3261","40"
"577","0","0","4177","2261","41"
"578","0","0","4176","2264","41"
"579","0","0","4177","3261","41"
"580","0","0","4197","2261","138"
"581","0","0","4196","2264","138"
"582","0","0","4197","3261","138"
"583","0","0","4155","2254","37"
"584","0","0","4155","2262","37"
"585","0","0","4154","2263","37"
"586","0","0","4155","3262","37"
"587","0","0","4179","2254","38"
"588","0","0","4179","2262","38"
"589","0","0","4178","2263","38"
"590","0","0","4179","3262","38"
"591","0","0","4199","2254","39"
"592","0","0","4199","2262","39"
"593","0","0","4198","2263","39"
"594","0","0","4199","3262","39"
"601","0","0","4158","2251","52"
"602","0","0","4158","2258","52"
"603","0","0","4157","2259","52"
"604","0","0","4159","2260","52"
"605","0","0","4158","3259","52"
"606","0","0","4157","3260","52"
"607","0","0","4158","2251","140"
"608","0","0","4158","2258","140"
"609","0","0","4157","2259","140"
"610","0","0","4159","2260","140"
"611","0","0","4158","3259","140"
"612","0","0","4157","3260","140"
"613","0","0","4158","2251","141"
"614","0","0","4158","2258","141"
"615","0","0","4157","2259","141"
"616","0","0","4159","2260","141"
"617","0","0","4158","3259","141"
"618","0","0","4157","3260","141"
"619","0","0","4141","2261","159"
"620","0","0","4140","2264","159"
"621","0","0","4141","3261","159"
"622","0","0","4167","2261","160"
"623","0","0","4166","2264","160"
"624","0","0","4167","3261","160"
"625","0","0","4187","2261","161"
"626","0","0","4186","2264","161"
"627","0","0","4187","3261","161"
"628","0","0","4161","2254","65"
"629","0","0","4161","2262","65"
"630","0","0","4160","2263","65"
"631","0","0","4161","3262","65"
"632","0","0","4181","2254","66"
"633","0","0","4181","2262","66"
"634","0","0","4180","2263","66"
"635","0","0","4181","3262","66"
"636","0","0","4201","2254","67"
"637","0","0","4201","2262","67"
"638","0","0","4200","2263","67"
"639","0","0","4201","3262","67"
"640","0","0","4158","2251","51"
"641","0","0","4158","2258","51"
"642","0","0","4157","2259","51"
"643","0","0","4159","2260","51"
"644","0","0","4158","3259","51"
"645","0","0","4157","3260","51"
"646","0","0","4158","2251","142"
"647","0","0","4158","2258","142"
"648","0","0","4157","2259","142"
"649","0","0","4159","2260","142"
"650","0","0","4158","3259","142"
"651","0","0","4157","3260","142"
"652","0","0","4158","2251","143"
"653","0","0","4158","2258","143"
"654","0","0","4157","2259","143"
"655","0","0","4159","2260","143"
"656","0","0","4158","3259","143"
"657","0","0","4157","3260","143"
"658","0","0","4158","2251","94"
"659","0","0","4158","2258","94"
"660","0","0","4157","2259","94"
"661","0","0","4159","2260","94"
"662","0","0","4158","3259","94"
"663","0","0","4157","3260","94"
"664","0","0","4158","2251","127"
"665","0","0","4158","2258","127"
"666","0","0","4157","2259","127"
"667","0","0","4159","2260","127"
"668","0","0","4158","3259","127"
"669","0","0","4157","3260","127"
"670","0","0","4158","2251","128"
"671","0","0","4158","2258","128"
"672","0","0","4157","2259","128"
"673","0","0","4159","2260","128"
"674","0","0","4158","3259","128"
"675","0","0","4157","3260","128"
"676","0","0","4163","2261","111"
"677","0","0","4162","2264","111"
"678","0","0","4163","3261","111"
"679","0","0","4183","2261","144"
"680","0","0","4182","2264","144"
"681","0","0","4183","3261","144"
"682","0","0","4203","2261","145"
"683","0","0","4202","2264","145"
"684","0","0","4203","3261","145"
"685","0","0","4165","2254","162"
"686","0","0","4165","2262","162"
"687","0","0","4164","2263","162"
"688","0","0","4165","3262","162"
"689","0","0","4185","2254","163"
"690","0","0","4185","2262","163"
"691","0","0","4184","2263","163"
"692","0","0","4185","3262","163"
"693","0","0","4205","2254","164"
"694","0","0","4205","2262","164"
"695","0","0","4204","2263","164"
"696","0","0","4205","3262","164"
"697","0","0","4157","3196","42"
"698","0","0","3925","3313","42"
"699","0","0","4157","3196","167"
"700","0","0","4157","3196","168"
"701","0","0","3925","3313","168"
"702","0","0","3925","3313","167"
"705","0","0","3929","3325","64"
"706","0","0","3929","3325","134"
"707","0","0","3929","3325","135"
"708","0","0","4158","3259","95"
"709","0","0","4157","3260","95"
