Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23
"39","230421","224810","Mage Tower","Spirit Lodge","Enables instant travel to strategic points in Draenor!","Unlocks access to a third Ogre Waygate for a total of 3.","975740","824","150","30","1244","1243","0","0","500","0","13","3","1","21","2","3600","1200","0"
"40","230422","224811","Lumber Mill","Lumber Mill","The Lumber Mill enables access to different types of Timber throughout Draenor.","Allows you to mark small trees in Draenor for harvest. Harvested Timber can be converted to work orders for garrison supplies.","975739","0","8","9","1246","1245","0","0","300","0","4","1","1","7","2","3600","0","0"
"41","230423","224812","Lumber Mill","Lumber Mill","The Lumber Mill enables access to different types of Timber throughout Draenor.","Allows you to mark medium trees for additional Timber.","975739","0","161","62","1248","1247","0","0","500","0","4","2","1","14","2","3600","0","0"
"42","230426","224813","Menagerie","Menagerie","The Menagerie provides new opportunities to develop and enhance your pet retinue.","Attracts elite pets you can battle for rewards.  Also lets 5 of your battle pets hang out in your garrison.","975741","824","163","100","1250","1249","0","0","0","0","7","1","0","1","2","3600","50","5"
"51","230437","224854","Storehouse","Storehouse","The Storehouse has room to keep your and the garrison's items safe and secure.","Enables access to your personal bank and increases the total number of active work orders for all buildings by 5.","975745","824","140","71","1200","1199","0","0","150","0","15","1","1","5","2","3600","50","0"
"52","230440","224853","Salvage Yard","Salvage Yard","The Salvage Yard turns other people's trash into your treasure.","Allows Salvage to be occasionally recovered from missions.","975742","824","141","64","1202","1201","0","0","150","0","14","1","1","1","2","3600","50","0"
"60","230448","225537","The Forge","The Forge","The Forge produces both basic components for use by blacksmiths, as well as armor and weapons ready for battle.","Allows the production of Blacksmithing items and work orders.","136241","824","5","4","1204","1203","0","0","150","0","17","1","1","7","2","3600","50","0"
"61","230466","225538","Lunarfall Excavation","Frostwall Mines","The mine was once abandoned, but there are still underground riches ready to be discovered.","Allows players to mine Draenic Stone from mineral nodes in Draenor. Draenic Stone can be converted to work orders for Draenor minerals.","136248","824","160","33","1206","1205","0","0","0","0","1","1","0","7","2","3600","50","0"
"62","230467","225539","Lunarfall Excavation","Frostwall Mines","The mine was once abandoned, but there are still underground riches ready to be discovered.","Allows followers with the Mining trait to work here, granting a unique bonus.  Also opens a new mineshaft, granting access to additional mining nodes and allows up to 14 work orders at one time.","136248","824","160","33","1208","1207","52","0","300","0","1","2","1","14","2","3600","50","0"
"63","230468","225540","Lunarfall Excavation","Frostwall Mines","The mine was once abandoned, but there are still underground riches ready to be discovered.","A final mineshaft allows access to rich mining nodes.  In addition, garrison guards will patrol your mine, keeping it clear of hostile goren. Also allows up to 21 work orders at one time.","136248","824","160","33","1210","1209","52","0","500","0","1","3","1","21","2","3600","100","0"
"64","230984","230985","Fishing Shack","Fishing Shack","The Fishing Shack provides support to those looking for their next big catch.","Allows small Draenor fish to be caught in garrison waters and provides access to daily Fishing quests.","136245","824","134","85","1212","1211","227","0","0","0","24","1","0","1","2","3600","50","0"
"65","230469","225577","Stables","Stables","The stables provide significant benefits to your mounts.","Enables the capture and training of special mounts on Draenor.  Also allows you remain mounted while interacting with objects in outdoor Draenor zones.","975744","824","151","68","1214","1213","0","0","150","0","11","1","1","1","2","3600","150","3"
"66","230470","225578","Stables","Stables","The stables provide significant benefits to your mounts.","You will no longer get dazed by enemies while riding mounts in outdoor Draenor zones.","975744","824","152","69","1216","1215","0","0","300","0","11","2","1","3","2","3600","900","5"
"67","230471","225579","Stables","Stables","The stables provide significant benefits to your mounts.","Increases mount speed in Draenor by 20%.","975744","824","153","70","1218","1217","0","0","500","0","11","3","1","5","2","3600","1200","7"
"76","230443","227179","Alchemy Lab","Alchemy Lab","The Alchemy Lab creates a variety of reagents and alchemical wonders.","Allows the production of Alchemy items and work orders.","136240","824","23","20","1282","1281","0","0","150","0","16","1","1","7","2","3600","50","0"
"90","230457","227070","The Tannery","The Tannery","The Tannery refines raw leather into strong, leatherworked items that are useful for adventurers of any kind.","Allows the production of Leatherworking items and work orders.","133611","824","114","97","1316","1315","0","0","150","0","22","1","1","7","2","3600","50","0"
"91","230454","227072","Engineering Works","Engineering Works","The Engineering Works produces a host of useful gizmos and parts for the intrepid tinkerer, and also creates wondrous mechanical devices.","Allows the production of Engineering items and work orders.","136243","824","123","39","1318","1317","0","0","150","0","19","1","1","7","2","3600","50","0"
"93","230451","227073","Enchanter's Study","Enchanter's Study","The Enchanter's Study creates both the magical precursors that form an enchantment, as well as completed and usable item enchantments.","Allows the production of Enchanting items and allows non-Enchanters to disenchant items.  Also allows work orders.","136244","824","126","80","1320","1319","0","0","150","0","18","1","1","7","2","3600","50","0"
"94","230463","227180","Tailoring Emporium","Tailoring Emporium","The Tailing Emporium is your one stop shop for anything crafted with cloth.","Allows the production of Tailoring items and work orders.","136249","824","111","91","1322","1321","0","0","150","0","23","1","1","7","2","3600","50","0"
"95","230427","227074","Scribe's Quarters","Scribe's Quarters","The Scribe's Quarters produces all manners of magical inks, pigments, and paper, and can also create glyphs and other magical items.","Allows the production of Inscription items and work orders.","237171","824","120","94","1324","1323","0","0","150","0","20","1","1","7","2","3600","50","0"
"96","230460","227075","Gem Boutique","Gem Boutique","The Gem Boutique allows for the creation of wondrous gems and other jewelcrafted items.","Allows the production of Jewelcrafting items and work orders.","134071","824","117","77","1326","1325","0","0","150","0","21","1","1","7","2","3600","50","0"
"111","230472","227673","Trading Post","Trading Post","The Trading Post is the garrison's center of commerce with the natives of Draenor.","A merchant shows up each day selling trade goods.  Also allows the trade of crafting reagents for garrison resources.","975746","0","154","72","1252","1251","0","0","300","0","6","1","1","7","2","3600","0","0"
"117","230449","227588","The Forge","The Forge","The Forge produces both basic components for use by blacksmiths, as well as armor and weapons ready for battle.","Allows followers with the Blacksmithing trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.","136241","824","129","83","1284","1283","55","0","300","0","17","2","1","14","2","3600","100","0"
"118","230450","227589","The Forge","The Forge","The Forge produces both basic components for use by blacksmiths, as well as armor and weapons ready for battle.","Unlocks Blacksmithing missions, and allows up to 21 work orders at one time.","136241","824","130","84","1286","1285","55","0","500","0","17","3","1","21","2","3600","300","0"
"119","230444","227590","Alchemy Lab","Alchemy Lab","The Alchemy Lab creates a variety of reagents and alchemical wonders.","Allows followers with the Alchemy trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.","136240","824","24","21","1288","1287","54","0","300","0","16","2","1","14","2","3600","100","0"
"120","230445","227591","Alchemy Lab","Alchemy Lab","The Alchemy Lab creates a variety of reagents and alchemical wonders.","Unlocks Alchemy missions, and allows up to 21 work orders at one time.","136240","824","25","22","1290","1289","54","0","500","0","16","3","1","21","2","3600","300","0"
"121","230458","227592","The Tannery","The Tannery","The Tannery refines raw leather into strong, leatherworked items that are useful for adventurers of any kind.","Allows followers with the Leatherworking trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.","133611","824","115","98","1292","1291","60","0","300","0","22","2","1","14","2","3600","100","0"
"122","230459","227593","The Tannery","The Tannery","The Tannery refines raw leather into strong, leatherworked items that are useful for adventurers of any kind.","Unlocks Leatherworking missions, and allows up to 21 work orders at one time.","133611","824","116","99","1294","1293","60","0","500","0","22","3","1","21","2","3600","300","0"
"123","230455","227594","Engineering Works","Engineering Works","The Engineering Works produces a host of useful gizmos and parts for the intrepid tinkerer, and also creates wondrous mechanical devices.","Allows followers with the Engineering trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.","136243","824","124","40","1296","1295","57","0","300","0","19","2","1","14","2","3600","100","0"
"124","230456","227595","Engineering Works","Engineering Works","The Engineering Works produces a host of useful gizmos and parts for the intrepid tinkerer, and also creates wondrous mechanical devices.","Unlocks Engineering missions, and allows up to 21 work orders at one time.","136243","824","125","41","1298","1297","57","0","500","0","19","3","1","21","2","3600","300","0"
"125","230452","227596","Enchanter's Study","Enchanter's Study","The Enchanter's Study creates both the magical precursors that form an enchantment, as well as completed and usable item enchantments.","Allows followers with the Enchanting trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.","136244","824","127","81","1300","1299","56","0","300","0","18","2","1","14","2","3600","100","0"
"126","230453","227597","Enchanter's Study","Enchanter's Study","The Enchanter's Study creates both the magical precursors that form an enchantment, as well as completed and usable item enchantments.","Unlocks Enchanting missions, and allows up to 21 work orders at one time.","136244","824","128","82","1302","1301","56","0","500","0","18","3","1","21","2","3600","300","0"
"127","230464","227598","Tailoring Emporium","Tailoring Emporium","The Tailing Emporium is your one stop shop for anything crafted with cloth.","Allows followers with the Tailoring trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.","136249","824","112","92","1304","1303","61","0","300","0","23","2","1","14","2","3600","100","0"
"128","230465","227599","Tailoring Emporium","Tailoring Emporium","The Tailing Emporium is your one stop shop for anything crafted with cloth.","Unlocks Tailoring missions, and allows up to 21 work orders at one time.","136249","824","113","93","1306","1305","61","0","500","0","23","3","1","21","2","3600","300","0"
"129","230430","227600","Scribe's Quarters","Scribe's Quarters","The Scribe's Quarters produces all manners of magical inks, pigments, and paper, and can also create glyphs and other magical items.","Allows followers with the Inscription trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.","237171","824","121","95","1308","1307","58","0","300","0","20","2","1","14","2","3600","100","0"
"130","230432","227601","Scribe's Quarters","Scribe's Quarters","The Scribe's Quarters produces all manners of magical inks, pigments, and paper, and can also create glyphs and other magical items.","Unlocks Inscription missions, and allows up to 21 work orders at one time.","237171","824","122","96","1310","1309","58","0","500","0","20","3","1","21","2","3600","300","0"
"131","230461","227602","Gem Boutique","Gem Boutique","The Gem Boutique allows for the creation of wondrous gems and other jewelcrafted items.","Allows followers with the Jewelcrafting trait to work here, granting a unique bonus.  Also allows up to 14 work orders at one time.","134071","824","118","78","1312","1311","59","0","300","0","21","2","1","14","2","3600","100","0"
"132","230462","227603","Gem Boutique","Gem Boutique","The Gem Boutique allows for the creation of wondrous gems and other jewelcrafted items.","Unlocks Jewelcrafting missions, and allows up to 21 work orders at one time.","134071","824","119","79","1314","1313","59","0","500","0","21","3","1","21","2","3600","300","0"
"133","233188","233186","Barn","Barn","The Barn houses captured creatures that provide the garrison with leather, meat, and fur.","Allows you to capture elite beasts to harvest for savage blood, used in all epic crafted armor and weapons.","975737","824","133","26","1232","1231","62","0","500","0","3","3","1","21","2","3600","600","0"
"134","230986","230987","Fishing Shack","Fishing Shack","The Fishing Shack provides support to those looking for their next big catch.","Allows medium Draenor fish to be caught in garrison waters.","136245","824","135","86","1254","1253","227","0","300","0","24","2","1","3","2","3600","50","0"
"135","230990","230989","Fishing Shack","Fishing Shack","The Fishing Shack provides support to those looking for their next big catch.","Allows enormous Draenor fish to be caught in garrison waters.  Also grants you a chance to catch a unique fish that can be used to lure mysterious creatures onto the shore.","136245","824","136","87","1256","1255","227","0","500","0","24","3","1","5","2","3600","100","0"
"136","236448","235990","Herb Garden","Herb Garden","A bountiful garden for the planting and harvesting of Draenor herbs.","Allows followers with the Herbalism trait to work here, granting a unique bonus.  Also increases the amount of herbs that can be harvested at the garden and allows up to 14 work orders at one time.","134221","824","137","59","1258","1257","53","0","300","0","2","2","1","14","2","3600","50","0"
"137","236449","235991","Herb Garden","Herb Garden","A bountiful garden for the planting and harvesting of Draenor herbs.","Grow a unique Draenor fruit tree in your garden that grants food buffs. Also allows up to 21 work orders at one time.","134221","824","137","59","1260","1259","53","0","500","0","2","3","1","21","2","3600","100","0"
"138","233266","233267","Lumber Mill","Lumber Mill","The Lumber Mill enables access to different types of Timber throughout Draenor.","Allows you to mark large trees for even more Timber.","975739","0","162","63","1262","1261","228","0","1000","0","4","3","1","21","2","3600","0","0"
"140","230441","230475","Salvage Yard","Salvage Yard","The Salvage Yard turns other people's trash into your treasure.","Increases your chance at recovering Salvage from missions. In addition, you may now discover follower items in Salvage.","975742","824","141","64","1266","1265","0","0","300","0","14","2","1","3","2","3600","100","0"
"141","230442","230476","Salvage Yard","Salvage Yard","The Salvage Yard turns other people's trash into your treasure.","Greatly increases your chance at recovering Salvage from missions.","975742","824","141","64","1268","1267","0","0","500","0","14","3","1","5","2","3600","300","0"
"142","230438","234678","Storehouse","Storehouse","The Storehouse has room to keep your and the garrison's items safe and secure.","Enables access to your guild bank.","975745","824","140","71","1270","1269","0","0","300","0","15","2","1","5","2","3600","100","0"
"143","230439","234679","Storehouse","Storehouse","The Storehouse has room to keep your and the garrison's items safe and secure.","Enables access to an Ethereal Trader for Void Storage and Transmogrification and increases the total number of active work orders for all buildings by 15.","975745","824","140","71","1272","1271","0","0","500","0","15","3","1","15","2","3600","300","0"
"144","230473","227674","Trading Post","Trading Post","The Trading Post is the garrison's center of commerce with the natives of Draenor.","Grants access to the Sha'tari Defense or Laughing Skull factions. Also unlocks the ability to acquire parts from around Draenor to build an auctioneer.","975746","0","155","73","1274","1273","0","0","500","0","6","2","1","14","2","3600","0","0"
"145","230474","233189","Trading Post","Trading Post","The Trading Post is the garrison's center of commerce with the natives of Draenor.","Increases reputation gain in Draenor by 20%.","975746","0","156","74","1276","1275","0","0","1000","0","6","3","1","21","2","3600","0","0"
"159","230477","230480","Gladiator's Sanctum","Gladiator's Sanctum","Show your might over opposing hostile players across Draenor and hone your strength on the blood-soaked arena floor. Slay your enemies and return with proof of their demise to earn powerful tributes!","Increases your out-of-combat regeneration in outdoor Draenor zones and allows the collection of broken bones from defeated enemy players (used for Conqueror's Tribute).","975743","824","145","65","1332","1331","0","0","150","0","25","1","1","7","2","3600","100","0"
"160","230478","230486","Gladiator's Sanctum","Gladiator's Sanctum","Show your might over opposing hostile players across Draenor and hone your strength on the blood-soaked arena floor. Slay your enemies and return with proof of their demise to earn powerful tributes!","Enables safe fall and underwater breathing in outdoor Draenor zones.  Also enables the Nemesis quest series for defeating enemy players of specific races.","975743","824","146","66","1334","1333","0","0","300","0","25","2","1","14","2","3600","300","0"
"161","230479","230487","Gladiator's Sanctum","Gladiator's Sanctum","Show your might over opposing hostile players across Draenor and hone your strength on the blood-soaked arena floor. Slay your enemies and return with proof of their demise to earn powerful tributes!","While below 35% life, all damage taken is reduced by 50% in outdoor Draenor zones.  Grants access to the Highmaul Coliseum gladiator tournament.","975743","824","147","67","1336","1335","0","0","500","0","25","3","1","21","2","3600","600","0"
"162","230489","230492","Gnomish Gearworks","Goblin Workshop","Crush your enemies with your mechanized might!","Unlocks a personal engineer that creates a powerful invention each day. Exceptional work!","975747","824","157","88","1264","1263","0","0","150","0","26","1","1","0","2","3600","150","0"
"163","230490","230493","Gnomish Gearworks","Goblin Workshop","Crush your enemies with your mechanized might!","Your engineer gains access to five new and amazing devices.","975747","824","158","89","1278","1277","0","0","300","0","26","2","1","0","2","3600","900","0"
"164","230491","230494","Gnomish Gearworks","Goblin Workshop","Crush your enemies with your mechanized might!","Allows the creation of a siege vehicle once per day. Drive it to victory in Draenor!","975747","824","159","90","1280","1279","0","0","500","0","26","3","1","1","2","3600","1200","0"
"167","236180","235992","Menagerie","Menagerie","The Menagerie provides new opportunities to develop and enhance your pet retinue.","Increases your trap chance and reduces the cooldown of Revive Battle Pets while in Draenor.  Up to 10 of your pets can now hang out in your garrison.","975741","824","163","100","1328","1327","0","0","300","0","7","2","1","3","2","3600","50","10"
"168","236181","235993","Menagerie","Menagerie","The Menagerie provides new opportunities to develop and enhance your pet retinue.","Unlocks a pet battle daily with unique pet rewards.","975741","824","163","100","1330","1329","0","0","500","0","7","3","1","5","2","3600","100","10"
"205","230489","230489","Lunarfall Shipyard","Frostwall Shipyard","Build ships and run naval missions from the coast near your garrison.","","1126431","0","14","14","0","0","0","0","0","0","9","1","2","1","2","0","0","0"
"206","230489","230489","Lunarfall Shipyard","Frostwall Shipyard","Build ships and run naval missions from the coast near your garrison.","","1126431","0","14","14","0","0","0","0","0","0","9","2","2","1","2","0","0","2"
"207","230489","230489","Lunarfall Shipyard","Frostwall Shipyard","Build ships and run naval missions from the coast near your garrison.","","1126431","0","14","14","0","0","0","0","0","0","9","3","2","1","2","0","0","4"
"209","230489","230489","Class Order Hall","Class Order Hall","","","132093","0","154","72","0","0","0","0","0","0","0","1","0","1","3","0","0","0"
