Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown0_7,Unknown0_8,Unknown0_9
"43","0","710","1775","3550","5325","7100","8880","10650","14200","0"
"44","0","725","1810","3615","5425","7230","9040","10845","14460","0"
"45","0","735","1845","3685","5530","7370","9215","11055","14740","0"
"46","0","750","1880","3755","5635","7510","9390","11265","15020","0"
"47","0","765","1910","3820","5730","7640","9550","11460","15280","0"
"48","0","780","1945","3890","5835","7780","9725","11670","15560","0"
"49","0","790","1980","3960","5940","7920","9900","11880","15840","0"
"50","0","805","2015","4025","6040","8050","10065","12075","16100","0"
"51","0","820","2050","4095","6145","8190","10240","12285","16380","0"
"52","0","835","2085","4165","6250","8330","10415","12495","16660","0"
"53","0","845","2115","4230","6345","8460","10575","12690","16920","0"
"54","0","860","2150","4300","6450","8600","10750","12900","17200","0"
"55","0","875","2185","4370","6555","8740","10925","13110","17480","0"
"56","0","885","2220","4435","6655","8870","11090","13305","17740","0"
"57","0","900","2255","4505","6760","9010","11265","13515","18020","0"
"58","0","915","2290","4575","6865","9150","11440","13725","18300","0"
"59","0","930","2320","4640","6960","9280","11600","13920","18560","0"
"60","0","945","2365","4725","7090","9450","11815","14175","18900","0"
"61","0","960","2400","4790","7190","9580","11980","14370","19160","0"
"62","0","970","2430","4860","7290","9720","12150","14580","19440","0"
"63","0","990","2470","4930","7400","9860","12330","14790","19720","0"
"64","0","1000","2500","5000","7490","9990","12490","14990","19980","0"
"65","0","1010","2530","5070","7600","10130","12660","15200","20260","0"
"66","0","1030","2570","5140","7700","10270","12840","15410","20540","0"
"67","0","1040","2600","5210","7810","10410","13010","15620","20820","0"
"68","0","1050","2640","5270","7910","10540","13180","15810","21080","0"
"69","0","1070","2670","5340","8010","10680","13350","16020","21360","0"
"70","0","1080","2710","5410","8120","10820","13530","16230","21640","0"
"71","0","1100","2740","5480","8210","10950","13690","16430","21900","0"
"72","0","1110","2770","5550","8320","11090","13860","16640","22180","0"
"73","0","1120","2810","5620","8420","11230","14040","16850","22460","0"
"74","0","1140","2840","5680","8520","11360","14200","17040","22720","0"
"75","0","1150","2880","5750","8630","11500","14380","17250","23000","0"
"76","0","1160","2910","5820","8730","11640","14550","17460","23280","0"
"77","0","1180","2940","5890","8830","11770","14710","17660","23540","0"
"78","0","1190","2980","5960","8930","11910","14890","17870","23820","0"
"79","0","1210","3010","6030","9040","12050","15060","18080","24100","0"
"80","0","1220","3050","6100","9140","12190","15240","18290","24380","0"
"81","0","1230","3080","6160","9240","12320","15400","18480","24640","0"
"82","0","1250","3120","6230","9350","12460","15580","18690","24920","0"
"83","0","1260","3150","6300","9450","12600","15750","18900","25200","0"
"84","0","1270","3180","6370","9550","12730","15910","19100","25460","0"
"85","0","1290","3220","6440","9650","12870","16090","19310","25740","0"
"86","0","1300","3250","6510","9760","13010","16260","19520","26020","0"
"87","0","1310","3290","6570","9860","13140","16430","19710","26280","0"
"88","0","1330","3320","6640","9960","13280","16600","19920","26560","0"
"89","0","1340","3360","6710","10070","13420","16780","20130","26840","0"
"90","0","1370","3420","6850","10270","13690","17110","20540","27380","0"
"91","0","1380","3460","6920","10370","13830","17290","20750","27660","0"
"92","0","1400","3490","6990","10480","13970","17460","20960","27940","0"
"93","0","1410","3530","7050","10580","14100","17630","21150","28200","0"
"94","0","1420","3560","7120","10680","14240","17800","21360","28480","0"
"95","0","1440","3600","7190","10790","14380","17980","21570","28760","0"
"96","0","1450","3630","7260","10890","14520","18150","21780","29040","0"
"97","0","1470","3670","7330","11000","14660","18330","21990","29320","0"
"98","0","1480","3700","7400","11100","14800","18500","22200","29600","0"
"99","0","1490","3730","7470","11200","14930","18660","22400","29860","0"
"100","0","1510","3770","7540","11300","15070","18840","22610","30140","0"
"101","0","1520","3800","7610","11410","15210","19010","22820","30420","0"
"102","0","1530","3840","7670","11510","15340","19180","23010","30680","0"
"103","0","1550","3870","7740","11610","15480","19350","23220","30960","0"
"104","0","1560","3910","7810","11720","15620","19530","23430","31240","0"
"105","0","1580","3940","7880","11820","15760","19700","23640","31520","0"
"106","0","1590","3980","7950","11930","15900","19880","23850","31800","0"
"107","0","1600","4010","8020","12030","16040","20050","24060","32080","0"
"108","0","1620","4040","8090","12130","16170","20210","24260","32340","0"
"109","0","1630","4080","8160","12230","16310","20390","24470","32620","0"
"110","0","1650","4110","8230","12340","16450","20560","24680","32900","0"
"111","0","1660","4150","8300","12440","16590","20740","24890","33180","0"
"112","0","1670","4180","8370","12550","16730","20910","25100","33460","0"
"113","0","1690","4220","8440","12650","16870","21090","25310","33740","0"
"114","0","1690","4220","8440","12650","16870","21090","25310","33740","0"
"115","0","1690","4220","8440","12650","16870","21090","25310","33740","0"
"116","0","1690","4220","8440","12650","16870","21090","25310","33740","0"
"117","0","1690","4220","8440","12650","16870","21090","25310","33740","0"
"118","0","1690","4220","8440","12650","16870","21090","25310","33740","0"
"119","0","1690","4220","8440","12650","16870","21090","25310","33740","0"
"120","0","1690","4220","8440","12650","16870","21090","25310","33740","0"
"121","0","1690","4220","8440","12650","16870","21090","25310","33740","0"
"122","0","1690","4220","8440","12650","16870","21090","25310","33740","0"
"123","0","1690","4220","8440","12650","16870","21090","25310","33740","0"
