Id,Unknown0,Unknown1_0,Unknown1_1,Unknown1_2,Unknown2_0,Unknown2_1,Unknown2_2,Unknown3_0,Unknown3_1,Unknown3_2,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
"44","Ashbringer Test 3","-5.973903","-2.881032","-2.181611","0.3210477","0.1559134","-0.1326183","1.448231","0","0","-1","14","-1","0","0"
"45","Ashbringer Test 4","0.3518594","-2.183373","0.2335835","0.4159943","-0.01953007","0.05070504","1.433601","0","0","-1","14","-1","0","0"
"46","pet loadout test","0.5427316","0.03709209","1.256341","-0.2544236","0.02322939","1.066468","0","0","0","-1","11","-1","0","0"
"47","pet card test","1.359252","-0.01315874","0.9999999","0","-0.01315874","0.9999999","0","0","0","-1","12","-1","0","0"
"48","Res Test","0","-0.769738","-0.9802636","0.7500003","0","0","0","0","0","-1","7","-1","0","0"
"50","Rotation Test","3.562269","0.02940491","0.05567216","-0.3499162","0.02483107","0.00808901","0","0","0","-1","7","-1","0","0"
"60","Artifact-DruidResto-Crystalline","1.763158","0.0238912","-0.9802626","-1.533809","-1.688149","0.2374548","0","0","0","-1","14","-1","0","0"
"61","Artifact-DruidResto-Base","1.651314","0.1810629","-1.049198","-0.6309544","-1.234771","-0.08141296","0","0","0","-1","14","-1","0","0"
"62","Artifact-PaladinRet-Base","0.3355258","-0.1184224","-0.1447371","1.68552","-0.4485667","0","0","0","0","-1","14","-1","0","0"
"63","Artifact-PaladinRet-Fire","-0.3289475","0.05920982","-0.1184199","1.577021","-0.3805526","-0.1696112","0","0","0","-1","14","-1","0","0"
"64","Artifact-PaladinRet-Lightning","-0.25","-0.1842102","-0.1973687","1.413626","-0.4213087","0","0","0","0","-1","14","-1","0","0"
"65","Artifact-PaladinRet-Purified","-0.6513159","-0.06250183","-0.1743432","1.505468","-0.4756922","0.01356934","0","0","0","-1","14","-1","0","0"
"66","Artifact-PaladinRet-Shadow","0.01973718","0.02414932","-0.1193025","1.467955","-0.4757399","0","0","0","0","-1","14","-1","0","0"
"67","Artifact-DruidResto-Owl","1.75","-0.8318912","-0.5959507","-4.668367","-0.4927921","-0.9414369","0","0","0","-1","14","-1","0","0"
"68","Artifact-DruidResto-Elder","1.486841","0.3881572","-1.046053","1.662191","-2.001413","-2.700215","0","0","0","-1","14","-1","0","0"
"69","Artifact-DruidResto-Nightmare","1.868419","0.4399908","-1.004901","-1.713158","-1.098466","0.6896016","0","0","0","-1","14","-1","0","0"
"70","Artifact-DruidResto-Winged","1.901315","0.4083779","-0.9903729","-1.439164","-1.295547","0","0","0","0","-1","14","-1","0","0"
"71","Artifact-WarriorProt-Base (Sword)","-1.421052","-0.6065044","-0.524981","-5.244371","-5.081551","-0.06106076","0","0","0","-1","14","-1","0","0"
"72","Artifact-DemonHunterHavoc-Base","1.414473","0.07590097","-0.1013338","1.606596","-0.4961418","-0.7628736","0","0","0","-1","14","-1","0","0"
"73","Artifact-DemonHunterHavoc-DemonFused","0.796052","0.1688883","-0.1834142","1.599707","-0.5167096","-0.4446876","0","0","0","-1","14","-1","0","0"
"75","Artifact-DemonHunterHavoc-Fanged","0.75","0.1671239","-0.1557292","1.42734","-0.4960801","-0.2702199","0","0","0","-1","14","-1","0","0"
"76","Artifact-DemonHunterHavoc-Empowered","0.7236849","0.1377592","-0.1377599","1.556387","-0.4893457","-0.7897385","0","0","0","-1","14","-1","0","0"
"77","Artifact-DemonHunterHavoc-Flame","0.6907892","0.01973808","-0.2039456","1.536001","-0.4621591","0.02039001","0","0","0","-1","14","-1","0","0"
"79","TestShit","-0.7522516","-3.736659","-1.140226","-0.01912747","0.05818009","-0.4283308","0.314015","0","0","-1","14","-1","0","0"
"82","Default-Human-Male-R","3.269737","-0.0460519","-1.828947","0.2261897","0","0","0","0","0","-1","9","-1","0","0"
"83","Default-Human-Male-L","3.269736","0.05263291","-1.828947","-0.3820705","0","0","0","0","0","-1","9","-1","0","0"
"84","Default-Human-Female-R","3.269738","-0.026315","-1.697367","0.3101058","0","0","0","0","0","-1","9","-1","0","0"
"85","Default-Human-Female-L","3.289474","0.02631643","-1.690788","-0.3055422","0","0","0","0","0","-1","9","-1","0","0"
"86","Default-Orc-Male-R","2.526316","-0.07236583","-1.842105","0.2730047","0","0","0","0","0","-1","9","-1","0","0"
"87","Default-Orc-Male-L","2.427631","0.1315801","-1.809212","-0.2573087","0","0","0","0","0","-1","9","-1","0","0"
"88","Default-Orc-Female-R","3.217104","-0.01973912","-1.802631","0.1565708","0","0","0","0","0","-1","9","-1","0","0"
"89","Default-Orc-Female-L","3.342106","0.03947467","-1.828946","-0.3612776","0","0","0","0","0","-1","9","-1","0","0"
"90","Default-Dwarf-Male-R","2.835526","-0.06578767","-1.276315","0.3476593","0","0","0","0","0","-1","9","-1","0","0"
"91","Default-Dwarf-Male-L","2.710525","0.01973753","-1.269736","-0.2987626","0","0","0","0","0","-1","9","-1","0","0"
"92","Default-Dwarf-Female-L","3.348683","0.01973793","-1.296049","-0.2882015","0","0","0","0","0","-1","9","-1","0","0"
"93","Default-Dwarf-Female-R","3.322367","-0.01973579","-1.296049","0.290117","0","0","0","0","0","-1","9","-1","0","0"
"94","Default-Gnome-Male-R","2.907893","-0.02631732","-0.7828929","0.3789171","0","0","0","0","0","-1","9","-1","0","0"
"95","Default-Gnome-Male-L","2.894733","0.01315711","-0.809208","-0.2216781","0","0","0","0","0","-1","9","-1","0","0"
"96","Default-Gnome-Female-L","3.210523","0.03289372","-0.7894711","-0.2533007","0","0","0","0","0","-1","9","-1","0","0"
"97","Default-Gnome-Female-R","3.223681","-0.0394742","-0.7894704","0.2855138","0","0","0","0","0","-1","9","-1","0","0"
"98","Default-NightElf-Male-L","3.065785","0.06578876","-2.184208","-0.293165","0","0","0","0","0","-1","9","-1","0","0"
"99","Default-NightElf-Male-R","3.085523","-0.07894523","-2.190787","0.3345353","0","0","0","0","0","-1","9","-1","0","0"
"100","Default-NightElf-Female-L","3.085521","0.003289779","-2.062496","-0.3019482","0","0","0","0","0","-1","9","-1","0","0"
"101","Default-NightElf-Female-R","3.072365","-0.08223665","-2.049339","0.4049311","0","0","0","0","0","-1","9","-1","0","0"
"102","Default-Worgen-Male-R","1.868418","-0.1743419","-1.911178","0.3574153","0","0","0","0","0","-1","9","-1","0","0"
"103","Default-Worgen-Male-L","1.78947","0.1282914","-1.851968","-0.2950069","0","0","0","0","0","-1","9","-1","0","0"
"104","Default-Worgen-Female-L","2.506575","0.04276263","-2.095388","-0.1315159","0","0","0","0","0","-1","9","-1","0","0"
"105","Default-Worgen-Female-R","2.499996","-0.01644735","-2.115124","0.302863","0","0","0","0","0","-1","9","-1","0","0"
"106","Default-Draenei-Male-R","2.736839","-0.1940781","-2.2171","0.3641866","0","0","0","0","0","-1","9","-1","0","0"
"107","Default-Draenei-Male-L","2.624998","0.2927619","-2.203942","-0.5465168","0","0","0","0","0","-1","9","-1","0","0"
"108","Default-Draenei-Female-L","3.092102","0.02960416","-2.098676","-0.4081529","0","0","0","0","0","-1","9","-1","0","0"
"109","Default-Draenei-Female-R","3.151311","-0.1085528","-2.098678","0.3775016","0","0","0","0","0","-1","9","-1","0","0"
"110","Default-Pandaren-Male-R","2.664467","-0.08881351","-1.999992","0.3506144","0","0","0","0","0","-1","9","-1","0","0"
"111","Default-Pandaren-Male-L","2.710521","0.1348703","-1.960519","-0.4854701","0","0","0","0","0","-1","9","-1","0","0"
"112","Default-Pandaren-Female-L","2.434201","0.07565745","-1.835518","-0.2542703","0","0","0","0","0","-1","9","-1","0","0"
"113","Default-Pandaren-Female-R","2.552624","-0.2138143","-1.868414","0.5135971","0","0","0","0","0","-1","9","-1","0","0"
"114","Default-Goblin-Male-R","2.677632","-0.01973709","-1.013157","0.3873998","0","0","0","0","0","-1","9","-1","0","0"
"115","Default-Goblin-Male-L","2.736842","0.01315647","-1.013157","-0.2094423","0","0","0","0","0","-1","9","-1","0","0"
"116","Default-Goblin-Female-R","2.782896","-0.03289491","-1.111839","0.4416393","0","0","0","0","0","-1","9","-1","0","0"
"117","Default-Goblin-Female-L","2.842105","0.01973763","-1.124999","-0.412761","0","0","0","0","0","-1","9","-1","0","0"
"118","Default-BloodElf-Male-L","3.190788","0.1052625","-1.907892","-0.2319452","0","0","0","0","0","-1","9","-1","0","0"
"119","Default-BloodElf-Male-R","3.032892","0.07236822","-1.855261","0.3796332","0","0","0","0","0","-1","9","-1","0","0"
"120","Default-BloodElf-Female-R","3.23684","-0.03289536","-1.717101","0.236633","0","0","0","0","0","-1","9","-1","0","0"
"121","Default-BloodElf-Female-L","3.164471","0.03289451","-1.697366","-0.3536109","0","0","0","0","0","-1","9","-1","0","0"
"122","Default-Troll-Male-R","2.315786","-0.1546036","-2.02631","0.2758327","0","0","0","0","0","-1","9","-1","0","0"
"123","Default-Troll-Male-L","2.368417","0.04934717","-2.026311","-0.285334","0","0","0","0","0","-1","9","-1","0","0"
"124","Default-Troll-Female-L","3.236837","0.08881651","-2.184205","-0.2976331","0","0","0","0","0","-1","9","-1","0","0"
"125","Default-Troll-Female-R","3.078941","0.02960747","-2.118416","0.2757972","0","0","0","0","0","-1","9","-1","0","0"
"126","Default-Tauren-Male-R","2.421048","-0.1348641","-1.657887","0.2215571","0","0","0","0","0","-1","9","-1","0","0"
"127","Default-Tauren-Male-L","2.335521","0.2203981","-1.671046","-0.3152797","0","0","0","0","0","-1","9","-1","0","0"
"128","Default-Tauren-Female-L","2.815784","0.1875006","-1.907887","-0.3223269","0","0","0","0","0","-1","9","-1","0","0"
"129","Default-Tauren-Female-R","2.855257","-0.1677592","-1.921048","0.3099715","0","0","0","0","0","-1","9","-1","0","0"
"130","Default-Undead-Male-R","3.0921","0.0427672","-1.578942","0.3862168","0","0","0","0","0","-1","9","-1","0","0"
"131","Default-Undead-Male-L","3.157888","0.1940824","-1.592101","-0.2337222","0","0","0","0","0","-1","9","-1","0","0"
"132","Default-Undead-Female-L","3.09868","0.1019781","-1.64473","-0.4105257","0","0","0","0","0","-1","9","-1","0","0"
"133","Default-Undead-Female-R","3.032889","-0.06249649","-1.644732","0.411881","0","0","0","0","0","-1","9","-1","0","0"
"134","Default-Vrykul-Male-R","1.934203","-0.2664449","-3.934206","0.3914325","0","0","0","0","0","-1","9","-1","0","0"
"135","Default-Vrykul-Male-L","2.006572","0.3059233","-3.901311","-0.2406736","0","0","0","0","0","-1","9","-1","0","0"
"136","Default-Vrykul-Female-L","2.098677","0.07566177","-3.927628","-0.4036566","0","0","0","0","0","-1","9","-1","0","0"
"137","Default-Vrykul-Female-R","2.164467","0.07566169","-3.907891","0.4593624","0","0","0","0","0","-1","9","-1","0","0"
"138","Default-Naga-Male-R","1.782895","-0.3223679","-1.756579","0.353512","0","0","0","0","0","-1","9","-1","0","0"
"139","Default-Naga-Male-L","1.809211","0.3355278","-1.802631","-0.3600559","0","0","0","0","0","-1","9","-1","0","0"
"140","Default-Naga-Female-L","2.467107","0.2236863","-1.769737","-0.3465702","0","0","0","0","0","-1","9","-1","0","0"
"141","Default-Naga-Female-R","2.440792","-0.1907884","-1.796052","0.2583627","0","0","0","0","0","-1","9","-1","0","0"
"142","Default-Eredar-Male-R","2.657897","-0.1381555","-2.269737","0.2545853","0","0","0","0","0","-1","9","-1","0","0"
"143","Default-Eredar-Male-L","2.532897","0.1907899","-2.26316","-0.3453721","0","0","0","0","0","-1","9","-1","0","0"
"144","Default-Eredar-Female-R","3.019733","-0.07565828","-2.092098","0.2656254","0","0","0","0","0","-1","9","-1","0","0"
"145","Default-Eredar-Female-L","3.10526","0.01644675","-2.118414","-0.3697532","0","0","0","0","0","-1","9","-1","0","0"
"146","Default-Dreadlord-R","2.628284","-0.4046055","-2.467099","0.3949904","0","0","0","0","0","-1","9","-1","0","0"
"147","Default-Dreadlord-L","2.447364","0.1677617","-2.467102","-0.2862025","0","0","0","0","0","-1","9","-1","0","0"
"149","Default-Dragon-R","-11.94079","-6.601983","-6.605264","0.5914155","0","0","0","0","0","-1","9","-1","0","0"
"150","Default-Dragon-L","-12.25001","5.700639","-6.473683","-0.489355","0","0","0","0","0","-1","9","-1","0","0"
"151","ktest 110","0","-0.04605259","-0.756579","-1.015467","0","0","0","0","0","-1","7","-1","0","0"
"152","ktest 111","0","-0.04605259","-0.756579","0.6656001","0","0","0","0","0","-1","7","-1","0","0"
"153","ktest 112","0","-0.04605259","-0.756579","2.295468","0","0","0","0","0","-1","7","-1","0","0"
"154","ktest 113","0","-0.04605259","-0.756579","3.404802","0","0","0","0","0","-1","7","-1","0","0"
"161","Artifact-DemonHunterHavoc-Base (Offhand)","-1.75","-0.5662199","0.1162588","17.44746","-5.356438","-2.426265","0","0","0","-1","14","-1","0","0"
"162","Artifact-DeathKnightUnholy-Base","1.217108","0.0228704","-0.317955","-1.591359","0.5420157","3.554837","0","0","0","-1","14","-1","0","0"
"163","Artifact-DeathKnightBlood-Base","1.5","0.01420754","-0.5142061","-10.71017","-7.870301","-0.265063","0","0","0","-1","14","-1","0","0"
"166","Artifact-DeathKnightFrost-Base","2.072367","0.05263356","-0.1907896","-5.269025","-5.53645","5.671334","0","0","0","-1","14","-1","0","0"
"167","Artifact-DeathKnightFrost-Base (Offhand)","0.8289517","0.3223715","-0.1447358","-6.144223","-5.115814","5.311755","0","0","0","-1","14","-1","0","0"
"168","Artifact-RogueSubtlety-Base","2.078947","0.1171934","0.06664959","-0.65809","0.780212","0.5178413","0","0","0","-1","14","-1","0","0"
"169","Artifact-RogueSubtlety-Base (Offhand)","1.328946","0.02570407","0.1002831","-1.362625","0.5088332","-0.2350254","0","0","0","-1","14","-1","0","0"
"170","Artifact-RogueSubtlety-Shadowy","1.763158","0.1614265","0.06450884","-0.8412705","0.8073492","0.7395052","0","0","0","-1","14","-1","0","0"
"171","Artifact-RogueSubtlety-Shadowy (Offhand)","-0.2828962","-0.163766","0.04998279","-1.227994","0.5359703","0.3256541","0","0","0","-1","14","-1","0","0"
"172","Artifact-RogueSubtlety-Felflame","1.894736","0.1838097","0.05832864","-0.7247902","0.7802112","0.8955466","0","0","0","-1","14","-1","0","0"
"173","Artifact-RogueSubtlety-Felflame (Offhand)","0.8421032","0.01267094","0.09868449","-1.431528","0.5020481","0.3256541","0","0","0","-1","14","-1","0","0"
"174","Artifact-RogueSubtlety-Bloody","1.348685","0.1109594","0.007861516","-1.010881","0.8819792","0.8548421","0","0","0","-1","14","-1","0","0"
"175","Artifact-RogueSubtlety-Bloody (Offhand)","-0.06578892","-0.1554208","0.01355614","-1.356897","0.5156175","0.3256541","0","0","0","-1","14","-1","0","0"
"176","Artifact-RogueSubtlety-Icy","1.519737","0.1644736","0.09210683","-1.078724","0.8684109","0.9430405","0","0","0","-1","14","-1","0","0"
"177","Artifact-RogueSubtlety-Icy (Offhand)","0.2763155","-0.02856811","0.07453223","-1.390821","0.3934981","0.3934977","0","0","0","-1","14","-1","0","0"
"178","Artifact-MageArcane-Base","1.335527","0.5263147","-0.7171062","-4.563457","-8.514812","3.072881","0","0","0","-1","14","-1","0","0"
"179","Artifact-MageArcane-Arcane","0.4276311","0.5065768","-0.6973699","-8.084567","-7.185072","3.310337","0","0","0","-1","14","-1","0","0"
"180","Artifact-MageArcane-Dark","1.447369","0.4342095","-0.6513182","-5.004448","-8.494457","3.323909","0","0","0","-1","14","-1","0","0"
"181","Artifact-MageArcane-Lightning","1.269738","0.4276327","-0.6052641","-5.180838","-8.555519","3.439242","0","0","0","-1","14","-1","0","0"
"182","Artifact-MageArcane-Time","1.578944","0.4916339","-0.6824207","-5.038367","-8.541949","3.439242","0","0","0","-1","14","-1","0","0"
"183","Artifact-WarriorProt-Base (Shield)","0.1907927","-0.09141739","-0.4657723","-7.096588","-1.725463","-0.9320108","0","0","0","-1","14","-1","0","0"
"184","Artifact-WarriorProt-Deathguard (Shield)","-0.3684204","-0.1002818","-0.3010331","-6.974306","-1.831804","-1.024454","0","0","0","-1","14","-1","0","0"
"185","Artifact-WarriorProt-Deathwing (Shield)","-0.6052625","-0.0003595566","-0.2340864","-6.82523","-1.806704","-1.112654","0","0","0","-1","14","-1","0","0"
"186","Artifact-WarriorProt-Saurfang (Shield)","-0.0197354","-0.5056925","-0.06678678","-8.284147","-0.8684134","0.3731374","0","0","0","-1","14","-1","0","0"
"187","Artifact-WarriorProt-Upgraded (Shield)","-0.2697368","-0.144927","-0.2473228","-6.920137","-1.804666","-1.024454","0","0","0","-1","14","-1","0","0"
"188","Artifact-DruidGuardian-Base","2.052634","0.034423","-0.0555912","-1.257045","-2.392606","2.048435","0","0","0","-1","14","-1","0","0"
"189","Artifact-ShamanEnhancement-Base","2.361843","0.2138704","-0.3530238","-1.691729","-0.9464416","3.301348","0","0","0","-1","14","-1","0","0"
"190","Artifact-MageFire-Base","1.493423","0.1232442","0.08945697","-1.524011","3.860025","3.005046","0","0","0","-1","14","-1","0","0"
"191","Artifact-ShamanElemental-Base","2.394738","0.04471198","0.07334943","-2.309576","2.186481","2.112356","0","0","0","-1","14","-1","0","0"
"192","Artifact-ShamanElemental-Base (Offhand)","0.9605291","-0.3593304","0.1791054","3.408079","5.945778","1.15706","0","0","0","-1","14","-1","0","0"
"193","Artifact-HunterMarksman-BaseOld","1.796054","0.03948409","-0.05921071","-0.9201915","3.459744","2.279109","0","0","0","-1","14","-1","0","0"
"194","Artifact-PriestHoly-Base","1.611842","0.560609","-0.7381092","1.270744","4.00393","0.6381485","0","0","0","-1","14","-1","0","0"
"195","Artifact-ShamanResto-Base","1.802629","-0.1250005","-0.269736","-7.401836","-2.422052","-0.610603","0","0","0","-1","14","-1","0","0"
"196","Artifact-MonkMistweaver-Base","2.309208","-0.2539138","-0.7681144","-7.02594","-2.133709","-1.141483","0","0","0","-1","14","-1","0","0"
"197","Artifact-HunterSurvival-Base","1.973681","0.5139182","-0.5041949","-8.093851","-0.6648785","0.3120824","0","0","0","-1","14","-1","0","0"
"198","Artifact-PaladinHoly-Base","0.9868398","0.1889392","-0.6324475","-13.70346","-1.236471","2.788406","0","0","0","-1","14","-1","0","0"
"199","Artifact-PaladinHoly-Base (Offhand)","0.02631271","0.4649471","-0.06686342","-7.639298","1.126219","0.6445204","0","0","0","-1","14","-1","0","0"
"200","[TEST] Robert's Test Talking Head Camera","-4.5","-0.2434216","-1.677635","-0.1300544","0","0.007486444","0","0","0","-1","9","-1","0","0"
"201","AshbringerSuperTest2","0","0.006579254","-0.144737","0.9837443","0","0","0","0","0","-1","14","-1","0","0"
"205","Test-Nightelf","2.75","0.05921243","-2.046052","0.8819804","0","0","0","0","0","-1","15","-1","0","0"
"207","Test-Armor","2.75","0.05921243","-2.046052","0.8819804","0","0","0","0","0","-1","15","-1","0","0"
"208","test2","0","0","0","0","0","1","0","1","0","-1","15","-1","0","0"
"210","Test3","0","0.08552666","-0.09868408","-0.7802121","0","0","0","0","0","-1","14","-1","0","0"
"211","Test5","0","0","0","0","0","0","0","0","0","-1","15","-1","0","0"
"212","pete test","2.75","0.05921243","-2.046052","0.8819804","0","0","0","0","0","-1","15","-1","0","0"
"213","testjeff","3.25","-0.006577046","-1.671051","0.3819808","0","0","0","0","0","-1","15","-1","0","0"
"214","jefftest2","2.75","0.006580843","-1.671051","0.8819804","0","0","0","0","0","-1","15","-1","0","0"
"221","Transmog-Human-Male-Shoulder","3.085526","-0.335525","-1.697367","0.02985907","0","0","0","0","0","0","15","0","0","0"
"225","Transmog-Human-Male-Robe","2.75","0.01973704","-1.243421","-0.31","0","0","0","0","0","0","15","0","0","0"
"226","Transmog-Human-Male-Hands","3.059208","-0.2697371","-0.9934216","-0.5055549","0","0","0","0","0","0","15","0","0","0"
"227","Transmog-Human-Male-Feet","2.960525","0.07236953","-0.2171049","-0.7000002","0","0","0","0","0","0","15","0","0","0"
"228","Transmog-Human-Male-Legs","2.532894","-0.01315778","-0.6381574","-0.1600002","0","0","0","0","0","0","15","0","0","0"
"229","Transmog-Human-Male-Shirt","3.039473","0.03947558","-1.480262","-0.3680193","0","0","0","0","0","0","15","0","0","0"
"230","Transmog-Human-Male-Tabard","3.046052","0.006581021","-1.368419","0.009436067","0","0","0","0","0","0","15","0","0","0"
"234","Transmog-Human-Male-Waist","3.131579","-0.01315603","-1.164472","0.06766976","0","0","0","0","0","0","15","0","0","0"
"235","Transmog-Human-Male-Back","2.914474","-8.814968E-07","-1.203946","-2.648018","0","-0.04749085","0","0","0","0","15","0","0","0"
"236","Transmog-Human-Male-Head","3.210526","0.09210579","-1.907895","-0.5980184","-0.02035278","0.01356689","0","0","0","0","15","0","0","0"
"237","Transmog-Human-Male-Wrist","3.25804","-0.2733907","-1.125","-0.5980184","0","0","0","0","0","0","15","0","0","0"
"238","Transmog-Weapon-1HSword","0","-0.006578438","-0.0394737","1.42","-0.9300004","0","0","0","0","-1","16","-1","1","0"
"239","Transmog-Weapon-2HSword","-0.9736849","-0.04605193","-0.1052628","1.399646","-0.9571385","0","0","0","0","-1","16","-1","1","0"
"240","Transmog-Weapon-Wand","1.75","-0.01315719","-0.02631602","1.43","-0.9300004","0","0","0","0","-1","16","-1","1","0"
"241","Transmog-Weapon-Dagger","1.440789","-0.006577439","-0.01973716","1.43","-0.9300004","0","0","0","0","-1","16","-1","1","0"
"242","Transmog-Weapon-1HAxe","0.3026311","-0.07236796","-0.03289467","1.504276","-1.0647","0","0","0","0","-1","16","-1","1","0"
"243","Transmog-Weapon-2HAxe","0.25","-0.2039465","-0.2368431","1.44","-1.079999","0","0","0","0","-1","16","-1","1","0"
"244","Transmog-Weapon-1HMace","0.914474","-0.05921276","-0.04605279","1.44","-1.079999","0","0","0","0","-1","16","-1","1","0"
"245","Transmog-Weapon-2HMace","0.75","-0.1973681","-0.2368421","1.49","-1.019999","0","0","0","0","-1","16","-1","1","0"
"246","Transmog-Weapon-Staff","0.5","-0.3092099","-0.414474","1.53","-0.9799984","0","0","0","0","-1","16","-1","1","0"
"247","Transmog-Weapon-Polearm","-0.75","-0.2434202","-0.2763162","1.470001","-0.939999","0","0","0","0","-1","16","-1","1","0"
"248","Transmog-Weapon-FistWeapon","0.5","0.03947187","-0.01315957","1.508941","-2.557492","0","0","0","0","-1","16","-1","1","0"
"249","Transmog-Weapon-Shield","0.75","0.01973718","-0.006579532","-1.375016","-1.396468","0","0","0","0","-1","16","-1","1","0"
"250","Transmog-Weapon-Offhand","1","-0.01973561","-0.02631434","1.359999","-0.8899999","0","0","0","0","-1","16","-1","1","0"
"251","Transmog-Weapon-Bow","-1.046053","0.05921182","-0.06578723","-7.52","-11.65003","0.2899994","0","0","0","-1","16","-1","1","0"
"252","Transmog-Weapon-Gun","-0.2236842","-0.04605281","1.457054E-06","1.04","-13.37001","0.2899994","0","0","0","-1","16","-1","1","0"
"253","Transmog-Weapon-Crossbow","-0.1315798","-0.05263155","0.01973912","2.417137","-13.38323","0.2899994","0","0","0","-1","16","-1","1","0"
"254","Default-Doomguard-R","2.368414","-0.3322387","-2.164486","0.2361524","0","0","0","0","0","-1","9","-1","0","0"
"255","Default-Doomguard-L","2.56579","0.5197396","-2.17105","-0.3060719","0","0","0","0","0","-1","9","-1","0","0"
"260","NightElfTest","3.032894","0.3947372","-1.901315","0.8667415","-0.3696258","0.006843769","0","0","0","-1","15","-1","0","0"
"262","Default-DemonSpiderQueen-R","2.368414","-0.4769755","-3.210538","0.3385528","0","0","0","0","0","-1","9","-1","0","0"
"263","Default-DemonSpiderQueen-L","2.289472","0.5526315","-3.256577","-0.4748178","0","0","0","0","0","-1","9","-1","0","0"
"264","Default-HaremMatron-L","1.289472","-0.1513166","-4.039472","-0.5132181","0","0","0","0","0","-1","9","-1","0","0"
"265","Default-HaremMatron-R","1.289472","0.006578634","-4.05263","0.4083823","0","0","0","0","0","-1","9","-1","0","0"
"266","Default-Jailer-R","1.263155","-0.2532896","-4.325652","0.3100225","0","0","0","0","0","-1","9","-1","0","0"
"267","Default-Jailer-L","1.368418","0.3717114","-4.305912","-0.4362678","0","0","0","0","0","-1","9","-1","0","0"
"268","Default-Broken-R","2.749995","-0.3256597","-1.917754","0.4321417","0","0","0","0","0","-1","9","-1","0","0"
"269","Default-Broken-L","2.749995","0.3256564","-1.88486","-0.4769752","0","0","0","0","0","-1","9","-1","0","0"
"270","Default-LichKing-R","3.039474","-0.0526273","-1.815788","0.3015093","0","0","0","0","0","-1","9","-1","0","0"
"271","Default-LichKing-L","3.157895","0.03289536","-1.782893","-0.4583503","0","0","0","0","0","-1","9","-1","0","0"
"274","Transmog-Human-Female-Head","3.451753","0.07894854","-1.763158","-0.5446851","-0.1066669","0.0977774","0","0","0","0","15","0","0","0"
"275","Transmog-Human-Female-Shoulder","3.348683","-0.1644724","-1.572367","-0.3348705","0","0","0","0","0","0","15","0","0","0"
"276","Transmog-Human-Female-Back","3.177632","0.006580276","-1.171052","-2.648018","0","0","0","0","0","0","15","0","0","0"
"277","Transmog-Human-Female-Robe","3.190789","0.01315744","-1.263158","-0.31","0","0","0","0","0","0","15","0","0","0"
"278","Transmog-Human-Female-Shirt","3.223684","0.0197366","-1.374999","-0.31","0","0","0","0","0","0","15","0","0","0"
"279","Transmog-Human-Female-Tabard","3.256579","0.02631729","-1.296051","-0.2280193","0","0","0","0","0","0","15","0","0","0"
