Id,Unknown0,Unknown1,Unknown2,Unknown3_0,Unknown3_1,Unknown3_2,Unknown4_0,Unknown4_1,Unknown4_2,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown14,Unknown15
"35","0","300","516","0","0","0","0","0","0","34","3493","0","0","750","123","-1","34","3015","0"
"36","0","300","516","0","0","0","0","0","0","35","3431","0","0","750","224","34","19","0","0"
"37","0","300","516","0","0","0","0","0","0","36","3064","0","0","750","0","-1","19","3011","0"
"38","0","300","516","0","0","0","0","0","0","37","7447","0","0","750","1422","19","34","14336","0"
"39","0","300","516","0","0","0","0","0","0","38","8909","0","0","750","13","-1","34","3013","0"
"40","0","300","516","0","0","0","0","0","0","39","4807","0","0","750","0","-1","34","3013","0"
"41","0","300","516","0","0","0","0","0","0","40","675","0","0","750","0","-1","34","3318","0"
"42","0","300","516","0","0","0","0","0","0","41","675","0","0","750","0","-1","20","0","0"
"43","0","300","516","0","0","0","0","0","0","42","1522","0","0","750","0","-1","34","0","0"
"44","0","300","516","0","0","0","0","0","0","43","2042","0","0","750","0","-1","34","0","0"
"45","0","300","516","0","0","0","0","0","0","44","3403","0","0","750","101","-1","34","0","0"
"46","0","300","516","0","0","0","0","0","0","45","3195","0","0","750","0","-1","34","67607","0"
"47","0","300","516","0","0","0","0","0","0","46","32","0","0","750","0","-1","34","0","0"
"48","0","300","516","0","0","0","0","0","0","47","3493","0","0","750","0","-1","34","3015","0"
"49","0","300","516","0","0","0","0","0","0","48","1547","0","0","750","0","-1","34","3013","0"
"50","0","300","516","0","0","0","0","0","0","49","3220","0","0","750","40","22","34","0","0"
"51","0","300","516","0","0","0","0","0","0","50","1863","0","0","750","0","-1","19","0","0"
"52","0","300","516","0","0","0","0","0","0","51","2980","0","0","750","40","19","34","0","0"
"53","0","300","516","0","0","0","0","0","0","52","0","0","0","750","0","-1","20","0","0"
"54","0","300","516","0","0","0","0","0","0","53","2980","0","0","750","40","19","34","0","0"
"55","0","300","516","0","0","0","0","0","0","54","151","0","0","750","40","20","34","0","0"
"56","0","300","516","0","0","0","0","0","0","55","227","0","0","750","0","-1","34","0","0"
"57","0","300","516","0","0","0","0","0","0","56","1522","0","0","750","13","21","34","0","0"
"58","0","300","516","0","0","0","0","0","0","57","523","0","0","750","0","-1","34","0","0"
"59","0","300","516","0","0","0","0","0","0","58","694","0","0","750","0","-1","34","0","0"
"60","0","300","516","0","0","0","0","0","0","59","1602","0","0","750","0","-1","34","3014","0"
"61","0","300","516","0","0","0","0","0","0","60","3220","0","0","750","0","-1","34","3011","0"
"62","0","300","516","0","0","0","0","0","0","61","5673","0","0","750","1422","19","34","14336","0"
"63","0","300","516","0","0","0","0","0","0","62","3142","0","0","750","0","-1","19","3011","0"
"64","0","300","516","0","0","0","0","0","0","63","2997","0","0","750","0","-1","34","3012","0"
"65","0","300","516","0","0","0","0","0","0","64","1179","0","0","750","0","-1","20","3011","0"
"66","0","300","516","0","0","0","0","0","0","65","258","0","0","750","0","-1","19","0","0"
"67","0","300","517","0","0","0","0","0","0","66","3134","0","0","750","0","-1","34","0","0"
"68","0","300","516","0","0","0","0","0","0","67","2042","0","0","750","122","-1","34","3015","0"
"69","0","300","517","0","0","0","0","0","0","68","3574","0","0","750","261","-1","34","0","0"
"70","0","300","516","0","0","0","0","0","0","69","2972","0","0","750","0","-1","34","0","0"
"71","0","300","516","0","0","0","0","0","0","70","3605","0","0","750","341","-1","19","0","0"
"72","0","300","516","0","0","0","0","0","0","71","1782","0","0","750","38","-1","34","5057","0"
"73","0","300","516","0","0","0","0","0","0","72","3061","0","0","750","0","21","34","0","0"
"74","0","300","516","0","0","0","0","0","0","73","405","0","0","750","0","-1","19","0","0"
"75","0","300","517","0","0","0","0","0","0","74","675","0","0","750","121","-1","34","0","0"
"76","0","300","516","0","0","0","0","0","0","75","3410","0","0","750","20","-1","34","0","0"
"77","0","300","516","0","0","0","0","0","0","76","2865","0","0","750","0","-1","34","3087","0"
"78","0","300","516","0","0","0","0","0","0","77","0","0","0","750","0","-1","34","0","0"
"79","0","300","516","0","0","0","0","0","0","78","3455","0","0","750","13","-1","34","0","0"
"80","0","300","516","0","0","0","0","0","0","79","3455","0","0","750","13","-1","34","0","0"
"81","0","300","516","0","0","0","0","0","0","80","675","0","0","750","0","-1","34","0","0"
"82","0","300","518","0","0","0","0","0","0","81","4328","0","0","750","0","-1","34","0","0"
"83","0","300","518","0","0","0","0","0","0","82","188","0","0","750","0","-1","34","0","0"
"84","0","300","518","0","0","0","0","0","0","83","3493","0","0","750","0","-1","34","0","0"
"85","0","300","518","0","0","0","0","0","0","84","4807","0","0","750","0","-1","34","0","0"
"86","0","300","518","0","0","0","0","0","0","85","362","0","0","750","0","-1","34","0","0"
"87","0","300","516","0","0","0","0","0","0","86","675","0","0","750","0","-1","34","3134","0"
"88","100","300","516","0","0","0","0","0","0","87","26259","0","0","750","0","-1","34","3011","0"
"89","0","300","516","0","0","0","0","0","0","88","1179","0","0","750","0","-1","34","3011","0"
"90","0","300","516","0","0","0","0","0","0","89","914","0","0","750","13","-1","34","14342","0"
"91","0","300","516","0","0","0","0","0","0","90","157","0","0","750","0","21","34","0","0"
"92","15","300","516","0","0","0","0","0","0","91","3088","0","0","50000","13","-1","34","1454","0"
"93","0","300","516","0","0","0","0","0","0","92","1863","0","0","750","0","-1","19","0","0"
"94","0","300","516","0","0","0","0","0","0","93","3406","0","0","750","226","19","34","12338","0"
"95","0","300","516","0","0","0","0","0","0","94","3366","0","0","750","38","-1","34","18189","0"
"96","0","300","516","0","0","0","0","0","0","95","8907","0","0","750","23","22","34","4222","0"
"97","0","300","516","0","0","0","0","0","0","96","3490","0","0","750","0","22","34","3015","0"
"98","0","300","516","0","0","0","0","0","0","97","2997","0","0","750","0","-1","17","3012","0"
"99","0","300","516","0","0","0","0","0","0","98","2997","0","0","750","0","-1","19","3012","0"
"100","0","300","516","0","0","0","0","0","0","99","2997","0","0","750","0","-1","34","3012","0"
"101","0","300","516","0","0","0","0","0","0","100","2997","0","0","750","0","-1","22","3012","0"
"102","0","300","516","0","0","0","0","0","0","101","0","0","0","750","0","-1","20","0","0"
"103","0","300","516","0","0","0","0","0","0","102","3302","0","0","750","0","34","34","0","0"
"104","0","300","516","0","0","0","0","0","0","103","1179","0","0","750","0","-1","19","0","0"
"105","0","300","534","0","0","0","0","0","0","104","1524","0","0","750","0","-1","34","3013","0"
"106","0","300","516","0","0","0","0","0","0","105","1783","0","0","750","501","-1","34","0","0"
"107","0","300","516","0","0","0","0","0","0","106","694","0","0","750","0","-1","34","0","0"
"108","0","300","516","0","0","0","0","0","0","107","3149","0","0","750","13","-1","19","0","0"
"109","0","300","516","0","0","0","0","0","0","108","3882","0","0","750","0","-1","34","0","0"
"110","0","300","516","0","0","0","0","0","0","109","618","0","0","750","0","-1","34","0","0"
"111","0","300","516","0","0","0","0","0","0","110","2002","0","0","750","0","-1","34","0","0"
"112","0","300","518","0","0","0","0","0","0","111","1602","0","0","750","0","-1","34","43792","0"
"113","0","300","516","0","0","0","0","0","0","112","675","0","0","750","0","-1","34","3134","0"
"114","0","300","516","0","0","0","0","0","0","113","0","0","0","750","0","17","34","0","0"
"115","0","300","516","0","0","0","0","0","0","114","440","0","0","750","0","-1","19","0","0"
"116","0","300","516","0","0","0","0","0","0","115","291","0","0","750","123","20","34","11777","0"
"117","0","300","516","0","0","0","0","0","0","116","3415","0","0","750","38","-1","19","0","0"
"118","0","300","516","0","0","0","0","0","0","117","3420","0","0","750","38","-1","19","0","0"
"119","0","300","516","0","0","0","0","0","0","118","3422","0","0","750","38","-1","19","0","0"
"120","0","300","516","0","0","0","0","0","0","119","3422","0","0","750","38","-1","19","0","0"
"121","0","300","516","0","0","0","0","0","0","120","3415","0","0","750","38","-1","19","0","0"
"122","0","300","516","0","0","0","0","0","0","121","3366","0","0","750","38","-1","19","0","0"
"123","0","300","516","0","0","0","0","0","0","122","3150","0","0","750","81","19","20","3011","0"
"124","0","300","516","0","0","0","0","0","0","123","3427","0","0","750","142","-1","20","0","0"
"125","0","300","516","0","0","0","0","0","0","124","3427","0","0","750","142","-1","20","0","0"
"126","0","300","516","0","0","0","0","0","0","125","151","0","0","750","0","-1","19","3015","0"
"127","0","300","516","0","0","0","0","0","0","126","2622","0","0","750","0","-1","34","0","0"
"128","0","300","516","0","0","0","0","0","0","127","503","0","0","750","0","-1","34","0","0"
"129","0","300","516","0","0","0","0","0","0","128","2262","0","0","750","0","-1","20","0","0"
"130","4294967196","300","512","0","0","0","0","0","0","129","12351","0","0","850","0","19","34","0","0"
"131","0","300","516","0","0","0","0","0","0","130","2002","0","0","750","0","-1","34","0","0"
"132","0","300","518","0","0","0","0","0","0","131","157","0","0","750","0","-1","34","0","0"
"133","0","300","516","0","0","0","0","0","0","132","3338","0","0","750","0","-1","20","0","0"
"134","0","300","516","0","0","0","0","0","0","133","362","0","0","750","0","-1","34","9007","0"
"135","0","300","516","0","0","0","0","0","0","134","258","0","0","750","0","-1","34","0","0"
"136","0","300","516","0","0","0","0","0","0","135","3136","0","0","750","0","-1","34","3011","0"
"137","0","300","516","0","0","0","0","0","0","136","1344","0","0","750","0","-1","34","3013","0"
"138","0","300","516","0","0","0","0","0","0","137","0","0","0","750","0","-1","20","0","0"
"139","0","300","516","0","0","0","0","0","0","138","0","0","0","750","0","-1","17","0","0"
"140","0","300","516","0","0","0","0","0","0","139","0","0","0","750","0","-1","34","0","0"
"141","100","300","516","0","0","0","0","0","0","140","8991","0","0","750","1704","-1","19","21442","0"
"142","0","300","528","0","0","0","0","0","0","141","3407","0","0","750","3129","17","34","3011","0"
"143","0","300","516","0","0","0","0","0","0","142","3220","0","0","750","0","-1","34","3011","0"
"144","0","300","516","0","0","0","0","0","0","143","2042","0","0","750","0","-1","34","0","0"
"145","0","300","516","0","0","0","0","0","0","144","151","0","0","750","0","-1","34","3015","0"
"146","0","300","516","0","0","0","0","0","0","145","503","0","0","750","0","-1","34","3011","0"
"147","0","300","516","0","0","0","0","0","0","146","157","0","0","750","0","-1","34","0","0"
"148","0","300","516","0","0","0","0","0","0","147","157","0","0","750","0","-1","20","0","0"
"149","0","300","516","0","0","0","0","0","0","148","6182","0","0","750","0","-2","34","3012","0"
"150","0","300","516","0","0","0","0","0","0","149","3429","0","0","750","2424","19","34","0","0"
"151","0","300","516","0","0","0","0","0","0","150","3539","0","0","750","0","19","19","0","0"
"152","0","300","516","0","0","0","0","0","0","151","3088","0","0","750","224","-1","20","0","0"
"153","100","300","516","0","0","0","0","0","0","152","3366","0","0","750","521","22","34","3011","0"
"154","0","300","516","0","0","0","0","0","0","153","0","0","0","750","0","22","34","0","0"
"155","100","300","516","0","0","0","0","0","0","154","365","0","0","750","19","-1","34","3011","0"
"156","0","300","516","0","0","0","0","0","0","155","1345","0","0","750","13","-1","19","0","0"
"157","0","300","516","0","0","0","0","0","0","156","3367","0","0","750","361","-1","34","0","0"
"158","0","300","516","0","0","0","0","0","0","157","3367","0","0","750","521","20","19","0","0"
"159","0","300","516","0","0","0","0","0","0","158","3235","0","0","750","22","-1","34","0","0"
"160","0","300","516","0","0","0","0","0","0","159","3587","0","0","750","13","-1","34","14342","0"
"161","100","300","516","0","0","0","0","0","0","160","6709","0","0","750","0","17","34","14342","0"
"162","0","300","516","0","0","0","0","0","0","161","503","0","0","750","1361","-1","34","3011","0"
"163","0","300","518","0","0","0","0","0","0","162","2682","0","0","750","0","-1","34","0","0"
"164","0","300","516","0","0","0","0","0","0","163","675","0","0","750","0","17","34","3015","0"
"165","0","300","516","0","0","0","0","0","0","164","224","0","0","750","0","-1","34","0","0"
"166","0","300","516","0","0","0","0","0","0","165","0","0","0","750","0","-1","20","0","0"
"167","0","300","516","0","0","0","0","0","0","166","151","0","0","750","0","-1","34","3015","0"
"168","0","300","516","0","0","0","0","0","0","167","259","0","0","750","0","-1","34","3013","0"
"169","0","300","516","0","0","0","0","0","0","168","188","0","0","750","0","-1","20","0","0"
"170","0","300","516","0","0","0","0","0","0","169","914","0","0","750","0","-1","34","3011","0"
"171","0","300","516","0","0","0","0","0","0","170","405","0","0","750","0","-1","34","3012","0"
"172","0","300","516","0","0","0","0","0","0","171","407","0","0","750","0","-1","34","3012","0"
"173","0","300","516","0","0","0","0","0","0","172","3008","0","0","750","0","-1","34","3011","0"
"174","0","300","516","0","0","0","0","0","0","173","258","0","0","750","0","-1","19","0","0"
"175","0","300","516","0","0","0","0","0","0","174","528","0","0","750","0","-1","34","0","0"
"176","100","300","512","0","0","0","0","0","0","175","8905","0","0","750","13","-1","34","0","0"
"177","100","300","516","0","0","0","0","0","0","176","8905","0","0","750","38","-1","34","0","0"
"178","100","300","516","0","0","0","0","0","0","177","8905","0","0","750","23","-1","34","7140","0"
"179","100","300","516","0","0","0","0","0","0","178","8906","0","0","750","13","-1","34","3011","0"
"180","100","300","516","0","0","0","0","0","0","179","8906","0","0","750","38","-1","34","3011","0"
"181","100","300","516","0","0","0","0","0","0","180","8907","0","0","750","38","-1","34","3011","0"
"182","0","300","516","0","0","0","0","0","0","181","2622","0","0","750","0","-1","34","3318","0"
"183","0","300","516","0","0","0","0","0","0","182","259","0","0","750","0","-1","34","3013","0"
"184","100","300","516","0","0","0","0","0","0","183","365","0","0","750","41","-1","34","3011","0"
"185","0","300","516","0","0","0","0","0","0","184","3220","0","0","750","0","17","34","3011","0"
"186","0","300","516","0","0","0","0","0","0","185","258","0","0","750","0","-1","34","0","0"
"187","0","300","516","0","0","0","0","0","0","186","2865","0","0","750","0","20","20","35","0"
"188","0","300","516","0","0","0","0","0","0","187","3006","0","0","750","0","-1","34","3015","0"
"189","0","300","516","0","0","0","0","0","0","188","2622","0","0","750","22","-1","34","7674","0"
"190","0","300","516","0","0","0","0","0","0","189","3337","0","0","750","23","-1","20","0","0"
"191","0","300","516","0","0","0","0","0","0","190","3493","0","0","750","19","-1","34","3015","0"
"192","0","300","516","0","0","0","0","0","0","191","3338","0","0","750","25","-1","34","3015","0"
"193","0","300","516","0","0","0","0","0","0","192","3339","0","0","750","20","-1","34","1272","0"
"194","0","300","516","0","0","0","0","0","0","193","3011","0","0","750","0","-1","34","0","0"
"195","0","300","516","0","0","0","0","0","0","194","2222","0","0","750","0","-1","34","0","0"
"196","0","300","516","1","0","-1.5","0","0","0","195","7191","0","0","750","0","17","34","19492","0"
"197","0","300","516","0","0","0","0","0","0","196","675","0","0","750","0","-1","34","3134","0"
"198","0","300","516","0","0","0","0","0","0","197","1179","0","0","750","0","-1","34","3011","0"
"199","0","300","516","0","0","0","0","0","0","198","365","0","0","750","0","-1","34","0","0"
"200","0","300","516","0","0","0","0","0","0","199","405","0","0","750","0","-1","34","3012","0"
"201","0","300","516","0","0","0","0","0","0","200","406","0","0","750","0","-1","34","3012","0"
"202","0","300","516","0","0","0","0","0","0","201","407","0","0","750","0","-1","34","3012","0"
"203","0","300","516","0","0","0","0","0","0","202","408","0","0","750","0","-1","34","3012","0"
"204","0","300","516","0","0","0","0","0","0","203","365","0","0","750","13","-1","34","0","0"
"205","0","300","516","0","0","0","0","0","0","204","258","0","0","750","0","-1","34","0","0"
"206","0","300","516","0","0","0","0","0","0","205","243","0","0","750","0","-1","34","0","0"
"207","0","300","516","0","0","0","0","0","0","206","675","0","0","750","0","-1","34","3134","0"
"208","0","300","516","0","0","0","0","0","0","207","188","0","0","750","0","-1","34","1454","0"
"209","0","300","516","0","0","0","0","0","0","208","2002","0","0","750","0","-1","34","0","0"
"210","100","300","516","0","0","0","0","0","0","209","13350","0","0","750","13","-1","34","3011","0"
"211","0","300","516","0","0","0","0","0","0","210","3399","0","0","750","0","-1","20","3336","0"
"212","0","300","516","0","0","0","0","0","0","211","3399","0","0","750","0","19","19","3336","0"
"213","0","300","516","0","0","0","0","0","0","212","2042","0","0","750","0","-1","34","0","0"
"214","0","300","516","0","0","0","0","0","0","213","914","0","0","750","19","-1","20","0","0"
"215","0","300","516","0","0","0","0","0","0","214","365","0","0","750","19","-1","20","0","0"
"216","0","300","516","0","0","0","0","0","0","215","0","0","0","750","0","21","34","0","0"
"217","0","300","516","0","0","0","0","0","0","216","3571","0","0","750","0","-1","34","3015","0"
"218","0","300","516","0","0","0","0","0","0","217","2962","0","0","750","0","-1","34","3318","0"
"219","0","300","516","0","0","0","0","0","0","218","2002","0","0","750","0","-1","34","0","0"
"220","0","300","516","0","0","0","0","0","0","219","8909","0","0","750","20","34","34","0","0"
"221","0","300","516","0","0","0","0","0","0","220","3300","0","0","750","0","34","34","3011","0"
"222","100","300","516","0","0","0","0","0","0","221","8905","0","0","750","24","-1","34","3011","0"
"223","100","300","516","0","0","0","0","0","0","222","8905","0","0","750","201","-1","34","3011","0"
"224","0","300","516","0","0","0","0","0","0","223","1180","0","0","750","0","-1","34","0","0"
"225","0","300","516","0","0","0","0","0","0","224","503","0","0","750","0","-1","34","3011","0"
"226","0","300","516","0","0","0","0","0","0","225","2002","0","0","750","0","-1","34","0","0"
"227","0","300","525","0","0","0","0","0","0","226","23227","0","0","750","3501","-1","19","12986","0"
"228","0","300","516","0","0","0","0","0","0","227","3055","0","0","750","0","-1","19","0","0"
"229","0","300","516","0","0","0","0","0","0","228","1345","0","0","750","0","-1","34","0","0"
"230","0","300","516","0","0","0","0","0","0","229","1863","0","0","750","0","-1","19","0","0"
"231","0","300","516","0","0","0","0","0","0","230","2042","0","0","750","0","-1","34","0","0"
"232","0","300","516","0","0","0","0","0","0","231","2222","0","0","750","41","22","34","3015","0"
"233","0","300","516","0","0","0","0","0","0","232","2222","0","0","750","22","22","34","3015","0"
"234","0","300","516","0","0","0","0","0","0","233","3325","0","0","750","35","-1","34","0","0"
"235","0","300","516","0","0","0","0","0","0","234","8907","0","0","750","501","-1","34","0","0"
"236","0","300","516","0","0","0","0","0","0","235","2997","0","0","750","0","-1","21","3012","0"
"237","0","300","516","0","0","0","0","0","0","236","3522","0","0","750","0","21","19","3011","0"
"238","0","300","516","0","0","0","0","0","0","237","2662","0","0","750","0","-1","34","0","0"
"239","0","300","516","0","0","0","0","0","0","238","3333","0","0","750","0","21","19","0","0"
"240","0","300","516","0","0","0","0","0","0","239","157","0","0","750","26","-1","34","0","0"
"241","0","300","516","0","0","0","0","0","0","240","1602","0","0","750","0","-1","34","3011","0"
"242","0","300","516","0","0","0","0","0","0","241","1602","0","0","750","0","-1","34","3011","0"
"243","0","300","516","0","0","0","0","0","0","242","3212","0","0","750","0","-1","34","3011","0"
"244","0","300","516","0","0","0","0","0","0","243","1179","0","0","750","0","-1","34","0","0"
"245","0","300","516","0","0","0","0","0","0","244","2972","0","0","750","0","-1","34","3015","0"
"246","0","300","516","0","0","0","0","0","0","245","3150","0","0","750","0","-1","19","0","0"
"247","0","300","532","0","0","0","0","0","0","246","4704","0","0","750","2892","-1","20","0","0"
"248","0","300","516","0","0","0","0","0","0","247","3354","0","0","750","13","-1","20","0","0"
"249","0","300","517","0","0","0","0","0","0","248","2042","0","0","750","0","-1","20","0","0"
"250","0","300","516","0","0","0","0","0","0","249","3404","0","0","750","38","-1","34","0","0"
"251","0","300","516","0","0","0","0","0","0","250","3809","0","0","750","1001","-1","19","0","0"
"252","0","300","518","0","0","0","0","0","0","251","224","0","0","750","0","-1","34","0","0"
"253","0","300","516","0","0","0","0","0","0","252","2002","0","0","750","0","-1","34","0","0"
"254","0","300","516","0","0","0","0","0","0","253","503","0","0","750","0","-1","34","3011","0"
"255","0","300","516","0","0","0","0","0","0","254","524","0","0","750","0","-1","34","3013","0"
"256","0","300","516","0","0","0","0","0","0","255","1342","0","0","750","0","-1","34","0","0"
"257","0","300","516","0","0","0","0","0","0","256","3429","0","0","750","20","34","34","0","0"
"258","0","300","516","0","0","0","0","0","0","257","227","0","0","750","0","-1","20","44","0"
"259","0","300","516","0","0","0","0","0","0","258","2042","0","0","750","122","-1","34","0","0"
"260","5000","300","516","0","0","0","0","0","0","259","3433","0","0","750","163","19","19","0","0"
"261","0","300","516","0","0","0","0","0","0","260","3407","0","0","750","0","-1","34","3011","0"
"262","0","300","516","0","0","0","0","0","0","261","3406","0","0","750","81","-1","20","0","0"
"263","0","300","516","0","0","0","0","0","0","262","587","0","0","750","0","-1","34","3011","0"
"264","0","300","516","0","0","0","0","0","0","263","365","0","0","750","0","-1","34","0","0"
"265","0","300","516","0","0","0","0","0","0","264","1863","0","0","750","0","-1","34","0","0"
"266","0","300","516","0","0","0","0","0","0","265","546","0","0","750","0","-1","34","0","0"
"267","0","300","516","0","0","0","0","0","0","266","3205","0","0","750","0","-1","20","0","0"
"268","0","300","516","0","0","0","0","0","0","267","2262","0","0","750","13","-1","19","0","0"
"269","0","300","516","0","0","0","0","0","0","268","2980","0","0","750","40","19","34","0","0"
"270","0","300","516","0","0","0","0","0","0","269","2980","0","0","750","40","34","19","0","0"
"271","0","300","516","0","0","0","0","0","0","270","2962","0","0","750","24","-1","34","3087","0"
"272","0","300","516","0","0","0","0","0","0","271","694","0","0","750","0","-1","34","3087","0"
"273","0","300","516","0","0","0","0","0","0","272","3407","0","0","750","13","-1","34","3011","0"
"274","100","300","532","0","0","0","0","0","0","273","503","0","0","750","0","-1","34","3011","0"
"275","0","300","516","0","0","0","0","0","0","274","157","0","0","750","0","-1","34","3087","0"
"276","0","300","516","0","0","0","0","0","0","275","3455","0","0","750","0","-1","20","0","0"
"277","0","300","516","0","0","0","0","0","0","276","3568","0","0","750","226","34","20","0","0"
"278","0","300","516","0","0","0","0","0","0","277","151","0","0","750","0","-1","34","3015","0"
"279","0","300","516","0","0","0","0","0","0","278","3006","0","0","750","0","-1","34","3015","0"
"280","0","300","516","0","0","0","0","0","0","279","2002","0","0","750","0","-1","34","0","0"
"281","0","300","516","0","0","0","0","0","0","280","3403","0","0","750","101","-1","34","3014","0"
"282","0","300","516","0","0","0","0","0","0","281","3064","0","0","750","0","-1","19","3011","0"
"283","0","300","516","0","0","0","0","0","0","282","1179","0","0","750","0","-1","34","3011","0"
"284","0","300","516","0","0","0","0","0","0","283","2622","0","0","750","0","-1","34","0","0"
"285","0","300","516","0","0","0","0","0","0","284","1602","0","0","750","0","-1","34","3013","0"
"286","0","300","516","0","0","0","0","0","0","285","1863","0","0","750","0","-1","19","0","0"
"287","0","300","516","0","0","0","0","0","0","286","1602","0","0","750","0","-1","19","3013","0"
"288","0","300","516","0","0","0","0","0","0","287","1547","0","0","750","0","-1","34","4222","0"
"289","0","300","516","0","0","0","0","0","0","288","1547","0","0","750","0","-1","34","4222","0"
"290","0","300","516","0","0","0","0","0","0","289","675","0","0","750","13","17","34","41211","0"
"291","0","300","516","0","0","0","0","0","0","290","8259","0","0","750","0","-1","19","0","0"
"292","0","300","516","0","0","0","0","0","0","291","3562","0","0","750","13","-1","34","1454","0"
"293","100","300","516","0","0","0","0","0","0","292","8905","0","0","750","38","-1","34","3011","0"
"294","0","300","516","0","0","0","0","0","0","293","2972","0","0","750","0","-1","34","0","0"
"295","0","300","516","0","0","0","0","0","0","294","2972","0","0","750","0","-1","34","0","0"
"296","0","300","516","0","0","0","0","0","0","295","3212","0","0","750","0","34","34","3011","0"
"297","0","300","516","0","0","0","0","0","0","296","3566","0","0","750","0","21","19","3015","0"
"298","0","300","516","0","0","0","0","0","0","297","188","0","0","750","0","-1","34","1454","0"
"299","0","300","516","0","0","0","0","0","0","298","3493","0","0","750","0","-1","34","3015","0"
"300","0","300","516","0","0","0","0","0","0","299","4807","0","0","750","0","-1","34","3013","0"
"301","0","300","516","0","0","0","0","0","0","300","259","0","0","750","0","-1","19","0","0"
"302","0","300","516","0","0","0","0","0","0","301","3433","0","0","750","163","19","19","0","0"
"303","0","300","516","0","0","0","0","0","0","302","151","0","0","750","122","19","20","0","0"
"304","0","300","516","0","0","0","0","0","0","303","6376","0","0","750","0","-1","17","0","0"
"305","0","300","8708","0","0","0","0","0","0","304","3074","0","0","750","0","-1","34","3256","0"
"306","0","300","516","0","0","0","0","0","0","305","503","0","0","750","0","-1","34","3011","0"
"307","0","300","516","0","0","0","0","0","0","306","0","0","0","750","0","-1","34","0","0"
"308","0","300","516","0","0","0","0","0","0","307","0","0","0","750","0","34","20","0","0"
"309","0","300","516","0","0","0","0","0","0","308","0","0","0","750","0","34","20","0","0"
"310","0","300","516","0","0","0","0","0","0","309","1783","0","0","750","0","-1","19","0","0"
"311","0","300","516","0","0","0","0","0","0","310","2972","0","0","750","0","-1","34","0","0"
"312","0","300","516","0","0","0","0","0","0","311","151","0","0","750","0","-1","19","1641","0"
"313","0","300","516","0","0","0","0","0","0","312","503","0","0","750","0","-1","20","0","0"
